MID_RELIANCE_C_#001	キャラ配置(PID_ヴァンドレ, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_モーヴ, YOU_IN_C, [服装], Normal, IdleNormal, 180)\n\nキャラ配置(PID_ヴェイル, ME_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_ヴェイル, 0, -0.7, 3)\nキャラ表示切替(PID_ヴェイル, False)\n\n背景(Map_Event_M019_01)\nライト(CharaLight_M019, 0, 0, 0)\n\nキャラ視線(PID_ヴァンドレ, PID_モーヴ, PID_モーヴ)\nキャラ表示切替(PID_ヴァンドレ, False)\n\nキャラモーション再生(PID_モーヴ, Normal, WalkIn2)\nキャラカメラ(CharaCam_FrontLong2_Right_Mid, PID_モーヴ, cam_anim_track_l_normal)\nフェードイン()\n\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal, 2, 1)\n*\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal,,1)\nキャラ表示切替(PID_ヴァンドレ, True)
MID_RELIANCE_B_#001	キャラ配置(PID_ヴァンドレ, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_モーヴ, YOU_IN_C, [服装], Normal, IdleNormal, -90)\n\n背景(Map_Event_M019_01)\nライト(CharaLight_M019, 0, 0, 0)\n\nキャラ視線(PID_ヴァンドレ, PID_モーヴ, PID_モーヴ)\n\nウェイト(0.1)\n\nキャラモーション再生(PID_ヴァンドレ, Normal, WalkIn2)\nキャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)\nフェードイン()\n\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal, 2, 1)\nキャラ視線(PID_モーヴ, PID_ヴァンドレ, PID_ヴァンドレ, 1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal,,1)\nキャラ視線(PID_モーヴ, PID_ヴァンドレ, PID_ヴァンドレ)
MID_RELIANCE_B_#002	キャラカメラ(CharaCam_FrontLong2_Right_Mid, PID_モーヴ, cam_anim_track_l_normal)\nキャラ回転(PID_モーヴ, 90, 1.5)\nキャラモーション再生(PID_モーヴ, Normal, TurnR,, 0.3)
MID_RELIANCE_B_#003	*\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal,,1)
MID_RELIANCE_B_#004	キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoDeny,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Smile, IdleNormal)
MID_RELIANCE_B_#005	キャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_track_l_slow)\nキャラモーション再生(PID_モーヴ, Die, EmoSad,,1)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal, 4, 2)\n*\nキャラモーション再生(PID_モーヴ, Die, IdleNormal,,1)
MID_RELIANCE_B_#006	キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラモーション再生(PID_ヴァンドレ, Smile, EmoTalk,,1)
MID_RELIANCE_B_#007	*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_B_#008	キャラカメラ(CharaCam_Side_Right_Mid, PID_モーヴ, cam_anim_dolly_r_normal)
MID_RELIANCE_B_#009	キャラモーション再生(PID_モーヴ, Normal, EmoTalk,,1)\n*\nキャラモーション再生(PID_モーヴ, Sad, IdleNormal)
MID_RELIANCE_B_#010	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)
MID_RELIANCE_B_#011	キャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_track_l_normal)\nキャラモーション再生(PID_モーヴ, Sad, EmoRelax,,1)\n*\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal,,1)
MID_RELIANCE_B_#012	キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_pan_l_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoDeny,,1)
MID_RELIANCE_B_#013	キャラモーション再生(PID_ヴァンドレ, Normal, EmoTalk2,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_B_#014	キャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_track_l_normal)\nキャラモーション再生(PID_モーヴ, Normal, EmoThinkIn,,1)\n*\nキャラモーション再生(PID_モーヴ, Die, EmoThinkLoop)
MID_RELIANCE_B_#015	キャラカメラ(CharaCam_Front_Center_Mid, PID_ヴァンドレ, cam_anim_track_l_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoDeny2,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_B_#016	キャラカメラ(CharaCam_Side_Right_Mid, PID_モーヴ, cam_anim_dolly_r_normal)
MID_RELIANCE_B_#017	キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_pan_l_normal)\nキャラモーション再生(PID_ヴァンドレ, Sad, EmoDeny2,,1)
MID_RELIANCE_B_#018	キャラモーション再生(PID_ヴァンドレ, Normal)
MID_RELIANCE_B_#019	キャラカメラ(CharaCam_Front_Center_Mid, PID_ヴァンドレ, cam_anim_track_l_normal)\nキャラモーション再生(PID_ヴァンドレ, Smile, EmoJoy,,1)\n\nキャラモーション再生(PID_モーヴ, Smile, IdleNormal)\n*\nキャラモーション再生(PID_ヴァンドレ, Smile, IdleNormal,,1)
MID_RELIANCE_B_#020	キャラカメラ(CharaCam_Front_Center_Mid, PID_モーヴ, cam_anim_track_r_normal)\nキャラモーション再生(PID_モーヴ, Smile, EmoRelax,,1)\n*\nフェードアウト()
MID_RELIANCE_A_#001	キャラ配置(PID_ヴァンドレ, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_モーヴ, YOU_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_Hub_Solanel_01_Day)\nライト(CharaLight_Hub_Day, 0, 0, 0)\n\nキャラ視線(PID_ヴァンドレ, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_モーヴ, PID_ヴァンドレ, PID_ヴァンドレ)\n\nウェイト(0.5)\n\nキャラカメラ(CharaCam_FrontLong2_Right_Mid, PID_モーヴ, cam_anim_track_l_normal)\nフェードイン()\n\nキャラモーション再生(PID_モーヴ, Normal, EmoTalk,,1)\n*\nキャラモーション再生(PID_モーヴ, Die, IdleNormal,,1)
MID_RELIANCE_A_#002	キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)
MID_RELIANCE_A_#003	キャラカメラ(CharaCam_Side_Right_Mid, PID_モーヴ, cam_anim_dolly_r_normal)
MID_RELIANCE_A_#004	キャラモーション再生(PID_モーヴ, Normal, EmoRelax,,1)\n*\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)
MID_RELIANCE_A_#005	キャラカメラ(CharaCam_Side_Left_Mid, PID_ヴァンドレ, cam_anim_dolly_l_normal)\nキャラモーション再生(PID_ヴァンドレ, Surprise)
MID_RELIANCE_A_#006	キャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_track_l_normal)\nキャラモーション再生(PID_モーヴ, Normal, EmoPray,,1)\n*\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal,,1)
MID_RELIANCE_A_#007	キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoNod,,1)
MID_RELIANCE_A_#008	キャラモーション再生(PID_ヴァンドレ, Die, EmoThinkIn,,1)
MID_RELIANCE_A_#009	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoThinkOut,,1)
MID_RELIANCE_A_#010	キャラモーション再生(PID_ヴァンドレ, Normal, EmoTalk,,1)
MID_RELIANCE_A_#011	キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_track2_l_normal)
MID_RELIANCE_A_#012	キャラモーション再生(PID_ヴァンドレ, Normal, EmoTalk,,1)\n\n*\n\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_A_#013	キャラカメラ(CharaCam_Side_Right_Mid, PID_モーヴ, cam_anim_dolly_r_normal)
MID_RELIANCE_A_#014	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_r_slow)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoDeny,,1)
MID_RELIANCE_A_#015	キャラモーション再生(PID_ヴァンドレ, Sad, IdleNormal,, 1)
MID_RELIANCE_A_#016	キャラカメラ(CharaCam_FrontLong2_Right_Mid, PID_モーヴ, cam_anim_track_l_normal)\nキャラモーション再生(PID_モーヴ, Normal, EmoTalk,,1)\n\n*\n\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal,, 1)
MID_RELIANCE_A_#017	キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoNod,,1)
MID_RELIANCE_A_#018	
MID_RELIANCE_A_#019	キャラカメラ(CharaCam_Front_Center_Mid, PID_ヴァンドレ, cam_anim_track_l_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoJoy,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_A_#020	キャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_track_l_normal)
MID_RELIANCE_A_#021	キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴァンドレ, cam_anim_pan_l_normal)\nキャラモーション再生(PID_ヴァンドレ, Smile, EmoPray,,1)
MID_RELIANCE_A_#022	*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_A_#023	キャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_track_l_normal)\nキャラモーション再生(PID_モーヴ, Sad, EmoSad,,1)\n*\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)
MID_RELIANCE_A_#024	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)
MID_RELIANCE_A_#025	キャラカメラ(CharaCam_Shoulder_Right_Bot, PID_ヴァンドレ, cam_anim_track2_r_normal)\nキャラモーション再生(PID_モーヴ, Relax, EmoPray,,1)
MID_RELIANCE_A_#026	キャラモーション再生(PID_モーヴ, Smile, EmoTalk,,1)\n*\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)
MID_RELIANCE_A_#027	キャラカメラ(CharaCam_Front_Center_Mid, PID_ヴァンドレ, cam_anim_track_l_slow)\nキャラモーション再生(PID_ヴァンドレ, Smile, EmoJoy,,1)
MID_RELIANCE_A_#028	キャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_track_l_normal)\nキャラモーション再生(PID_モーヴ, Normal, EmoDeny,,1)
MID_RELIANCE_A_#029	キャラカメラ(CharaCam_Front_Center_Mid, PID_モーヴ, cam_anim_track_r_normal)\nキャラモーション再生(PID_モーヴ, Normal, EmoJoy,,1)
MID_RELIANCE_A_#030	キャラモーション再生(PID_モーヴ, Smile)\n*\nフェードアウト()
