MID_OP1_#001	キャラ配置(PID_E005_Boss, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP2_#006	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用, cam_anim_zoom_out_slow)\n\nキャラモーション再生(PID_E004_セレスティア, Angry, EmoTalk,0, 0.5)
MID_OP2_#007	キャラモーション再生(PID_E004_セレスティア, Sad, EmoNod,0,1)
MID_OP2_#008	キャラ視線(PID_E004_グレゴリー, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_マデリーン, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_セレスティア, PID_M011_モーヴ, PID_M011_モーヴ)\n\nキャラモーション再生(PID_E004_マデリーン, Shy)\nキャラモーション再生(PID_M011_モーヴ, Sad, EmoShy,0, 0.5)
MID_OP2_#009	キャラ視線(PID_M011_モーヴ, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_マデリーン, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_セレスティア, PID_E004_グレゴリー, PID_E004_グレゴリー)\n\nキャラモーション再生(PID_E004_マデリーン, Angry)\nキャラモーション再生(PID_E004_グレゴリー, Serious, EmoNod,0, 0.5)
MID_OP2_#010	キャラモーション再生(PID_E004_マデリーン, Angry, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_M011_モーヴ, Normal, IdleNormal,0,1)
MID_OP2_#011	キャラ視線(PID_E004_グレゴリー, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_M011_モーヴ, PID_E004_マデリーン, PID_E004_マデリーン,4)\nキャラ視線(PID_E004_セレスティア, PID_E004_マデリーン, PID_E004_マデリーン)\n\nキャラモーション再生(PID_E004_グレゴリー, Serious, EmoDeny,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Angry, EmoTalk2, 2.3,1)\nキャラモーション再生(PID_E004_マデリーン, Angry, IdleNormal,0,1)\n\n*\nキャラモーション再生(PID_E004_マデリーン, Surprise)\nウェイト(1)
MID_OP2_#012	キャラ配置調整(PID_デモ用_視線設定用,0, 0.1, -0.5)\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_デモ用_視線設定用, cam_anim_pan_u_normal)\nキャラ視線(PID_M011_モーヴ, PID_E004_マデリーン, PID_E004_マデリーン)\n\n*\nキャラ視線(PID_E004_マデリーン, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラモーション再生(PID_E004_マデリーン, Sad)\nキャラモーション再生(PID_E004_グレゴリー, Angry, IdleNormal,0,1)
MID_OP2_#013	キャラモーション再生(PID_M011_モーヴ, Surprise, IdleNormal,0,1)\n\n*\nウェイト(1)
MID_OP2_#014	キャラ視線(PID_E004_マデリーン, PID_E005_エル, PID_E005_エル)\n\nキャラモーション再生(PID_E004_マデリーン, Serious, EmoDeny,0, 0.5)\n\nキャラ回転(PID_E004_セレスティア,30,0,0)\nキャラ視線リセット(PID_E004_セレスティア)\n\n*\nウェイト(0.5)
MID_OP2_#015	キャラ配置調整(PID_デモ用_視線設定用, 0.8,0, 0.1)\n\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_デモ用_視線設定用, cam_anim_zoom_out_slow)\n\nキャラ視線(PID_E004_グレゴリー, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_マデリーン, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_M011_モーヴ, PID_E004_セレスティア, PID_E004_セレスティア)\n\nキャラモーション再生(PID_E004_セレスティア, Sad, EmoNod,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Sad)\nキャラモーション再生(PID_M011_モーヴ, Normal)\nキャラモーション再生(PID_E004_マデリーン, Normal, IdleNormal,0,1)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#016	キャラモーション再生(PID_E004_セレスティア, Sad, EmoSad2,0,1)
MID_OP2_#017	
MID_OP2_#018	キャラモーション再生(PID_E004_グレゴリー, Normal, EmoTalk,0, 0.5)
MID_OP2_#019	キャラ視線(PID_E004_セレスティア, PID_E004_グレゴリー, PID_E004_グレゴリー)\n\nキャラモーション再生(PID_E004_セレスティア, Angry, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Normal, IdleNormal,0,1)
MID_OP2_#020	
MID_OP2_#021	キャラモーション再生(PID_E004_マデリーン, Normal, EmoNod,0, 0.5)
MID_OP2_#022	キャラモーション再生(PID_M011_モーヴ, Normal, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E004_マデリーン, Normal, IdleNormal,0,1)
MID_OP2_#023	キャラモーション再生(PID_E004_セレスティア, Smile, EmoRelax,0, 0.5)\nキャラモーション再生(PID_M011_モーヴ, Normal, IdleNormal,0,1)
MID_OP2_#024	
MID_OP2_#025	キャラモーション再生(PID_E004_セレスティア, Angry, EmoTalk,0, 0.5)\n\n*\nキャラモーション再生(PID_E004_マデリーン, Angry, EmoNod,0, 0.5)\nキャラモーション再生(PID_M011_モーヴ, Angry, EmoNod,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Angry, EmoNod,0, 0.5)\n\nパペット会話中断()\nウェイト(2)
MID_OP2_#026	キャラ表示切替(PID_E005_エル, True)\n\nキャラ視線(PID_E004_セレスティア, PID_E005_エル, PID_E005_エル)\nキャラ視線(PID_E004_グレゴリー, PID_E005_エル, PID_E005_エル)\nキャラ視線(PID_E004_マデリーン, PID_E005_エル, PID_E005_エル)\nキャラ視線(PID_M011_モーヴ, PID_E005_エル, PID_E005_エル)\n\nキャラモーション再生(PID_E004_セレスティア, Surprise, IdleNormal,0,1)\nキャラモーション再生(PID_E004_マデリーン, Surprise, IdleNormal,0,1)\nキャラモーション再生(PID_M011_モーヴ, Surprise, IdleNormal,0,1)\nキャラモーション再生(PID_E004_グレゴリー, Surprise, IdleNormal,0,1)\n\nキャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E005_エル, cam_anim_zoom_out_slow)\n\nキャラモーション再生(PID_E005_エル, Shy, WalkIn2)\n\nサウンドイベント(Env_Evt_Lithos_Night_End)
MID_OP2_#027	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E004_セレスティア, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E004_セレスティア, Smile, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Smile)\nキャラモーション再生(PID_M011_モーヴ, Smile)\nキャラモーション再生(PID_E004_マデリーン, Smile)
MID_OP2_#028	キャラモーション再生(PID_E004_グレゴリー, Smile, EmoTalk2,0, 0.5)
MID_OP2_#029	キャラカメラ(CharaCam_Side_Right_Mid, PID_E005_エル, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E005_エル, Shy, EmoNod,0, 0.5)
MID_OP2_#030	
MID_OP2_#031	キャラモーション再生(PID_E005_エル, Sad, EmoRelax,0,1)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#032	
MID_OP2_#033	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_デモ用_視線設定用, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_M011_モーヴ, Smile, EmoRelax,0, 0.5)\nキャラモーション再生(PID_E005_エル, Sad, IdleNormal)
MID_OP2_#034	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E005_エル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E005_エル, Sad, EmoSad2,0, 0.5)
MID_OP2_#035	キャラモーション再生(PID_E005_エル, Shy, EmoTalk,0,1)
MID_OP2_#036	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\nキャラモーション再生(PID_E005_エル, Shy, IdleNormal,0,1)\nキャラモーション再生(PID_E004_セレスティア, Smile, EmoNod,0, 0.5)\n\nキャラ回転(PID_E004_セレスティア,170,1,6)\nキャラ視線リセット(PID_E004_セレスティア)\nキャラモーション再生(PID_E004_セレスティア, Smile, TurnR,6, 0.5)\nキャラモーション再生(PID_E004_セレスティア, Smile, RunOut, 6.6,1)\n\nキャラ回転(PID_M011_モーヴ,130,1, 4.5)\nキャラ視線リセット(PID_M011_モーヴ)\nキャラモーション再生(PID_M011_モーヴ, Smile, TurnR, 4.5, 0.5)\nキャラモーション再生(PID_M011_モーヴ, Smile, RunOut, 5.4,1)\n\nキャラ回転(PID_E004_グレゴリー,160,1, 4.3)\nキャラ視線リセット(PID_E004_グレゴリー)\nキャラモーション再生(PID_E004_グレゴリー, Smile, TurnR, 4.3, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Smile, RunOut, 5.9,1)\n\nキャラ回転(PID_E004_マデリーン,160,1, 3.8)\nキャラ視線リセット(PID_E004_マデリーン)\nキャラモーション再生(PID_E004_マデリーン, Smile, TurnR, 3.8, 0.5)\nキャラモーション再生(PID_E004_マデリーン, Smile, RunOut, 5.2,1)\n\n*\nパペット会話中断()\nウェイト(0.5)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_E005_エル, cam_anim_track_l_slow)\nキャラ表示切替(PID_E004_セレスティア, False)\nキャラ表示切替(PID_E004_グレゴリー, False)\nキャラ表示切替(PID_E004_マデリーン, False)\nキャラ表示切替(PID_M011_モーヴ, False)
MID_OP2_#037	キャラモーション再生(PID_E005_エル, Serious, EmoPray,0, 0.5)
MID_OP2_#038	キャラモーション再生(PID_E005_エル, Normal)\nキャラモーション再生(PID_E005_エル, Smile, RunOut, 5.2,1)\n\n*\nウェイト(3)\nサウンドイベント(Env_Evt_Wind3_End)\nフェードアウト()
MID_OP3_#001	キャラ配置(PID_M011_モーヴ, ME_MID_A, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_M011_モーヴ,0,0, 0.8)\nキャラ配置(PID_E004_マデリーン, ME_MID_B, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_E004_マデリーン,0,0, 0.3)\nキャラ配置(PID_E004_グレゴリー, ME_MID_C, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_E004_グレゴリー,0,0, 0.3)\nキャラ配置(PID_E004_セレスティア, ME_MID_D, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_E004_セレスティア,0,0, 0.5)\n\nキャラ配置(PID_E005_エル, ME_IN_BC, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_E005_エル,0,0, 0.5)\n\nキャラ配置(PID_E005_Boss, YOU_IN_BC, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_E005_Boss,0,0, 1)\nキャラ表示切替(PID_E005_Boss, False)\n\nキャラ配置(PID_デモ用_視線設定用, ME_MID_BC, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -0.2, 1.5)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\n背景(Map_Event_M009_04)\nライト(CharaLight_E004, 0, 0, 0)\nエフェクト表示(Effect01, Effects/Event/M009_MID_ED1/Prefabs/M009_MID_ED1)\n\nキャラモーション再生(PID_E005_エル, Normal, RunIn)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nウェイト(0.5)\nキャラモーション再生(PID_M011_モーヴ, Normal, RunIn)\nキャラ回転(PID_M011_モーヴ, 40,1,1)\nキャラモーション再生(PID_E004_マデリーン, Normal, RunIn)\nキャラモーション再生(PID_E004_グレゴリー, Normal, RunIn)\nキャラ回転(PID_E004_グレゴリー, -10,1,1)\nキャラモーション再生(PID_E004_セレスティア, Normal, RunIn)\nキャラ回転(PID_E004_セレスティア, -30,1,1)\n\nサウンドイベント(Env_Evt_Ircion_Snow_Start)\nフェードイン()
MID_OP3_#002	キャラモーション再生(PID_E005_エル, Normal, EmoLook,0,1)
MID_OP3_#003	キャラモーション再生(PID_M011_モーヴ, Normal, EmoLook,0.2,1)\nキャラモーション再生(PID_E004_マデリーン, Normal, EmoLook,0.4,1)\nキャラモーション再生(PID_E004_グレゴリー, Normal, EmoLook,0.6,1)\nキャラモーション再生(PID_E004_セレスティア, Normal, EmoLook,0,1)\nキャラモーション再生(PID_E004_セレスティア, Angry, EmoThink, 1.5,1)\n\n*\nキャラモーション待ち(PID_E004_セレスティア)
MID_OP3_#004	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用, cam_anim_zoom_out_slow)\nキャラ表示切替(PID_E005_エル, False)\n\nキャラ視線(PID_E004_マデリーン, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_セレスティア, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_M011_モーヴ, PID_E004_グレゴリー, PID_E004_グレゴリー)\n\nキャラモーション再生(PID_E004_グレゴリー, Angry, EmoTalk2,0,1)
MID_OP3_#005	キャラ視線(PID_E004_グレゴリー, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_E004_セレスティア, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_M011_モーヴ, PID_E004_マデリーン, PID_E004_マデリーン)\n\nキャラモーション再生(PID_E004_マデリーン, Angry, EmoDeny2,0,1)
MID_OP3_#006	キャラ視線(PID_E004_グレゴリー, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_マデリーン, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_セレスティア, PID_M011_モーヴ, PID_M011_モーヴ)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, EmoThink,0,1)
MID_OP3_#007	キャラ配置調整(PID_E004_マデリーン,0,0, 0.1)\n\nキャラ表示切替(PID_E005_Boss, True)\n\nキャラ視線(PID_E005_エル, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_E004_セレスティア, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_E004_グレゴリー, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_E004_マデリーン, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_M011_モーヴ, PID_E005_Boss, PID_E005_Boss)\n\nキャラモーション再生(PID_E005_エル, Surprise)\nキャラモーション再生(PID_E004_セレスティア, Surprise)\nキャラモーション再生(PID_E004_マデリーン, Surprise)\nキャラモーション再生(PID_M011_モーヴ, Surprise)\nキャラモーション再生(PID_E004_グレゴリー, Surprise)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_E005_Boss, cam_anim_pan_r_slow)\nキャラ表示切替(PID_E005_エル, True)\n\nキャラモーション再生(PID_E005_Boss, Pain, RunIn)\n\n*\nキャラモーション待ち(PID_E005_Boss)
MID_OP3_#008	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_E005_エル, cam_anim_track_r_slow)\nキャラ表示切替(PID_E004_セレスティア, False)\nキャラ表示切替(PID_E004_グレゴリー, False)\n\nキャラモーション再生(PID_E005_エル, Smile, EmoTalk,0, 0.5)
MID_OP3_#009	キャラモーション再生(PID_E005_Boss, Sad, EmoSurprise2,0, 0.5)
MID_OP3_#010	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E005_エル, cam_anim_track_r_slow)\nキャラ表示切替(PID_E004_セレスティア, True)\nキャラ表示切替(PID_E004_グレゴリー, True)\n\nキャラモーション再生(PID_E005_エル, Surprise, EmoSurprise,0, 0.5)
MID_OP3_#011	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E005_Boss, cam_anim_tracklong_l_normal)\n\nキャラモーション再生(PID_E005_Boss, Pain, EmoDeny2,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_OP3_#012	キャラモーション再生(PID_E005_Boss, Pain, EmoSurprise2,0, 0.5)
MID_OP3_#013	キャラモーション再生(PID_M011_モーヴ, Angry, EmoTalk,0, 0.5)
MID_OP3_#014	キャラカメラ(CharaCam_Side_Right2_Top, PID_E005_Boss, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E005_Boss, Sad, EmoTalk,0, 0.5)
MID_OP3_#015	キャラ配置調整(PID_デモ用_視線設定用,0,-2,0)\n\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP3_#016	キャラモーション再生(PID_E005_Boss, Sad, EmoTired,0, 0.5)
MID_OP3_#017	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E005_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E005_エル, Relax, EmoDeny,0, 0.5)
MID_OP3_#018	キャラモーション再生(PID_E005_エル, Angry, EmoTalk2,0,1)
MID_OP3_#019	キャラカメラ(CharaCam_Side_Right_Mid, PID_E005_Boss, cam_anim_pan_r_slow)\n\nキャラ視線(PID_E005_Boss, PID_E005_エル, PID_E005_エル)\n\nキャラモーション再生(PID_E005_Boss, Normal, EmoNod,0,0.5)\nキャラモーション再生(PID_E005_エル, Angry, IdleNormal,0,1)\n\n*\nウェイト(1)
MID_OP3_#020	キャラカメラ(CharaCam_Side_Left2_Top, PID_E005_エル, cam_anim_track_r_slow)\n\nキャラ表示切替(PID_E004_セレスティア, False)\n\nキャラ視線(PID_E005_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E005_エル, Pain)\nキャラモーション再生(PID_E004_セレスティア, Sad)\nキャラモーション再生(PID_E004_マデリーン, Sad)\nキャラモーション再生(PID_M011_モーヴ, Sad)\nキャラモーション再生(PID_E004_グレゴリー, Sad)\n\nキャラ回転(PID_E005_Boss,180,0,0)\n\n*\nパペット会話中断()\nキャラ配置調整(PID_デモ用_視線設定用,1, 1.5,3)\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nウェイト(1)
MID_OP3_#021	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E005_Boss, cam_anim_zoom_out_slow)\nキャラ表示切替(PID_E004_セレスティア, True)\nキャラ表示切替(PID_E004_グレゴリー, True)\n\nキャラ視線(PID_E004_セレスティア, PID_E005_エル, PID_E005_エル)\nキャラ視線(PID_E004_グレゴリー, PID_E005_エル, PID_E005_エル)\nキャラ視線(PID_E004_マデリーン, PID_E005_エル, PID_E005_エル)\nキャラ視線(PID_M011_モーヴ, PID_E005_エル, PID_E005_エル)\n\nキャラモーション再生(PID_E005_Boss, Smile, IdleNormal)\n*\nウェイト(1)\nサウンドイベント(Env_Evt_Ircion_Snow_End)\nフェードアウト()
MID_OP4_#001	キャラ配置(PID_M011_モーヴ, ME_MID_A, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_M011_モーヴ,0,0, 0.8)\nキャラ配置(PID_E004_マデリーン, ME_MID_B, [服装], Angry, IdleNormal, -10)\nキャラ配置調整(PID_E004_マデリーン,0,0, 0.4)\nキャラ配置(PID_E004_グレゴリー, ME_MID_C, [服装], Angry, IdleNormal, -10)\nキャラ配置調整(PID_E004_グレゴリー,0,0, 0.3)\nキャラ配置(PID_E004_セレスティア, ME_MID_D, [服装], Angry, IdleNormal, -10)\nキャラ配置調整(PID_E004_セレスティア,0,0, 0.5)\n\nキャラ配置(PID_E005_エル, ME_IN_BC, [服装], Normal, IdleNormal, -10)\nキャラ配置調整(PID_E005_エル,0,0, 0.5)\n\nキャラ配置(PID_E005_Boss, YOU_IN_BC, [服装], Normal, IdleNormal,170)\nキャラ配置調整(PID_E005_Boss,0,0, 0.5)\n\nキャラ配置(PID_デモ用_視線設定用, ME_MID_BC, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用,0, 3.5,6)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\n背景(Map_Event_M013_07)\nライト(CharaLight_E005, 0, 0, 0)\n\nキャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E005_Boss, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E005_エル, Angry, WalkIn2)\nキャラモーション再生(PID_E005_Boss, Normal, WalkIn2)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, WalkIn)\nキャラモーション再生(PID_E004_マデリーン, Angry, WalkIn)\nキャラモーション再生(PID_E004_グレゴリー, Angry, WalkIn)\nキャラモーション再生(PID_E004_セレスティア, Angry, WalkIn)\n\nサウンドイベント(Env_Evt_Solum_Desert_Start)\nフェードイン()\n\n*\nキャラモーション再生(PID_E005_Boss, Normal, EmoLook,0,1)
MID_OP4_#002	*\nキャラモーション再生(PID_E005_Boss, Normal, IdleNormal,0,1)\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_OP4_#003	ウェイト(1)\nキャラ視線(PID_E005_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_M011_モーヴ, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E004_マデリーン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E004_グレゴリー, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E004_セレスティア, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n*\nウェイト(1)\n\nキャラ配置調整(PID_デモ用_視線設定用,1,-5,-4)\n\nキャラ回転(PID_E005_Boss,30,1,0)\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラモーション再生(PID_E005_Boss, Angry, TurnR,0, 0.5)
MID_OP4_#004	キャラ視線(PID_E005_エル, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_M011_モーヴ, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_E004_マデリーン, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_E004_グレゴリー, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_E004_セレスティア, PID_E005_Boss, PID_E005_Boss)\n\nキャラモーション再生(PID_E005_Boss, Normal, EmoTalk2,0, 0.5)\nキャラ回転(PID_E005_Boss, -30,1,0)\nキャラモーション再生(PID_E005_Boss, Normal, TurnL, 2,1)\nキャラモーション再生(PID_E005_Boss, Normal, WalkOut, 3.5,1)\n\nキャラモーション再生(PID_E005_エル, Angry, WalkOut,4, 0.5)\nキャラモーション再生(PID_M011_モーヴ, Angry, WalkOut,4, 0.5)\nキャラモーション再生(PID_E004_マデリーン, Angry, WalkOut,4, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Angry, WalkOut,4, 0.5)\nキャラモーション再生(PID_E004_セレスティア, Angry, WalkOut,4, 0.5)\n\nキャラ配置調整(PID_デモ用_視線設定用, -1, 1.5,4)\nキャラ視線(PID_E005_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_M011_モーヴ, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E004_マデリーン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E004_グレゴリー, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E004_セレスティア, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n*\nウェイト(1)\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nウェイト(1)\nサウンドイベント(Env_Evt_Solum_Desert_End)\nフェードアウト()
