MID_OP1_#001	キャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_モーヴ, ME_IN_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_マロン, YOU_MID_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_リュール, 0.1, 0, 0.1, 0)\nキャラ配置調整(PID_モーヴ, -0.1, 0, 0.2, 0)\nキャラ配置調整(PID_マロン, 0, 0, 0.2, 0)\n\nキャラ表示切替(PID_マロン, False)\n\n背景(Map_Event_M019_01)\nライト(CharaLight_M019, 0, 0, 0)\n\n章タイトル(CID_M021)\n\nサウンドイベント(BGM_Evt_Consultation)\nサウンドイベント(Env_Evt_Ircion_Harbor_Start)\n\n\nウェイト(2.5)\n\nフェードアウト()\n\nキャラモーション再生(PID_リュール, Normal, WalkIn2, 0.5)\nキャラモーション再生(PID_モーヴ, Normal, WalkIn2)\n\nウェイト(0.5)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_pan_l_normal)\n\nフェードイン()\n\nキャラモーション待ち(PID_モーヴ)\n\nキャラモーション再生(PID_モーヴ, Normal, EmoTalk,, 0.5)\n\nキャラ視線(PID_リュール, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_モーヴ, PID_リュール, PID_リュール)\nキャラ視線(PID_マロン, PID_モーヴ, PID_モーヴ)
MID_OP1_#018	キャラモーション再生(PID_マロン, Surprise, EmoSurprise2,, 0.5)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_マロン, cam_anim_zoom_in_slow)\n
MID_OP1_#019	キャラモーション再生(PID_マロン, Die)
MID_OP1_#020	キャラモーション再生(PID_モーヴ, Normal, EmoTalk,, 0.5)\n\nキャラ視線(PID_リュール, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_モーヴ, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_FrontLong_Left_Top, PID_モーヴ, cam_anim_pan_l_slow)
MID_OP1_#021	\n*\n\nフェードアウト()
MID_OP2_#001	背景(Map_Event_M016_02)\nライト(CharaLight_M016, 0, 0, 0)\n\nキャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_ヴァンドレ, ME_IN_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_マロン, YOU_MID_CD, [服装], Surprise, IdleNormal, 0)\nキャラ配置(PID_モーヴ, YOU_MID_BC, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_リュール, 0.1, 0, 0, 0)\nキャラ配置調整(PID_ヴァンドレ, -0.1, 0, 0.1, 30)\nキャラ配置調整(PID_マロン, 0.1, 0, -0.1, 0)\nキャラ配置調整(PID_モーヴ, -0.1, 0, -0.25, -30)\n\nキャラ視線(PID_リュール, PID_マロン, PID_マロン)\nキャラ視線(PID_ヴァンドレ, PID_マロン, PID_マロン)\nキャラ視線(PID_マロン, PID_リュール, PID_リュール)\nキャラ視線(PID_モーヴ, PID_リュール, PID_リュール)\nウェイト(0.5)\n\nキャラカメラ(CharaCam_Side_Left3_Bot, PID_マロン, cam_anim_fix)\nキャラカメラ(CharaCam_Side_Left3_Bot, PID_マロン, cam_anim_zoom_out_fast, 0.8)\n\nキャラモーション再生(PID_マロン, Surprise, EmoSurprise2, 0.3, 0.5)\n\nフェードイン()
MID_OP2_#002	キャラモーション再生(PID_リュール, Normal)\n\nキャラカメラ(CharaCam_ShoulderLong_Left_Bot, PID_マロン, cam_anim_track2_l_normal)
MID_OP2_#003	キャラカメラ(CharaCam_Side_Right2_Mid, PID_マロン, cam_anim_track_l_slow)\n\nキャラ視線(PID_ヴァンドレ, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_モーヴ, PID_マロン, PID_マロン)
MID_OP2_#004	キャラモーション再生(PID_マロン, Sad, EmoThink,, 1)
MID_OP2_#005	キャラモーション再生(PID_リュール, Normal, EmoRelax,, 0.5)\nキャラモーション再生(PID_マロン, Sad, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_normal)
MID_OP2_#006	キャラモーション再生(PID_モーヴ, Normal, EmoTalk,, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal)\n\nキャラ視線(PID_マロン, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_リュール, PID_モーヴ, PID_モーヴ)\n\nキャラカメラ(CharaCam_FrontLong_Right_Top, PID_モーヴ, cam_anim_dolly_r_normal)
MID_OP2_#007	キャラモーション再生(PID_マロン, Angry, EmoAngry,, 0.5)
MID_OP2_#008	キャラモーション再生(PID_リュール, Normal, EmoTalk,, 0.5)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)\nキャラモーション再生(PID_マロン, Angry, IdleNormal)\n\nキャラ視線(PID_モーヴ, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_zoom_out_normal)
MID_OP2_#009	キャラモーション再生(PID_リュール, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Right2_Top, PID_モーヴ, cam_anim_zoom_in_normal)
MID_OP2_#010	キャラモーション再生(PID_ヴァンドレ, Surprise)\n\nキャラ視線(PID_リュール, PID_ヴァンドレ, PID_ヴァンドレ)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_ヴァンドレ, cam_anim_track_l_normal)
MID_OP2_#011	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_u_slow)
MID_OP2_#012	キャラモーション再生(PID_ヴァンドレ, Normal, EmoNod,, 0.5)\n\nキャラ視線(PID_ヴァンドレ, PID_リュール, PID_リュール)
MID_OP2_#013	
MID_OP2_#014	キャラモーション再生(PID_ヴァンドレ, Die)\nキャラモーション再生(PID_マロン, Normal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_zoom_in_normal)
MID_OP2_#015	キャラモーション再生(PID_ヴァンドレ, Normal)\n\nキャラ視線(PID_リュール, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_ヴァンドレ, PID_モーヴ, PID_モーヴ)\n\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track2_r_normal)
MID_OP2_#016	キャラモーション再生(PID_モーヴ, Normal, EmoTalk,, 0.5)
MID_OP2_#017	キャラモーション再生(PID_リュール, Normal, EmoThink,, 0.5)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_normal)
MID_OP2_#018	キャラモーション再生(PID_モーヴ, Normal, EmoDeny,, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_track_l_normal)
MID_OP2_#019	キャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_normal)
MID_OP2_#020	キャラモーション再生(PID_モーヴ, Normal, EmoNod,, 0.5)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_zoom_out_normal)
MID_OP2_#021	キャラモーション再生(PID_リュール, Sad, EmoSad,, 0.5)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_zoom_in_normal)
MID_OP2_#022	キャラモーション再生(PID_モーヴ, Normal, EmoDeny2,, 0.5)\nキャラモーション再生(PID_リュール, Sad, IdleNormal)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_モーヴ, cam_anim_track_r_normal)
MID_OP2_#023	キャラモーション再生(PID_モーヴ, Sad)
MID_OP2_#024	キャラモーション再生(PID_リュール, Normal)\nキャラモーション再生(PID_モーヴ, Sad, IdleNormal)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_リュール, cam_anim_track_r_slow)
MID_OP2_#025	キャラモーション再生(PID_リュール, Sad, EmoTalk,, 0.5)\n\nキャラ視線(PID_マロン, PID_モーヴ, PID_モーヴ)
MID_OP2_#026	キャラモーション再生(PID_モーヴ, Normal, EmoTalk2,, 0.5)\n\nキャラカメラ(CharaCam_Shoulder_Right_Mid, PID_ヴァンドレ, cam_anim_track2_r_normal)
MID_OP2_#027	*\nパペット会話中断()\nウェイト(1)
MID_OP2_#028	キャラモーション再生(PID_モーヴ, Sad, EmoSad,, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_zoom_in_normal)
MID_OP2_#029	キャラモーション再生(PID_リュール, Normal, EmoThink,, 0.5)\nキャラモーション再生(PID_モーヴ, Sad, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_normal)
MID_OP2_#030	キャラモーション再生(PID_モーヴ, Normal)\nキャラモーション再生(PID_リュール, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_モーヴ, cam_anim_track_r_normal)
MID_OP2_#031	キャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_ヴァンドレ, cam_anim_track2_r_normal)
MID_OP2_#032	キャラモーション再生(PID_リュール, Die)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_normal)
MID_OP2_#033	キャラモーション再生(PID_モーヴ, Normal, EmoTalk,, 0.5)\nキャラモーション再生(PID_マロン, Sad)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_モーヴ, cam_anim_track_r_normal)
MID_OP2_#034	キャラモーション再生(PID_モーヴ, Sad)\n\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track2_r_normal)
MID_OP2_#035	
MID_OP2_#036	キャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_モーヴ, Sad, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_normal)
MID_OP2_#037	キャラモーション再生(PID_モーヴ, Normal, EmoDeny2,, 0.5)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_zoom_out_slow)
MID_OP2_#038	*\nパペット会話中断()\nウェイト(1)
MID_OP2_#039	キャラモーション再生(PID_モーヴ, Sad, EmoSad,, 0.8)\n\nキャラカメラ(CharaCam_Shoulder_Right_Mid, PID_ヴァンドレ, cam_anim_track2_r_normal)
MID_OP2_#040	キャラモーション再生(PID_モーヴ, Sad, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Right3_Mid, PID_リュール, cam_anim_zoom_in_normal)
MID_OP2_#041	キャラモーション再生(PID_モーヴ, Normal)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_モーヴ, cam_anim_track_r_slow)
MID_OP2_#042	キャラモーション再生(PID_モーヴ, Sad, EmoDeny2,, 0.5)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#043	
MID_OP2_#044	キャラモーション再生(PID_モーヴ, Sad, EmoTalk,, 0.5)\n\nキャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_ヴァンドレ, cam_anim_track2_r_normal)
MID_OP2_#045	キャラモーション再生(PID_リュール, Sad, EmoRelax,, 0.5)\nキャラモーション再生(PID_モーヴ, Sad, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left3_Top, PID_リュール, cam_anim_zoom_in_normal)
MID_OP2_#046	キャラモーション再生(PID_マロン, Die, EmoSad2,, 0.5)\nキャラモーション再生(PID_リュール, Sad, IdleNormal)\n\nキャラ視線(PID_リュール, PID_マロン, PID_マロン)\nキャラ視線(PID_ヴァンドレ, PID_マロン, PID_マロン)\nキャラ視線(PID_モーヴ, PID_マロン, PID_マロン)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_マロン, cam_anim_pan_u_normal)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#047	キャラモーション再生(PID_リュール, Normal)\nキャラモーション再生(PID_モーヴ, Normal)\n\nキャラカメラ(CharaCam_FrontLong_Right_Top, PID_モーヴ, cam_anim_dolly_r_normal)
MID_OP2_#048	キャラモーション再生(PID_マロン, Sad, EmoAngry,, 0.5)
MID_OP2_#049	キャラモーション再生(PID_マロン, Die)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_マロン, cam_anim_zoom_in_normal)
MID_OP2_#050	キャラモーション再生(PID_モーヴ, Normal, EmoThink,, 0.5)\nキャラモーション再生(PID_マロン, Die, IdleNormal)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_モーヴ, cam_anim_track_r_normal)
MID_OP2_#051	キャラモーション再生(PID_マロン, Normal, EmoRelax,, 0.5)\n\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track2_r_normal)
MID_OP2_#052	*\nパペット会話中断()\nウェイト(0.5)\nキャラモーション待ち(PID_マロン)\n\n
MID_OP2_#053	キャラモーション再生(PID_マロン, Die)\n\nキャラカメラ(CharaCam_Side_Right2_Bot, PID_マロン, cam_anim_zoom_in_slow)
MID_OP2_#054	
MID_OP2_#055	キャラカメラ(CharaCam_Shoulder_Right_Top, PID_リュール, cam_anim_track2_r_normal)
MID_OP2_#056	キャラモーション再生(PID_マロン, Sad, EmoSad,, 0.5)
MID_OP2_#057	キャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_マロン, Sad, IdleNormal)\n\nキャラ視線(PID_マロン, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_リュール, cam_anim_zoom_in_normal)
MID_OP2_#058	キャラモーション再生(PID_マロン, Smile)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_マロン, cam_anim_zoom_in_slow)
MID_OP2_#059	キャラモーション再生(PID_マロン, Normal, EmoProud,, 0.5)
MID_OP2_#060	キャラモーション再生(PID_モーヴ, Normal, EmoTalk,, 0.5)\nキャラモーション再生(PID_マロン, Normal, IdleNormal)\n\nキャラ視線(PID_モーヴ, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_ヴァンドレ, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_マロン, PID_モーヴ, PID_モーヴ)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_zoom_out_normal)
MID_OP2_#061	キャラモーション再生(PID_リュール, Normal, EmoThinkIn,, 0.5)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_normal)
MID_OP2_#062	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track2_r_normal)
MID_OP2_#063	
MID_OP2_#064	キャラモーション再生(PID_モーヴ, Normal, EmoTalk,, 0.5)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_zoom_in_normal)
MID_OP2_#065	キャラモーション再生(PID_リュール, Normal, EmoThinkOut,, 0.5)\nキャラモーション再生(PID_モーヴ, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left3_Mid, PID_リュール, cam_anim_zoom_in_normal)
MID_OP2_#066	キャラモーション再生(PID_モーヴ, Normal, EmoNod,, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_モーヴ, cam_anim_track_r_normal)
MID_OP2_#067	キャラモーション再生(PID_モーヴ, Normal, IdleNormal)\nキャラモーション再生(PID_マロン, Surprise)\n\nキャラ視線(PID_モーヴ, PID_マロン, PID_マロン)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_マロン, cam_anim_zoom_in_slow)
MID_OP2_#068	キャラモーション再生(PID_マロン, Normal)
MID_OP2_#069	キャラモーション再生(PID_モーヴ, Normal, EmoTalk,, 0.5)\n\nキャラカメラ(CharaCam_Side_Left2_Top, PID_モーヴ, cam_anim_pan_r_normal)
MID_OP2_#070	キャラモーション再生(PID_マロン, Sad, EmoDeny,, 0.5)
MID_OP2_#071	キャラカメラ(CharaCam_Front_Center_Top, PID_モーヴ, cam_anim_track_r_normal)\nキャラモーション再生(PID_マロン, Sad, IdleNormal)
MID_OP2_#072	キャラモーション再生(PID_マロン, Die, EmoRelax,, 0.5)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_マロン, cam_anim_zoom_in_slow)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#073	キャラモーション再生(PID_マロン, Sad, EmoSad2,, 1)
MID_OP2_#074	キャラモーション再生(PID_マロン, Sad)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_zoom_in_normal)
MID_OP2_#075	キャラモーション再生(PID_マロン, Angry)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_マロン, cam_anim_pan_l_normal)
MID_OP2_#076	キャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_pan_r_normal)\n\nキャラ視線(PID_リュール, PID_マロン, PID_マロン)\nキャラ視線(PID_ヴァンドレ, PID_マロン, PID_マロン)\nキャラ視線リセット(PID_マロン)
MID_OP2_#077	キャラモーション再生(PID_マロン, Sad, TurnL,, 0)\n\nキャラ回転(PID_マロン, 220, 2)\n\nキャラカメラ(CharaCam_ShoulderLong_Left_Bot, PID_マロン, cam_anim_pan_r_normal)\n\n*\nパペット会話中断()\n\nキャラモーション再生(PID_マロン, Sad, WalkOut,, 0.5)\n\nウェイト(1.5)
MID_OP2_#078	キャラモーション再生(PID_リュール, Normal, EmoRelax,, 0.5)\n\nキャラ視線(PID_リュール, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_ヴァンドレ, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_モーヴ, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_ShoulderLong_Left_Top, PID_モーヴ, cam_anim_pan_l_slow)
MID_OP2_#079	
MID_OP2_#080	キャラカメラ(CharaCam_Side_Right2_Mid, PID_リュール, cam_anim_zoom_in_normal)
MID_OP2_#081	キャラカメラ(CharaCam_Side_Right2_Mid, PID_モーヴ, cam_anim_zoom_in_normal)\n\n*\nサウンドイベント(Env_Evt_Sea_On_End)\nフェードアウト()
MID_OP3_#001	背景(Map_Event_M021_01)\nライト(CharaLight_M021, 0, 0, 0)\n\nキャラ配置(PID_リュール, ME_IN_B, [服装], Angry, IdleNormal, 0)\nキャラ配置(PID_ヴァンドレ, ME_IN_A, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_リュール, -0.2, 0, 0.2, -10)\nキャラ配置調整(PID_ヴァンドレ, -0.3, 0, 0.2, 20)\n\nサウンドイベント(Env_Evt_Wind3_Start)\nサウンドイベント(ENV_Evt_VolumeUp)\n\n一枚絵表示(Tex_Event_Picture_20, picture_zoom_out_center)\nフェードイン(2)\nウェイト(3)\n
MID_OP3_#002	キャラ視線(PID_ヴァンドレ, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_ヴァンドレ, PID_ヴァンドレ)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoThinkLoop)\n\n\n*\nパペット会話中断()\nウェイト(1.5)\n一枚絵非表示()\nフェードアウト()\n\nウェイト(1.5)\n\nキャラカメラ(CharaCam_FrontLong_Left_Top, PID_ヴァンドレ, cam_anim_track2_l_normal)\n\nサウンドイベント(ENV_Evt_VolumeReset)\nフェードイン()
MID_OP3_#003	キャラモーション再生(PID_リュール, Angry, EmoTalk,, 0.5)
MID_OP3_#004	キャラモーション再生(PID_ヴァンドレ, Normal, EmoThinkOut,, 0.5)\nキャラモーション再生(PID_リュール, Angry, IdleNormal)\n\nキャラ視線リセット(PID_リュール)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_l_normal)
MID_OP3_#005	キャラモーション再生(PID_リュール, Die)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_normal)\n\n*\n\nサウンドイベント(Env_Evt_Wind3_End)\nフェードアウト(2)
MID_OP4_#001	背景(Map_Event_M021_02)\nライト(CharaLight_M021, 0, 0, 0)\n\nキャラ配置(PID_リュール, ME_MID_D, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_モーヴ, ME_MID_B, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_マロン, ME_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_セピア, YOU_MID_D, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_グリ, YOU_MID_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_リュール, 0.1, 0, -0.1, 0)\nキャラ配置調整(PID_モーヴ, -0.2, 0, 0.1, 20)\nキャラ配置調整(PID_マロン, 0, 0, 0.05, 10)\nキャラ配置調整(PID_セピア, 0.1, 0, 0, 0)\nキャラ配置調整(PID_グリ, 0, 0, 0.1, -10)\n\nキャラ視線(PID_リュール, PID_セピア, PID_セピア)\nキャラ視線(PID_モーヴ, PID_セピア, PID_セピア)\nキャラ視線(PID_マロン, PID_セピア, PID_セピア)\nキャラ視線(PID_セピア, PID_リュール, PID_リュール)\nキャラ視線(PID_グリ, PID_リュール, PID_リュール)\n\nキャラ表示切替(PID_モーヴ, False)\nキャラ表示切替(PID_マロン, False)\n\nキャラモーション再生(PID_リュール, Angry, RunIn)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_リュール, cam_anim_zoom_out_normal)\n\nウェイト(0.5)\n\nサウンドイベント(Env_Evt_Indoor_Air2_Start)\nフェードイン()\n\n*\nパペット会話中断()\nウェイト(0.5)\nキャラモーション待ち(PID_リュール)\n
MID_OP4_#002	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_セピア, cam_anim_zoom_in_slow)
MID_OP4_#003	キャラモーション再生(PID_セピア, Smile, EmoTalk2,, 0.5)
