MID_OP1_#001	キャラ配置(PID_リュール, ME_IN_B, [服装], Normal, IdleNormal, 10)\nキャラ配置(PID_ヴェイル, ME_IN_D, [服装], Sad, IdleNormal, -10)\nキャラ配置調整(PID_ヴェイル, -0.4, 0, 0)\n\nキャラ配置(PID_ヴァンドレ, ME_IN_A, [服装], Normal, IdleNormal, 35)\nキャラ配置調整(PID_ヴァンドレ, -0.2, 0, 0.3)\n\nキャラ配置(PID_ディアマンド, ME_MID_A, [服装], Normal, IdleNormal, 30)\nキャラ配置調整(PID_ディアマンド, -0.1, 0, 0.2)\n\nキャラ配置(PID_アイビー, ME_MID_B, [服装], Normal, IdleNormal, 15)\n\nキャラ配置(PID_アルフレッド, ME_MID_CD, [服装], Normal, IdleNormal, -10)\nキャラ配置調整(PID_アルフレッド, -0.3, 0, -0.4)\n\nキャラ配置(PID_ミスティラ, ME_MID_D, [服装], Normal, IdleNormal, -25)\n\nキャラ配置(PID_M025_ルミエル, YOU_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ表示切替(PID_M025_ルミエル, False)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_IN_C, [服装], Die, IdleNormal, 334)\nキャラ配置調整(PID_デモ用_視線設定用, 0, -0.7, 0)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ視線(PID_ヴェイル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n背景(Map_Event_M025_01)\nライト(CharaLight_M011, 0, 0, 0)\n\n一枚絵表示(Tex_Event_Picture_24, picture_zoom_out_center)\n章タイトル(CID_M025)\n\nサウンドイベント(Env_Evt_Gradron_RockMountain_Start)\nサウンドイベント(Field_Outdoor)\n\nウェイト(4)\n\n\n\n//キャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_ヴェイル, cam_anim_dolly_r_normal)\n
MID_OP1_#011	キャラ視線(PID_リュール, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラ視線(PID_ヴェイル, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラ視線(PID_アイビー, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラ視線(PID_ディアマンド, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラ視線(PID_アルフレッド, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラ視線(PID_ミスティラ, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラ視線(PID_ヴァンドレ, PID_M025_ルミエル, PID_M025_ルミエル)
MID_OP1_#012	キャラカメラ(CharaCam_Front_Center_Mid, PID_M025_ルミエル, cam_anim_waisttoface)\nキャラ配置調整(PID_リュール, 0, 0, 0, -15)\nキャラ配置調整(PID_ヴェイル, 0, 0, 0, 65)
MID_OP1_#013	キャラカメラ(CharaCam_Side_Left_Mid, PID_ヴェイル, cam_anim_track_l_slow)\nキャラモーション再生(PID_ヴァンドレ, Surprise)\nキャラモーション再生(PID_ディアマンド, Surprise)\nキャラモーション再生(PID_アイビー, Surprise)
MID_OP1_#014	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_M025_ルミエル, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_M025_ルミエル, Smile, EmoJoy,,1)
MID_OP1_#015	*\nキャラモーション再生(PID_M025_ルミエル, Smile, IdleNormal)
MID_OP1_#016	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_slow)\nキャラモーション再生(PID_リュール, Surprise, EmoDeny2,,1)\n\nキャラ配置調整(PID_M025_ルミエル, -0.25, 0, 0)\nキャラ視線(PID_M025_ルミエル, PID_リュール, PID_リュール)\n*\nキャラモーション再生(PID_ヴァンドレ, Sad)\nキャラモーション再生(PID_ディアマンド, Angry)\nキャラモーション再生(PID_アイビー, Normal)
MID_OP1_#017	キャラ表示切替(PID_アルフレッド, False)\nキャラカメラ(CharaCam_Shoulder_Right_Mid, PID_リュール, cam_anim_track_l_normal)\nキャラモーション再生(PID_M025_ルミエル, Smile, EmoTalk,,1)\n*\nキャラ表示切替(PID_アルフレッド, True)\nキャラモーション再生(PID_アルフレッド, Angry)\nキャラモーション再生(PID_リュール, Sad, IdleNormal)\nキャラモーション再生(PID_M025_ルミエル, Smile, IdleNormal)\nキャラ配置調整(PID_M025_ルミエル, -0.25, 0, 0)
MID_OP1_#018	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_ヴェイル, cam_anim_zoom_in_normal)\nキャラモーション再生(PID_ヴェイル, Angry, EmoAngry,,1)\nキャラモーション再生(PID_ミスティラ, Angry)\nキャラ視線(PID_M025_ルミエル, PID_ヴェイル, PID_ヴェイル)\n*\nキャラ視線(PID_ミスティラ, PID_ヴェイル, PID_M025_ルミエル)\nキャラ視線(PID_アルフレッド, PID_ヴェイル, PID_M025_ルミエル)\nキャラモーション再生(PID_ヴェイル, Angry, IdleNormal)
MID_OP1_#019	キャラカメラ(CharaCam_Side_Right2_Mid, PID_M025_ルミエル, cam_anim_track_l_slow)\nキャラモーション再生(PID_M025_ルミエル, Normal, EmoThink)\n\nキャラ配置調整(PID_リュール, 0, 0, 0, 10)\nキャラ視線(PID_リュール, PID_ヴェイル, PID_ヴェイル)\nキャラ視線(PID_アイビー, PID_ヴェイル, PID_M025_ルミエル)\nキャラ視線(PID_ミスティラ, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラ視線(PID_アルフレッド, PID_M025_ルミエル, PID_M025_ルミエル)\n*\nキャラモーション再生(PID_M025_ルミエル, Normal, IdleNormal)
MID_OP1_#020	キャラカメラ(CharaCam_FrontLong_Right_Mid, PID_ヴェイル, cam_anim_dolly_r_normal)\nキャラモーション再生(PID_ヴェイル, Angry, EmoSad2,,1)
MID_OP1_#021	キャラモーション再生(PID_リュール, Sad, EmoTalk,,1)\nキャラ視線(PID_ヴェイル, PID_リュール, PID_リュール)\nキャラ視線(PID_アイビー, PID_リュール, PID_M025_ルミエル)\nキャラ視線(PID_ディアマンド, PID_M025_ルミエル, PID_M025_ルミエル)
MID_OP1_#022	キャラカメラ(CharaCam_Side_Right2_Mid, PID_ヴェイル, cam_anim_pan_r_slow)\nキャラモーション再生(PID_ヴェイル, Angry, EmoDeny,,1)\n\n//キャラ視線(PID_アルフレッド, PID_ヴェイル, PID_M025_ルミエル)\n//キャラ視線(PID_ミスティラ, PID_ヴェイル, PID_M025_ルミエル)
MID_OP1_#023	
MID_OP1_#024	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_slow)
MID_OP1_#025	キャラカメラ(CharaCam_Side_Right2_Mid, PID_ヴェイル, cam_anim_track_l_normal)\nキャラモーション再生(PID_ヴェイル, Sad, EmoSad,,1)
MID_OP1_#026	キャラ視線(PID_ヴァンドレ, PID_ヴェイル, PID_ヴェイル)
MID_OP1_#027	キャラカメラ(CharaCam_Side_Left_Mid, PID_ヴェイル, cam_anim_pan_u_slow)\nキャラモーション再生(PID_ヴェイル, Sad, IdleNormal,,1)
MID_OP1_#028	キャラモーション再生(PID_リュール, Die, EmoSad,,1)\n*\nキャラモーション再生(PID_リュール, Sad, IdleNormal,, 0.3)
MID_OP1_#029	キャラカメラ(CharaCam_Side_Right2_Mid, PID_ヴェイル, cam_anim_track_l_slow)\nキャラ視線(PID_ヴェイル, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラモーション再生(PID_ヴェイル, Angry)
MID_OP1_#029_F	キャラカメラ(CharaCam_Side_Right2_Mid, PID_ヴェイル, cam_anim_track_l_slow)\nキャラ視線(PID_ヴェイル, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラモーション再生(PID_ヴェイル, Angry)
MID_OP1_#030	キャラカメラ(CharaCam_Front_Left_Mid, PID_リュール, cam_anim_dolly_r_normal)\n\nキャラ視線(PID_アルフレッド, PID_リュール, PID_M025_ルミエル)\nキャラ視線リセット(PID_M025_ルミエル)
MID_OP1_#031	キャラカメラ(CharaCam_Side_Right2_Mid, PID_M025_ルミエル, cam_anim_track_r_slow)\nキャラモーション再生(PID_M025_ルミエル, Normal, EmoTalk2,,1)
MID_OP1_#032	キャラモーション再生(PID_M025_ルミエル, Smile)\n\nキャラ配置調整(PID_リュール, 0, 0, 0, -30)\nキャラ視線(PID_リュール, PID_M025_ルミエル, PID_M025_ルミエル)\n\n*\nパペット会話中断()\nウェイト(0.5)\nキャラ視線リセット(PID_M025_ルミエル)\nキャラ回転(PID_M025_ルミエル, 180, 1.5)\nキャラモーション再生(PID_M025_ルミエル, Smile, TurnR,, 0.8)\nウェイト(1.5)\nキャラモーション再生(PID_M025_ルミエル, Smile, WalkOut,,1)\nウェイト(2)\nキャラ表示切替(PID_M025_ルミエル, False)
MID_OP1_#033	キャラカメラ(CharaCam_FrontLong_Left_Top, PID_リュール, cam_anim_dolly_l_normal)\n\n*\nパペット会話中断()\nウェイト(0.8)\nキャラカメラ(CharaCam_Side_Right2_Top, PID_リュール, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_リュール, Serious)\nウェイト(0.8)
MID_OP1_#034	キャラ視線リセット(PID_ヴァンドレ)\n*\nキャラ表示切替(PID_ヴェイル, False)
MID_OP1_#035	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_l_slow)\nキャラモーション再生(PID_ヴァンドレ, Sad, EmoSad2,,1)\nキャラモーション再生(PID_リュール, Angry)\n\n\nキャラ視線(PID_リュール, PID_M025_ルミエル, PID_M025_ルミエル)\n//キャラ視線(PID_ディアマンド, PID_ヴァンドレ, PID_リュール)\nキャラ視線(PID_アイビー, PID_リュール, PID_リュール)\n*\nキャラモーション再生(PID_ヴァンドレ, Sad, IdleNormal,,1)\n
MID_OP1_#036	キャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_r_normal)\nキャラ視線(PID_ヴァンドレ, PID_リュール, PID_リュール)\nキャラ視線(PID_アルフレッド, PID_リュール, PID_リュール)\nキャラ視線(PID_ディアマンド, PID_リュール, PID_ヴァンドレ)
MID_OP1_#037	キャラモーション再生(PID_リュール, Sad, EmoPray,,1)\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_ミスティラ, PID_リュール, PID_リュール)\n*\nキャラモーション再生(PID_リュール, Sad, IdleNormal,,1)\nキャラ視線リセット(PID_リュール)\nキャラ表示切替(PID_リュール, False)
MID_OP1_#038	キャラカメラ(CharaCam_FrontLong_Right_Mid, PID_ミスティラ, cam_anim_track2_r_normal)\nキャラモーション再生(PID_アルフレッド, Sad, EmoSad,,1)
MID_OP1_#039	キャラモーション再生(PID_ミスティラ, Sad)\n\nキャラ視線リセット(PID_ヴァンドレ)\nキャラ視線リセット(PID_アイビー)\nキャラ視線リセット(PID_ディアマンド)\nキャラモーション再生(PID_ヴァンドレ, Normal)\nキャラモーション再生(PID_アイビー, Normal)\n*\nパペット会話中断()\nキャラ表示切替(PID_リュール, True)\nキャラモーション再生(PID_リュール, Die, IdleNormal)\nウェイト(0.8)\nキャラ視線リセット(PID_アルフレッド)\nキャラ視線リセット(PID_ミスティラ)\nキャラ表示切替(PID_リュール, True)\nキャラモーション再生(PID_アルフレッド, Sad, IdleNormal,,1)\nキャラモーション再生(PID_ミスティラ, Sad, IdleNormal,,1)\n
MID_OP1_#040	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_dolly_l_normal)\nキャラモーション再生(PID_リュール, Angry, IdleNormal, 3, 0.5)\n\n*\nパペット会話中断\nウェイト(1)\nフェードアウト()\nウェイト(2)\nキャラカメラ(CharaCam_FrontLong2_Left_Mid, PID_リュール, cam_anim_track_r_slow)\nキャラ配置調整(PID_リュール, -0.2, 0, 1.5)\nキャラモーション再生(PID_リュール, Normal, WalkIn2)\nウェイト(0.2)\nキャラ視線(PID_アルフレッド, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラ視線(PID_ヴァンドレ, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラ視線(PID_ディアマンド, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラ視線(PID_アイビー, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラモーション再生(PID_アルフレッド, Normal)\nフェードイン()\nウェイト(0.5)
MID_OP1_#041	
MID_OP1_#042	キャラモーション再生(PID_リュール, Sad, EmoDeny2,,1)\n\n*\nキャラモーション再生(PID_リュール, Sad, IdleNormal,,1)
MID_OP1_#043	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_リュール, cam_anim_track2_l_normal)\nキャラ配置調整(PID_アイビー, 0.3, 0, 2, -30)\nキャラモーション再生(PID_アイビー, Normal, WalkIn2)\nキャラモーション再生(PID_アイビー, Surprise, EmoDeny2, 2, 1)
MID_OP1_#044	キャラ配置調整(PID_ディアマンド, 0.5, 0, 0, 15)\n*\nキャラモーション再生(PID_アイビー, Surprise, IdleNormal)
MID_OP1_#045	ライト(CharaLight_M011, 0, -20, 0)\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_ヴェイル, cam_anim_zoom_out_slow)\nキャラモーション再生(PID_ディアマンド, Surprise, EmoLook,,1)\nキャラモーション再生(PID_アルフレッド, Surprise)\nキャラモーション再生(PID_ヴァンドレ, Surprise)\nキャラ視線(PID_アルフレッド, PID_ヴェイル, PID_ヴェイル)\nキャラ視線(PID_ヴァンドレ, PID_ヴェイル, PID_ヴェイル)\nキャラ視線(PID_ディアマンド, PID_ヴェイル, PID_ヴェイル)\nキャラ配置調整(PID_リュール, 0, 0, 0, 30)\nキャラ視線(PID_リュール, PID_ヴェイル, PID_ヴェイル)\n*\nキャラモーション再生(PID_ディアマンド, Surprise, IdleNormal,,1)
MID_OP1_#046	ライト(CharaLight_M011, 0, 0, 0)\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_l_slow)\nキャラ視線(PID_ヴァンドレ, PID_リュール, PID_リュール)\n\nキャラ配置調整(PID_デモ用_視線設定用, 0, 0.7, 2)
MID_OP1_#047	キャラモーション再生(PID_リュール, Sad, EmoDeny,,1)\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n*\nフェードアウト()
MID_OP2C_#001	
MID_OP2C_#002	
MID_OP2C_#003	
MID_OP2C_#004	
MID_OP2C_#005	
MID_OP2C_#006	
MID_OP2C_#007	
MID_OP2C_#008	
MID_OP2C_#009	
MID_OP2C_#010	
MID_OP2C_#011	
MID_OP2C_#012	
MID_OP2C_#013	
MID_OP2C_#014	
MID_OP2C_#015	
MID_OP2C_#016	
MID_OP2C_#017	
MID_OP2C_#018	
MID_OP2C_#019	
MID_OP2C_#019_2	
MID_OP2C_#020	
MID_OP2C_#021	
MID_OP2C_#022	
MID_OP2C_#023	
MID_OP2C_#024	
MID_OP2C_#025	
MID_OP2C_#026	
MID_OP2C_#027	
MID_OP2_#001	キャラ配置(PID_リュール, ME_MID_BC, [服装], Normal, IdleNormal, 10)\nキャラ配置(PID_ヴェイル, ME_MID_CD, [服装], Angry, IdleNormal, -10)\n\nキャラ配置(PID_M025_ルミエル, YOU_MID_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置(PID_ヴァンドレ, YOU_IN_C, [服装], Die, IdleNormal, 334)\nキャラ配置調整(PID_ヴァンドレ, 0, -0.6, -0.6)\nキャラ表示切替(PID_ヴァンドレ, False)\n\n背景(Map_Event_M025_02)\nライト(CharaLight_M025, 0, -20, 0)\n\nキャラ視線(PID_リュール, PID_ヴェイル, PID_ヴェイル)\n\nキャラモーション再生(PID_リュール, Angry, RunIn)\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_ヴェイル, cam_anim_track_r_slow)\nフェードイン()\n\nキャラモーション再生(PID_リュール, Angry, IdleNormal, 2, 1)\nキャラモーション再生(PID_ヴェイル, Surprise, IdleNormal, 1, 0.5)\n
MID_OP2_#002	キャラ回転(PID_ヴェイル, -30, 0.5)\nキャラ視線(PID_ヴェイル, PID_リュール, PID_リュール)\nキャラモーション再生(PID_ヴェイル, Surprise)
MID_OP2_#002_F	//キャラ回転(PID_ヴェイル, -30, 0.5)\nキャラ視線(PID_ヴェイル, PID_リュール, PID_リュール)\nキャラモーション再生(PID_ヴェイル, Surprise)
MID_OP2_#003	
MID_OP2_#004	ライト(CharaLight_M025, 0, 0, 0)\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_リュール, cam_anim_track_l_normal)\nキャラモーション再生(PID_リュール, Relax, EmoTalk,,1)\n*\nキャラモーション再生(PID_リュール, Relax, IdleNormal,,1)
MID_OP2_#005	キャラモーション再生(PID_ヴェイル, Surprise, EmoSad2,,1)\n*\nキャラモーション再生(PID_ヴェイル, Sad, IdleNormal,,1)\nキャラ配置調整(PID_ヴェイル, 0, 0, 0, 30)
MID_OP2_#006	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_normal)
MID_OP2_#007	キャラカメラ(CharaCam_FrontLong2_Right_Mid, PID_M025_ルミエル, cam_anim_track2_r_normal)\nキャラモーション再生(PID_M025_ルミエル, Smile, EmoTalk,,1)\n\nキャラ視線(PID_リュール, PID_M025_ルミエル, PID_M025_ルミエル)\nキャラ視線(PID_ヴェイル, PID_M025_ルミエル, PID_M025_ルミエル)\n*\nキャラモーション再生(PID_M025_ルミエル, Smile, IdleNormal)
MID_OP2_#008	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_normal)\nキャラモーション再生(PID_リュール, Sad, EmoPray,,1)
MID_OP2_#009	キャラモーション再生(PID_リュール, Angry)\n*\nキャラモーション再生(PID_リュール, Angry, IdleNormal)
MID_OP2_#010	キャラカメラ(CharaCam_Side_Right2_Mid, PID_M025_ルミエル, cam_anim_track_l_normal)\nキャラモーション再生(PID_M025_ルミエル, Sad, EmoPray,,1)\n*\nキャラモーション再生(PID_M025_ルミエル, Sad, IdleNormal)
MID_OP2_#011	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_track_l_normal)\nキャラモーション再生(PID_リュール, Sad, EmoSad,,1)\n*\nキャラモーション再生(PID_リュール, Sad, IdleNormal)
MID_OP2_#012	キャラカメラ(CharaCam_Side_Right2_Top, PID_M025_ルミエル, cam_anim_track_l_slow)\nキャラ視線(PID_M025_ルミエル, PID_ヴァンドレ, PID_ヴァンドレ)
MID_OP2_#013	キャラモーション再生(PID_M025_ルミエル, Sad, EmoSad,,1)
MID_OP2_#014	シーンカメラ(SceneCam_FrontYou_Center_Mid, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_M025_ルミエル, Sad, EmoDeny,,1)
MID_OP2_#015	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_M025_ルミエル, cam_anim_dolly_l_normal)\nキャラ視線(PID_M025_ルミエル, PID_リュール, PID_リュール)\nキャラモーション再生(PID_M025_ルミエル, Normal, IdleNormal,,1)
MID_OP2_#016	キャラカメラ(CharaCam_Side_Right_Mid, PID_M025_ルミエル, cam_anim_pan_r_normal)\nキャラモーション再生(PID_M025_ルミエル, Relax, EmoTalk,,1)
MID_OP2_#017	
MID_OP2_#018	シーンカメラ(SceneCam_FrontYou_Center_Mid, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_M025_ルミエル, Relax, EmoTalk2,,1)\n*\nキャラモーション再生(PID_M025_ルミエル, Relax, IdleNormal)
MID_OP2_#019	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_リュール, Sad)
MID_OP2_#020	キャラカメラ(CharaCam_Side_Right2_Mid, PID_M025_ルミエル, cam_anim_track_r_slow)\nキャラモーション再生(PID_M025_ルミエル, Sad, EmoPray,,1)\n\nキャラ視線(PID_ヴェイル, PID_リュール, PID_M025_ルミエル)\n*\nキャラモーション再生(PID_M025_ルミエル, Sad, IdleNormal)
MID_OP2_#021	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_dolly_l_normal)\nキャラモーション再生(PID_リュール, Normal, EmoDeny2,,1)
MID_OP2_#022	キャラカメラ(CharaCam_Side_Right2_Mid, PID_リュール, cam_anim_track_l_slow)
MID_OP2_#023	キャラモーション再生(PID_リュール, Normal, EmoPray,,1)
MID_OP2_#024	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_リュール, cam_anim_track2_l_normal)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,,1)
MID_OP2_#025	キャラカメラ(CharaCam_Side_Left2_Mid, PID_M025_ルミエル, cam_anim_track_l_slow)\nキャラモーション再生(PID_M025_ルミエル, Angry, EmoJoy,,1)\nキャラモーション再生(PID_M025_ルミエル, Normal, IdleNormal, 2.5, 1)\n*\nキャラモーション再生(PID_M025_ルミエル, Smile, IdleNormal)\nキャラ表示切替(PID_ヴェイル, False)
MID_OP2_#026	キャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_r_slow)\nキャラモーション再生(PID_リュール, Normal, EmoNod,,1)\nキャラ視線(PID_リュール, PID_ヴァンドレ, PID_ヴァンドレ)
MID_OP2_#027	キャラモーション再生(PID_リュール, Normal, IdleNormal,,1)\n*\nキャラ表示切替(PID_ヴェイル, True)\nキャラモーション再生(PID_ヴェイル, Sad)
MID_OP2_#028	シーンカメラ(SceneCam_FrontYou_Center_Mid, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_M025_ルミエル, Smile, EmoTalk2,,1)\n\nキャラ配置調整(PID_リュール, 0, 0, 0, -10)\n*\nキャラモーション再生(PID_M025_ルミエル, Sad, IdleNormal)
MID_OP2_#029	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_fix)\nキャラモーション再生(PID_リュール, Sad, EmoDeny2,,1)
MID_OP2_#030	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_リュール, Angry, IdleNormal, 1, 1)\nキャラ視線(PID_リュール, PID_M025_ルミエル, PID_ヴァンドレ)
MID_OP2_#031	キャラカメラ(CharaCam_Side_Right_Mid, PID_リュール, cam_anim_pan_r_normal)\nキャラモーション再生(PID_リュール, Angry, EmoJoy)\n*\nキャラモーション再生(PID_リュール, Angry, IdleNormal)
MID_OP2_#032	キャラカメラ(CharaCam_Side_Left_Mid, PID_M025_ルミエル, cam_anim_pan_l_normal)\nキャラモーション再生(PID_M025_ルミエル, Sad, EmoSad,,1)
MID_OP2_#033	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_M025_ルミエル, cam_anim_track2_r_normal)\nキャラモーション再生(PID_M025_ルミエル, Sad, EmoTalk2,,1)
MID_OP2_#034	キャラカメラ(CharaCam_Side_Left2_Mid, PID_M025_ルミエル, cam_anim_track_l_slow)\nキャラモーション再生(PID_M025_ルミエル, Angry, IdleNormal,,1)\n\nキャラ視線(PID_ヴェイル, PID_リュール, PID_リュール)\n*\nキャラ配置調整(PID_M025_ルミエル, 0, 0, 1)
MID_OP2_#035	シーンカメラ(SceneCam_FrontMe_Center_Mid, cam_anim_zoom_in_normal)
MID_OP2_#036	ライト(CharaLight_M025, 0, -20, 0)\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_ヴェイル, cam_anim_pan_u_slow)\nキャラ回転(PID_ヴェイル, -40, 0.5)\nキャラモーション再生(PID_ヴェイル, Sad, EmoSad2,,1)\nキャラ視線(PID_リュール, PID_ヴェイル, PID_ヴェイル)
MID_OP2_#037	キャラ回転(PID_リュール, 30, 0.5)\nキャラモーション再生(PID_リュール, Relax, EmoTalk2,,1)
MID_OP2_#038	ライト(CharaLight_M025, 0, 0, 0)\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_normal)\nキャラモーション再生(PID_リュール, Normal, EmoPray,,1)
