MID_OP1_#001	キャラ配置(GID_マルス, ME_IN_BC, [服装], Normal, IdleNormal, 15)\nキャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal, 345)\nキャラ配置(PID_アイビー, YOU_MID_BC [服装], Normal, IdleNormal, 0)\n\nキャラ表示切替(PID_アイビー,False)\n\nキャラ配置調整(GID_マルス, 0, 0, -0.1)\n\n背景(Map_Event_S014_01)\nライト(CharaLight_S014, 0, 0, 0)\n\n章タイトル(CID_S014)\n\nサウンドイベント(BGM_Evt_Ring)\n\nウェイト(2)\nフェードアウト()\n\nキャラカメラ(CharaCam_Side_Left2_Mid, GID_マルス, cam_anim_track_r_slow)\n\nキャラモーション再生(GID_マルス, Smile, EmoLook)\n\nフェードイン()
MID_ED1_#001	キャラ配置(PID_リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(GID_マルス, YOU_IN_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_リュール, 0, 0, 0)\nキャラ配置調整(GID_マルス,0, 0, 0)\n\n背景(Map_Event_S014_01)\nライト(CharaLight_S014, 0, 0, 0)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_zoom_in_slow)\nキャラモーション再生(GID_マルス, Smile, EmoPray, 2.0, 0.5)\nキャラモーション再生(PID_リュール, Smile)\n\nキャラ視線(GID_マルス, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, GID_マルス, GID_マルス)\n\nサウンドイベント(BGM_Evt_Brave)\nフェードイン()
MID_ED1_#002	キャラカメラ(CharaCam_SideLong_Right_Mid, GID_マルス, cam_anim_track_l_slow, 1.0)\n\nウェイト(1)
MID_ED1_#003	キャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(GID_マルス, Smile, EmoTalk)\n\nキャラカメラ(CharaCam_Shoulder_Left_Top, GID_マルス, cam_anim_zoom_in_slow)
MID_ED1_#004	キャラモーション再生(PID_リュール, Surprise, EmoTalk, 2.0 ,0.5)
MID_ED1_#005	キャラモーション再生(PID_リュール, Normal)\nキャラモーション再生(GID_マルス, Smile, EmoJoy, 3.0, 0.5)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, GID_マルス, cam_anim_track_l_slow)
MID_ED1_#006	キャラモーション再生(GID_マルス, Normal )\n\nウェイト(0.5)
MID_ED1_#007	キャラモーション再生(GID_マルス, Die, EmoNod, 0.3, 0.5)\n\nウェイト(0.5)
MID_ED1_#008	キャラモーション再生(GID_マルス, Smile, EmoRelax, 0, 0.5)
MID_ED1_#009	キャラモーション再生(PID_リュール, Smile, EmoNod)\n\nキャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_track_r_slow)
MID_ED1_#010	キャラモーション再生(PID_リュール, Die, EmoPray, 6.0, 0.5)
MID_ED1_#011	キャラモーション再生(GID_マルス, Smile, EmoTalk)\nキャラモーション再生(PID_リュール, Surprise)\n\nキャラカメラ(CharaCam_Side_Right_Mid, GID_マルス, cam_anim_track_l_slow)\nキャラカメラ(CharaCam_Front_Center_Mid,PID_リュール, cam_anim_zoom_out_slow, 3)
MID_ED1_#012	キャラモーション再生(PID_リュール, Smile, EmoRelax, 3.0, 0.5)\nウェイト(3)
MID_ED1_#013	ウェイト(1)
MID_ED1_#014	キャラモーション再生(GID_マルス, Smile, EmoJoy)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, GID_マルス, cam_anim_track_l_slow)\n\n*\nフェードアウト()
MID_LC1_#001	キャラ配置(PID_リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(GID_マルス, YOU_IN_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_リュール, 0, 0, 0)\nキャラ配置調整(GID_マルス,0, 0, 0)\n\n背景(Map_Event_S014_01)\nライト(CharaLight_S014, 0, 0, 0)\n\nキャラ配置調整(PID_リュール, 0.4, 0.0, -0.2)\n\nキャラモーション再生(GID_マルス, Smile, EmoJoy, 1.0, 1.0)\nキャラ視線(GID_マルス, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, GID_マルス, cam_anim_track_l_normal)\n\n*\nパペット会話中断()\n白フェードイン(1.0)\nウェイト(1.3)\nテロップエフェクト表示(LevelCap)\nウェイト(0.8)\nフェードアウト()
