MID_OP1_#001	キャラ配置(PID_S002_蛮族_お頭, ME_IN_B, [服装], Normal, IdleNormal, 15)\nキャラ配置(PID_S002_蛮族_アクスアーマー_中央, YOU_IN_AB, [服装], Normal, IdleNormal, -30)\nキャラ配置(PID_S002_蛮族_モンク_中央, YOU_IN_BC, [服装], Normal, IdleNormal, 10)\n\nキャラ配置調整(PID_S002_蛮族_モンク_中央, 0, 0, 0)\nキャラ配置調整(PID_S002_蛮族_アクスアーマー_中央, 0, 0, 0.25)\n\n背景(Map_Event_S002_01)\nライト(CharaLight_S002, 0, 0, 0)\n\n章タイトル(CID_S002)\n\nウェイト(2)\nフェードアウト()\n\nキャラ視線(PID_S002_蛮族_モンク_中央, PID_S002_蛮族_お頭, PID_S002_蛮族_お頭)\nキャラ視線(PID_S002_蛮族_お頭, PID_S002_蛮族_モンク_中央, PID_S002_蛮族_モンク_中央)\n\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_S002_蛮族_お頭, StandBy, EmoAngry)\nキャラモーション再生(PID_S002_蛮族_モンク_中央, Pain, EmoTired)\n\nキャラ表示切替(PID_S002_蛮族_アクスアーマー_中央, False)\n\nフェードイン()
MID_ED1_#002	キャラモーション再生(PID_リュール, Angry, EmoJoy, 0.5, 0.5)\n\n*\nフェードアウト()
MID_ED2_#001	キャラ配置(PID_リュール, ME_IN_B, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_アンナ, YOU_IN_B, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S002_01)\nライト(CharaLight_S002, 0, 0, 0)\n\nキャラ視線(PID_アンナ, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_アンナ, PID_アンナ)\n\nキャラカメラ(CharaCam_Shoulder_Right_Top, PID_リュール, cam_anim_track_r_slow)\nキャラモーション再生(PID_アンナ, Smile, EmoTalk2)\n\nサウンドイベント(BGM_Evt_Brave)\nフェードイン()
MID_ED2_#002	キャラモーション再生(PID_リュール, Normal, EmoTalk)\n\nキャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_track_r_slow)
MID_ED2_#003	キャラモーション再生(PID_リュール, Sad )
MID_ED2_#004	キャラモーション再生(PID_アンナ, Smile, EmoProud)\n\nキャラカメラ(CharaCam_Side_Right_Mid, PID_アンナ, cam_anim_track_l_slow)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_アンナ)
MID_ED2_#005	キャラモーション再生(PID_アンナ, Sad, EmoSad, 1, 0.5)
MID_ED2_#006	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_fix)
MID_ED2_#007	キャラモーション再生(PID_アンナ, Smile, EmoTalk, 2, 0.5)\n\nキャラカメラ(CharaCam_Shoulder_Right_Top, PID_リュール, cam_anim_zoom_in_normal)
MID_ED2_#008	キャラモーション再生(PID_リュール, StandBy, EmoNod, 0.5, 0.5)
MID_ED2_#009	キャラモーション再生(PID_リュール, Smile, EmoJoy)\n\nキャラカメラ(CharaCam_Front_Center_Bot, PID_リュール, cam_anim_zoom_in_normal)
MID_ED2_#010	キャラモーション再生(PID_アンナ, Surprise, EmoSurprise)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_アンナ, cam_anim_zoom_in_fast, 0.2)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_アンナ)
MID_ED2_#011	キャラモーション再生(PID_アンナ, Smile, EmoProud, 0.5, 2)\n*\nフェードアウト()
MID_ED3_#001	キャラ配置(PID_リュール, ME_IN_B, [服装], Normal, IdleNormal, 15)\n\n背景(Map_Event_S002_01)\nライト(CharaLight_S002, 0, 0, 0)\n\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow) \nキャラモーション再生(PID_リュール, Sad, EmoSad2)\n\nフェードイン()
MID_ED3_#002	キャラモーション再生(PID_リュール, Sad, EmoThink, 0.1 ,0.5)\n\nライト(CharaLight_S002, 0, -20, 0)\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_r_slow)
MID_ED3_#003	キャラモーション再生(PID_リュール, Sad, EmoDeny2, 0.5 ,0.5)\n\n*\nフェードアウト()
