MID_OP1_#001	キャラ配置(PID_セピア, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP2_#007	キャラ視線(PID_E002_エル, PID_E002_イル, PID_E002_イル)\n\nキャラモーション再生(PID_E002_エル, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_E002_イル, Serious, EmoThinkIn,0, 0.5)\nキャラモーション再生(PID_E002_イル, Shy, EmoThinkLoop, 1.5, 0.5)
MID_OP2_#008	キャラ視線(PID_E002_イル, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_E002_イル, Shy, EmoThinkOut,0, 0.5)
MID_OP2_#009	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E002_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Surprise, EmoTalk2,0, 0.5)
MID_OP2_#010	キャラカメラ(CharaCam_Side_Right_Mid, PID_E002_エル, cam_anim_track_l_normal)\n\nキャラモーション再生(PID_E002_イル, Normal, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_リュール, Surprise, IdleNormal,0,1)
MID_OP2_#011	キャラモーション再生(PID_E002_イル, Sad)
MID_OP2_#012	キャラモーション再生(PID_E002_イル, Sad, EmoSad2,0, 0.5)
MID_OP2_#013	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_リュール, Normal, EmoTalk,0, 0.5)
MID_OP2_#014	キャラモーション再生(PID_E002_エル, Die, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)
MID_OP2_#015	キャラモーション再生(PID_E002_エル, Normal)
MID_OP2_#016	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_エル, cam_anim_track_l_slow)\n\nキャラ視線(PID_E002_エル, PID_E002_イル, PID_E002_イル)\nキャラ視線(PID_E002_イル, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_E002_エル, Angry, EmoThink,0, 0.5)
MID_OP2_#017	キャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\nキャラモーション再生(PID_E002_イル, Normal)
MID_OP2_#018	キャラモーション再生(PID_E002_エル, Angry, IdleNormal,0,1)\nキャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E002_エル, cam_anim_track_l_slow)\n\nキャラ回転(PID_E002_エル, -180,2, 0.5)\n\nキャラ視線リセット(PID_E002_エル)\nキャラ視線リセット(PID_E002_イル)\n\nキャラモーション再生(PID_E002_エル, Normal, TurnL, 0.5,1)\nキャラモーション再生(PID_E002_イル, Normal, EmoLook,0, 0.5)\n\n*\nキャラモーション待ち(PID_E002_イル)
MID_OP2_#019	キャラ回転(PID_E002_イル, 180, 1.5,0)\n\nキャラモーション再生(PID_E002_イル, Smile, TurnR,0,1)\nキャラモーション再生(PID_E002_エル, Smile)
MID_OP2_#020	
MID_OP2_#021	キャラカメラ(CharaCam_Front_Center_Top, PID_リュール, cam_anim_zoom_in_slow)\n\nキャラ削除(PID_E002_エル)\nキャラ削除(PID_E002_イル)\n\nキャラモーション再生(PID_リュール, Surprise, IdleNormal, 0.5, 0.5)\n\nウェイト(1)\n*\nパペット会話中断()
MID_OP2_#022	キャラ配置(PID_E002_セレスティア, YOU_IN_C, [服装], Normal, IdleNormal,0)\nキャラモーション再生(PID_E002_セレスティア, Smile, RunIn)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E002_セレスティア, cam_anim_waisttoface, 0.5)\n\nウェイト(0.5)\nキャラ削除(PID_リュール)\n\nキャラ配置(PID_E002_イル, ME_IN_BC, [服装], Smile, IdleNormal,0)\nキャラ配置(PID_E002_エル, ME_IN_CD, [服装], Die, IdleNormal,0)\n\nキャラ視線(PID_E002_エル, PID_E002_セレスティア, PID_E002_セレスティア)\nキャラ視線(PID_E002_イル, PID_E002_セレスティア, PID_E002_セレスティア)\n\nサウンドイベント(Env_Evt_Wind3_End)\n*\nウェイト(1)
MID_OP2_#023	キャラ配置(PID_リュール, ME_OUT_C, [服装], Surprise, IdleNormal, 0)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E002_エル, Smile, EmoTalk2,0, 0.5)
MID_OP2_#024	キャラモーション再生(PID_E002_セレスティア, Smile, EmoRelax,0, 0.5)\nキャラモーション再生(PID_E002_エル, Normal, IdleNormal,0,1)
MID_OP2_#025	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_E002_セレスティア, PID_リュール, PID_リュール)
MID_OP2_#026	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_セレスティア, cam_anim_zoom_in_fast)\n\nキャラモーション再生(PID_E002_セレスティア, Surprise, EmoSurprise,0, 0.5)
MID_OP2_#027	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_セレスティア, cam_anim_zoom_in_normal, 1.5)\n\nキャラモーション再生(PID_リュール, Sad, EmoDeny,0,0.5)\nキャラモーション再生(PID_E002_セレスティア, Smile, RunOut, 1.5,0.5)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_リュール)\nフェードアウト()\n\nキャラアニメーター切替(PID_E002_セレスティア, Unit/Anim/Demo/AOC_Demo_c051)
MID_OP2_#028	キャラモーション再生(PID_E002_セレスティア, Smile, EmoTired,0,0)\nキャラ配置調整(PID_リュール,0,0, 1.3)\n\nキャラ削除(PID_E002_エル)\nキャラ削除(PID_E002_イル)\n\nキャラ配置(PID_E002_イル, ME_MID_BC, [服装], Smile, IdleNormal, 15)\nキャラ配置(PID_E002_エル, ME_MID_CD, [服装], Die, IdleNormal, -15)\n\nキャラ配置調整(PID_E002_イル, -0.2 ,0,0)\nキャラ配置調整(PID_E002_エル, 0.2,0,0)\n\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E002_セレスティア, cam_anim_zoom_out_slow)\nフェードイン()\n\nキャラ視線(PID_E002_エル, PID_E002_セレスティア, PID_E002_セレスティア)\nキャラ視線(PID_E002_イル, PID_E002_セレスティア, PID_E002_セレスティア)\nキャラ視線(PID_リュール, PID_E002_セレスティア, PID_E002_セレスティア)\n\nキャラモーション再生(PID_E002_イル, Surprise)\nキャラモーション再生(PID_E002_エル, Surprise)\nキャラモーション再生(PID_リュール,  Surprise, EmoSurprise)
MID_OP2_#029	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E002_セレスティア, cam_anim_zoom_out_normal)\n\nキャラモーション再生(PID_E002_セレスティア, Shy, EmoDeny2, 1.5,1)
MID_OP2_#030	キャラモーション再生(PID_E002_セレスティア, Relax, EmoNod,0, 1.0)\nキャラ配置調整(PID_E002_イル,0,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_OP2_#031	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow, 0.5)\n\nキャラモーション再生(PID_E002_イル, Sad, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_E002_エル, Sad)\nキャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_E002_セレスティア, Surprise, IdleNormal,0,1)\n\nキャラ視線(PID_E002_セレスティア, PID_E002_イル, PID_E002_イル)
MID_OP2_#032	キャラモーション再生(PID_リュール, Sad, EmoRelax,0, 0.5)\nキャラモーション再生(PID_E002_イル, Sad, IdleNormal,0,1)\n\nキャラ視線(PID_E002_セレスティア, PID_リュール, PID_リュール)
MID_OP2_#033	キャラカメラ(CharaCam_Side_Right_Mid, PID_E002_セレスティア, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_リュール, Sad, IdleNormal,0,1)\n\nキャラ配置調整(PID_E002_イル,0,0, -0.2)\nキャラ配置調整(PID_E002_エル, 0.1,0, 0.3)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#034	キャラカメラ(CharaCam_FrontLong_Center_Bot, PID_リュール, cam_anim_zoom_out_slow)\n\nキャラ表示切替(PID_E002_セレスティア,False)\nキャラアニメーター切替(PID_E002_セレスティア, Unit/Anim/Demo/AOC_Demo_c553b)\nキャラ視線(PID_E002_セレスティア, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_E002_エル, Sad, EmoTalk,0, 0.5)
MID_OP2_#035	
MID_OP2_#036	キャラモーション再生(PID_E002_イル, Sad, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E002_エル, Sad, IdleNormal,0,1)\n\nキャラ配置調整(PID_デモ用_視線設定用,0, -2, -2.0)
MID_OP2_#037	キャラ表示切替(PID_E002_セレスティア,True)\nキャラカメラ(CharaCam_Side_Right2_Bot, PID_E002_セレスティア, cam_anim_track_l_slow)\n*\nパペット会話中断()\nウェイト(0.5)
MID_OP2_#038	キャラ視線(PID_E002_セレスティア, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラモーション再生(PID_E002_セレスティア, Sad, EmoSad,0, 0.5)
MID_OP2_#039	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E002_セレスティア, Serious)\n*\nパペット会話中断()\nウェイト(2)
MID_OP2_#040	
MID_OP2_#041	キャラモーション再生(PID_E002_エル, Sad, EmoRelax,0, 0.5)
MID_OP2_#042	ウェイト(0.5)\nキャラモーション再生(PID_E002_セレスティア, Sad)\n\nキャラ視線(PID_E002_セレスティア, PID_E002_エル, PID_E002_エル)
MID_OP2_#043	キャラモーション再生(PID_E002_セレスティア, Serious, EmoDeny2,0, 0.5)
MID_OP2_#044	キャラカメラ(CharaCam_Front_Center_Mid, PID_E002_セレスティア, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_E002_セレスティア, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E002_セレスティア, Smile, EmoRelax,0,1)
MID_OP2_#045	キャラモーション再生(PID_E002_セレスティア, Shy)
MID_OP2_#046	キャラモーション再生(PID_E002_セレスティア, Smile)\n\nキャラ配置調整(PID_リュール,0,0, -0.2)\n\n*\nウェイト(1)
MID_OP2_#047	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E002_エル, Shy)\nキャラモーション再生(PID_E002_イル, Shy)\nキャラモーション再生(PID_リュール, Smile, EmoRelax,0, 0.5)
MID_OP2_#048	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_セレスティア, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E002_セレスティア, Smile, EmoThink,0, 0.5)\nキャラモーション再生(PID_リュール, Smile, IdleNormal)
MID_OP2_#049	
MID_OP2_#050	キャラカメラ(CharaCam_Side_Left2_Top, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_E002_エル, Normal)\nキャラモーション再生(PID_E002_イル, Normal)\n\nキャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E002_イル, PID_リュール, PID_リュール)\n\nウェイト(1)
MID_OP2_#051	キャラカメラ(CharaCam_Side_Right_Mid, PID_E002_セレスティア, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E002_セレスティア, Smile, EmoDeny2,0, 0.5)
MID_OP2_#052	キャラモーション再生(PID_E002_セレスティア, Smile, EmoProud,0, 0.5)
MID_OP2_#053	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\nウェイト(1.5)
MID_OP2_#054	キャラ視線(PID_E002_エル ,PID_E002_セレスティア, PID_E002_セレスティア)\nキャラ視線(PID_E002_イル ,PID_E002_セレスティア, PID_E002_セレスティア)\nキャラ視線(PID_リュール ,PID_E002_セレスティア, PID_E002_セレスティア)\n\nキャラモーション再生(PID_E002_エル, Normal, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_リュール, Normal)
MID_OP2_#055	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow) \n\nキャラモーション再生(PID_E002_セレスティア, Angry, EmoRelax,0, 0.5)\nキャラモーション再生(PID_E002_エル, Normal, IdleNormal,0,1)
MID_OP2_#056	キャラモーション再生(PID_E002_エル, Surprise, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_E002_セレスティア, Angry, IdleNormal,0,1)
MID_OP2_#057	キャラカメラ(CharaCam_FrontLong_Center_Bot, PID_E002_セレスティア, cam_anim_zoom_in_slow)\nキャラ表示切替(PID_リュール, False)\n\nキャラ配置調整(PID_E002_イル, -0.25,0,0)\nキャラ配置調整(PID_リュール, -0.05,0,0)
MID_OP2_#058	キャラモーション再生(PID_E002_セレスティア, Serious, EmoSad,0, 0.5)\n\nキャラ視線(PID_E002_セレスティア, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_OP2_#059	キャラ視線(PID_E002_セレスティア, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_E002_セレスティア, Angry)\nキャラモーション再生(PID_リュール, Angry)\nキャラモーション再生(PID_E002_エル, Angry)
MID_OP2_#060	キャラカメラ(CharaCam_Side_Left2_Bot, PID_E002_イル, cam_anim_track_r_slow)\nキャラ表示切替(PID_リュール, True)\n\nキャラモーション再生(PID_E002_イル, Angry, EmoThink,0, 0.5)\nキャラモーション再生(PID_E002_セレスティア, Angry, IdleNormal,0,1)\n\nキャラ視線リセット(PID_E002_エル)
MID_OP2_#061	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E002_セレスティア, cam_anim_track2_l_normal)\nキャラモーション再生(PID_E002_セレスティア, Angry, EmoTalk2,0, 0.5)\n\nキャラ視線リセット(PID_E002_イル)\nキャラモーション再生(PID_E002_イル, Angry, IdleNormal,0,1)
MID_OP2_#062	
MID_OP2_#063	キャラモーション再生(PID_E002_エル, Angry, EmoNod,0, 0.5)\nキャラモーション再生(PID_E002_セレスティア, Angry, IdleNormal,0,1)
MID_OP2_#064	キャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_r_slow, 1.5)\n\nキャラ回転(PID_E002_エル,15, 0.5, 0.15)\nキャラモーション再生(PID_E002_エル, Angry, WalkOut,0, 0.5)\nキャラ回転(PID_E002_イル, -15, 0.5, 0.15)\nキャラモーション再生(PID_E002_イル, Angry, WalkOut,0, 0.5)\n\nウェイト(1.5)\nキャラモーション再生(PID_リュール, Sad, EmoPray, 1.5, 0.5)\nキャラ視線リセット(PID_E002_イル)\n\n*\n\nキャラモーション待ち(PID_E002_エル)\nフェードアウト()
MID_OP3_#001	キャラ配置(PID_E002_Hide, ME_IN_B, [服装], Angry, IdleNormal, 0)\nキャラ配置(PID_E002_Boss, YOU_IN_B, [服装], Serious, IdleNormal, -90)\n\nキャラ配置(PID_E002_異形兵_ソードアーマー, YOU_MID_AB, [服装], Serious, IdleNormal, 0)\nキャラ配置調整(PID_E002_異形兵_ソードアーマー, -0.25,0,1)\nキャラ配置(PID_E002_異形兵_アクスアーマー, YOU_MID_BC, [服装], Serious, IdleNormal, 0)\nキャラ配置調整(PID_E002_異形兵_アクスアーマー, 0.25,0,1)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_IN_D, [服装], Serious, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用, -3, -0.5,0)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\n背景(Map_Event_M005_03)\nライト(CharaLight_E002, 0, 0, 0)\n\nキャラ視線(PID_E002_Hide, PID_E002_Boss, PID_E002_Boss)\n\nキャラモーション再生(PID_E002_Hide, Angry, EmoTalk,0, 0.5)\n\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E002_Boss, cam_anim_track_l_slow)\n\nサウンドイベント(Field_Castle)\nフェードイン()
MID_OP3_#002	キャラ視線(PID_E002_Boss, PID_E002_Hide, PID_E002_Hide)\nキャラモーション再生(PID_E002_Boss, Angry, EmoSad,0,1)\nキャラモーション再生(PID_E002_Hide, Angry, IdleNormal,0,1)
MID_OP3_#003	キャラモーション再生(PID_E002_Hide, Angry, EmoSurprise2,0, 0.5)
MID_OP3_#004	キャラカメラ(CharaCam_Side_Right_Mid, PID_E002_Boss, cam_anim_pan_r_slow)\n\nキャラ回転(PID_E002_Boss,90,1,0)\nキャラモーション再生(PID_E002_Boss, Pain, TurnR,0, 0.5)
MID_OP3_#005	キャラ配置調整(PID_E002_Hide,0,0,0.5)\nキャラモーション再生(PID_E002_Hide, Sad, WalkIn2)\nキャラモーション再生(PID_E002_Hide, Sad, EmoDeny2,2,1)\nキャラモーション再生(PID_E002_Boss, Sad)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_Boss, cam_anim_pan_r_slow,0.5)
MID_OP3_#006	キャラモーション再生(PID_E002_Hide, Angry, EmoTalk2,0,1)
MID_OP3_#007	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E002_Hide, cam_anim_pan_l_slow)
MID_OP3_#008	キャラモーション再生(PID_E002_Hide, Angry, EmoNod,0,1)
MID_OP3_#009	キャラカメラ(CharaCam_Side_Right_Mid, PID_E002_Boss, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E002_Hide, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_E002_Boss, Angry)
MID_OP3_#010	キャラモーション再生(PID_E002_Boss, Serious)
MID_OP3_#011	キャラモーション再生(PID_E002_Boss, Angry, EmoDeny2,1,1)\n\nキャラ配置調整(PID_E002_Hide,0,0,-0.5)\nキャラ視線(PID_E002_Boss, PID_E002_Hide, PID_E002_Hide)
MID_OP3_#012	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E002_Hide, cam_anim_track_r_slow)\nキャラモーション再生(PID_E002_Hide, Angry, EmoTalk,0, 0.5)
MID_OP3_#013	キャラモーション再生(PID_E002_Hide, Angry, EmoDeny,0,1)
MID_OP3_#014	キャラカメラ(CharaCam_Side_Right2_Top, PID_E002_Boss, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E002_Hide, Surprise, IdleNormal,0,1)\nキャラモーション再生(PID_E002_Boss, Pain, EmoDeny2,0.5,0.5)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_OP3_#015	キャラモーション再生(PID_E002_Boss, Pain, IdleNormal,0,1)\nキャラ視線(PID_E002_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_OP3_#016	キャラモーション再生(PID_E002_Boss, Serious, EmoSad2,0 ,0.5)\nキャラモーション再生(PID_E002_Hide, Sad)
MID_OP3_#017	キャラカメラ(CharaCam_Side_Left_Mid, PID_E002_Hide, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_E002_Hide, Sad, EmoSad2,0, 0.5)
MID_OP3_#018	キャラ視線(PID_E002_Hide, PID_E002_Boss, PID_E002_Boss)\n\nキャラモーション再生(PID_E002_Hide, Angry, IdleNormal,1,1)
MID_OP3_#019	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E002_Boss, Normal)\nキャラ視線(PID_E002_Boss, PID_E002_Hide, PID_E002_Hide)\nキャラ配置調整(PID_デモ用_視線設定用, 2.5, -1,0)
MID_OP3_#020	キャラモーション再生(PID_E002_Boss, Surprise)\n\nキャラ視線リセット(PID_E002_Hide)\nキャラ回転(PID_E002_Hide,145,1,0)\nキャラモーション再生(PID_E002_Hide, Angry, TurnR,0, 0.5)
MID_OP3_#021	キャラモーション再生(PID_E002_Boss, Pain, EmoSurprise2,0 ,0.5)
MID_OP3_#022	キャラカメラ(CharaCam_Side_Left2_Bot, PID_E002_Hide, cam_anim_track_r_slow)\n\nキャラ視線(PID_E002_Hide, PID_E002_Boss, PID_E002_Boss)\nキャラ回転(PID_E002_Hide,-90,0.5,0)\nキャラモーション再生(PID_E002_Hide, Angry, TurnL,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP3_#023	キャラ視線(PID_E002_Hide, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E002_Hide, Die)
MID_OP3_#024	キャラモーション再生(PID_E002_Hide, Shy, EmoDeny2,0,1)\nキャラモーション再生(PID_E002_Hide, Angry,,4,1)
MID_OP3_#025	キャラモーション再生(PID_E002_Hide, Angry)
MID_OP3_#026	キャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_E002_Hide, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E002_Hide, Shy, IdleNormal,0,1)\nキャラモーション再生(PID_E002_Boss, Angry)
MID_OP3_#027	キャラ視線(PID_E002_Hide, PID_E002_Boss, PID_E002_Boss)
MID_OP3_#028	キャラ回転(PID_E002_Hide,-35,1,0)\nキャラモーション再生(PID_E002_Hide, Normal, TurnL,0, 0.5)
MID_OP3_#029	キャラカメラ(CharaCam_Front_Center_Mid, PID_E002_Hide, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E002_Hide, Angry)
MID_OP3_#030	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)
MID_OP3_#031	キャラモーション再生(PID_E002_Boss, Shy)
MID_OP3_#032	キャラモーション再生(PID_E002_Boss, Angry, EmoDeny2,1, 0.5)
MID_OP3_#033	キャラカメラ(CharaCam_Front_Center_Mid, PID_E002_Boss, cam_anim_zoom_in_fast)\n\nキャラモーション再生(PID_E002_Boss, Angry, IdleNormal,0,1)
MID_OP3_#034	キャラカメラ(CharaCam_Side_Left_Mid, PID_E002_Hide, cam_anim_pan_l_slow)\n\nキャラ回転(PID_E002_Hide,-20,0.5,0)\nキャラモーション再生(PID_E002_Hide, Smile, TurnL,0, 0.5)\n\nキャラ視線(PID_E002_Hide, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_Boss, PID_E002_Hide, PID_E002_Hide)
MID_OP3_#035	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_Boss, cam_anim_pan_r_slow)\nキャラモーション再生(PID_E002_Boss, Angry, EmoNod,0,1)\n\nキャラ削除(PID_E002_Hide)
MID_OP3_#036	キャラモーション再生(PID_E002_Boss, Angry, IdleNormal,0,1)\n\nキャラ配置(PID_E002_セレスティア, ME_MID_BC, [服装], Angry, IdleNormal, 0)\nキャラ配置調整(PID_E002_セレスティア,0,0,-0.5)\nキャラ表示切替(PID_E002_セレスティア, False)\nキャラ視線(PID_E002_Boss, PID_E002_セレスティア, PID_E002_セレスティア)
MID_OP3_#037	*\nフェードアウト()\nパペット会話中断()\n\nキャラ配置(PID_E002_イル, ME_MID_B, [服装], Angry, IdleNormal, 0)\nキャラ配置(PID_E002_エル, ME_MID_C, [服装], Angry, IdleNormal, 0)\nキャラ表示切替(PID_E002_セレスティア, True)\n\nキャラ配置(PID_E002_Hide, YOU_IN_C, [服装], Angry, IdleNormal, 0)\n\nキャラモーション再生(PID_E002_イル, Angry, RunIn)\nキャラモーション再生(PID_E002_エル, Angry, RunIn)\nキャラモーション再生(PID_E002_セレスティア, Angry, RunIn)\n\nキャラ視線(PID_E002_イル, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_エル, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_セレスティア, PID_E002_Boss, PID_E002_Boss)\n\nキャラ視線(PID_E002_Boss, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_Hide, PID_E002_エル, PID_E002_エル)\n\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_E002_エル, cam_anim_track_r_slow)\n\nウェイト(1)\nフェードイン(0.5)
MID_OP3_#038	キャラモーション再生(PID_E002_エル, Normal, EmoRelax,0,1)\n\nキャラ配置調整(PID_E002_異形兵_ソードアーマー, -0.2,0, 0.5)\nキャラ配置調整(PID_E002_異形兵_アクスアーマー, 0.2,0, 0.5)
MID_OP3_#039	*\nパペット会話中断()\nウェイト(1)
MID_OP3_#040	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow) 
MID_OP3_#041	キャラモーション再生(PID_E002_Boss, Angry, EmoTalk2,0, 0.5)
MID_OP3_#042	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E002_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E002_エル, Angry, EmoTalk2,0, 0.5)
MID_OP3_#043	キャラカメラ(CharaCam_Side_Right_Mid, PID_E002_Boss, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E002_Boss, Angry, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E002_エル, Angry, IdleNormal,0,1)
