MID_OP1_#001	キャラ配置(PID_E001_エル, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP2_#012	キャラモーション再生(PID_リュール, Smile, EmoNod, 0, 0.5)\nキャラモーション再生(PID_青リュール, Normal, IdleNormal,0,1)
MID_OP2_#013	キャラモーション再生(PID_リュール, Smile, EmoPray, 0, 0.5)
MID_OP2_#014	
MID_OP2_#015	キャラモーション再生(PID_青リュール, Smile, EmoRelax, 0, 0.5)\nキャラモーション再生(PID_リュール, Smile, IdleNormal,0,1)
MID_OP2_#016	キャラカメラ(CharaCam_Side_LeftBackDLC_Mid, PID_青リュール, cam_anim_track_r_slow)\n\nキャラ表示切替(PID_リュール, False)\n\nキャラモーション再生(PID_青リュール, Sad, EmoDeny2,0,1)
MID_OP2_#017	キャラモーション再生(PID_青リュール, Angry, EmoPray,0,1)
MID_OP2_#018	キャラモーション再生(PID_青リュール, Angry, EmoTalk,0,1)\n\n*\nウェイト(0.5)
MID_OP2_#019	キャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_r_slow)\n\nキャラ表示切替(PID_リュール, True)\n\nキャラモーション再生(PID_リュール, Angry, EmoTalk2, 0, 0.5)\nキャラモーション再生(PID_青リュール, Normal, IdleNormal,0,1)
MID_OP2_#020	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_青リュール, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_青リュール, Normal, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_リュール, Angry, IdleNormal,0,1)
MID_OP2_#021	キャラモーション再生(PID_青リュール, Serious, EmoPray,0,1)
MID_OP2_#022	キャラモーション再生(PID_リュール, Normal, EmoTalk, 0, 0.5)\nキャラモーション再生(PID_青リュール, Normal, IdleNormal,0,1)
MID_OP2_#023	キャラモーション再生(PID_青リュール, Normal, EmoDeny2, 1.5, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)
MID_OP2_#024	キャラカメラ(CharaCam_Side_LeftBackDLC_Mid, PID_青リュール, cam_anim_track_r_slow)
MID_OP2_#025	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_リュール, Smile, EmoTalk, 0, 0.5)
MID_OP2_#026	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_青リュール, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_青リュール, Smile, EmoTalk, 0, 0.5)\n\n*\nパペット会話中断()\n\nサウンドイベント(SE_Evt_Advent_WhiteOut_NoDelay)\nウェイト(0.3)\n白フェードアウト()\n一枚絵表示(Tex_Event_Effect_White, picture_fade_in_slow)\n\nキャラ表示切替(PID_リュール, False)\n\nキャラ配置調整(PID_青リュール,0, 0.45, -4.5, 180)\nキャラ配置調整(PID_デモ用_視線設定用, 0, 10, 0)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_青リュール, cam_anim_waisttoface)\n\n一枚絵表示(Tex_Event_Effect_FrameFade_White, picture_fade_in_slow)\n\n白フェードイン(0.5)\nウェイト(0.8)
MID_OP2_#027	
MID_OP2_#028	キャラモーション再生(PID_青リュール, Smile, EmoNod,0, 0.5)\nキャラモーション再生(PID_青リュール, Smile, EmoPray,5,1)
MID_OP2_#029	キャラ視線(PID_青リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n*\nサウンドイベント(Env_Evt_Gradron_Evil_End)\nウェイト(0.5)\n白フェードアウト(1)
MID_OP3_#001	キャラ配置(PID_リュール, ME_MID_C, [服装], Surprise, IdleNormal, 0)\nキャラ配置(PID_E001_イル, YOU_IN_BC, [服装], Smile, IdleNormal, 0)\nキャラ配置(PID_E001_エル, YOU_IN_CD, [服装], Die, IdleNormal, 0)\n\nキャラ配置(PID_デモ用_視線設定用2, YOU_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用2,0,0, -0.1)\nキャラ表示切替(PID_デモ用_視線設定用2,False)\n\n背景(Map_Event_M000_02)\nライト(CharaLight_E001, 0, 0, 0)\n\nフェードイン()\nウェイト(1)
MID_OP3_#002	一枚絵表示(Tex_Event_Effect_White, picture_fade_in_slow)
MID_OP3_#003	
MID_OP3_#004	
MID_OP3_#005	*\nパペット会話中断()
MID_OP3_#006	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_waisttoface)\n一枚絵非表示()\n\n白フェードイン(2)\nパペット会話中断()\n\nキャラモーション再生(PID_リュール, Surprise, EmoLook,1, 0.5)
MID_OP3_#007	
MID_OP3_#008	*\nパペット会話中断()\nキャラモーション待ち(PID_リュール)
MID_OP3_#009	キャラモーション再生(PID_E001_エル, Die, EmoRelax, 0, 0.5)\n\nキャラ視線(PID_リュール, PID_E001_エル, PID_E001_エル)\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用2, cam_anim_zoom_out_slow)
MID_OP3_#010	キャラモーション再生(PID_E001_エル, Normal)
MID_OP3_#011	キャラモーション再生(PID_E001_エル, Normal, EmoTalk, 0, 0.5)
MID_OP3_#012	キャラモーション再生(PID_E001_イル, Smile, EmoRelax, 0, 0.5)
MID_OP3_#013	キャラモーション再生(PID_リュール, Smile, EmoRelax, 0, 0.5)\n\nキャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_track_r_slow)
MID_OP3_#014	
MID_OP3_#015	キャラモーション再生(PID_E001_イル, Normal, EmoSurprise2, 0.5, 0.5)\nキャラモーション再生(PID_E001_エル, Surprise, EmoThink,0, 0.5)\n\nウェイト(1)\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_E001_エル, cam_anim_track_l_slow, 1, 0.5)
MID_OP3_#016	キャラモーション再生(PID_E001_イル, Smile, EmoTalk, 0.5,1)\n\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)
MID_OP3_#017	キャラモーション再生(PID_E001_エル, Angry, EmoDeny2, 2, 0.5)\nキャラモーション再生(PID_E001_イル, Surprise, IdreNoemal, 0.5,1)\n\nキャラ視線(PID_E001_エル, PID_E001_イル, PID_E001_イル, 1.5)
MID_OP3_#018	キャラモーション再生(PID_E001_イル, Shy, EmoTalk2, 0, 0.5)\nキャラモーション再生(PID_E001_エル, Sad)\n\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E001_エル, PID_リュール, PID_リュール, 1)
MID_OP3_#019	キャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_E001_イル, Shy, IdleNormal, 0,1)\n\nキャラ視線(PID_リュール, PID_E001_イル, PID_E001_イル)\n\nキャラカメラ(CharaCam_FrontLong_Center_Top, PID_リュール, cam_anim_zoom_out_slow)
MID_OP3_#020	キャラモーション再生(PID_E001_エル, Angry, EmoTalk, 0, 0.5)\n\nキャラ視線(PID_リュール, PID_E001_エル, PID_E001_エル)\n\nキャラカメラ(CharaCam_Side_Right_Mid, PID_E001_エル, cam_anim_track_l_slow)
MID_OP3_#021	キャラモーション再生(PID_E001_エル, Serious)
MID_OP3_#022	キャラモーション再生(PID_E001_エル, Sad, EmoSad2, 0, 0.5)\n\nキャラカメラ(CharaCam_Shoulder_Left_Top, PID_E001_エル, cam_anim_zoom_out_slow)
MID_OP3_#023	キャラモーション再生(PID_E001_エル, Sad, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E001_エル, Sad, EmoDeny2,2,1)
MID_OP3_#024	キャラモーション再生(PID_E001_イル, Angry)\nキャラモーション再生(PID_E001_エル, Angry, IdreNormal)\n\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_E001_イル, cam_anim_zoom_in_fast)
MID_OP3_#025	キャラ視線(PID_E001_エル, PID_E001_イル, PID_E001_イル)\n\nキャラカメラ(CharaCam_Side_Left2_Top, PID_E001_エル, cam_anim_zoom_in_slow)
MID_OP3_#026	キャラモーション再生(PID_E001_エル, Serious, TurnL,0, 0.5)\nキャラモーション再生(PID_E001_エル, Serious, WalkOut, 1, 0.5)\nキャラモーション再生(PID_E001_イル, Sad, TurnL, 1, 0.5)\n\nキャラ回転(PID_E001_エル, -179, 1, 0)\nキャラ回転(PID_E001_イル, -179, 2.5, 0.5)\n\nキャラ視線リセット(PID_E001_イル)\nキャラ視線リセット(PID_E001_エル)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_zoom_in_slow)
MID_OP3_#027	キャラカメラ(CharaCam_Side_Right_Mid, PID_E001_イル, cam_anim_track_l_slow, 0.5)
MID_OP3_#028	キャラモーション再生(PID_E001_イル, Sad, TurnR, 0, 0.5)\nキャラモーション再生(PID_E001_イル, Shy, EmoTalk2, 1.5, 1)\n\nキャラ回転(PID_E001_イル, 90, 0.5, 0)\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\n*\nフェードアウト()
MID_OP4_#001	キャラ配置(PID_リュール, ME_MID_CD, [服装], Surprise, IdleNormal, 0)\nキャラ表示切替(PID_リュール,False)\n\nキャラ配置(PID_E001_イル, YOU_IN_BC, [服装], Smile, IdleNormal, 180)\nキャラ配置(PID_E001_エル, YOU_IN_CD, [服装], Die, IdleNormal, 180)\n\nキャラ配置(PID_デモ用_視線設定用, ME_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用, 0, -1, 0)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\nキャラ配置(PID_デモ用_視線設定用2, YOU_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用2,0,0, -0.1)\nキャラ表示切替(PID_デモ用_視線設定用2,False)\n\nキャラ配置(PID_E001_異形兵_アーチャー, ME_OUT_A, [服装], Normal, IdleNormal, 30)\nキャラ配置(PID_M001_異形兵_蛮族_雑魚A, ME_OUT_AB, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_M001_異形兵_蛮族_雑魚A, -0.16,0, -2.5)\nキャラ配置(PID_E001_Boss, ME_MID_B, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_デモ用_異形兵_ランスファイター1, ME_OUT_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_異形兵_ランスファイター1, 0.45,0, -2.2)\nキャラ配置(PID_E001_異形兵_マージ, ME_OUT_C, [服装], Normal, IdleNormal, -40)\n\nシーンカメラ(SceneCam_ViewFromMe_Back, cam_anim_zoom_in_normal)\n\n背景(Map_Event_E001_01)\nライト(CharaLight_E001, 0, 0, 0)\n\nキャラモーション再生(PID_E001_エル, Normal, WalkIn)\nキャラモーション再生(PID_E001_イル, Normal, WalkIn)\n\nキャラ表示切替(PID_E001_異形兵_アーチャー, False)\nキャラ表示切替(PID_M001_異形兵_蛮族_雑魚A, False)\nキャラ表示切替(PID_E001_Boss, False)\nキャラ表示切替(PID_デモ用_異形兵_ランスファイター1, False)\nキャラ表示切替(PID_E001_異形兵_マージ, False)\n\nウェイト(1)\nフェードイン()\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_E001_エル)\n\nキャラ表示切替(PID_リュール,True)\n\nキャラモーション再生(PID_リュール, Normal, WalkIn2)\n\nキャラモーション再生(PID_E001_エル, Normal, TurnL, 1.0, 0.5)\nキャラモーション再生(PID_E001_イル, Normal, TurnR, 1.5, 0.5)\n\nキャラ回転(PID_E001_エル, -179, 1.5, 0.5)\nキャラ回転(PID_E001_イル, 180, 1.5, 1.0)\n\nキャラ視線(PID_リュール, PID_E001_エル, PID_E001_エル)
MID_OP4_#002	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nウェイト(1.5)\nキャラモーション再生(PID_リュール, Normal, EmoThink,0, 1)\n*\nパペット会話中断()\nキャラモーション待ち(PID_リュール)
MID_OP4_#003	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E001_エル, Normal, EmoTalk,0, 0.5)\n\n一枚絵表示(Tex_Event_DLC_ItemPicture_04, picture_item_fade_in_normal)
MID_OP4_#004	
MID_OP4_#005	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\n一枚絵非表示(picture_item_fade_out_normal)\n\nキャラモーション再生(PID_E001_イル, Normal, EmoTalk,0,1)\nキャラモーション再生(PID_E001_エル, Normal, IdleNormal,0,1)
MID_OP4_#006	キャラモーション再生(PID_E001_イル, Angry)
MID_OP4_#007	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_リュール, Angry, EmoThinkIn, 0, 0.5)\nキャラモーション再生(PID_E001_イル, Normal,IdleNormal)
MID_OP4_#008	キャラカメラ(CharaCam_Side_Right_Mid, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)
MID_OP4_#009	キャラモーション再生(PID_E001_エル, Normal, EmoTalk,0, 0.5)
MID_OP4_#010	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E001_エル, cam_anim_track2_l_normal, 1.0)
MID_OP4_#011	キャラモーション再生(PID_E001_エル, Normal, EmoTalk2,0, 0.5)
MID_OP4_#012	キャラモーション再生(PID_リュール, Surprise, EmoThinkOut, 0, 0.5)\nキャラモーション再生(PID_E001_エル, Normal, EmoNod,0,1)
MID_OP4_#013	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用2, cam_anim_pan_l_normal)\n\nキャラモーション再生(PID_E001_エル, Normal, EmoPray, 0, 0.5)
MID_OP4_#014	キャラモーション再生(PID_E001_イル, Smile, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E001_エル, Serious, IdleNormal,0,1)\n\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)
MID_OP4_#015	キャラモーション再生(PID_E001_イル, Shy)
MID_OP4_#016	キャラカメラ(CharaCam_FrontLong_Center_Bot, PID_リュール, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_リュール, Normal, EmoNod,0, 0.5)
MID_OP4_#017	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E001_イル, Smile, EmoTalk,0, 0.5)
MID_OP4_#018	キャラモーション再生(PID_E001_エル, Normal, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E001_イル, Normal, IdleNormal,0,1)\n\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)
MID_OP4_#019	キャラモーション再生(PID_E001_エル, Angry, IdleNormal,0,1)
MID_OP4_#020	キャラモーション再生(PID_E001_イル, Sad, EmoTalk2,0,1)\n\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)
MID_OP4_#021	キャラモーション再生(PID_E001_エル, Sad)\nキャラモーション再生(PID_E001_イル, Sad, IdleNormal,0,1)\n\nキャラ視線(PID_E001_エル, PID_E001_イル, PID_E001_イル)\nキャラ視線(PID_E001_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_OP4_#022	キャラカメラ(CharaCam_Front_Center_Top, PID_E001_エル, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E001_エル, Normal)
MID_OP4_#023	キャラモーション再生(PID_E001_エル, Serious)
MID_OP4_#024	キャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_r_slow)\n\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Surprise, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_E001_エル, Normal)\n\n*\nパペット会話中断()\nウェイト(0.2)
MID_OP4_#025	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_リュール,cam_anim_track2_r_normal)\n\nキャラモーション再生(PID_E001_エル, Serious, EmoDeny2,0, 0.5)
MID_OP4_#026	キャラモーション再生(PID_E001_エル, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_E001_イル, Smile)
MID_OP4_#027	キャラモーション再生(PID_リュール, Normal, EmoTalk2,0, 0.5)
MID_OP4_#028	キャラモーション再生(PID_E001_エル, Angry, EmoTalk2,0, 0.5)
MID_OP4_#029	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_fast)\n\nキャラ視線(PID_E001_エル, PID_デモ用_視線設定用,PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E001_エル, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Surprise, IdleNormal,0,1)
MID_OP4_#030	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Normal)\nキャラモーション再生(PID_E001_イル, Normal , EmoTalk,0, 0.5)
MID_OP4_#031	キャラモーション再生(PID_リュール, Normal, EmoThink, 0, 0.5)
MID_OP4_#032	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E001_イル, Smile, EmoNod,0, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)
MID_OP4_#033	キャラモーション再生(PID_E001_イル, Shy)
MID_OP4_#034	キャラモーション再生(PID_E001_イル, Sad, EmoDeny2, 0, 0.5)\n\n*\nパペット会話中断()\nウェイト(0.2)
MID_OP4_#035	キャラカメラ(CharaCam_Side_Right2_Top, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)\n\nキャラモーション再生(PID_E001_エル, Normal, EmoTalk,0, 0.5)
MID_OP4_#036	キャラモーション再生(PID_E001_エル, Serious)\nキャラモーション再生(PID_E001_イル, Angry)
MID_OP4_#037	キャラ視線(PID_E001_エル, PID_デモ用_視線設定用,PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E001_エル, Angry, EmoSad2,0, 0.5)
MID_OP4_#038	キャラカメラ(CharaCam_FrontLong_Center_Bot, PID_リュール, cam_anim_zoom_out_slow)\n\nキャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Sad, EmoTalk2, 0, 0.5)
MID_OP4_#039	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E001_エル, Serious, EmoDeny2, 0, 0.5)\nキャラモーション再生(PID_E001_イル,Sad)\nキャラモーション再生(PID_リュール, Surprise, IdleNormal)
MID_OP4_#040	キャラ視線(PID_E001_エル, PID_デモ用_視線設定用,PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E001_エル, Angry, IdleNormal,0,1)
MID_OP4_#041	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Surprise, EmoTalk2, 1.5, 0.5)
MID_OP4_#042	
MID_OP4_#043	キャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Surprise, IdleNormal,0,1)\nキャラモーション再生(PID_E001_エル, Angry, EmoTalk2,0, 0.5)
MID_OP4_#044	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E001_イル, Angry, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E001_エル, Angry, IdleNormal,0,1)
MID_OP4_#045	
MID_OP4_#046	キャラモーション再生(PID_E001_イル, Angry, EmoThink,0, 0.5)\nキャラモーション再生(PID_リュール, Angry, EmoThinkLoop)
MID_OP4_#047	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_リュール, Angry, EmoThinkOut,3,1)\nキャラモーション再生(PID_E001_イル, Angry, IdleNormal)
MID_OP4_#048	キャラカメラ(CharaCam_FrontLong_Right_Mid, PID_E001_イル, cam_anim_pan_r_normal)\n\nキャラモーション再生(PID_E001_エル, Angry, EmoTalk,0, 0.5)
MID_OP4_#049	
MID_OP4_#050	キャラモーション再生(PID_E001_エル, Serious, EmoDeny2, 0, 0.5)
MID_OP4_#051	キャラモーション再生(PID_E001_エル, Normal)
MID_OP4_#052	キャラモーション再生(PID_E001_イル, Normal, EmoTalk2, 0, 0.5)\nキャラモーション再生(PID_E001_エル, Serious, IdleNormal,0,1)
MID_OP4_#053	キャラモーション再生(PID_E001_イル, Sad)
MID_OP4_#054	キャラモーション再生(PID_E001_イル, Serious, EmoSad2,0, 0.5)\nキャラ視線リセット(PID_E001_イル)\n\n*\nパペット会話中断()\nウェイト(0.3)
MID_OP4_#055	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E001_エル, cam_anim_pan_r_slow)\n\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)\n\nキャラモーション再生(PID_E001_エル, Normal, EmoTalk2, 0, 0.5)\nキャラモーション再生(PID_E001_イル, Normal, IdleNormal,0,1)
MID_OP4_#056	キャラモーション再生(PID_E001_エル, Angry)
MID_OP4_#057	キャラモーション再生(PID_E001_エル, Angry, EmoThink, 0, 0.5)
MID_OP4_#058	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_pan_r_slow)\nキャラモーション再生(PID_リュール, Angry, EmoPray, 0, 0.5)
MID_OP4_#059	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow, 3.0)\n\nキャラモーション再生(PID_リュール, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Normal, EmoTalk2,1,1)\nキャラモーション再生(PID_E001_エル, Normal, IdleNormal,0,1)\n\n*\nウェイト(1)
MID_OP4_#060	キャラモーション再生(PID_E001_エル, Normal, EmoThink,0, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)
MID_OP4_#061	キャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Normal, EmoTalk,0,1)
MID_OP4_#062	キャラカメラ(CharaCam_FrontLong_Right_Mid, PID_E001_イル, cam_anim_pan_r_slow)\nキャラモーション再生(PID_E001_エル, Serious, EmoDeny2,0, 0.5)\nキャラ回転(PID_E001_エル, -30, 1.0)
MID_OP4_#063	キャラモーション再生(PID_E001_イル, Normal, EmoTalk, 0, 0.5)\n\n*\nパペット会話中断()\nウェイト(0.8)\n\nキャラ削除(PID_リュール)\nキャラ削除(PID_E001_エル)\nキャラ削除(PID_E001_イル)\n\nキャラ配置調整(PID_E001_異形兵_アーチャー, -0.66, 0, -0.75)\nキャラ表示切替(PID_E001_異形兵_アーチャー, True)\n\nキャラ武器装備(PID_E001_異形兵_アーチャー, 鉄の弓)\n\nキャラカメラ(CharaCam_FrontLong_Left_Bot, PID_E001_異形兵_アーチャー, cam_anim_zoom_out_fast)\nサウンドイベント(V_Evt_M001_ED1_EnemyAppear1)\nサウンドイベント(BGM_Evt_Tension2)\nキャラモーション再生(PID_E001_異形兵_アーチャー, Angry, WalkIn)
