MID_OP1_#001	キャラ配置(PID_マロン, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP2_#009	キャラモーション再生(PID_E001_エル, Smile, EmoSad2,0, 0.5)\nウェイト(2)\n\n*\nパペット会話中断()\nフェードアウト()\nウェイト(0.5)\n一枚絵非表示()\n\nキャラ削除(PID_E001_エル)\nキャラ表示切替(PID_E004_エル, True)\n\n背景(Map_Event_M009_03)\nライト(CharaLight_M009, 0, 0, 0)\n\nキャラアニメーター切替(PID_E004_エル, Unit/Anim/Hub/AOC_Hub_Hum0F)\nキャラモーション再生(PID_E004_エル, Die, SitNormal1)\nキャラ視線(PID_E004_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nウェイト(0.5)
MID_OP2_#010	サウンドイベント(Env_Evt_Ircion_Snow_Start)\n\nキャラ配置調整(PID_デモ用_視線設定用, -0.1, 0.1, -0.2)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_デモ用_視線設定用, cam_anim_zoom_out_slow)\n\nフェードイン()\nウェイト(0.5)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#011	キャラモーション再生(PID_E004_エル, Normal)\n*\nパペット会話中断()
MID_OP2_#012	キャラモーション再生(PID_E004_エル, Serious, Sit1ToStand,0, 0.5)\nウェイト(0.6)\nフェードアウト()\n\nキャラモーション再生(PID_E004_エル, Serious, IdleNormal,2,1)\n\nキャラカメラ(CharaCam_Shoulder_Right_Mid, PID_E004_エル, cam_anim_zoom_out_slow)\n\nウェイト(0.3)\nフェードイン()
MID_OP2_#013	キャラモーション再生(PID_E004_エル, Sad, EmoSad2,0, 0.5)\n*\nパペット会話中断()\nウェイト(2.5)
MID_OP2_#014	キャラモーション再生(PID_E004_エル, Sad, EmoSad,0,1)\nキャラモーション再生(PID_E004_エル, Sad, IdleNormal,2.5,1)\n\n*\nウェイト(2.5)\nサウンドイベント(Env_Evt_Ircion_Snow_End)\nフェードアウト()
MID_OP3_#001	キャラ配置(PID_E004_イル, ME_IN_B, [服装], Smile, IdleNormal, 0)\nキャラ配置(PID_E004_エル, ME_IN_C, [服装], Die, IdleNormal, 0)\nキャラ配置(PID_リュール, ME_MID_BC, [服装], Surprise, IdleNormal, 0)\nキャラ配置(PID_E004_グレゴリー, ME_MID_AB, [服装], Surprise, IdleNormal, 0)\n\nキャラ配置調整(PID_E004_イル, 0.05,0,0)\nキャラ配置調整(PID_E004_エル, 0.15,0,0)\nキャラ配置調整(PID_リュール, 0.05,0,0)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_IN_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -1.5,0)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\nキャラ配置(PID_E004_セレスティア, YOU_IN_B, [服装], Normal, IdleNormal, 0)\nキャラ表示切替(PID_E004_セレスティア,False)\nキャラ配置(PID_E004_マデリーン, YOU_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ表示切替(PID_E004_マデリーン,False)\n\nエフェクト表示(Effect01, Effects/Event/M009_MID_ED1/Prefabs/M009_MID_ED1)\n\n背景(Map_Event_M009_04)\nライト(CharaLight_E004, 0, 0, 0)\n\nキャラモーション再生(PID_E004_イル, Pain, WalkIn2)\nキャラモーション再生(PID_E004_エル, Normal, WalkIn)\nキャラモーション再生(PID_リュール, Normal, WalkIn)\nキャラモーション再生(PID_E004_グレゴリー, Normal, WalkIn)\n\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_E004_エル, cam_anim_track_r_slow)\n\nフェードイン()\n\nサウンドイベント(Env_Evt_Ircion_Snow_Start)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_リュール)
MID_OP3_#002	キャラ視線(PID_E004_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_グレゴリー, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Normal, EmoTalk2,0, 0.5)\n\nキャラ回転(PID_E004_グレゴリー, 30,1,0)\nキャラ回転(PID_E004_イル, 120, 1.5, 0.5)\nキャラモーション再生(PID_E004_イル, Normal, TurnL, 0.5, 0.5)\nキャラ回転(PID_E004_エル, -70,1, 0.5)\nキャラモーション再生(PID_E004_エル, Normal, TurnR, 0.5, 0.5)
MID_OP3_#003	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E004_グレゴリー, cam_anim_track_r_slow)\nキャラ表示切替(PID_E004_イル, False)\n\nキャラ視線(PID_リュール, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_イル, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E004_グレゴリー, Pain, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)
MID_OP3_#004	キャラモーション再生(PID_E004_グレゴリー, Angry, IdleNormal,2,1)
MID_OP3_#005	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E004_イル, cam_anim_pan_l_normal)\nキャラ表示切替(PID_E004_イル, True)\n\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_グレゴリー, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_E004_イル, Normal, EmoTalk2,0, 0.5)
MID_OP3_#006	キャラカメラ(CharaCam_Front_Center_Mid, PID_E004_エル, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E004_イル, Normal, IdleNormal,0,1)\n*\nウェイト(1)
MID_OP3_#007	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E004_エル, cam_anim_track_r_slow)\n\nキャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Sad, EmoTalk2,0, 0.5)
MID_OP3_#008	*\nウェイト(0.5)
MID_OP3_#009	キャラモーション再生(PID_リュール, Surprise, IdleNormal,0,1)\n\nキャラ視線(PID_E004_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラ回転(PID_E004_エル, 50,1,0)\nキャラモーション再生(PID_E004_エル, Serious, TurnL,0, 0.5)\n\n*\nキャラモーション再生(PID_E004_エル, Normal, WalkOut,0, 0.5)\n\nウェイト(0.5)\nキャラ視線(PID_リュール, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_グレゴリー, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_イル, PID_E004_セレスティア, PID_E004_セレスティア)
MID_OP3_#010	キャラモーション再生(PID_リュール, Normal)
MID_OP3_#011	キャラ視線(PID_E004_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E004_イル, PID_E004_イル)\n\nキャラモーション再生(PID_E004_イル, Shy, EmoTalk2,0, 0.5)
MID_OP3_#012	キャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\nキャラ視線リセット(PID_E004_エル)\n\nキャラ回転(PID_E004_イル, -50,1,0)\nキャラモーション再生(PID_E004_イル, Angry, TurnR,0,1)\nキャラモーション再生(PID_E004_イル, Angry, EmoThink,2,1)\n\nキャラモーション再生(PID_リュール, Angry)\n\nキャラ回転(PID_E004_グレゴリー,-50, 1.3,0)\nキャラモーション再生(PID_E004_グレゴリー, Angry, WalkOut,0, 0.3)\n\n*\nパペット会話中断()\nウェイト(1)\nキャラ削除(PID_E004_グレゴリー)\nキャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\n\nキャラ配置(PID_E004_グレゴリー, YOU_MID_BC, [服装], Normal, IdleNormal, 180)\nキャラ配置調整(PID_E004_グレゴリー, -0.2,0,0)\nキャラモーション再生(PID_E004_グレゴリー, Angry, EmoLook)\n\nキャラ配置調整(PID_E004_エル,0,0,2)\nキャラモーション再生(PID_E004_エル, Angry, EmoThink)
MID_OP3_#013	シーンカメラ(SceneCam_ViewFromMe_Center_Mid, cam_anim_zoom_in_normal)\nキャラ表示切替(PID_リュール, False)\n\nキャラ削除(PID_E004_イル)\nキャラ配置(PID_E004_イル, ME_MID_AB, [服装], Normal, IdleNormal, 0)
MID_OP3_#014	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E004_グレゴリー, cam_anim_track_l_slow)\nキャラ表示切替(PID_リュール, True)\n\nキャラモーション再生(PID_E004_グレゴリー, Angry, EmoThink,0, 0.5)\n\nキャラ配置調整(PID_E004_イル,0,0,1.9)\nキャラモーション再生(PID_E004_イル, Normal, WalkIn2,0, 0.05)\nキャラ配置調整(PID_リュール,0,0,1.9)\nキャラモーション再生(PID_リュール, Normal, WalkIn2,0, 0.05)
MID_OP3_#015	キャラモーション再生(PID_E004_イル, Smile, EmoWave,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_E004_エル, Angry, IdleNormal,0,1)\n\n*\nウェイト(1)\n\nキャラ表示切替(PID_E004_マデリーン, True)\nキャラ表示切替(PID_E004_セレスティア, True)\n\nキャラモーション再生(PID_E004_マデリーン, Normal, RunIn)\nキャラモーション再生(PID_E004_セレスティア, Smile, RunIn)\nウェイト(0.3)
MID_OP3_#016	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E004_マデリーン, cam_anim_pan_u_normal)\nキャラ表示切替(PID_E004_エル, False)\n\nキャラモーション再生(PID_E004_イル, Smile, IdleNormal,0,1)\n\nキャラ配置調整(PID_E004_イル,0,0,-1.9)\nキャラ配置調整(PID_リュール,0,0,-1.9)\nキャラ配置調整(PID_E004_エル,0,0,-2)\nキャラ削除(PID_E004_グレゴリー)\n\nキャラ視線(PID_リュール, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_E004_マデリーン, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_セレスティア, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E004_マデリーン, Normal, EmoRelax,1,1)\n\nキャラ配置(PID_E004_グレゴリー, ME_IN_B, [服装], Smile, IdleNormal, 0)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_E004_マデリーン)
MID_OP3_#017	キャラモーション再生(PID_E004_マデリーン, Normal, EmoTalk2, 1.5,1)\nキャラ表示切替(PID_E004_エル, True)\n\nキャラ配置調整(PID_E004_エル, 0.2, 0, -0.2, -30)\nキャラ配置調整(PID_E004_グレゴリー, -0.65, 0, 0, 40)\nキャラ配置調整(PID_E004_イル, 0.1, 0, 0, 20)
MID_OP3_#018	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_リュール, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E004_マデリーン, Normal, IdleNormal,0,1)
MID_OP3_#019	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E004_マデリーン, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E004_マデリーン, Surprise)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_OP3_#020	キャラ配置調整(PID_デモ用_視線設定用,0, 0.5,0)\nキャラ視線(PID_E004_マデリーン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E004_マデリーン, Serious, EmoSad2,0, 0.5)
MID_OP3_#021	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E004_マデリーン, cam_anim_track_l_slow)\n\nキャラ視線(PID_E004_セレスティア, PID_E004_マデリーン, PID_E004_マデリーン)\n\nキャラモーション再生(PID_E004_セレスティア, Smile, EmoNod,0, 0.5)
MID_OP3_#022	キャラ回転(PID_E004_セレスティア,-90,1,0)\n\nキャラモーション再生(PID_E004_セレスティア, Shy, EmoPray,0, 0.5)
MID_OP3_#023	キャラ視線(PID_E004_マデリーン, PID_E004_セレスティア, PID_E004_セレスティア)\n\nキャラモーション再生(PID_E004_マデリーン, Angry, EmoDeny2,0, 0.5)
MID_OP3_#024	キャラモーション再生(PID_E004_マデリーン, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_E004_セレスティア, Surprise, IdleNormal,0,1)
MID_OP3_#025	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E004_マデリーン, cam_anim_zoom_out_slow)\n\nキャラ視線(PID_E004_マデリーン, PID_リュール, PID_リュール)\nキャラモーション再生(PID_E004_マデリーン, Normal, EmoRelax,0, 0.5)\n\nキャラ回転(PID_E004_セレスティア,60,1,0)\nキャラモーション再生(PID_E004_セレスティア, Shy, TurnL,0, 0.5)\n\nキャラ視線(PID_リュール, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_E004_エル, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_E004_グレゴリー, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_E004_イル, PID_E004_マデリーン, PID_E004_マデリーン)
MID_OP3_#026	
MID_OP3_#027	キャラモーション再生(PID_E004_マデリーン, Normal, EmoJoy,0, 0.5)
MID_OP3_#028	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_E004_セレスティア, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E004_マデリーン, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Smile, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Smile)\nキャラモーション再生(PID_E004_エル, Smile)\nキャラモーション再生(PID_E004_イル, Smile)
MID_OP3_#029	キャラモーション再生(PID_E004_マデリーン, Normal, EmoRelax,0, 0.5)\nキャラモーション再生(PID_リュール, Smile, IdleNormal,0,1)\n\n*\nウェイト(1)
MID_OP3_#030	キャラ視線(PID_E004_マデリーン, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_セレスティア, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_リュール, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_イル, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_エル, PID_E004_グレゴリー, PID_E004_グレゴリー)\n\nキャラモーション再生(PID_E004_マデリーン, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_E004_グレゴリー, Smile, EmoTalk2,0, 0.5)
MID_OP3_#031	
MID_OP3_#032	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E004_マデリーン, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E004_マデリーン, Angry, EmoAngry,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Smile, IdleNormal)
MID_OP3_#033	キャラ視線(PID_E004_マデリーン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E004_マデリーン, Shy)
MID_OP3_#034	シーンカメラ(SceneCam_ViewFromYou_Center_Mid, cam_anim_track_l_normal)\nキャラ配置調整(PID_デモ用_視線設定用,0, -0.5,0)\n\nキャラ視線(PID_E004_セレスティア, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_グレゴリー, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_マデリーン, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Normal, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E004_マデリーン, Shy, IdleNormal,0,1)
MID_OP3_#035	キャラ視線(PID_リュール, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_エル, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_グレゴリー, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_イル, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_マデリーン, PID_E004_セレスティア, PID_E004_セレスティア)\n\nキャラモーション再生(PID_E004_セレスティア, Smile, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_リュール, Smile, IdleNormal,0,1)\nキャラモーション再生(PID_E004_エル, Normal)\nキャラモーション再生(PID_E004_イル, Normal)\nキャラモーション再生(PID_E004_グレゴリー, Normal)
MID_OP3_#036	キャラモーション再生(PID_E004_セレスティア, Shy, EmoNod,0,1)\nキャラモーション再生(PID_リュール, Surprise)
MID_OP3_#037	キャラ視線(PID_E004_セレスティア, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_グレゴリー, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_マデリーン, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E004_セレスティア, Shy, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Surprise, EmoTalk2,0,1)
MID_OP3_#038	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E004_エル, cam_anim_track_l_slow)\n\nキャラ視線(PID_リュール, PID_E004_イル, PID_E004_イル)\n\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_E004_イル, Sad, EmoNod,0, 0.5)
MID_OP3_#039	キャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_エル, PID_E004_イル, PID_E004_イル)\n\nキャラモーション再生(PID_E004_イル, Normal, EmoTalk2,0,1)
MID_OP3_#040	キャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_グレゴリー, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_E004_エル, Normal, EmoNod,0, 0.5)\nキャラモーション再生(PID_E004_イル, Smile, IdleNormal,0,1)
MID_OP3_#041	キャラ視線(PID_E004_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラモーション再生(PID_E004_エル, Die, EmoThink,0,0.5)
MID_OP3_#042	キャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E004_エル, Normal, EmoTalk2,0,1)
MID_OP3_#043	キャラカメラ(CharaCam_Front_Center_Mid, PID_E004_セレスティア, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E004_マデリーン, Normal)\nキャラモーション再生(PID_E004_セレスティア, Smile, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E004_エル, Smile, IdleNormal,0,1)
MID_OP3_#044	キャラモーション再生(PID_E004_セレスティア, Shy, EmoThink,0,1)\n\nキャラ視線(PID_E004_エル, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_イル, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_リュール, PID_E004_セレスティア, PID_E004_セレスティア)
MID_OP3_#045	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_zoom_out_slow)\n\nキャラ視線(PID_E004_グレゴリー, PID_E004_セレスティア, PID_E004_セレスティア)\n\nキャラモーション再生(PID_E004_グレゴリー, Smile, EmoDeny,0, 0.5)
MID_OP3_#046	キャラ視線(PID_E004_セレスティア, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_マデリーン, PID_E004_セレスティア, PID_E004_セレスティア)\n\nキャラモーション再生(PID_E004_セレスティア, Angry, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Smile, IdleNormal,0,1)\nキャラモーション再生(PID_E004_マデリーン, Shy)
MID_OP3_#047	キャラカメラ(CharaCam_Front_Center_Mid, PID_E004_エル, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_E004_グレゴリー, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_エル, PID_E004_マデリーン, PID_E004_マデリーン)\n\nキャラモーション再生(PID_E004_エル, Normal, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E004_セレスティア, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_E004_グレゴリー, Angry)
MID_OP3_#048	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E004_マデリーン, cam_anim_track_l_slow)\n\nキャラ視線(PID_E004_セレスティア, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_E004_マデリーン, PID_E004_エル, PID_E004_エル)\nキャラモーション再生(PID_E004_エル, Smile, IdleNormal,0,1)\n\nキャラモーション再生(PID_E004_マデリーン, Angry, EmoTalk,0, 0.5)
MID_OP3_#049	キャラ視線(PID_リュール, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_E004_イル, PID_E004_マデリーン, PID_E004_マデリーン)\n\nキャラモーション再生(PID_E004_マデリーン, Angry, EmoNod,0,1)
MID_OP3_#050	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E004_エル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_リュール, Angry, EmoTalk2,0, 0.5)\n\n*\nウェイト(1)
MID_OP3_#051	キャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_E004_エル, Angry, EmoThink,0, 0.5)\nキャラモーション再生(PID_リュール, Surprise, IdleNormal,0,1)
MID_OP3_#052	キャラカメラ(CharaCam_Front_Center_Top, PID_E004_マデリーン, cam_anim_zoom_in_slow)\nキャラ配置調整(PID_リュール,0,0, -0.1)\n\nキャラ視線(PID_リュール, PID_E004_マデリーン, PID_E004_マデリーン)\n\nキャラモーション再生(PID_E004_マデリーン, Angry, EmoNod,0, 0.5)
MID_OP3_#053	シーンカメラ(SceneCam_ViewFromYou_Center_Mid, cam_anim_track_l_normal)\n\nキャラ視線(PID_E004_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_リュール, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_グレゴリー, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_エル, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_セレスティア, PID_E004_イル, PID_E004_イル)\n\nキャラモーション再生(PID_E004_イル, Angry, EmoThinkIn,0, 0.5)\nキャラモーション再生(PID_リュール, Angry)
MID_OP3_#054	キャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_E004_イル, Angry, EmoThinkOut,0, 0.5)\n\n*\nキャラ視線(PID_リュール, PID_E004_マデリーン, PID_E004_マデリーン)
MID_OP3_#055	キャラ視線(PID_E004_グレゴリー, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_E004_エル, Angry, EmoDeny2,0, 0.5)\n\n*\nキャラ視線(PID_リュール, PID_E004_マデリーン, PID_E004_マデリーン)
MID_OP3_#056	キャラ視線(PID_E004_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_リュール, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_グレゴリー, PID_E004_イル, PID_E004_イル)\n\nキャラモーション再生(PID_E004_イル, Serious, EmoNod,0, 0.5)\nキャラモーション再生(PID_E004_エル, Smile, IdleNormal,0,1)
MID_OP3_#057	キャラカメラ(CharaCam_Side_Left2_Top, PID_E004_イル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E004_イル, Sad)\n\n*\nウェイト(0.5)
MID_OP3_#058	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\nキャラ配置調整(PID_リュール,0,0, 0.1)\n\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E004_グレゴリー, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_E004_エル, Angry, EmoThinkIn,0, 0.5)
