MID_OP1_#001	キャラ配置(PID_青リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP2_#007	キャラモーション再生(PID_E005_Boss, Angry, EmoTalk2,3, 0.5)
MID_OP2_#008	
MID_OP2_#009	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E006_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E006_エル, Sad, EmoDeny2,0, 0.5)
MID_OP2_#010	キャラモーション再生(PID_E006_エル, Sad, EmoTalk2,0,1)
MID_OP2_#011	キャラモーション再生(PID_E006_エル, Sad, IdleNormal,0,1)\n\nキャラ視線(PID_E006_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n*\nウェイト(1)
MID_OP2_#012	キャラカメラ(CharaCam_FrontLong_Center_Bot, PID_E005_Boss, cam_anim_zoom_in_slow)\n\nキャラ表示切替(PID_E006_エル, False)\n\nキャラモーション再生(PID_E005_Boss, Smile, EmoTalk,0, 0.5)
MID_OP2_#013	
MID_OP2_#014	キャラモーション再生(PID_E005_Boss, Angry, EmoDeny,0,1)
MID_OP2_#015	キャラカメラ(CharaCam_Shoulder_Left_Top, PID_E005_Boss, cam_anim_track_l_slow)\nキャラ表示切替(PID_E006_エル, True)\n\nキャラ視線(PID_E006_エル, PID_E005_Boss, PID_E005_Boss)\n\nキャラモーション再生(PID_E006_エル, Sad, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E005_Boss, Angry, IdleNormal,0,1)
MID_OP2_#016	キャラモーション再生(PID_E006_エル, Sad, EmoSad2,0,1)
MID_OP2_#017	キャラモーション再生(PID_E005_Boss, Angry, EmoDeny2,0, 0.5)
MID_OP2_#018	*\nウェイト(1)
MID_OP2_#019	キャラモーション再生(PID_E005_Boss, Smile, EmoSad,0, 0.5)
MID_OP2_#020	キャラカメラ(CharaCam_Front_Center_Mid, PID_E005_Boss, cam_anim_zoom_in_fast)\n\nキャラモーション再生(PID_E005_Boss, Smile, IdleNormal,0,1)\nキャラモーション再生(PID_E005_Boss, Normal, EmoDeny2, 1.5,0.5)\nサウンドイベント(Env_Evt_Gradron_Evil_End)
MID_OP2_#021	キャラカメラ(CharaCam_Side_Left_Mid, PID_E006_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E006_エル, Surprise)\n\n*\nウェイト(0.5)
MID_OP2_#022	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E005_Boss, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E006_エル, Sad)\n\nキャラモーション再生(PID_E005_Boss, Normal, EmoTalk,0, 0.5)
MID_OP2_#023	*\nパペット会話中断()\nウェイト(1)
MID_OP2_#024	キャラモーション再生(PID_E005_Boss, Strike)
MID_OP2_#025	キャラカメラ(CharaCam_Side_Left_Mid, PID_E006_エル, cam_anim_pan_l_slow)\n\n*\nウェイト(1)\nキャラモーション再生(PID_E005_Boss, Smile, EmoTalk2,0,1)
MID_OP2_#026	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow) 
MID_OP2_#027	キャラモーション再生(PID_E005_Boss, Smile, EmoTalk,0,1)
MID_OP2_#028	キャラモーション再生(PID_E005_Boss, Smile, EmoSad,0,1)
MID_OP2_#029	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E005_Boss, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E005_Boss, Normal, IdleNormal,0,1)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_OP2_#030	
MID_OP2_#031	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E006_エル, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_E006_エル, Surprise)\n\nキャラアニメーター切替(PID_E005_Boss, Unit/Anim/Demo/AOC_Demo_c049)
MID_OP2_#032	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E005_Boss, cam_anim_track2_r_normal)\n\nキャラモーション再生(PID_E005_Boss, Sad, EmoTired,0,1)\nキャラモーション再生(PID_E005_Boss, Sad, EmoDeny2,6,1)
MID_OP2_#033	*\nパペット会話中断()\nウェイト(1)
MID_OP2_#034	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E006_エル, cam_anim_track_r_slow)
MID_OP2_#035	キャラカメラ(CharaCam_Front_Center_Top, PID_E005_Boss, cam_anim_zoom_in_slow)\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E005_Boss, Serious, EmoPray,0,1)
MID_OP2_#036	キャラカメラ(CharaCam_Shoulder_Left_Top, PID_E005_Boss, cam_anim_track_l_slow)\nキャラモーション再生(PID_E005_Boss, Pain, EmoDeny2,3,1)
MID_OP2_#037	*\nウェイト(1)
MID_OP2_#038	キャラモーション再生(PID_E006_エル, Pain, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E005_Boss, Pain, IdleNormal,0,1)
MID_OP2_#039	キャラモーション再生(PID_E005_Boss, Pain, EmoSad,0,1)\nキャラモーション再生(PID_E005_Boss, Pain, EmoTired,5,1)\nキャラモーション再生(PID_E006_エル, Surprise)
MID_OP2_#040	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E005_Boss, cam_anim_pan_d_normal)\nキャラモーション再生(PID_E005_Boss, Pain)\nキャラモーション再生(PID_E005_Boss, Serious, EmoPray,2,1)\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#041	キャラモーション再生(PID_E005_Boss, Angry, EmoSurprise2,0,1)\n*\nパペット会話中断()\nウェイト(0.5)
MID_OP2_#042	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E005_Boss, Sad, EmoSad,0,1)
MID_OP2_#043	キャラモーション再生(PID_E005_Boss, Pain, EmoDeny2,0,1)\nキャラモーション再生(PID_E005_Boss, Pain, EmoTired,3,1)
MID_OP2_#044	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E006_エル, cam_anim_pan_l_slow)\nキャラモーション再生(PID_E006_エル, Pain, EmoSurprise2,0, 0.5)\n\nキャラアニメーター切替(PID_E005_Boss, Unit/Anim/Demo/AOC_Demo_Hum2M)
MID_OP2_#045	キャラカメラ(CharaCam_Side_Right_Mid, PID_E005_Boss, cam_anim_pan_r_slow)\nキャラモーション再生(PID_E006_エル, Serious, IdleNormal)\n\nキャラモーション再生(PID_E005_Boss, Angry, EmoDeny)
MID_OP2_#046	キャラモーション再生(PID_E005_Boss, Angry, EmoThink,0,1)\nキャラ視線(PID_E005_Boss, PID_E006_エル, PID_E006_エル,4.5)\n\n*\nキャラ配置調整(PID_E006_エル, 0.7,0, 0.2, -120)
MID_OP2_#047	キャラ配置調整(PID_デモ用_視線設定用, 1, 0.5, -1.8)\nキャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\nキャラ削除(PID_E006_エル)\n\nキャラ表示切替(PID_リュール, True)\n\nキャラ視線(PID_リュール, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_E005_Boss, PID_リュール, PID_リュール)\nキャラ視線(PID_E006_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Angry, WalkIn2)\nキャラモーション再生(PID_E005_Boss, Surprise)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_リュール)\nキャラモーション再生(PID_E005_Boss, Pain, EmoDeny2)
MID_OP2_#048	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E005_Boss, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E005_Boss, Smile, IdleNormal,2,2)\n\nキャラ配置(PID_E006_エル, YOU_IN_C, [服装], Sad, IdleNormal, 30)\nキャラ配置調整(PID_E006_エル,0,0, -0.3)
MID_OP2_#049	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_out_fast)\n\nキャラモーション再生(PID_リュール, Angry, EmoSurprise2,0, 0.5)
MID_OP2_#050	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E005_Boss, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E005_Boss, Smile, EmoNod,0, 0.5)\nキャラ削除(PID_リュール)\n\nキャラ配置(PID_リュール, ME_IN_C, [服装], Sad, IdleNormal,0)\nキャラ配置調整(PID_リュール, -0.3,0, -0.3)\nキャラ表示切替(PID_リュール, False)\nキャラ視線(PID_リュール, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_E005_Boss, PID_リュール, PID_リュール)\nキャラ視線(PID_E006_エル, PID_リュール, PID_リュール)
MID_OP2_#051	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\nキャラ表示切替(PID_リュール, True)\n\nキャラモーション再生(PID_リュール, Angry, EmoTalk2,0, 0.5)
MID_OP2_#052	キャラ配置調整(GID_E006_敵クロム, 0.1, -0.2, -2.3)\nキャラカメラ(CharaCam_SideLong_Right_Mid, GID_E006_敵クロム, cam_anim_track_r_normal)\nキャラ表示切替(PID_リュール, False)\n一枚絵表示(Tex_Event_DLC_ItemPicture_07, picture_item_fade_in_normal)\n\nキャラモーション再生(PID_E005_Boss, Smile, EmoTalk2,0, 0.5)
MID_OP2_#053	キャラモーション再生(PID_E005_Boss, Normal)
MID_OP2_#054	一枚絵非表示(picture_item_fade_out_normal)\n\nキャラモーション再生(PID_E005_Boss, Serious, EmoSad,0,1)\nキャラモーション再生(PID_E005_Boss, Serious, EmoDeny2,3,1)
MID_OP2_#055	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_slow)\nキャラ表示切替(PID_リュール, True)\nキャラ配置調整(GID_E006_敵クロム, -0.1, 0.2, 2.3)\nキャラモーション再生(PID_E005_Boss, Serious, IdleNormal)
MID_OP2_#056	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E005_Boss, cam_anim_zoom_out_slow)\n\nキャラモーション再生(PID_E005_Boss, Normal, EmoTalk,0, 0.5)\n*\nパペット会話中断()\n白フェードアウト()\n背景(Map_Event_Hub_Solanel_03_Day)\nライト(CharaLight_M002, 0, 0, 0)\n\nキャラ表示切替(PID_E005_Boss, False)\n\nキャラ配置(PID_青リュール, YOU_IN_A, [服装], Smile, IdleNormal,0, True)\n一枚絵表示(Tex_Event_Effect_FrameFade_White, picture_fade_in_slow)\n\nキャラカメラ(CharaCam_Side_LeftBackDLC_Mid, PID_青リュール, cam_anim_track_l_slow)\nキャラモーション再生(PID_青リュール, Smile, EmoGive,0, 0.5)\n\nウェイト(1)\nキャラ視線(PID_E001_Boss, PID_青リュール, PID_青リュール)\n\n白フェードイン()\nウェイト(1)
MID_OP2_#057	*\nパペット会話中断()
MID_OP2_#058	白フェードアウト()\nウェイト(0.5)\n一枚絵非表示()\nキャラ削除(PID_青リュール)\n\n背景(Map_Event_E006_01)\nライト(CharaLight_E006, 0, 0, 0)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_E005_Boss, cam_anim_pan_r_normal)\nキャラ表示切替(PID_E005_Boss, True)\nフェードイン()\n\nキャラモーション再生(PID_E005_Boss, Normal, EmoDeny,5, 0.5)
MID_OP2_#059	キャラモーション再生(PID_E005_Boss, Smile, IdleNormal,0,1)
MID_OP2_#060	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)
MID_OP2_#061	キャラカメラ(CharaCam_Side_Right_Mid, PID_E006_エル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E005_Boss, Normal, EmoTalk,1, 0.5)
MID_OP2_#062	キャラモーション再生(PID_E006_エル, Pain, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_E005_Boss, Normal, IdleNormal,0,1)
MID_OP2_#063	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラ表示切替(GID_E006_敵カミラ, False)\nキャラ視線(PID_リュール, PID_E006_エル, PID_E006_エル)\n\nキャラ表示切替(PID_E006_エル, False)\n\nキャラ配置調整(PID_リュール,0,0, -1)\nキャラモーション再生(PID_リュール, Smile, WalkIn2)\n\n*\nパペット会話中断()\nウェイト(0.5)\nキャラモーション再生(PID_リュール, Smile, EmoTired,0,1)\nウェイト(1.5)\nサウンドイベント(SE_DLC_Evt_E006_OP2_Ring_Release)\n一枚絵表示(Tex_Event_DLC_Picture_7)\nウェイト(4)\nキャラモーション再生(PID_リュール, Smile, IdleNormal)\n\nキャラ視線リセット(PID_E005_Boss)
MID_OP2_#064	キャラ視線(PID_リュール, PID_E005_Boss, PID_E005_Boss)\nキャラ視線リセット(PID_E005_Boss)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#065	キャラカメラ(CharaCam_Front_Center_Mid, PID_E005_Boss, cam_anim_waisttoface)\nキャラ表示切替(PID_E006_エル, True)\nキャラモーション再生(PID_E005_Boss, Smile, EmoTired)\nキャラモーション再生(PID_E005_Boss, Smile, EmoSad2,2,1)\n\n一枚絵非表示()\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#066	キャラモーション再生(PID_E005_Boss, Smile, EmoSad,0, 1)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#067	キャラモーション再生(PID_E005_Boss, Smile, EmoPray,0,1)\n\nウェイト(1.8)\n\nサウンドイベント(SE_Evt_Advent_WhiteOut_NoDelay)\n一枚絵表示(Tex_Event_Effect_White, picture_fade_in_slow)\n*\nパペット会話中断()\nフェードアウト()
MID_OP2_#068	キャラ視線(PID_E005_Boss, GID_E006_敵エーデルガルト, GID_E006_敵エーデルガルト)\nキャラ視線(PID_E006_エル, GID_E006_敵エーデルガルト, GID_E006_敵エーデルガルト)\nキャラ視線(PID_リュール, GID_E006_敵エーデルガルト, GID_E006_敵エーデルガルト)\n\nキャラ表示切替(PID_リュール, False)\nキャラ配置調整(PID_E005_Boss, 0.4,0, -1.3, 180)\nキャラ配置調整(PID_E006_エル, 0.6,0, -1.5)\n\nキャラ表示切替(GID_E006_敵クロム, True)\nキャラ表示切替(GID_E006_敵カミラ, True)\nキャラ表示切替(GID_E006_敵セネリオ, True)\nキャラ表示切替(GID_E006_敵ヴェロニカ, True)\nキャラ表示切替(GID_E006_敵ヘクトル, True)\nキャラ表示切替(GID_E006_敵チキ, True)\n\nキャラ配置調整(GID_E006_敵エーデルガルト,0,0, -0.5)\nキャラ配置調整(GID_E006_敵チキ, 0.4,0, -0.5)\nキャラ配置調整(GID_E006_敵ヘクトル, 0.4,0, -0.5)\nキャラ配置調整(GID_E006_敵ヴェロニカ, 0.4,0, -0.5)\nキャラ配置調整(GID_E006_敵セネリオ, 0.2,0, -0.5)\nキャラ配置調整(GID_E006_敵カミラ, 0.2,0, -0.5)\nキャラ配置調整(GID_E006_敵クロム, 0.2,0, -0.5)\n\nキャラカメラ(CharaCam_Front_Center_Mid, GID_E006_敵エーデルガルト, cam_anim_waisttoface)\n\n一枚絵非表示()\n\nウェイト(0.2)\n白フェードアウト(0.2)\nエフェクト表示(Effect01, Effects/Event/E006_MID_OP2/Prefabs/E006_MID_OP2)\nキャラ表示切替(GID_E006_敵エーデルガルト, True)\nキャラモーション再生(GID_E006_敵エーデルガルト, Normal, WalkIn)\nキャラモーション再生(GID_E006_敵エーデルガルト, Normal, IdleNormal, 1.5,1)\n白フェードイン(0.5)\nウェイト(0.8)\n\nシーンカメラ(SceneCam_ViewFromMe_Back, cam_anim_zoom_in_normal,2)\nキャラモーション再生(PID_E005_Boss, Smile, EmoSad2,2, 0.5)\n\nウェイト(2)\n*\nパペット会話中断()\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E005_Boss, cam_anim_zoom_in_normal,2)\nキャラモーション再生(PID_E005_Boss, Smile, EmoJoy,2, 0.5)\nウェイト(2)\nキャラ表示切替(GID_E006_敵カミラ, False)\nキャラ表示切替(GID_E006_敵ヴェロニカ, False)\nエフェクト表示(Effect02, Effects/Event/M010_MID_ED2/Prefabs/M010_MID_ED2_01)\nサウンドイベント(SE_Evt_M010_HORTENSIA_Charge)\nウェイト(1.5)\nパペット会話中断()\nサウンドイベント(SE_DLC_Evt_E006_OP2_Dragon)\n一枚絵表示(Tex_Event_DLC_Picture_8, picture_fade_in_slow)\nウェイト(4)
MID_OP2_#069	キャラ削除(PID_E005_Boss)\nキャラ削除(GID_E006_敵エーデルガルト)\nキャラ削除(GID_E006_敵チキ)\nキャラ削除(GID_E006_敵ヘクトル)\nキャラ削除(GID_E006_敵ヴェロニカ)\nキャラ削除(GID_E006_敵セネリオ)\nキャラ削除(GID_E006_敵カミラ)\nキャラ削除(GID_E006_敵クロム)\n\nキャラ削除(PID_E006_エル)\nキャラ表示切替(PID_リュール, True)\n\nキャラ配置(PID_デモ用_視線設定用2, YOU_MID_B, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用2, -5, 9, 35)\nキャラ表示切替(PID_デモ用_視線設定用2, False)\n\nキャラ配置(PID_E006_Boss, YOU_OUT_B, [服装], Normal, IdleNormal, 30)\nキャラ配置調整(PID_E006_Boss,0,0, 50)\nキャラアニメーター切替(PID_E006_Boss, Unit/Anim/UnitAnims/UAS_Sdk1AT)\nキャラモーション再生(PID_E006_Boss, Normal, StandBy_None)\n\nキャラモーション再生(PID_リュール, Strike, EmoTalk,0, 0.5)\n\nキャラ配置調整(PID_リュール,0,0,1)\n*\nウェイト(2)
MID_OP2_#070	キャラ配置調整(PID_デモ用_視線設定用,0,2,0)\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nスプリットビュー作成(SplitViewTestL, RenderTextureSampleL)\nスプリットビュー作成(SplitViewTestR, RenderTextureSampleR)\n\nスプリットビューアニメ再生(SplitViewTestL, splitview_anim_L_in_fast)\nスプリットビューアニメ再生(SplitViewTestR, splitview_anim_R_in_fast)\nスプリットビューアニメ待ち(SplitViewTestL)\nスプリットビューアニメ待ち(SplitViewTestR)\nスプリットビューカメラのみ状態開始()\n\nスプリットビューアクティブ(SplitViewTestL, True)\nスプリットビューアクティブ(SplitViewTestR, False)\n\nスプリットビューキャラカメラ(SplitViewTestL, CharaCam_SplitView_Left_Mid, PID_リュール, cam_anim_zoom_out_slow)\nスプリットビューキャラカメラ(SplitViewTestR, CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用2, cam_anim_zoom_out_slow)\n\nウェイト(0.5)\n\nキャラモーション再生(PID_リュール, Strike, EmoTalk,0, 0.5)\n\n一枚絵非表示()
MID_OP2_#071	スプリットビューアクティブ(SplitViewTestL, False)\nスプリットビューアクティブ(SplitViewTestR, True)
MID_OP2_#072	スプリットビューアクティブ(SplitViewTestL, True)\nスプリットビューアクティブ(SplitViewTestR, False)\n\nキャラモーション再生(PID_リュール, Pain)
MID_OP2_#073	スプリットビューアクティブ(SplitViewTestL, False)\nスプリットビューアクティブ(SplitViewTestR, True)
MID_OP2_#074	スプリットビューアクティブ(SplitViewTestL, True)\nスプリットビューアクティブ(SplitViewTestR, False)\n\nキャラモーション再生(PID_リュール, Pain, EmoSurprise2,0, 0.5)
MID_OP2_#075	一枚絵表示(Tex_Event_Effect_Black)\nサウンドイベント(Env_Evt_Gradron_Evil_End)\nサウンドイベント(SE_DLC_Evt_E006_OP2_Help)\n\n*\nパペット会話中断()\nウェイト(2)\n\nキャラ削除(PID_リュール)\n\nキャラ配置(PID_リュール, ME_IN_B, [服装], Smile, IdleNormal, 130)\nキャラ配置調整(PID_リュール, -0.3,0, 0.8)\nキャラ配置(PID_E006_エル, ME_IN_C, [服装], Surprise, IdleNormal, 70)\nキャラ配置調整(PID_E006_エル, -0.5,0, 0.5)\n\nキャラ配置(PID_E006_セレスティア, ME_IN_D, [服装], Smile, IdleNormal, -30)\nキャラ配置調整(PID_E006_セレスティア, 0.2,0,0)\nキャラ配置(PID_E006_グレゴリー, ME_MID_CD, [服装], Angry, IdleNormal, -10)\nキャラ配置調整(PID_E006_グレゴリー, -0.2,0, 0.2)\nキャラ配置(PID_E006_マデリーン, ME_MID_BC, [服装], Angry, IdleNormal, 15)\nキャラ配置調整(PID_E006_マデリーン, -0.2,0,0.2)\n\nキャラ視線(PID_E006_エル, PID_E006_セレスティア, PID_E006_セレスティア)\nキャラ視線(PID_E006_セレスティア, PID_E006_エル, PID_E006_エル)
MID_OP2_#076	サウンドイベント(Env_Evt_Gradron_Evil_Start)\nスプリットビューカメラのみ状態終了()\nスプリットビューアニメ再生(SplitViewTestL, splitview_anim_L_out_fast)\nスプリットビューアニメ再生(SplitViewTestR, splitview_anim_R_out_fast)\nスプリットビューアニメ待ち(SplitViewTestL)\nスプリットビューアニメ待ち(SplitViewTestR)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用2, cam_anim_zoom_out_slow)\n\n一枚絵非表示()
MID_OP2_#077	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Smile, EmoSurprise,0, 0.5)
MID_OP2_#078	キャラモーション再生(PID_E006_セレスティア, Angry, EmoTalk2,0, 0.5)
MID_OP2_#079	キャラモーション再生(PID_E006_エル, Smile, EmoJoy,0, 0.5)
MID_OP2_#080	*\nパペット会話中断()\nウェイト(0.5)
MID_OP2_#081	キャラモーション再生(PID_リュール, Surprise, EmoLook,0, 0.5)\nキャラモーション再生(PID_E006_エル, Normal, IdleNormal,0,1)\n\nキャラ視線(PID_E006_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E006_セレスティア, PID_リュール, PID_リュール)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#082	キャラカメラ(CharaCam_Front_Center_Top, PID_E006_セレスティア, cam_anim_zoom_in_slow)\nキャラ配置調整(PID_デモ用_視線設定用,0, -5, 2)\n\nキャラモーション再生(PID_E006_セレスティア, Sad)\nキャラモーション再生(PID_E006_マデリーン, Sad)\nキャラモーション再生(PID_E006_グレゴリー, Angry)\n\nキャラ視線(PID_E006_マデリーン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E006_グレゴリー, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_OP2_#083	キャラ視線(PID_E006_セレスティア, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E006_セレスティア, Serious)\nキャラモーション再生(PID_リュール, Surprise, IdleNormal)\n\nキャラ配置調整(PID_リュール, -0.5,0,0)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP2_#084	キャラ配置調整(PID_デモ用_視線設定用,0,3,0)\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_デモ用_視線設定用, cam_anim_zoom_in_normal)\n\nキャラ視線(PID_E006_エル, PID_E006_セレスティア, PID_E006_セレスティア)\nキャラ視線(PID_リュール, PID_E006_セレスティア, PID_E006_セレスティア)\n\nキャラモーション再生(PID_E006_エル, Surprise)\n\n*\nサウンドイベント(Env_Evt_Gradron_Evil_End)\nフェードアウト()
