MID_RELIANCE_C_#001	キャラ配置(PID_ヴァンドレ, ME_IN_C, [服装], Normal, IdleNormal, 120)\nキャラ配置(PID_クラン, YOU_IN_D, [服装], Normal, IdleNormal, 15)\nキャラ配置調整(PID_クラン, 0, 0, 0.15)\n\nキャラ配置(PID_デモ用_視線設定用, ME_MID_C, [服装], Die, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用, 0, -0.9, 0)\n\n//背景(Map_Event_M001_01)\n//ライト(CharaLight_M001, 0, 0, 0)\n\n背景(Map_Event_Hub_Solanel_21_Day)\nライト(CharaLight_Hub_Day, 0, 0, 0)\n\nキャラ視線(PID_クラン, PID_ヴァンドレ, PID_ヴァンドレ)\n\nキャラモーション再生(PID_クラン, Normal, WalkIn2)\nキャラカメラ(CharaCam_Shoulder_Right_Top, PID_ヴァンドレ, cam_anim_track_l_normal)\nフェードイン()\n\nキャラモーション再生(PID_クラン, Normal, IdleNormal, 2, 2)\nキャラ視線(PID_ヴァンドレ, PID_クラン, PID_クラン)\n
MID_RELIANCE_C_#012	キャラカメラ(CharaCam_FrontLong2_Right_Top, PID_クラン, cam_anim_pan_r_normal)\nキャラモーション再生(PID_クラン, Normal, EmoNod,,1)\n*\nキャラモーション再生(PID_クラン, Normal, IdleNormal,, 1)
MID_RELIANCE_C_#013	キャラカメラ(CharaCam_FrontLong2_Left_Bot, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoDeny,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_C_#014	キャラカメラ(CharaCam_Side_Left2_Bot, PID_クラン, cam_anim_track_r_slow)\nキャラモーション再生(PID_クラン, Angry)\nキャラ視線(PID_クラン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_RELIANCE_C_#015	キャラモーション再生(PID_クラン, Angry, EmoSad2,,1)\n*\nキャラモーション再生(PID_クラン, Angry, IdleNormal,, 1)
MID_RELIANCE_C_#016	キャラカメラ(CharaCam_FrontLong2_Left_Bot, PID_ヴァンドレ, cam_anim_track_r_normal)
MID_RELIANCE_C_#017	キャラカメラ(CharaCam_FrontLong2_Right_Top, PID_クラン, cam_anim_track_l_normal)\nキャラ視線(PID_クラン, PID_ヴァンドレ, PID_ヴァンドレ)\nキャラモーション再生(PID_クラン, Normal, EmoDeny2,,1)\n*\nフェードアウト()
MID_RELIANCE_B_#001	キャラ配置(PID_ヴァンドレ, ME_IN_C, [服装], Normal, IdleNormal, 45)\nキャラ配置(PID_クラン, YOU_IN_C, [服装], Normal, IdleNormal, 180)\n\nキャラ表示切替(PID_ヴァンドレ, False)\n\n//背景(Map_Event_M001_01)\n//ライト(CharaLight_M001, 0, 0, 0)\n\n背景(Map_Event_Hub_Solanel_21_Day)\nライト(CharaLight_Hub_Day, 0, 0, 0)\n\nウェイト(1)\n\nキャラカメラ(CharaCam_Back_Center_Top, PID_クラン, cam_anim_track_l_slow)\nフェードイン()
MID_RELIANCE_B_#002	キャラモーション再生(PID_クラン, Normal, EmoDeny,,1)
MID_RELIANCE_B_#003	キャラモーション再生(PID_クラン, Sad)\n*\nキャラモーション再生(PID_クラン, Normal, IdleNormal,,1)
MID_RELIANCE_B_#004	キャラ表示切替(PID_ヴァンドレ, True)\nキャラモーション再生(PID_ヴァンドレ, Normal, WalkIn2)\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_クラン, cam_anim_track_r_slow)\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal, 2, 2)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal,,1)
MID_RELIANCE_B_#005	キャラカメラ(CharaCam_Front_Center_Top, PID_クラン, cam_anim_pan_u_normal)\nキャラモーション再生(PID_クラン, Normal, TurnR)\nキャラ回転(PID_クラン, -180, 1.2)\nキャラ回転(PID_ヴァンドレ, -45, 1)\nキャラ視線(PID_クラン, PID_ヴァンドレ, PID_ヴァンドレ)\nキャラ視線(PID_ヴァンドレ, PID_クラン, PID_クラン)
MID_RELIANCE_B_#006	キャラカメラ(CharaCam_FrontLong2_Left_Bot, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoTalk,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_B_#007	キャラカメラ(CharaCam_Side_Right2_Top, PID_クラン, cam_anim_pan_r_normal)\nキャラモーション再生(PID_クラン, Sad, EmoSad2,,1)\n*\nキャラモーション再生(PID_クラン, Sad, IdleNormal,,1)
MID_RELIANCE_B_#008	キャラカメラ(CharaCam_FrontLong2_Left_Bot, PID_ヴァンドレ, cam_anim_pan_l_slow)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoDeny,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal,,1)
MID_RELIANCE_B_#009	キャラカメラ(CharaCam_FrontLong2_Right_Top, PID_クラン, cam_anim_track_l_normal)\nキャラモーション再生(PID_クラン, Sad, EmoTalk,,1)\n*\nキャラモーション再生(PID_クラン, Sad, IdleNormal)
MID_RELIANCE_B_#010	キャラカメラ(CharaCam_Side_Left_Mid, PID_ヴァンドレ, cam_anim_dolly_l_normal)
MID_RELIANCE_B_#011	キャラカメラ(CharaCam_Side_Right2_Mid, PID_クラン, cam_anim_track_l_normal)\nキャラモーション再生(PID_クラン, Sad, EmoDeny2,,1)\n*\nキャラモーション再生(PID_クラン, Angry, IdleNormal,,1)
MID_RELIANCE_B_#012	キャラカメラ(CharaCam_FrontLong2_Left_Bot, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoTalk,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_B_#013	キャラカメラ(CharaCam_Front_Center_Mid, PID_クラン, cam_anim_zoom_in_normal)\nキャラモーション再生(PID_クラン, Angry, EmoDeny2,,1)
MID_RELIANCE_B_#014	*\nキャラモーション再生(PID_クラン, Sad, IdleNormal,,1)
MID_RELIANCE_B_#015	キャラカメラ(CharaCam_FrontLong2_Left_Bot, PID_ヴァンドレ, cam_anim_pan_l_slow)
MID_RELIANCE_B_#016	キャラカメラ(CharaCam_FrontLong2_Right_Top, PID_クラン, cam_anim_track_l_normal)\nキャラモーション再生(PID_クラン, Sad, EmoSad2,,1)\nキャラ視線リセット(PID_クラン)
MID_RELIANCE_B_#017	キャラ回転(PID_クラン, -90, 1.3)\nキャラモーション再生(PID_クラン, Sad, TurnL,,1)\n*\nパペット会話中断()\nキャラモーション再生(PID_クラン, Sad, RunOut,,1)\nウェイト(1)\nキャラ配置調整(PID_クラン , 1,0,0)
MID_RELIANCE_B_#018	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_r_slow)\nキャラ視線(PID_ヴァンドレ, PID_クラン, PID_クラン)
MID_RELIANCE_B_#019	\n*\nフェードアウト()
MID_RELIANCE_A_#001	キャラ配置(PID_ヴァンドレ, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_クラン, YOU_IN_C, [服装], Sad, IdleNormal, 180)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_OUT_C, [服装], Die, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用, 0, -0.9, 2)\n\nキャラ視線(PID_クラン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_ヴァンドレ, PID_クラン, PID_クラン)\n\nウェイト(1)\n\n背景(Map_Event_Hub_Solanel_09_Evening)\nライト(CharaLight_Hub_Evening, 0, 0, 0)\n\nキャラカメラ(CharaCam_Shoulder_Left_Bot, PID_クラン, cam_anim_track_l_slow)\nフェードイン()
MID_RELIANCE_A_#002	キャラモーション再生(PID_ヴァンドレ, Normal, EmoDeny,,1)
MID_RELIANCE_A_#003	*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal,,1)
MID_RELIANCE_A_#004	キャラカメラ(CharaCam_Back_Center_Top, PID_クラン, cam_anim_zoom_in_normal)
MID_RELIANCE_A_#005	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_l_slow)\nキャラモーション再生(PID_ヴァンドレ, Die, EmoDeny,,1)
MID_RELIANCE_A_#006	キャラモーション再生(PID_ヴァンドレ, Sad, EmoRelax,,1)\n\nキャラ視線リセット(PID_クラン)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal,,1)
MID_RELIANCE_A_#007	キャラカメラ(CharaCam_FrontLong2_Right_Top, PID_クラン, cam_anim_track_l_normal)\nキャラ回転(PID_クラン, -180, 1.5)\nキャラ視線(PID_クラン, PID_ヴァンドレ, PID_ヴァンドレ)\nキャラモーション再生(PID_クラン, Surprise, TurnR,, 0.3)\n*\nキャラモーション再生(PID_クラン, Sad, IdleNormal,,1)
MID_RELIANCE_A_#008	キャラカメラ(CharaCam_FrontLong2_Left_Bot, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoTalk,,1)
MID_RELIANCE_A_#009	キャラモーション再生(PID_ヴァンドレ, Normal, EmoJoy,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_A_#010	キャラカメラ(CharaCam_Side_Right2_Mid, PID_クラン, cam_anim_track_l_slow)\nキャラモーション再生(PID_クラン, Sad, EmoDeny2,,1)\n*\nキャラモーション再生(PID_クラン, Sad, IdleNormal,,1)
MID_RELIANCE_A_#011	キャラカメラ(CharaCam_Front_Center_Mid, PID_ヴァンドレ, cam_anim_zoom_in_slow)
MID_RELIANCE_A_#012	キャラカメラ(CharaCam_Front_Center_Mid, PID_クラン, cam_anim_track_r_normal)
MID_RELIANCE_A_#013	キャラカメラ(CharaCam_FrontLong2_Left_Bot, PID_ヴァンドレ, cam_anim_track2_l_normal)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoTalk,,1)
MID_RELIANCE_A_#014	キャラモーション再生(PID_ヴァンドレ, Normal, EmoThink,,1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal)
MID_RELIANCE_A_#015	キャラカメラ(CharaCam_Side_Right_Mid, PID_クラン, cam_anim_dolly_r_normal)\nキャラモーション再生(PID_クラン, Surprise)
MID_RELIANCE_A_#016	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_r_normal)\nキャラモーション再生(PID_ヴァンドレ, Die, EmoDeny,,1)\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal, 4, 1)\n*\nキャラモーション再生(PID_ヴァンドレ, Normal, IdleNormal,,1)
MID_RELIANCE_A_#017	キャラカメラ(CharaCam_FrontLong2_Right_Top, PID_クラン, cam_anim_pan_r_normal)\nキャラモーション再生(PID_クラン, Sad, EmoPray,,1)\n*\nキャラモーション再生(PID_クラン, Relax, IdleNormal,,1)
MID_RELIANCE_A_#018	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_track_r_slow)\nキャラモーション再生(PID_ヴァンドレ, Normal, EmoDeny2,,1)
MID_RELIANCE_A_#019	キャラモーション再生(PID_ヴァンドレ, Relax)\n*\nキャラモーション再生(PID_ヴァンドレ, Smile, IdleNormal)
MID_RELIANCE_A_#020	キャラカメラ(CharaCam_Front_Center_Top, PID_クラン, cam_anim_pan_u_normal)\nキャラモーション再生(PID_クラン, Relax, EmoNod,,1)\nキャラモーション再生(PID_クラン, , EmoJoy, 2, 1)
MID_RELIANCE_A_#021	キャラモーション再生(PID_クラン, Smile, EmoRelax,,1)
MID_RELIANCE_A_#022	キャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴァンドレ, cam_anim_zoom_in_slow)\n*\nフェードアウト()
