MID_OP1_#001	キャラ配置(GID_ロイ, ME_IN_BC, [服装], Normal, IdleNormal, 10)\nキャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal, 350)\n\nキャラ配置調整(GID_ロイ, 0, 0, -0.1)\n\nキャラ表示切替(GID_ロイ,False)\n\n背景(Map_Event_S012_01)\nライト(CharaLight_S012, 0, 0, 0)\n\n章タイトル(CID_S012)\n\nサウンドイベント(BGM_Evt_Ring)\n\nウェイト(2)\nフェードアウト()\n\nキャラカメラ(CharaCam_FrontLong_Right_Bot, PID_リュール, cam_anim_pan_r_slow)\nキャラモーション再生(PID_リュール, Surprise, EmoLook)\nキャラモーション再生(GID_ロイ, Surprise, WalkIn)\n\nフェードイン()
MID_ED1_#001	キャラ配置(PID_リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(GID_ロイ, YOU_IN_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_リュール, 0, 0, 0)\nキャラ配置調整(GID_ロイ,0, 0, 0)\n\n背景(Map_Event_S012_01)\nライト(CharaLight_S012, 0, 0, 0)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\nキャラモーション再生(GID_ロイ, Normal, EmoRelax, 1.5, 0.5)\nキャラモーション再生(PID_リュール, Pain, EmoTired)\n\nキャラ視線(GID_ロイ, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, GID_ロイ, GID_ロイ)\n\nサウンドイベント(BGM_Evt_Brave)\nフェードイン()\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_リュール)
MID_ED1_#002	キャラモーション再生(PID_リュール, Shy, EmoDeny, 2.0, 0.5)
MID_ED1_#003	キャラモーション再生(GID_ロイ, Shy, EmoShy)\nキャラモーション再生(PID_リュール, Smile)\n\nキャラカメラ(CharaCam_Side_Right_Mid, GID_ロイ, cam_anim_track_l_normal)
MID_ED1_#004	キャラモーション再生(GID_ロイ, Normal)\nキャラモーション再生(PID_リュール, Surprise, IdreNormal, 2.2)\n\nキャラカメラ(CharaCam_Shoulder_Left_Top, GID_ロイ, cam_anim_zoom_in_slow, 1.0)\n\nウェイト(1.5)
MID_ED1_#005	キャラモーション再生(PID_リュール, Surprise, EmoTalk, 1.0, 0.5)\n\nウェイト(0.5)
MID_ED1_#006	キャラモーション再生(GID_ロイ, Serious, EmoThinkIn, 2.5, 0.5)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, GID_ロイ, cam_anim_track_l_slow)
MID_ED1_#007	キャラモーション再生(GID_ロイ, Sad, EmoThinkOut, 2.8, 0.5)
MID_ED1_#008	キャラモーション再生(PID_リュール, Strike)\n\nキャラカメラ(CharaCam_Shoulder_Left_Top, GID_ロイ, cam_anim_zoom_in_slow)
MID_ED1_#009	キャラモーション再生(GID_ロイ, Smile, EmoTalk)\nキャラモーション再生(PID_リュール, Surprise)\n\nキャラカメラ(CharaCam_Front_Right_Mid, GID_ロイ, cam_anim_track_r_slow)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow, 5)\n*\nパペット会話中断()\nキャラモーション待ち(GID_ロイ)
MID_ED1_#010	キャラモーション再生(PID_リュール, Normal, EmoTalk, 0.3, 0.5)\nキャラモーション再生(GID_ロイ, Sad, IdleNoemal)
MID_ED1_#011	キャラモーション再生(GID_ロイ, Sad, EmoThinkIn, 3.0, 0.5)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, GID_ロイ, cam_anim_track_l_slow)\n\nキャラ視線リセット(GID_ロイ)
MID_ED1_#012	キャラモーション再生(GID_ロイ, Serious ,EmoThinkLoop,0 ,0.5)
MID_ED1_#013	キャラモーション再生(PID_リュール, Surprise, EmoSurprise2)\nキャラモーション再生(GID_ロイ, Shy ,EmoThinkLoop)\n\nキャラカメラ(CharaCam_Front_Center_Bot, PID_リュール, cam_anim_fix)
MID_ED1_#014	キャラモーション再生(GID_ロイ, Smile, EmoThinkOut, 1.3, 0.5)\nキャラモーション再生(PID_リュール, Surprise)\n\nキャラカメラ(CharaCam_Side_Right_Mid, GID_ロイ, cam_anim_track_l_slow)\n*\n\nキャラ表示切替(GID_ロイ, False)
MID_ED1_#015	キャラモーション再生(PID_リュール, Shy, IdreNormal, 1.8, 0.5)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_out_fast)
MID_ED1_#016	キャラ表示切替(GID_ロイ, True)\nキャラモーション再生(GID_ロイ, Smile, EmoJoy)\n\nキャラカメラ(CharaCam_Front_Center_Mid, GID_ロイ, cam_anim_track_r_slow)\n\n*\nフェードアウト()
MID_LC1_#001	キャラ配置(PID_リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(GID_ロイ, YOU_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S012_01)\nライト(CharaLight_S012, 0, 0, 0)\n\nキャラ配置調整(PID_リュール, 0.5, 0.0, -0.3)\n\nキャラモーション再生(GID_ロイ, Relax, EmoJoy, 1.0, 1.0)\nキャラ視線(GID_ロイ, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, GID_ロイ, cam_anim_track_l_normal)\n\n*\nパペット会話中断()\n白フェードイン(1.0)\nウェイト(1.3)\nテロップエフェクト表示(LevelCap)\nウェイト(0.8)\nフェードアウト()
