MJID_DragonLord	神龙之子
MJID_H_BowKnight	驭马射箭的弓骑士。\n能以高移动力与弓术将敌人逼入绝境。
MJID_SwordArmor	重剑兵
MJID_H_SwordArmor	穿上坚固铠甲的重装剑步兵。\n防守虽高，但不善抵御魔法。
MJID_LanceArmor	重枪兵
MJID_H_LanceArmor	穿上坚固铠甲的重装枪步兵。\n防守虽高，但不善抵御魔法。
MJID_AxArmor	重斧兵
MJID_H_AxArmor	穿上坚固铠甲的重装斧步兵。\n防守虽高，但不善抵御魔法。
MJID_General	将军
MJID_H_General	以铜墙铁壁般的防守为傲的重装步兵。\n拥有极高的攻击力与防守力。
MJID_GreatKnight	英勇骑士
MJID_H_GreatKnight	穿上厚重铠甲的重装骑士。\n善于使用多种武器来守护友军。
MJID_SwordKnight	剑骑士
MJID_H_SwordKnight	将战马驾驭自如，移动力优异的剑骑士。\n整体能力平均。
MJID_LanceKnight	枪骑士
MJID_H_LanceKnight	将战马驾驭自如，移动力优异的枪骑士。\n整体能力平均。
MJID_AxKnight	斧骑士
MJID_H_AxKnight	将战马驾驭自如，移动力优异的斧骑士。\n整体能力平均。
MJID_Paladin	圣骑士
MJID_H_Paladin	经验老到的高等骑士。\n移动力极高，连魔法也难伤其分毫。
MJID_WolfKnight	狼骑士
MJID_H_WolfKnight	骑着狼穿梭于战场之中的骑士。\n能使用短剑，并能扰乱敌阵。
MJID_SwordPegasus	剑飞马骑士
MJID_H_SwordPegasus	驾驭飞马翱翔天际的剑骑士。\n擅长抵御魔法，但不善抵御弓术。
MJID_LancePegasus	枪飞马骑士
MJID_H_LancePegasus	驾驭飞马翱翔天际的枪骑士。\n擅长抵御魔法，但不善抵御弓术。
MJID_AxPegasus	斧飞马骑士
MJID_H_AxPegasus	驾驭飞马翱翔天际的斧骑士。\n擅长抵御魔法，但不善抵御弓术。
MJID_GriffonKnight	格里芬骑士
MJID_H_GriffonKnight	骑着格里芬翱翔天际的高等骑士。\n整体能力优异，亦能操杖。
MJID_DragonKnight	飞龙骑士
MJID_H_DragonKnight	骑着飞龙驰骋天际的高等骑士。\n能力优秀，但不善抵御弓术和魔法。
MJID_Mage	魔法师
MJID_H_Mage	使用魔道书施放魔法的魔道士。\n所使的魔法对防守高的敌人有效。
MJID_Sage	圣者
MJID_H_Sage	拥有强大魔力的高等魔道士。\n不仅能使用魔道书，也善于操杖。
MJID_MageKnight	魔法师骑士
MJID_H_MageKnight	骑在马上施放魔法的魔法骑士。\n手持武器仍可于肉搏战中有所发挥。
MJID_Monk	僧侣
MJID_H_Monk	以杖治愈受伤伙伴的僧兵。\n亦精通以气功护身之术。
MJID_MasterMonk	僧侣大师
MJID_H_MasterMonk	精通气功的高等僧侣。\n不仅能使用治疗术，也善于体术。
MJID_HighPriest	主教
MJID_H_HighPriest	经验老到、精通杖术的祭司。\n能运用强大的治疗之术拯救伙伴的性命。
MJID_Thief	小偷
MJID_H_Thief	精通开锁的盗贼。\n动作灵活，擅长使用短剑。
MJID_Dancer	舞蹈家
MJID_H_Dancer	舞姿曼妙的舞蹈家。\n能替伙伴打气，使其再次行动。
MJID_Villager	村民
MJID_H_Villager	村子的居民，没有战斗能力。
MJID_Melusine	美露莘
MJID_H_Melusine	驱使魔龙、妖艳的魔道骑士。\n以强大的魔法与剑技征服战场。
MJID_Barbarian	蛮族
MJID_H_Barbarian	拥有健壮体格的暴徒。\n力量和速度优异，但防守较弱。
MJID_MorphDragon	异形龙
MJID_H_MorphDragon	将世界导向毁灭的邪龙使徒。\n所使出的暗之吐息能将一切破坏殆尽。
MJID_PhantomDragon	幻影龙
MJID_H_PhantomDragon	身形庞大的龙之眷属。\n动作迟钝，但其吐息能攻击远处敌人。
MJID_Emblem	纹章士
MJID_H_Emblem	寄宿在戒指中的异界英雄。\n拥有超越人类智慧的力量。
