MID_WU_C_1_IN_#001	我真的能进来吗？
MID_WU_A_1_HELLO_#003	我可不想看到神龙大人痛得大叫呢。
MID_WU_A_2_IN_#001	现在回想起来，我好像……
MID_WU_A_2_IN_#002	没有叫过另一个神龙大人起床呢。
MID_WU_A_2_SOON_#001	抱歉，我的声音太大了吗？
MID_WU_A_2_SOON_#002	我只是想起了一些往事。
MID_WU_A_2_SOON_#003	负责叫你起床的工作也不错呢。
MID_WU_A_2_WAKEUP_#001	在另一个世界里，
MID_WU_A_2_WAKEUP_#002	如果我没记错的话……
MID_WU_A_2_WAKEUP_#003	几乎没见过神龙大人睡觉。
MID_WU_A_2_WAKEUP_#004	难道说一直没睡吗……？
MID_WU_A_2_WAKEUP_#005	应该不可能吧。
MID_WU_A_2_HELLO_#001	早安。
MID_WU_A_2_HELLO_#002	这个世界的你还真会给人添麻烦啊。
MID_WU_A_2_HELLO_#003	不过，我最近……
MID_WU_A_2_HELLO_#004	开始喜欢上照顾你的感觉了。
MID_WU_S_1_IN_#001	还在睡吗……
MID_WU_S_1_IN_#002	可恶，
MID_WU_S_1_IN_#003	没想到\x0E\x0A\x02\x00的睡脸这么可爱。
MID_WU_S_1_SOON_#001	早安。
MID_WU_S_1_SOON_#002	你能早早起床，真是太好了。
MID_WU_S_1_SOON_#003	你问我为什么？
MID_WU_S_1_SOON_#004	只要看到搭档的可爱睡脸，
MID_WU_S_1_SOON_#005	我的心脏就会噗通噗通地跳个不停……
MID_WU_S_1_SOON_#006	这样也是很疼的啊。
MID_WU_S_1_WAKEUP_#001	真是一副安心的睡脸呢。
MID_WU_S_1_WAKEUP_#002	老实说，我很想逃离现实，
MID_WU_S_1_WAKEUP_#003	一直看着你的睡脸下去……
MID_WU_S_1_WAKEUP_#004	但既然我来到这个世界，
MID_WU_S_1_WAKEUP_#005	就会不停地战斗下去……
MID_WU_S_1_WAKEUP_#006	即使粉身碎骨也在所不惜。
MID_WU_S_1_WAKEUP_#007	哪怕在将来……
MID_WU_S_1_WAKEUP_#008	我要承受无数的伤痛……
MID_WU_S_1_WAKEUP_#009	只要你平安无事，我就心满意足了。
MID_WU_S_1_HELLO_#001	你起床了啊？
MID_WU_S_1_HELLO_#002	为了能平安度过今天，我们可要好好努力哦。
MID_WU_S_1_HELLO_#003	要是你遇上了危险……
MID_WU_S_1_HELLO_#004	就逃到我这里来吧。
MID_WU_S_1_HELLO_#005	我誓死也会保护你的。
MID_WU_S_2_IN_#001	我来叫你起床喽，搭档。
MID_WU_S_2_IN_#002	总觉得有点难为情呢……
MID_WU_S_2_SOON_#001	你是怕我担心，才马上起床的吗？
MID_WU_S_2_SOON_#002	谢谢你……
MID_WU_S_2_SOON_#003	你对我这么贴心，
MID_WU_S_2_SOON_#004	害我也想要宠宠你，
MID_WU_S_2_SOON_#005	让你过上幸福的时光呢。
MID_WU_S_2_WAKEUP_#001	神龙大人，
MID_WU_S_2_WAKEUP_#002	谢谢你给了我戒指……
MID_WU_S_2_WAKEUP_#003	还有如此幸福的时光。
MID_WU_S_2_WAKEUP_#004	从那天起，我就有种飘飘然的感觉……
MID_WU_S_2_WAKEUP_#005	再这样兴奋下去可不行啊。
MID_WU_S_2_WAKEUP_#006	真希望我也能让你有安全感……
MID_WU_S_2_WAKEUP_#007	总有一天，我会让你知道，
MID_WU_S_2_WAKEUP_#008	我对你的爱是多么的刻骨铭心。
MID_WU_S_2_HELLO_#001	早安。
MID_WU_S_2_HELLO_#002	来吧，今天也要勇敢地面对敌人。
MID_WU_S_2_HELLO_#003	不过，在那之前……
MID_WU_S_2_HELLO_#004	可以给我一个拥抱吗？
MID_WU_S_2_HELLO_#005	只要抱着你，
MID_WU_S_2_HELLO_#006	我就会觉得……十分安心。
