MID_MSG_CC_DLC_JOB_OPEN	可以转职为\n“附魔师”或“魔法加农炮兵”了。\n（需有各兵种的专用道具）
MJID_H_SleipnirR	控制野兽并信仰邪龙之人。\n驾驭飞马，善于魔法与杖术。
MJID_PitchforkR	EX义警队
MJID_H_PitchforkR	藉正义之名肃清异己之人。\n善于枪术。
MJID_CupidoR	EX义警队
MJID_H_CupidoR	藉正义之名肃清异己之人。\n驾驭战马，善于弓术。
MIID_ElAttack	邪恶火花
MIID_H_ElAttack	使用邪龙石力量的攻击。\n能使对手的防御力减半。
MIID_ElAttack2	腐坏火花
MIID_H_ElAttack2	使用邪龙石魔力的攻击。\n能使对手的防御力减半。\n（以物理攻击力施展的魔法攻击）
MIID_Evilstone	邪龙石
MIID_H_Evilstone	蕴含邪龙力量的龙石。\n能使对手的防御力减半。
MIID_TrueEvilstone	邪龙石·灭
MIID_H_TrueEvilstone	蕴含邪龙力量的龙石。\n能使对手的防御力减半/能攻击远方敌人。
MIID_Evilstone_Magic	邪龙石·魔
MIID_H_Evilstone_Magic	蕴含邪龙魔力的龙石。\n能使对手的防御力减半。\n（以物理攻击力施展的魔法攻击）
MIID_Evilstone_Slayer_Horse	邪龙石·屠
MIID_H_Evilstone_Slayer_Horse	蕴含邪龙特殊力量的龙石。\n能使对手的防御力减半/克制骑马。
MIID_Evilstone_Slayer_Fly	邪龙石·堕
MIID_H_Evilstone_Slayer_Fly	蕴含邪龙特殊力量的龙石。\n能使对手的防御力减半/克制飞行。
MIID_H_Liberation_E006	神龙专用。\n攻击大邪龙伊尔时，攻击力+15。
MIID_H_Liberation_E006_Normal	神龙专用。\n攻击大邪龙伊尔时，攻击力+30。
MIID_IlAttack	邪龙的强击
MIID_H_IlAttack	从庞大身躯发出的连续长射程攻击。
MIID_IlBeam	邪龙破·横扫
MIID_H_IlBeam	用黑暗光束将敌人一扫而空的广域必中攻击。\n无视防御力。
MIID_IlRush	破坏冲动
MIID_H_IlRush	破坏自身周围的地形。\n不分敌我，使受到波及的单位立即死亡，\n并吸收其生命力增强自身力量。
MIID_IlAbsorp	渴求力量
MIID_H_IlAbsorp	不分敌我，使自身周围的单位立即死亡，\n并吸收其生命力增强自身力量。
MIID_IlSummon	召唤漩涡
MIID_H_IlSummon	在周围创造出能召唤异形兵的漩涡。
MIID_MiasmaBreath	瘴气吐息
MIID_H_MiasmaBreath	充满瘴气的吐息攻击。\n无视防御力/赋予地形“瘴气”的效果。
MIID_MiasmaBall	瘴气团
MIID_H_MiasmaBall	长射程的瘴气攻击。\n无视防御力/赋予地形“瘴气”的效果。\n使对方陷入冰封与沉默状态。
MIID_ElBento	爱尔便当
MIID_H_ElBento	爱尔塞满心目中所有美味料理制成的便当。\n食用后可回复20HP。
MIID_RafaleBento	拉法尔便当
MIID_H_RafaleBento	拉法尔充满自信地装好成功料理的便当。\n食用后可回复20HP。
MIID_SelestiaBento	赛勒斯提雅便当
MIID_H_SelestiaBento	赛勒斯提雅用来不及吃的料理制成的便当。\n食用后可回复20HP。
MIID_GregoryBento	孤雷葛里便当
MIID_H_GregoryBento	孤雷葛里温柔地装好成功料理的便当。\n食用后可回复20HP。
MIID_MadelineBento	玛德琳便当
MIID_H_MadelineBento	玛德琳用反复摸索做出的拿手菜制成的便当。\n食用后可回复20HP。
MIID_EnchantSeal	神秘包包
MIID_H_EnchantSeal	可转职成附魔师。
MIID_MageCannonSeal	魔法大炮
MIID_H_MageCannonSeal	可转职成魔法加农炮兵。
MSID_PrivateSkill_El	守护者
MSID_H_PrivateSkill_El	拉法尔受到敌人攻击时\n必杀+10，效果持续1回合
MSID_H_PrivateSkill_El_E	伊尔受到敌人攻击时\n必杀+10，效果持续1回合
MSID_PrivateSkill_Rafale	争强好胜
MSID_H_PrivateSkill_Rafale	周围2格内的我方单位\n打倒敌人时，必杀+10\n效果持续1回合
MSID_PrivateSkill_Il	自卑情结
MSID_H_PrivateSkill_Il	周围2格内的我方单位\n打倒敌人时，必杀+10\n效果持续1回合
MSID_PrivateSkill_Selestia	开心果
MSID_H_PrivateSkill_Selestia	打倒敌人时，周围2格内的我方单位\n命中+20，效果持续1回合
MSID_PrivateSkill_Gregory	生存战略
MSID_H_PrivateSkill_Gregory	自身周围3格内的敌方单位\n多于我方单位时，回避+20
MSID_PrivateSkill_Madeline	理想中的骑士
MSID_H_PrivateSkill_Madeline	受到敌人攻击时\n若有我方单位与自身相邻\n所受伤害-2
MSID_PrivateSkill_Alfred_E	保身
MSID_PrivateSkill_Celine_E	战场之花
MSID_PrivateSkill_Diamand_E	犹豫不决
MSID_PrivateSkill_Staluke_E	自命不凡
MSID_PrivateSkill_Ivy_E	居然伤到我了？
MSID_PrivateSkill_Hortensia_E	秘密支援
MSID_PrivateSkill_Misutira_E	王者尊严
MSID_PrivateSkill_Fogato_E	杀戮者
MSID_JobSkill_MorphFlyingDragon	瘴气领域
MSID_H_JobSkill_MorphFlyingDragon	我军行动阶段开始时\n对自身周围2格的地形赋予“瘴气”效果
MSID_JobSkill_ShadowPrincessR	抑制纹章气
MSID_H_JobSkill_ShadowPrincessR	受到结合技攻击时\n所受伤害-20%
MSID_JobSkill_ShadowLordR	增进纹章气
MSID_H_JobSkill_ShadowLordR	我军行动阶段开始时\n相邻我方单位的结合计量条+1
MSID_DisplaySkill_DamageCut	邪龙阵加护
MSID_H_DisplaySkill_DamageCut	所受伤害-50\n受到对方必杀攻击的几率-50
MSID_ChainAttackDamageWeaken+	撕裂牵绊者+
MSID_H_ChainAttackDamageWeaken+	使敌人连锁攻击的\n命中率必定为10%\n并减少所受伤害
MSID_H_SenerioEngage_DarkSide	使用魔法攻击时\n可回复造成伤害50%的HP
MSID_H_SenerioEngageAtk_DarkSide	以炎、雷、风魔法（克制飞行）\n对范围内的敌人发动3连击
MAID_ElWear	双龙公主服装
MAID_H_ElWear	来自异世界的伙伴──邪龙族后裔爱尔的便服。\n在多年的缝缝补补下，下半身的服装与手套已变成特殊造型。
MAID_RafaleWear	双龙王子服装
MAID_H_RafaleWear	来自异世界的伙伴──邪龙族后裔拉法尔的便服。\n造型简约大方，以免抢去与爱尔成对的吊坠的风采。
MAID_SelestiaWear	魔龙族洋装
MAID_H_SelestiaWear	来自异世界的伙伴──四翼首领赛勒斯提雅的便服。\n要将一头长发绑得整齐漂亮得花不少功夫，有时还会请伙伴帮忙打理。
MAID_GregoryWear	信徒斗篷
MAID_H_GregoryWear	来自异世界的伙伴──四翼副官孤雷葛里的便服。\n斗篷上的邪龙信徒纹章是效忠主人的象征，令他相当自豪。
MAID_MadelineWear	成熟风百褶裙
MAID_H_MadelineWear	来自异世界的伙伴──四翼玛德琳的便服。\n融入了玛德琳最喜欢的缎带，但仍不失成熟稳重的感觉。
MID_LVUP_1_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x0E\x04エル\x06Die\n\x0E\x03\x02\x06\x04エル\n凡事本就不会那么顺利。\x0E\x04\x00\x00
MID_LVUP_2_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x14\x04エル\x0CNormal\n\x0E\x03\x02\x06\x04エル\n不重要，继续努力吧。\x0E\x04\x00\x00
MID_LVUP_3_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x14\x04エル\x0CNormal\n\x0E\x03\x02\x06\x04エル\n结果就是这样，\n不是我能决定的。\x0E\x04\x00\x00
MID_LVUP_4_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x12\x04エル\nSmile\n\x0E\x03\x02\x06\x04エル\n能让神龙大人满意就好。\x0E\x04\x00\x00
MID_LVUP_LIMIT_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x12\x04エル\nSmile\n\x0E\x03\x02\x06\x04エル\n看来我的实力已达巅峰。\x0E\x04\x00\x00
MID_LVUP_CC_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x12\x04エル\nSmile\n\x0E\x03\x02\x06\x04エル\n感谢神龙大人让我面目一新，\n我会好好珍惜这份礼物的。\x0E\x04\x00\x00
MID_LVUP_1_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x14\nラファール\x06Sad\n\x0E\x03\x02\x0C\nラファール\n吾才不是废物……\x0E\x04\x00\x00
MID_LVUP_2_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x18\nラファール\nAngry\n\x0E\x03\x02\x0C\nラファール\n吾不会在此止步！\n继续！\x0E\x04\x00\x00
MID_LVUP_3_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x1C\nラファール\x0ESerious\n\x0E\x03\x02\x0C\nラファール\n这也是理所当然，\n没什么好高兴的。\x0E\x04\x00\x00
MID_LVUP_4_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x1A\nラファール\x0CStrike\n\x0E\x03\x02\x0C\nラファール\n哈哈哈，看到了吗，神龙！\n这一切都是吾的力量！\x0E\x04\x00\x00
MID_LVUP_LIMIT_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x18\nラファール\nSmile\n\x0E\x03\x02\x0C\nラファール\n无论是在这里，还是原本的世界……\n吾都已拥有强大的力量。\x0E\x04\x00\x00
MID_LVUP_CC_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x1C\nラファール\x0EStandBy\n\x0E\x03\x02\x0C\nラファール\n无论变成什么模样，吾一样要消灭敌人。\n可以出发了吗？\x0E\x04\x00\x00
MID_LVUP_1_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x16\x0Cセレスティア\x06Sad\n\x0E\x03\x02\x0E\x0Cセレスティア\n真奇怪，以魔龙族来说，\n我应该还很年轻啊……\x0E\x04\x00\x00
MID_LVUP_2_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x1A\x0Cセレスティア\nSmile\n\x0E\x03\x02\x0E\x0Cセレスティア\n小小的变化也会让我雀跃不已，这大概就是少女心吧。\x0E\x04\x00\x00
MID_LVUP_3_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x1A\x0Cセレスティア\nAngry\n\x0E\x03\x02\x0E\x0Cセレスティア\n我想获得四翼首领应有的力量。\x0E\x04\x00\x00
MID_LVUP_4_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x1A\x0Cセレスティア\nRelax\n\x0E\x03\x02\x0E\x0Cセレスティア\n热血沸腾起来了，\n现在的我彷佛无所不能。\x0E\x04\x00\x00
MID_LVUP_LIMIT_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x1A\x0Cセレスティア\nSmile\n\x0E\x03\x02\x0E\x0Cセレスティア\n我变得更强了，\n已不是原本世界的我可以比拟的了。\x0E\x04\x00\x00
MID_LVUP_CC_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x1A\x0Cセレスティア\nSmile\n\x0E\x03\x02\x0E\x0Cセレスティア\n真开心，我没什么机会试穿其它衣服呢。\n这套适合我吗，神龙大人？\x0E\x04\x00\x00
MID_LVUP_1_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x14\nグレゴリー\x06Sad\n\x0E\x03\x02\x0C\nグレゴリー\n改变虽然令人恐惧，\n但一成不变也很可怕啊……\x0E\x04\x00\x00
MID_LVUP_2_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x14\nグレゴリー\x06Shy\n\x0E\x03\x02\x0C\nグレゴリー\n好！这样就不会那么怕痛了……\n对吧？\x0E\x04\x00\x00
MID_LVUP_3_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x18\nグレゴリー\nAngry\n\x0E\x03\x02\x0C\nグレゴリー\n我要用这份力量\n创造一个没有恐惧和疼痛的世界。\x0E\x04\x00\x00
MID_LVUP_4_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x1E\nグレゴリー\x10Surprise\n\x0E\x03\x02\x0C\nグレゴリー\n发、发生什么事了？\n我可以感到开心吧？\x0E\x04\x00\x00
MID_LVUP_LIMIT_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x1A\nグレゴリー\x0CStatus\n\x0E\x03\x02\x0C\nグレゴリー\n要是获得更强大的力量，\n我似乎会变得很吓人。\x0E\x04\x00\x00
MID_LVUP_CC_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x18\nグレゴリー\nSmile\n\x0E\x03\x02\x0C\nグレゴリー\n怎么样……适合我吗？\n希望不会被敌人小看了。\x0E\x04\x00\x00
MID_LVUP_1_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x14\nマデリーン\x06Sad\n\x0E\x03\x02\x0C\nマデリーン\n真是太没出息了，\n下次一定要拿出成果。\x0E\x04\x00\x00
MID_LVUP_2_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x1C\nマデリーン\x0ESerious\n\x0E\x03\x02\x0C\nマデリーン\n算是勉强及格吧？\n还得变得更强才行。\x0E\x04\x00\x00
MID_LVUP_3_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x18\nマデリーン\nSmile\n\x0E\x03\x02\x0C\nマデリーン\n成功了！\n别因为我年纪小就小看我哦。\x0E\x04\x00\x00
MID_LVUP_4_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x18\nマデリーン\nRelax\n\x0E\x03\x02\x0C\nマデリーン\n我不需要他人的称赞……\n但还是想表扬自己拿出这样的成果。\x0E\x04\x00\x00
MID_LVUP_LIMIT_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x18\nマデリーン\nRelax\n\x0E\x03\x02\x0C\nマデリーン\n多亏有伙伴们，\n我才能成长到极致。\x0E\x04\x00\x00
MID_LVUP_CC_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x14\nマデリーン\x06Shy\n\x0E\x03\x02\x0C\nマデリーン\n一名骑士得驾驭任何战斗服……\n不过，这打扮适合我吗？\x0E\x04\x00\x00
MID_RELAY_Stamp_El_0	振作点哦。
MID_RELAY_Stamp_Rafale_0	别让吾失望了。
MID_RELAY_Stamp_Selestia_0	越来越有趣了！
MID_RELAY_Stamp_Gregory_0	饶了我吧，我怕痛啊。
MID_RELAY_Stamp_Madeline_0	请不要把我当小孩子。
MID_BGM_DLC_Evt_Twin_ST_Play	双龙的冀望
MID_BGM_DLC_Evt_Twin_Exposed_ST_Play	你的梦想无法成真
MID_BGM_DLC_Sys_Gmap_ST_Play	龙之旅途
MID_BGM_DLC_Field_P14_Map_ST_Play	救世与丧失
MID_BGM_DLC_Field_P14_Combat_ST_Play	救世与丧失～叛
MID_BGM_DLC_Field_P15_ST_Play	反向结合
MID_BGM_DLC_Boss_07_Pre_ST_Play	流转之人
MID_BGM_DLC_Boss_07_Start_ST_Play	流转之人～烈
MID_BGM_DLC_Sys_ED2_ST_Play	旅途终将落幕～全
MID_BGM_DLC_Mov_GOP_Full_ST_Play	Emblem Engage!　～完整版
MID_BGM_DLC_Field_P15_Pre_ST_Play	从假寐中苏醒
MID_BGM_DLC_Evt_Twin_Past_ST_Play	回忆
MID_Hub_Well_Difficulty_Change	更改难度
MID_Hub_Well_Difficulty_Change_Confirm	是否更改邪龙之章的难度？\n（不会更改主线故事的难度\n此外，可不限次数自由更改本章难度）
MID_Hub_Well_Difficulty_Change_Before	当前难度
MID_Hub_Well_Difficulty_Change_Normal	更改为普通
MID_Hub_Well_Difficulty_Change_Hard	更改为困难
MID_Hub_Well_Difficulty_Change_Lunatic	更改为超难
MID_Hub_Well_Difficulty_Change_Cancel	取消
MID_Hub_Well_Difficulty_Change_Dialog	已将邪龙之章难度更改为“\x0E\x01\x00\x00”。
MID_FORTUNE_TROUBLE_El	啃了太多柠檬，\n结果引来众人的担心。
MID_FORTUNE_TROUBLE_Rafale	看到甜点时，\n嘴角会不自觉地上扬。
MID_FORTUNE_TROUBLE_Selestia	当鸟儿停在头上的角时，\n自己常会动弹不得。
MID_FORTUNE_TROUBLE_Gregory	最近喜欢的玩偶\n变得有点脏脏的。
MID_FORTUNE_TROUBLE_Madeline	很喜欢缎带，\n却非常不会绑蝴蝶结。
MID_Movie_E07	异世界的记忆
MID_H_Movie_E07	神龙\x0E\x06\x03\x00受邪龙双胞胎的召唤，\n来到了异世界的艾雷欧斯大陆。\n在这即将毁灭的世界，展开了七手镯的争夺战。
