MID_SYS_EnchantEffect	附魔效果
MSID_H_Adaptability	受到敌人攻击时\n若为物理攻击，战斗后防守+2\n若为魔法攻击，战斗后魔防+2
MSID_Adaptability+	适应力+
MSID_H_Adaptability+	受到敌人攻击时\n若为物理攻击，战斗后防守+3\n若为魔法攻击，战斗后魔防+3
MSID_HectorEngage	铁壁
MSID_H_HectorEngage	受到敌人攻击时，防守、魔防增为130%
MSID_H_HectorEngage_Dragon	受到敌人攻击时，防守、魔防增为130%\n【龙族】必避增为150%
MSID_H_HectorEngage_Horse	受到敌人攻击时，防守、魔防增为130%\n【骑马】使冰封状态无效
MSID_H_HectorEngage_Heavy	受到敌人攻击时，防守、魔防增为130%\n【重装】防守的提升率增为150%
MSID_H_HectorEngage_Fly	受到敌人攻击时，防守、魔防增为130%\n【飞行】魔防的提升率增为150%
MSID_HectorEngageAtk	止水雷轰架势
MSID_H_HectorEngageAtk	不会受到敌人追击或陷入打破状态\n且自身反击时将发动追击，效果持续1回合\n仅限持剑、斧
MSID_H_HectorEngageAtk_Dragon	不会受到敌人追击或陷入打破状态\n且自身反击时将发动追击，效果持续1回合\n仅限持剑、斧\n【龙族】敌人无法使出必杀攻击
MSID_H_HectorEngageAtk_Coop	不会受到敌人追击或陷入打破状态\n且自身反击时将发动追击，效果持续1回合\n仅限持剑、斧\n【连携】必杀+20
MSID_H_HectorEngageAtk_Covert	不会受到敌人追击或陷入打破状态\n且自身反击时将发动追击，效果持续1回合\n仅限持剑、斧\n【隐密】回避+30
MSID_H_HectorEngageAtk_CMD	自身可发动追击，但敌人无法追击
MSID_HectorEngageAtk+	止水雷轰架势+
MSID_H_HectorEngageAtk+	战斗时必定可抢先攻击对方\n不会受到敌人追击或陷入打破状态\n且自身反击时将发动追击，效果持续1回合\n仅限持剑、斧
MSID_H_HectorEngageAtk+_Dragon	战斗时必定可抢先攻击对方\n不会受到敌人追击或陷入打破状态\n且自身反击时将发动追击，效果持续1回合\n仅限持剑、斧\n【龙族】敌人无法使出必杀攻击
MSID_H_HectorEngageAtk+_Coop	战斗时必定可抢先攻击对方\n不会受到敌人追击或陷入打破状态\n且自身反击时将发动追击，效果持续1回合\n仅限持剑、斧\n【连携】必杀+20
MSID_H_HectorEngageAtk+_Covert	战斗时必定可抢先攻击对方\n不会受到敌人追击或陷入打破状态\n且自身反击时将发动追击，效果持续1回合\n仅限持剑、斧\n【隐密】回避+30
MSID_H_HectorEngageAtk+_CMD	自身可抢先攻击并发动追击，\n但敌人无法追击
MSID_MagicOfLaw+	理之精髓
MSID_H_MagicOfLaw+	使用魔道书攻击时，炎之魔法可使对方防守-3\n雷之魔法可使对方命中-20\n风之魔法可使对方移动-2，效果持续1回合
MSID_KeenInsight	慧眼
MSID_H_KeenInsight	造成克制伤害时\n伤害+5
MSID_KeenInsight+	慧眼+
MSID_H_KeenInsight+	造成克制伤害时\n伤害+7
MSID_NominateDecoy	指名诱饵
MSID_H_NominateDecoy	可使用“指名诱饵”指令\n使任意我方单位容易成为敌方目标\n效果持续1回合\n最多指定1名/受到敌人3次攻击后解除
MSID_H_NominateDecoy_CMD	使我方单位容易成为敌方目标。
MSID_PreventionReturn	阻止复原
MSID_H_PreventionReturn	使用魔道书攻击陷入打破状态的敌人时\n有一定几率让敌人继续维持打破状态\n（速度比对方越高，几率越高）
MSID_SenerioEngage	阳光
MSID_H_SenerioEngage	用魔法发动攻击时，使对手的魔防-20%\n并回复造成伤害50%的HP
MSID_H_SenerioEngage_Dragon	以魔法发动攻击时，使对手的魔防-20%\n并回复造成伤害50%的HP\n【龙族】必杀增为2倍
MSID_H_SenerioEngage_Magic	用魔法发动攻击时，使对手的魔防-20%\n并回复造成伤害50%的HP\n【魔道】使对方的魔防额外-10%
MSID_H_SenerioEngage_Prana	用魔法发动攻击时，使对手的魔防-20%\n并回复造成伤害50%的HP\n【气功】回复量增为造成伤害的100%
MSID_SenerioEngageAtk	灾厄
MSID_H_SenerioEngageAtk	以40%伤害的炎、雷、风魔法（克制飞行）\n对范围内的敌人发动3连击
MSID_H_SenerioEngageAtk_Dragon	以40%伤害的炎、雷、风魔法（克制飞行）\n对范围内的敌人发动3连击\n【龙族】对攻击范围的地形赋予“火焰”效果
MSID_H_SenerioEngageAtk_Magic	以40%伤害的炎、雷、风魔法（克制飞行）\n对范围内的敌人发动3连击\n【魔道】伤害+10%
MSID_H_SenerioEngageAtk_Prana	以40%伤害的炎、雷、风魔法（克制飞行）\n对范围内的敌人发动3连击\n【气功】20%几率使对方陷入打破状态
MSID_H_SenerioEngageAtk_CMD	对范围内的敌人发动\n炎、雷、风魔法的3连击
MSID_H_SenerioEngageAtk_G004	以30%伤害的炎、雷、风魔法（克制飞行）\n对范围内的敌人发动3连击
MSID_SenerioEngageAtk+	灾厄+
MSID_H_SenerioEngageAtk+	以40%伤害的炎、雷、风魔法（克制飞行）\n对范围内的敌人发动3连击
MSID_H_SenerioEngageAtk+_Dragon	以40%伤害的炎、雷、风魔法（克制飞行）\n对范围内的敌人发动3连击\n【龙族】对攻击范围的地形赋予“火焰”效果
MSID_H_SenerioEngageAtk+_Magic	以40%伤害的炎、雷、风魔法（克制飞行）\n对范围内的敌人发动3连击\n【魔道】伤害+10%
MSID_H_SenerioEngageAtk+_Prana	以40%伤害的炎、雷、风魔法（克制飞行）\n对范围内的敌人发动3连击\n【气功】20%机率使对方陷入打破状态
MSID_H_SenerioEngageAtk+_CMD	对范围内的敌人发动\n炎、雷、风魔法的3连击
MSID_DragonPulse_other	龙脉·暗
MSID_H_DragonPulse_other	可使用“龙脉·暗”指令\n对格子赋予特殊效果
MSID_H_DragonPulse_other_CMD	对格子赋予特殊效果。
MSID_H_DragonPulse_other_Dragon	可使用“龙脉·暗”指令\n对格子赋予特殊效果\n【龙族】可赋予全种类的龙脉
MSID_DragonPulse_other_Coop	龙脉·暗〈护〉
MSID_H_DragonPulse_other_Coop_CMD	创造出具有防守、魔防\n提升效果的土柱。
MSID_H_DragonPulse_other_Coop	可使用“龙脉·暗〈护〉”指令\n对格子赋予特殊效果\n【连携】创造出具有防守、魔防\n提升效果的土柱
MSID_DragonPulse_other_Horse	龙脉·暗〈水〉
MSID_H_DragonPulse_other_Horse_CMD	创造出具有\n回避降低效果的水洼。
MSID_H_DragonPulse_other_Horse	可使用“龙脉·暗〈水〉”指令\n对格子赋予特殊效果\n【骑马】创造出具有\n回避降低效果的水洼
MSID_DragonPulse_other_Covert	龙脉·暗〈烟〉
MSID_H_DragonPulse_other_Covert_CMD	创造出具有\n防御和回避降低效果的黑烟。
MSID_H_DragonPulse_other_Covert	可使用“龙脉·暗〈烟〉”指令\n对格子赋予特殊效果\n【隐密】创造出具有\n防御和回避降低效果的黑烟
MSID_DragonPulse_other_Heavy	龙脉·暗〈绿〉
MSID_H_DragonPulse_other_Heavy_CMD	创造出使打破效果\n无效的藤蔓。
MSID_H_DragonPulse_other_Heavy	可使用“龙脉·暗〈绿〉”指令\n对格子赋予特殊效果\n【重装】创造出使打破效果\n无效的藤蔓
MSID_DragonPulse_other_Fly	龙脉·暗〈愈〉
MSID_H_DragonPulse_other_Fly_CMD	创造出具有HP回复效果的\n治愈之雾。
MSID_H_DragonPulse_other_Fly	可使用“龙脉·暗〈愈〉”指令\n对格子赋予特殊效果\n【飞行】创造出具有HP回复效果的\n治愈之雾
MSID_DragonPulse_other_Magic	龙脉·暗〈炎〉
MSID_H_DragonPulse_other_Magic_CMD	创造出具有\n伤害效果的火焰。
MSID_H_DragonPulse_other_Magic	可使用“龙脉·暗〈炎〉”指令\n对格子赋予特殊效果\n【魔道】创造出具有伤害效果的火焰
MSID_DragonPulse_other_Prana	龙脉·暗〈迅〉
MSID_H_DragonPulse_other_Prana_CMD	创造出具有\n移动提升效果的结冰。
MSID_H_DragonPulse_other_Prana	可使用“龙脉·暗〈迅〉”指令\n对格子赋予特殊效果\n【气功】创造出具有\n移动提升效果的结冰
MSID_EarthVeinAbsorption	地脉吸收
MSID_H_EarthVeinAbsorption	消除待命格子上的效果\n（“火焰”“瘴气”等），并回复10HP
MSID_Detox	解毒
MSID_H_Detox	我军行动阶段开始时解除中毒状态
MSID_CleanUp	乘胜追击
MSID_H_CleanUp	自身发动攻击并触发必杀攻击的情况下\n战斗后给对方造成5伤害
MSID_CleanUp+	乘胜追击+
MSID_H_CleanUp+	自身发动攻击并触发必杀攻击的情况下\n战斗后给对方造成10伤害
MSID_CamillaEngage	天驱
MSID_H_CamillaEngage	移动+2/不受地形效果影响\n不是飞行类型也可进入无法步行的地形
MSID_H_CamillaEngage_Dragon	移动+2/不受地形效果影响\n不是飞行类型也可进入无法步行的地形\n【龙族】自身发动攻击时\n对周围2格内的敌人造成HP最大值10%的伤害
MSID_H_CamillaEngage_Horse	移动+2/不受地形效果影响\n不是飞行类型也可进入无法步行的地形\n【骑马】移动额外+2
MSID_H_CamillaEngage_Fly	移动+2/不受地形效果影响\n不是飞行类型也可进入无法步行的地形\n【飞行】移动额外+1
MSID_CamillaEngageAtk	暗夜爆破阵
MSID_H_CamillaEngageAtk	对自身周围特定格子上的敌人造成伤害\n并使格子陷入燃烧状态
MSID_H_CamillaEngageAtk_Dragon	对自身周围特定格子上的敌人造成伤害\n并使格子陷入燃烧状态\n【龙族】扩大效果范围
MSID_H_CamillaEngageAtk_Magic	对自身周围特定格子上的敌人造成伤害\n并使格子陷入燃烧状态\n【魔道】伤害增为120%
MSID_H_CamillaEngageAtk_Prana	对自身周围特定格子上的敌人造成伤害\n并使格子陷入燃烧状态\n【气功】对自身周围1格的地形\n赋予“熏香”效果
MSID_H_CamillaEngageAtk_CMD	攻击特定格子后，\n使格子陷入燃烧状态
MSID_CamillaEngageAtk+	暗夜爆破阵+
MSID_H_CamillaEngageAtk+	对自身周围特定格子上的敌人造成伤害\n并使格子陷入燃烧状态
MSID_H_CamillaEngageAtk+_Dragon	对自身周围特定格子上的敌人造成伤害\n并使格子陷入燃烧状态\n【龙族】扩大效果范围
MSID_H_CamillaEngageAtk+_Magic	对自身周围特定格子上的敌人造成伤害\n并使格子陷入燃烧状态\n【魔道】伤害增为120%
MSID_H_CamillaEngageAtk+_Prana	对自身周围特定格子上的敌人造成伤害\n并使格子陷入燃烧状态\n【气功】对自身周围1格的地形\n赋予“熏香”效果
MSID_H_CamillaEngageAtk+_CMD	攻击特定格子后，\n使格子陷入燃烧状态
MSID_Str_Def_1	力量、防守+1
MSID_H_Str_Def_1	力量与防守提升1
MSID_Str_Def_2	力量、防守+2
MSID_H_Str_Def_2	力量与防守提升2
MSID_Str_Def_3	力量、防守+3
MSID_H_Str_Def_3	力量与防守提升3
MSID_Str_Def_4	力量、防守+4
MSID_H_Str_Def_4	力量与防守提升4
MSID_Str_Def_5	力量、防守+5
MSID_H_Str_Def_5	力量与防守提升5
MSID_Mag_Res_1	魔力、魔防+1
MSID_H_Mag_Res_1	魔力与魔防提升1
MSID_Mag_Res_2	魔力、魔防+2
MSID_H_Mag_Res_2	魔力与魔防提升2
MSID_Mag_Res_3	魔力、魔防+3
MSID_H_Mag_Res_3	魔力与魔防提升3
MSID_Mag_Res_4	魔力、魔防+4
MSID_H_Mag_Res_4	魔力与魔防提升4
MSID_Mag_Res_5	魔力、魔防+5
MSID_H_Mag_Res_5	魔力与魔防提升5
MSID_Spd_Res_1	速度、魔防+1
MSID_H_Spd_Res_1	速度与魔防提升1
MSID_Spd_Res_2	速度、魔防+2
MSID_H_Spd_Res_2	速度与魔防提升2
MSID_Spd_Res_3	速度、魔防+3
MSID_H_Spd_Res_3	速度与魔防提升3
MSID_Spd_Res_4	速度、魔防+4
MSID_H_Spd_Res_4	速度与魔防提升4
MSID_Spd_Res_5	速度、魔防+5
MSID_H_Spd_Res_5	速度与魔防提升5
MSID_AntiAxeArts_1	斧术对策Lv.1
MSID_H_AntiAxeArts_1	与装备斧的敌人战斗时\n所受伤害-1
MSID_AntiAxeArts_2	斧术对策Lv.2
MSID_H_AntiAxeArts_2	与装备斧的敌人战斗时\n所受伤害-2
MSID_AntiAxeArts_3	斧术对策Lv.3
MSID_H_AntiAxeArts_3	与装备斧的敌人战斗时\n所受伤害-3
MSID_AntiAxeArts_4	斧术对策Lv.4
MSID_H_AntiAxeArts_4	与装备斧的敌人战斗时\n所受伤害-4
MSID_AntiAxeArts_5	斧术对策Lv.5
MSID_H_AntiAxeArts_5	与装备斧的敌人战斗时\n所受伤害-5
MSID_AntiMagicArts_1	魔道对策Lv.1
MSID_H_AntiMagicArts_1	与装备魔道书的敌人战斗时\n所受伤害-1
MSID_AntiMagicArts_2	魔道对策Lv.2
MSID_H_AntiMagicArts_2	与装备魔道书的敌人战斗时\n所受伤害-2
MSID_AntiMagicArts_3	魔道对策Lv.3
MSID_H_AntiMagicArts_3	与装备魔道书的敌人战斗时\n所受伤害-3
MSID_AntiMagicArts_4	魔道对策Lv.4
MSID_H_AntiMagicArts_4	与装备魔道书的敌人战斗时\n所受伤害-4
MSID_AntiMagicArts_5	魔道对策Lv.5
MSID_H_AntiMagicArts_5	与装备魔道书的敌人战斗时\n所受伤害-5
MSID_AntiLanceArts_1	枪术对策Lv.1
MSID_H_AntiLanceArts_1	与装备枪的敌人战斗时\n所受伤害-1
MSID_AntiLanceArts_2	枪术对策Lv.2
MSID_H_AntiLanceArts_2	与装备枪的敌人战斗时\n所受伤害-2
MSID_AntiLanceArts_3	枪术对策Lv.3
MSID_H_AntiLanceArts_3	与装备枪的敌人战斗时\n所受伤害-3
MSID_AntiLanceArts_4	枪术对策Lv.4
MSID_H_AntiLanceArts_4	与装备枪的敌人战斗时\n所受伤害-4
MSID_AntiLanceArts_5	枪术对策Lv.5
MSID_H_AntiLanceArts_5	与装备枪的敌人战斗时\n所受伤害-5
MSID_JobSkill_Enchant1	附魔
MSID_JobSkill_Enchant1_CMD1	极限活用
MSID_H_JobSkill_Enchant1_CMD1	消耗道具强化单位。
MSID_JobSkill_Enchant1_CMD2	武器共鸣
MSID_H_JobSkill_Enchant1_CMD2	指定并强化与其同名的武器。
MSID_JobSkill_Enchant2	运输队
MSID_H_JobSkill_Enchant2	可使用“运输队”指令\n来保管或取出武器和道具
MSID_H_Ent_AntiMorph_Short	克制异形，效果持续1回合
MSID_H_Ent_ResistChain_Short	HP最大值+\x0E\x01\x00\x00并使敌人的连锁攻击无效，效果持续1回合
MSID_H_Ent_WeightZero_Short	力量+\x0E\x01\x00\x00并使武器重量减半，效果持续1回合
MSID_H_Ent_ResistBreak_Short	技巧+\x0E\x01\x00\x00并使敌人的打破无效，效果持续1回合
MSID_H_Ent_ResistFreeze_Short	速度+\x0E\x01\x00\x00并使冰封无效，效果持续1回合
MSID_H_Ent_MayNoDamage_Short	30%几率使敌人的伤害无效，效果持续1回合
MSID_H_Ent_ReflectPhysic_Short	反射受到的物理攻击伤害，效果持续1回合
MSID_H_Ent_ResistSilence_Short	魔力+\x0E\x01\x00\x00并使沉默无效，效果持续1回合
MSID_H_Ent_ReflectMagic_Short	反射受到的魔法攻击伤害，效果持续1回合
MSID_H_Ent_HoldOutOnce_Short	若战斗开始时HP为2以上，受到致命伤也能存活（1次）
MSID_Ent_AntiMorph	克制异形
MSID_Ent_ResistChain	连锁攻击无效
MSID_Ent_WeightZero	武器重量减半
MSID_Ent_ResistBreak	打破无效
MSID_Ent_ResistFreeze	冰封无效
MSID_Ent_MayNoDamage	伤害无效
MSID_Ent_ReflectPhysic	物理反射
MSID_Ent_ResistSilence	沉默无效
MSID_Ent_ReflectMagic	魔法反射
MSID_Ent_HoldOutOnce	坚忍
MAID_Mascot	守护神配对套装
MAID_MascotM	守护神玩偶装
MAID_H_MascotM	仿照索拉涅尔传说中守护神制作的玩偶装。\n从柔软的肉球到毛茸茸的尾巴，每个细节都可爱到令人融化。
MAID_MascotF	守护神玩偶装
MAID_H_MascotF	仿照索拉涅尔传说中守护神制作的玩偶装。\n从柔软的肉球到毛茸茸的尾巴，每个细节都可爱到令人融化。
MAID_SolaHead	守护神尊容
MAID_H_SolaHead	仿造索拉涅尔传说中守护神的面具。\n真实重现守护神那奇妙神情的珍品，推荐给想完美化身成守护神的人。
MAID_CatEar	守护神耳朵
MAID_H_CatEar	仿造索拉涅尔传说中守护神耳朵的商品。\n是学者们根据文献精心制作的珍品，推荐给想化身成守护神的人。
MAID_DogEar	狗耳朵
MAID_H_DogEar	仿造艾雷欧斯犬耳朵的商品。作工精细，真实呈现本尊的毛皮。\n只要戴上它，就能化身成人见人爱的艾雷欧斯犬。
MAID_RabbitEar	兔耳朵
MAID_H_RabbitEar	仿造跳兔耳朵的商品。毛茸茸的耳朵根部触感极佳。\n只要戴上它，就能化身成娇小可爱的跳兔。
MAID_FoxEar	狐狸耳朵
MAID_H_FoxEar	仿造空空狐狸耳朵的商品。空空狐狸是非常稀有的动物，没有什么相关商品。\n只要戴上它，就能化身成神秘的空空狐狸。
MID_BONDSRING_Hector00	异界埃列布陆地中\n位于吕基亚地区的奥斯提亚侯爵家勋爵。
MID_BONDSRING_Hector01	曾手持传说中的武器“天雷之斧阿尔玛兹”\n为好友艾利乌德挺身而战。
MID_BONDSRING_Senerio00	异界堤里乌斯陆地中\n克里米亚王国格莱尔佣兵团的成员。
MID_BONDSRING_Senerio01	是位天赋异禀的军事家，\n曾多次以妙计帮团长艾克与伙伴度过危机。
MID_BONDSRING_Camilla00	异界暗夜王国的公主，\n是王族手足中的长女。
MID_BONDSRING_Camilla01	非常重视自己的手足与朋友，\n对敌人则冷酷无情。
MGID_Ring_Hector	热血猛将的手镯
MGID_H_Ring_Hector	人称“天雷纹章士”海克托尔所寄宿的手镯。\n是位充满自信且勇敢善战的豪爽青年。
MGID_Ring_Senerio	苍色参谋的手镯
MGID_H_Ring_Senerio	人称“贤风纹章士”塞涅里欧所寄宿的手镯。\n是位做事沉着，能冷静下判断的黑衣参谋。
MGID_Ring_Camilla	黑暗妖艳的手镯
MGID_H_Ring_Camilla	人称“暗夜纹章士”卡美拉所寄宿的手镯。\n是位非常妖艳美丽的魔龙骑士。
MGID_World_Hector	草原女爵的世界
MGID_World_Senerio	苍炎勇者的世界
MGID_World_Camilla	选择未来之人的世界
MID_RELAY_Stamp_Hector_0	多依赖我一点吧，我们不是伙伴吗？
MID_RELAY_Stamp_Senerio_0	这次的成果还算不错。
MID_RELAY_Stamp_Camilla_0	得好好教训一下才行。
MID_Hub_Horse	马厩
MID_Hub_Fruit	果树园
MID_Hub_Pool	泳池
MID_Hub_Refresh	放松身心
MID_Hub_Refresh_Help	请选择两位伙伴。
MID_Hub_Refresh_Entrust	委任
MID_Hub_Refresh_Entrust_Help	自动优先选择\n可提升支援值的对象。
MID_Hub_Refresh_RelianceLv	支援状态
MID_Hub_Refresh_Place	设施
MID_Hub_Refresh_Unit	放松身心的伙伴
MID_Hub_Refresh_Used	已使用
MID_Hub_Refresh_Attention	出击前无法再次使用。
MID_Hub_Refresh_Confirmation	要开始放松身心吗？
MID_Hub_Refresh_Start	开始
MID_Hub_Refresh_Result	只看结果
MID_Hub_Refresh_Stop	取消
MID_Hub_Refresh_RelianceLvUP	已提升\n\x0E\x01\x00\x00与\x0E\x01\x01\x00的支援值。
MID_Hub_Refresh_Reliance_Occurrence	已触发\n\x0E\x01\x00\x00与\x0E\x01\x01\x00的支援对话。
MID_Hub_Refresh_NoReliance_Occurrence	\x0E\x01\x00\x00与\x0E\x01\x01\x00\n已放松身心。
PCTMID_Hector	多依赖我一点吧
PCTMID_Senerio	事实就是如此
PCTMID_Camilla	真是可爱
MID_Movie_K15	纹章士海克托尔
MID_H_Movie_K15	自“热血猛将的手镯”显现的\n纹章士海克托尔。
MID_Movie_K16	纹章士塞涅里欧
MID_H_Movie_K16	自“苍色参谋的手镯”显现的\n纹章士塞涅里欧。
MID_Movie_K17	纹章士卡美拉
MID_H_Movie_K17	自“黑暗妖艳的手镯”显现的\n纹章士卡美拉。
MID_MAP_HIS_EngageWait	\x0E\x01\x00\x00已发动止水雷轰架势。
MID_MAP_HIS_EngageWaitPlus	\x0E\x01\x00\x00已发动止水雷轰架势+。
MID_MAP_HIS_Enchant	\x0E\x01\x00\x00已发动极限活用。
