MID_WU_C_1_IN_#001	打扰了。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	一直在我脑海里挥之不去……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	噗、呵呵……糟糕，在神龙大人面前可不能……可是……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	请原谅我的无礼，竟以嘻笑声来喊醒您……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	就在刚才，我踩到水果皮摔了一跤……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	实在是摔得太精彩了，连我自己都忍不住……呵呵呵。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	我在时间到前都坚守在门前，没有任何异状……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	呀！您已经醒了吗？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	那您只要说一声，我便会离开……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	您想和我聊聊……？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	这是我的荣幸。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	前阵子让您担心了，真的很抱歉。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	您说，受我过去的恩怨牵连也没关系……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	那番话……真的令我很高兴……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	神龙大人若有需要，请尽管吩咐我吧。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	我“铁壁洁德”……必会助您一臂之力……\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	“骑士来到了珍视之人的卧室……”\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	“她心爱的搭档很快便睁开了双眼……”\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	呵呵，您听到脚步声就知道是我了吗？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	若真是那样，就太令人高兴了……早安。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	“果不其然，她的搭档一如既往地躺在祭坛上……”\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	呵呵，我真喜欢这幅画面。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	不管看几次都不会腻。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	道尽千言万语也无法诠释这幅美景。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	……不过没关系，只要您在我身边，\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	有朝一日我定能编织出最完美的话语。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	呵呵，不好意思。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	我忍不住唇角的笑意，并不是因为什么趣事。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	我只是觉得，能成为您的搭档……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	我很幸福。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	每次来到这里……我的嘴角便会不自觉地上扬……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	……只要看见您，\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	就再也无法掩饰了……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	原来除了好笑的事情，\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	幸福……也同样会让人露出笑容呢……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	我最近变得很奇怪……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	不构思喜剧的时候也会露出笑容……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	尤其是看见“约定戒指”的时候。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	而且再怎么做冥想也静不下心来……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	只要想起您，\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	我就觉得……自己成了全世界最幸福的人。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。您听见刚才那些话了吗……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	还真有点难为情呢。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	我已经无法再掩藏……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	自己对您的倾慕了……\x0E\x04\x00\x00
