MID_WU_C_1_IN_#001	四翼首领──赛勒斯提雅，
MID_WU_A_2_HELLO_#004	我会很寂寞的。
MID_WU_S_1_IN_#001	我来叫您起床喽，
MID_WU_S_1_IN_#002	我最喜欢的神龙大人。
MID_WU_S_1_SOON_#001	呵呵，我来叫您起床……
MID_WU_S_1_SOON_#002	而您听到我的声音后马上醒来。
MID_WU_S_1_SOON_#003	光是如此，我就已经感到无比幸福。
MID_WU_S_1_SOON_#004	拥有家人真是美好呢……
MID_WU_S_1_SOON_#005	我们就这样永远相依相伴吧。
MID_WU_S_1_WAKEUP_#001	唔。最爱的搭档来迎接您，您却毫无反应，
MID_WU_S_1_WAKEUP_#002	这也太让人伤心了吧。
MID_WU_S_1_WAKEUP_#003	您要是再不起床，
MID_WU_S_1_WAKEUP_#004	赛勒斯提雅就要被其他龙抢走了哦～
MID_WU_S_1_WAKEUP_#005	才怪，骗您的啦。
MID_WU_S_1_WAKEUP_#006	我的眼里永远只有您……
MID_WU_S_1_WAKEUP_#007	您是我在这个世界上最爱的人啊。
MID_WU_S_1_HELLO_#001	在充满爱意的声音下醒来，感觉如何？
MID_WU_S_1_HELLO_#002	咦，您说好幸福？
MID_WU_S_1_HELLO_#003	真是伤脑筋啊。
MID_WU_S_1_HELLO_#004	听到您这么说……
MID_WU_S_1_HELLO_#005	我反而觉得有点难为情呢……
MID_WU_S_2_IN_#001	看来我的搭档今天又睡过头了，
MID_WU_S_2_IN_#002	真是让人头疼呢。
MID_WU_S_2_SOON_#001	哎呀，居然马上就起来了，您真是体贴。
MID_WU_S_2_SOON_#002	不过……
MID_WU_S_2_SOON_#003	请您多对我撒撒娇吧。
MID_WU_S_2_SOON_#004	我希望成为您心中最特别的人……
MID_WU_S_2_SOON_#005	让您从此只对我一个人撒娇。
MID_WU_S_2_WAKEUP_#001	睡得好沉啊。
MID_WU_S_2_WAKEUP_#002	今后我……
MID_WU_S_2_WAKEUP_#003	一定也会继续照顾您的吧……
MID_WU_S_2_WAKEUP_#004	毕竟我们是家人嘛，您可不要拒绝哦。
MID_WU_S_2_WAKEUP_#005	没想到神龙族和魔龙族……
MID_WU_S_2_WAKEUP_#006	居然能建立起如此深厚的感情。
MID_WU_S_2_WAKEUP_#007	谢谢您愿意成为我真正的家人。
MID_WU_S_2_WAKEUP_#008	能够得到您的爱……
MID_WU_S_2_WAKEUP_#009	我真是幸福。
MID_WU_S_2_HELLO_#001	早安。
MID_WU_S_2_HELLO_#002	今天我也最喜欢您了。
MID_WU_S_2_HELLO_#003	哎呀，您别害羞嘛。
MID_WU_S_2_HELLO_#004	我打算之后的每一天都要说喜欢您呢……
MID_WU_S_2_HELLO_#005	第一天就害羞成这样，您可会吃不消的哦。
