MID_WU_C_1_IN_#001	我是从今天起负责叫您起床，来自羊驼之乡的勇者──\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	再试一次……嗯咩咩、咩、嗯～\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	啊，太好了～\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	刚才我说的是“再不起床就要睡过头喽～”。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	神龙大人，快起来洗漱吧，我来帮忙！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龙所沉眠的祭坛有个传说……\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	今天我要来查证是否属实！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	话是这么说……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	但神龙大人已经醒了，还是下次再说吧。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	神龙大人，您听过这里的传说吗？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	据说这个时间，在梁柱背光处的这个位置……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	用这个姿势祈祷，心愿就会成真。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	唔……神龙大人！请您立刻起床！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	哇！？愿望实现了！原来传说是真的！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	神龙大人，既然您醒了……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	要不要跟我出去玩呀？\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	嗯嗯～！\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	神龙大人，我来叫您起床喽～！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	噢，您今天起得真快呢！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	……什么，您刚才又听见羊驼的叫声了！？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	它、它们说了什么……！？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	多亏有神龙大人传达羊驼们的话……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	我不再寂寞了。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	也因此更有动力向着勇者这个目标前进了。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	早安！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	……咦，那些羊驼托您传话给我？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	成为勇者之后，要买高级的草料……？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	什么──！那些家伙──！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神龙大人──！好搭档安巴来叫您起床喽！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	希望我来叫您时，能再小声点？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	不、不好意思。那我重来一次……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	早安，我的搭档。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	嘿嘿……这样如何呀？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	还不起床。那正好能趁机再试一次祭坛传说。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	这个时间，在梁柱背光处的这个位置……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	用这个姿势祈祷，心愿就会成真。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	但我现在的心愿，不是希望神龙大人起床……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	而是希望神龙大人能永远幸福快乐。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	也希望我能永远陪在他身边……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安！我刚才许了愿望哦。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	我相信一定会实现的。咦，您问是什么愿望……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	我希望能和您永远在一起……您愿意吗？\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	今天负责来叫您起床的……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	咚隆咚隆咚隆……锵！\x0E\x04\x00\x00
MID_WU_S_2_IN_#003	就～是我！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	啊，您很高兴搭档来叫您起床吗？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	偷偷跟您说……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	轮到我叫您起床的日子……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	总让我觉得无比幸福……！！\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	咦……是不是太累了呀？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	不过，毕竟奔走过了那么多的战场，也是难免的吧。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	……神龙大人若为剑，我亦为剑。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	我可没忘记您的话哦。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	或许我的能力不足以治愈您、守护您……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	但若为剑，就能待在您身旁。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	在您最痛苦的时候，成为您的支柱。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	啊，您醒了？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	嗯咩咩嗯、嗯～\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	我刚才说的是……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	“我每一天都很喜欢您哦。”\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	嘿嘿，我想您早就听懂了吧……？\x0E\x04\x00\x00
