MID_FRIENDLIST_Vandre_TextD	【初期兵种】圣骑士\n【生日】11月26日\n【备注】第三十二代龙之守护者。\n在浮游岛上的离宫索拉涅尔，\n负责照顾沉眠于此的\n\x0E\x06\x03\x00生活起居。
MID_FRIENDLIST_Chloe_TextS	【成为搭档后】\n虽然依旧致力于寻找如诗如画\n的美好配对，但最近开始说：\n“我们这一对就是最美的景致”。\n你疲惫时会让你躺在腿上小憩，\n还会与你分享私藏的奇珍异味。\n将约定戒指收在使用飞马羽毛\n制成的美丽收纳盒内保管。
MID_FRIENDLIST_Diamand_TextD	【初期兵种】领主\n【生日】4月6日\n【备注】布罗帝亚王国的第一王子。\n有安巴、洁德两名臣子。\n于城门亲自迎接前来求取\n交由布罗帝亚托管之\n纹章士戒指的神龙一行人。
MID_FRIENDLIST_Diamand_TextC	【喜欢的事物】\n武器、锻炼、钓鱼、肉、学习、\n家人、幽静的场所\n【不喜欢的事物】\n宴会、可爱的东西、炎之魔法、\n味道强烈的东西、被投注过度期待
MID_FRIENDLIST_Diamand_TextB	【兴趣】品味趣闻轶事\n【专长】夸奖他人、速读\n【经历】生为第一王子，\n自幼便接受身为王者应受的教育。\n莫力翁王更是亲自传授武术，\n因此他打从心底尊敬父亲。\n但他认为力量不该用于扩张领土，\n应当用于治国，方能使民富国强。
MID_FRIENDLIST_Diamand_TextA	【身高】188cm\n【无名指的戒围】21号\n【个性】个性刚毅质朴、认真正直。\n每当自身获得成长便会欣喜万分。\n众望所归的布罗帝亚下任国王。\n行事作风光明磊落、不卑不亢，\n并且毫不吝于称赞他人。\n是军团中一被逗笑就停不下来的人。
MID_FRIENDLIST_Diamand_TextS	【成为搭档后】\n虽然言行举止与以往大致相同，\n但不论是在索拉涅尔或是战场上，\n最牵挂也最在乎的都是你。\n每当你偶尔戴上布罗帝亚的戒指，\n他总是表现得欣喜若狂。\n平时把约定戒指收在丝绸袋中，\n战斗时一定会将戒指藏在怀里。
MID_FRIENDLIST_Umber_TextD	【初期兵种】枪骑士\n【生日】2月3日\n【备注】布罗帝亚王国的王城士兵。\n当布罗帝亚王城遭遇袭击时，\n快马加鞭自国境返回王城。\n以援军之姿急忙赶到神龙\n以及主君帝亚曼德身旁。
MID_FRIENDLIST_Umber_TextC	【喜欢的事物】\n乳制品、薯类、动物、下厨、\n帅气的事物、传说、羊驼\n【不喜欢的事物】\n裁缝、打扫、奇珍异味、难懂的书、\n毫不浪漫的事物、谎言
MID_FRIENDLIST_Umber_TextB	【兴趣】追寻传说与浪漫\n【专长】羊驼语、照顾动物\n【经历】来自布罗帝亚王国，\n生于羊驼之乡中的某座牧场。\n不甘被困在乡下，经严苛特训后\n于国内的武术大会取得优异成绩，\n进而被提拔为王族的臣子。\n在故乡被称为“羊驼之乡的奇迹”。
MID_FRIENDLIST_Umber_TextA	【身高】185cm\n【无名指的戒围】17号\n【个性】单纯且热情。\n热衷于收集世界各地的传奇轶事，\n不论可信度高低，他都耳熟能详。\n有着“使结局出乎意料”的命格，\n因此经常引发一些奇妙的骚动。\n是军中最擅长吹口哨的人。
MID_FRIENDLIST_Umber_TextS	【成为搭档后】\n每当看到你都会露出开心的笑容，\n不仅幽默风趣，更是在背后\n扶持着你，是相当值得依靠的搭档。\n有时两人也会使用羊驼语交谈，\n令其他同伴都感到十分不可思议。\n将约定戒指保管在自制的木盒中，\n让戒指像传说秘宝般沉眠在房内。
MID_FRIENDLIST_Jade_TextD	【初期兵种】重斧兵\n【生日】12月7日\n【备注】布罗帝亚王国的王城士兵。\n与伊尔席翁王国全面开战之际，\n正巧在国境负责警备任务。\n于是便直接在战场上与\n主君帝亚曼德以及神龙会合。
MID_FRIENDLIST_Jade_TextC	【喜欢的事物】\n写作、妄想、散步、阅读、动物、\n矿石、快乐的事、开朗的人\n【不喜欢的事物】\n宴会、时尚、面露微笑、\n没有灵感的时候
MID_FRIENDLIST_Jade_TextB	【兴趣】写小说\n【专长】鉴定矿石、冥想\n【经历】来自布罗帝亚王国，\n生于以采矿闻名的矿山小镇。\n在家中五个孩子中排行老三。\n以前曾当过镇上矿山的警备人员，\n被人们称为“铁壁洁德”。在赢得\n武术大会胜利后被提拔为王族家臣。
MID_FRIENDLIST_Jade_TextA	【身高】170cm\n【无名指的戒围】12号\n【个性】冷静、忠于任务。\n虽然在战场上被评为冷酷无情，\n其实为人十分开朗，喜欢有趣的事。\n写了一本相当荒诞的小说，\n自己的主君对其作品赞誉有加。\n在军中是最常梦到清醒梦的人。
MID_FRIENDLIST_Jade_TextS	【成为搭档后】\n原本不太习惯两人独处，\n现在也能自然地露出笑容了。\n虽然现在还不能告诉你，\n但正偷偷地撰写神龙与骑士\n过着幸福美满日子的故事。\n为免约定戒指受到任何一丝伤害，\n将戒指收在以矿石打造的牢固盒子中。
MID_FRIENDLIST_Staluke_TextD	【初期兵种】领主\n【生日】10月15日\n【备注】布罗帝亚王国的第二王子。\n有菈琵思、希特丽妮卡两名臣子。\n在费列聂与布罗帝亚国境一带，\n将神龙等人误认成盗贼以致误击。\n得知众人身分后立刻下跪谢罪。
MID_FRIENDLIST_Staluke_TextC	【喜欢的事物】\n阅读、散步、鱼、学习、钓鱼、\n除了敌人与自己以外的所有人\n【不喜欢的事物】\n宴会、时尚、晒太阳、\n客套话、称赞、自己
MID_FRIENDLIST_Staluke_TextB	【兴趣】躲在阴暗的角落\n【专长】发现别人的优点\n【经历】生为第二王子，\n成长过程总是听到旁人\n称赞自己那几近完美的兄长，\n因此造就了自卑的性格。\n虽然父母与人民都认可他的实力，\n本人却浑然不觉。
MID_FRIENDLIST_Staluke_TextA	【身高】172cm\n【无名指的戒围】16号\n【个性】思想消极、总是自我否定。\n个性虽悲观，始终认为所有人都比\n自己优秀，但仍有一定的社交能力，\n拥有不轻易伤害他人的善良性格。\n具备王族应有的胆识。\n是军中头发最柔顺亮丽的人。
MID_FRIENDLIST_Staluke_TextS	【成为搭档后】\n一见到你就会露出害羞的笑容，\n偷偷地向你挥挥手。\n两人独处时并不会特别自卑，\n反而能坦率地表达自己的心意。\n虽然总是说着自己不胜惶恐，\n没有资格戴上约定戒指。\n其实每晚都悄悄戴着戒指入眠。
MID_FRIENDLIST_Lapis_TextD	【初期兵种】刀剑战士\n【生日】5月25日\n【备注】布罗帝亚王国的王城士兵。\n和主君史塔卢克\n以及同袍希特丽妮卡，\n三人一同守卫于费列聂的国境。\n起初虽然将神龙一行误认为敌人，\n最终顺利解开误会，冰释前嫌。
MID_FRIENDLIST_Lapis_TextC	【喜欢的事物】\n薯类、工艺、裁缝、锻炼、动物、\n可以食用的草、可以利用的木材\n【不喜欢的事物】\n高级品、时尚、\n优雅的场所、上流社会
MID_FRIENDLIST_Lapis_TextB	【兴趣】狩猎、观察与栽培植物\n【专长】体力活、手工艺\n【经历】来自布罗帝亚王国，\n生于土地贫瘠、盛产薯类的村庄。\n家中相当贫穷，连三餐都没着落。\n因此积极锻炼，好成为酬劳优渥的\n王城士兵。经狩猎练就的怪力助她\n在武术大会夺冠，成为王族臣子。
MID_FRIENDLIST_Lapis_TextA	【身高】160cm\n【无名指的戒围】7号\n【个性】个性善良温柔。\n拥有与柔弱外形不符的怪力。\n擅长利用石头、树枝制作任何物品，\n并且擅长分辨可食用的野草。\n总是寄钱回家补贴家用。\n在军中是最擅长猜拳的人。
MID_FRIENDLIST_Lapis_TextS	【成为搭档后】\n两人在索拉涅尔一隅种植植物，\n并见证植物的茁壮成长。\n喜欢在有空时一起制作工艺品，\n但仍吃不惯你每次休息时间都会\n拿出来一起享用的高级点心。\n把约定戒指收在使用自己\n珍藏的石子所打造的盒子内。
MID_FRIENDLIST_Citrinica_TextD	【初期兵种】魔法师\n【生日】11月9日\n【备注】布罗帝亚王国的王城士兵。\n和主君史塔卢克以及同袍菈琵思，\n三人一同守卫于费列聂的国境。\n起初虽然将神龙一行误认为敌人，\n最终顺利解开误会，冰释前嫌。
MID_FRIENDLIST_Citrinica_TextC	【喜欢的事物】\n茶会、高级品、童话故事、学习、\n花、放松的时间、舞会、\n同伴们开心的表情\n【不喜欢的事物】\n裁缝、工艺、下厨、\n看不见回报的锻炼
MID_FRIENDLIST_Citrinica_TextB	【兴趣】赠送朋友礼物\n【专长】收购、谈判、努力不懈\n【经历】来自布罗帝亚王国，\n为亲王之女，上有两名兄长。\n为帝亚曼德、史塔卢克之堂亲。\n凭借着血缘关系方成为家臣，\n因此时常担心自己实力是否足够。
MID_FRIENDLIST_Citrinica_TextA	【身高】163cm\n【无名指的戒围】8号\n【个性】心地善良、为朋友着想。\n在众人疼爱下无忧无虑地长大成人，\n因此希望自己也能给予回报，\n会运用自己的财富来宠溺旁人。\n一松懈眼神会显得有点凶。\n是军中拥有最多土地的人。
MID_FRIENDLIST_Citrinica_TextS	【成为搭档后】\n不停向你诉说饱含心意的话语，\n并以此代替昂贵的礼物。\n梦想着终有一天\n两人能够联袂出席舞会。\n将约定戒指摆放在奢华的台座上，\n并将收到戒指当天捡到的石头\n放在一旁当作装饰。
MID_FRIENDLIST_Ivy_TextD	【初期兵种】驯兽师\n【生日】11月17日\n【备注】伊尔席翁王国第一公主。\n有杰尔科巴、花月两名臣子。\n虽然有一段时间曾因听命于\n父亲海亚信斯王而与神龙敌对，\n但后来带着纹章士戒指于影子原野\n和神龙军会合并加入其阵营。
MID_FRIENDLIST_Ivy_TextC	【喜欢的事物】\n神龙、茶会、阅读、学习、香草、\n安静的地方、舒适的风\n【不喜欢的事物】\n鬼故事、动物、虫子、宴会、\n晒太阳、味道强烈的东西、\n妖怪、吵杂的地方、难缠的人
MID_FRIENDLIST_Ivy_TextB	【兴趣】无特别嗜好\n【专长】隐藏自己的真心\n【经历】海亚信斯王正室的女儿。\n身为第一公主、王位继承人，\n自幼即被卷入大人们的权力斗争，\n无法像普通孩子一样快乐成长。\n直到几年前都还在学校就读，\n毕业后回到城里，履行公主的义务。
MID_FRIENDLIST_Ivy_TextA	【身高】172cm\n【无名指的戒围】8号\n【个性】认真、娴静的女性。\n无法轻易信任他人、敞开心扉，\n但会对喜欢的人表现强烈的执念。\n对神龙有着近似崇拜的感情。\n其实相当胆小且害怕鬼故事。\n是军中肤质最好的人。
MID_FRIENDLIST_Ivy_TextS	【成为搭档后】\n会亲口向你诉说情意，\n也比以前更常展露笑容。\n最珍惜的是两人能独处的时间，\n每到分开时总是显得依依不舍。\n为了确保不会弄丢约定戒指，\n将戒指收在房间内的金色小盒里。\n虽从不带出门，看着便能深感幸福。
MID_FRIENDLIST_Zelkova_TextD	【初期兵种】小偷\n【生日】8月2日\n【备注】伊尔席翁王国的王城士兵。\n曾有一段时间和主君艾比公主，\n以及同袍花月一同与神龙敌对，\n后来带着纹章士戒指于影子原野\n和神龙军会合并加入其阵营。
MID_FRIENDLIST_Zelkova_TextC	【喜欢的事物】\n工艺、裁缝、阅读、下厨、\n繁琐的工作、墓地、忙碌的时间、\n活力十足的小孩\n【不喜欢的事物】\n味道强烈的东西、宴会、童话故事、\n无趣、热情退却瞬间
MID_FRIENDLIST_Zelkova_TextB	【兴趣】所有事\n【专长】耐人寻味的发言、调配药物\n【经历】来自伊尔席翁王国，\n生于森林城镇的富裕家庭。\n父母与双胞胎弟弟皆为盗贼所杀，\n为了复仇，不惜投身成为暗杀者。\n复仇成功后，其实力被相中，\n进而被任用为王城士兵。
MID_FRIENDLIST_Zelkova_TextA	【身高】185cm\n【无名指的戒围】15号\n【个性】专心致志且兴趣广泛。\n对任何事都会发表意味深长的评论。\n有着能在想做的事情上投入热情，\n并从中获取快感的特质。\n虽然喜欢小孩，但是被小孩们讨厌。\n是军中睡眠最为不足的人。
MID_FRIENDLIST_Zelkova_TextS	【成为搭档后】\n虽然兴趣依旧广泛，但昭告天下\n自己投入了最多热情在你身上。\n两人独处时说话直白而不加修饰，\n毫无耐人寻味的影子。\n约定戒指平时都放在能上锁的盒内，\n而盒子的钥匙又锁在另一个盒子中，\n彻底而严密地收藏起来。
MID_FRIENDLIST_Kagetsu_TextD	【初期兵种】刀剑将领\n【生日】12月22日\n【备注】伊尔席翁王国的王城士兵。\n曾有一段时间和主君艾比公主，\n以及同袍杰尔科巴一同与神龙敌对，\n后来带着纹章士戒指于影子原野\n和神龙军会合并加入其阵营。
MID_FRIENDLIST_Kagetsu_TextC	【喜欢的事物】\n武器、宴会、玩耍、锻炼、鱼、\n便携粮食、和食、饭团、\n愿意和自己交手的人\n【不喜欢的事物】\n打扫、阅读、下厨、乳制品、\n连续吃西餐、冷淡的态度
MID_FRIENDLIST_Kagetsu_TextB	【兴趣】比试、约会\n【专长】踢馆、交朋友、预知未来\n【经历】来自索尔姆王国，\n生于被称为秘境的白色沙漠。\n虽然是地方高等贵族的继任当家，\n却因对外界一无所知而郁郁寡欢。\n留下一封信后便离家踏上了旅途。\n为了寻找强者而前往伊尔席翁。
MID_FRIENDLIST_Kagetsu_TextA	【身高】178cm\n【无名指的戒围】17号\n【个性】开朗且不怕生，\n一旦聊过天就会把人当作朋友。\n为人毫无算计亦无城府。\n母亲为巫女的花月也拥有预知能力，\n但能预知的事情有些难以言喻。\n是军中最喜欢饭团的人。
MID_FRIENDLIST_Kagetsu_TextS	【成为搭档后】\n比以前更大方地表露情感，\n每次见面总是不避讳地表白心意。\n到了战斗时则投以严肃的眼神，\n一丝不苟地守护在你左右。\n收到约定戒指之后非常高兴，\n不论去哪都会戴在手上。\n有好几次都差点弄丢。
MID_FRIENDLIST_Hortensia_TextD	【初期兵种】驯兽师\n【生日】6月3日\n【备注】伊尔席翁王国第二公主。\n和艾比为同父异母姐妹，\n有罗萨德、戈尔德玛莉两名臣子。\n虽听命于父亲海亚信斯王，\n三番两次与神龙军为敌，\n最后在索尔姆王城被说服成为同伴。
MID_FRIENDLIST_Hortensia_TextC	【喜欢的事物】\n时尚、可爱的事物、高级品、花、\n亲人、所有同伴、\n称赞自己可爱的人\n【不喜欢的事物】\n辣的食物、运动、虫子、下厨、\n晒太阳、和亲人分离、\n比自己更可爱的人
MID_FRIENDLIST_Hortensia_TextB	【兴趣】购物、尝试美容方法\n【专长】背诵魔法书、纸上兵推演练\n【经历】海亚信斯王侧室之女。\n年幼时虽亦有其他兄弟姐妹，\n但皆在正室的排斥下离王城而去，\n因而成为了第二公主。\n原本是名还在学校就读的学生，\n在父王的指示下回到了王城。
MID_FRIENDLIST_Hortensia_TextA	【身高】149cm\n【无名指的戒围】6号\n【个性】充满自信又有些许任性。\n对自己可爱的外貌相当自豪。\n在学校是名成绩优异的跳级生，\n能迅速理解自身职责并妥善执行。\n内心十分善良，非常重感情。\n在军中是最会抛媚眼放电的人。
MID_FRIENDLIST_Hortensia_TextS	【成为搭档后】\n每天一定都会来找你，\n向你撒娇说想陪你一起。\n独处时有着与年纪相符的娇羞，\n却也急于向你展现成熟的模样。\n将约定戒指收在母亲留给她的\n宝石盒里珍藏着，暗自决定\n下次要将戒指戴在无名指上。
MID_FRIENDLIST_Rosado_TextD	【初期兵种】飞龙骑士\n【生日】1月19日\n【备注】伊尔席翁王国的王城士兵。\n曾随主君奥尔坦希亚公主，\n以及同袍戈尔德玛莉三人\n与神龙军二度交战。最后带着\n“碧绿风空戒指”于绀碧海岸\n和神龙军会合并加入其阵营。
MID_FRIENDLIST_Rosado_TextC	【喜欢的事物】\n时尚、可爱的事物、花、宴会、\n绘画、绘图工具、美丽的风景、\n慵懒地消磨时间\n【不喜欢的事物】\n学习、难懂的书、晒太阳、压抑、\n令人提不起劲的事物、拘泥古板
