MID_TUT_BMAP_EVIL_RULE_TITLE	邪龙之章的出击规则
MID_TUT_BMAP_EVIL_POW_1	\x0E\x06\x03\x00若被击败将会败北，\n要是\x0E\x0A\x02\x00受到伤害就替\x0E\x0A\x02\x00疗伤吧。
MID_TUT_BMAP_EVIL_SUMMON_TITLE	召唤漩涡
MID_TUT_BMAP_EVIL_SUMMON_0	在我军下个行动阶段开始时，\n召唤漩涡所在的位置将会召唤出敌人。
MID_TUT_BMAP_EVIL_SUMMON_1	只要有单位身处漩涡所在的格子上，\n即可阻止漩涡召唤敌人。\n有余力的话就把漩涡堵住吧。
MID_TUT_BMAP_EVIL_RUSHMOVE_TITLE	破坏冲动
MID_TUT_BMAP_EVIL_RUSHMOVE_0	邪龙阵发光时，大邪龙伊尔会在\n敌军下个行动阶段将周围破坏殆尽，\n并朝邪龙阵移动。
MID_TUT_BMAP_EVIL_RUSHMOVE_1	此时，身在危险范围的单位无论敌我，\n均会受到波及并倒下。
MID_TUT_BMAP_EVIL_RUSHMOVE_2	而大邪龙伊尔将会依受到波及并倒下的\n单位数量增强自身力量。
MID_TUT_DLG_E006_ADVICE	在邪龙之章中，不会失去被击败的我方单位，\n被击败的单位将会在通关该地图后归队。\n尽管派出所有战力挑战吧！
MID_TUT_BMAP_EVIL_ENCHANT_TITLE	特殊兵种“附魔师”
MID_TUT_BMAP_EVIL_ENCHANT_0	附魔师这种兵种可使用道具和武器\n来强化自身、我方单位或武器。\n转职时需要“神秘包包”。
MID_TUT_BMAP_EVIL_ENCHANT_1	“极限活用”指令可消耗道具\n来赋予我方单位各种特殊效果。\n可赋予效果会依道具不同而变化。
MID_TUT_BMAP_EVIL_ENCHANT_2	“武器共鸣”指令可在该场战斗地图\n强化持有物品中指定的武器及同名武器。\n（强化敌我双方所有同名武器）
MID_TUT_BMAP_EVIL_MAGECANON_TITLE	特殊兵种“魔法加农炮兵”
MID_TUT_BMAP_EVIL_MAGECANON_0	魔法加农炮兵这个兵种\n可通过发射炮弹展开远距离攻击。\n转职时需要“魔法大炮”。
MID_TUT_BMAP_EVIL_MAGECANON_1	该兵种“技巧”越高，攻击力越强。\n自身的力量与体格越高且离敌人越近，\n攻击时的命中率也就越高。
MID_TUT_BMAP_EVIL_MAGECANON_2	“全弹发射”指令可在1回合后\n朝指定位置展开强大的范围攻击，\n但会消耗装备的炮弹。
MID_TUT_BMAP_EVIL_MAGECANON_3	敌方的魔法加农炮兵显示全体危险范围的方式\n与一般情况不同。
MID_TUT_GMAP_EVIL_TITLE	世界地图（邪龙之章）
MID_TUT_GMAP_EVIL_0	要前往专用的世界地图，\n才可推进邪龙之章的故事剧情。
MID_TUT_GMAP_EVIL_1	可通过世界地图菜单\n前往主线故事的世界地图，\n或回到据点索拉涅尔。
MID_TUT_GMAP_EVIL_2	已通关的地图也有可能会出现遭遇战。
MID_TUT_HUB_EVIL_START_TITLE	邪龙之章
MID_TUT_HUB_EVIL_START_0	可从神秘水井\n开始邪龙之章的故事。
MID_TUT_HUB_EVIL_START_1	不必通关所有的战斗地图，\n也可回到主线故事推进剧情。
MID_TUT_HUB_EVIL_START_2	邪龙之章与主线故事不同，\n可随时更改难度。
MID_TUT_HUB_EVIL_START_NOTICE	“神秘水井”好像不太对劲……
MID_TUT_NAVI_E004_ADVICE_START	此地图经常出现敌军彼此交战的情况，\n因此环境设置的“战斗动画”与“杖·起舞动画”\n将设为“我方单位”。\n此设置可通过环境设置随时更改。
MID_TUT_NAVI_E004_ADVICE_END	地图开始时所更改的\n“战斗动画”与“杖·起舞动画”设置\n将恢复成原先的设置。
MID_TIPS_JOB_02	“武器共鸣”也可强化运输队保管的同名武器。
MID_TIPS_JOB_03	只要与其他武器产生共鸣，即可消除“武器共鸣”的效果。
MID_TIPS_ITEM_21	魔法加农炮兵的“全弹发射”必定可赋予异常状态。（部分强敌除外）
