MID_H_INFO_WLV_Bullet	炮弹
MIID_Rollcake	蛋糕体术
MIID_H_Rollcake	散发甜甜香气的格斗术秘籍。\n作为道具使用后会消失，\n不过可以回复自身HP。
MIID_Bullet_Power	普通炮弹
MIID_H_Bullet_Power	标准的炮弹。\n不可追击/距离对方越远，命中越低。
MIID_Bullet_Magic	魔法炮弹
MIID_H_Bullet_Magic	挟裹着魔力的炮弹。\n不可追击/距离对方越远，命中越低。
MIID_Bullet_Freeze	冰封炮弹
MIID_H_Bullet_Freeze	能牵制敌人的魔法炮弹。\n不可追击/距离对方越远，命中越低。\n命中时有50%几率\n使对方陷入冰封状态。
MIID_Bullet_Silence	沉默炮弹
MIID_H_Bullet_Silence	拥有封魔力量的魔法炮弹。\n不可追击/距离对方越远，命中越低。\n命中时有50%几率\n使对方陷入沉默状态。
MIID_Bullet_Collapse	打破炮弹
MIID_H_Bullet_Collapse	拥有神奇力量的魔法炮弹。\n不可追击/距离对方越远，命中越低。\n命中时有50%几率\n使对方陷入打破状态。
MIID_Bullet_Poison	毒炮弹
MIID_H_Bullet_Poison	含有剧毒的魔法炮弹。\n不可追击/距离对方越远，命中越低。\n命中时会使对方陷入剧毒状态。
MIID_Bullet_Slayer_Fly	龙卷风炮弹
MIID_H_Bullet_Slayer_Fly	专门用于对付飞行敌人的炮弹。\n不可追击/距离对方越远，命中越低。\n克制飞行。
MIID_Bullet_Slayer_Armor	重击炮弹
MIID_H_Bullet_Slayer_Armor	专门用于对付重装敌人的炮弹。\n不可追击/距离对方越远，命中越低。\n克制重装。
MIID_Bullet_Slayer_Horse	沉重炮弹
MIID_H_Bullet_Slayer_Horse	专门用于对付骑马敌人的炮弹。\n不可追击/距离对方越远，命中越低。\n克制骑马。
MIID_Bullet_Slayer_Dragon	破坏炮弹
MIID_H_Bullet_Slayer_Dragon	专门用于对付龙的炮弹。\n不可追击/距离对方越远，命中越低。\n克制龙。
MIID_Bullet_Slayer_Morph	和平炮弹
MIID_H_Bullet_Slayer_Morph	专门用于对付异形敌人的炮弹。\n不可追击/距离对方越远，命中越低。\n克制异形。
MIID_Bullet_Power+	实心炮弹
MIID_H_Bullet_Power+	威力强大的炮弹。\n不可追击/距离对方越远，命中越低。
MIID_Bullet_Magic+	增幅炮弹
MIID_H_Bullet_Magic+	附有强大魔力的炮弹。\n不可追击/距离对方越远，命中越低。
MIID_Bullet_Penetration	穿透炮弹
MIID_H_Bullet_Penetration	拥有强大穿透力的炮弹。\n不可追击/攻击力固定/无视防御力。\n距离对方越远，命中越低。
MIID_Fang	獠牙
MIID_H_Fang	被诅咒的锐利獠牙\n自身发动的攻击命中时\n战斗后对方的HP最大值-5\n（效果可叠加，最多-20）
MIID_Veronica_Hlidskjalf	至高王座之杖
MIID_H_Veronica_Hlidskjalf	纹章士维洛妮卡的攻击魔法之杖。\n自身发动攻击时，对方不会反击。
MIID_Veronica_WholeHeal	全体圣疗+
MIID_H_Veronica_WholeHeal	纹章士维洛妮卡的魔法之杖。\n可回复位于周围7格内的\n我方全员HP并解除异常状态。
MIID_Veronica_Elivagar	冰之波
MIID_H_Veronica_Elivagar	纹章士维洛妮卡的强大魔法。\n战斗后使对手无法强化7种基本能力值，\n效果持续1回合。
MIID_Veronica_EngageAtk_R	红色召唤石
MIID_Veronica_EngageAtk_B	蓝色召唤石
MIID_Veronica_EngageAtk_G	绿色召唤石
MIID_Veronica_EngageAtk_N	无色召唤石
MIID_Chrom_ThunderSword	雷电剑
MIID_H_Chrom_ThunderSword	纹章士鲁弗莱的魔法剑。\n能以魔法之雷攻击远方敌人。
MIID_Chrom_Thoron	托隆
MIID_H_Chrom_Thoron	纹章士鲁弗莱的强大雷魔法。
MIID_Chrom_Falchion	神剑法尔西昂
MIID_H_Chrom_Falchion	纹章士库洛武的传说之剑。\n克制龙。
MSID_SPConvert	SP转换
MSID_H_SPConvert	打倒敌人时获得的SP+20\n（未配戴戒指、手镯也可发动）
MSID_BloodyRevenge	血仇
MSID_H_BloodyRevenge	HP未达最大值时\n将减少量的30%计入攻击力
MSID_BloodyRevenge+	血仇+
MSID_H_BloodyRevenge+	HP未达最大值时\n将减少量的50%加计至攻击力
MSID_BreakThroughLimit	突破极限
MSID_H_BreakThroughLimit	击败等级高于自身的单位时\n自身等级+1，效果持续至该战斗结束为止\n（等级最多+3）
MSID_AnotherWorldsPower	异界之力
MSID_H_AnotherWorldsPower	不展开战斗及不使用道具便待命时\n“异界之力”会提升1个阶段\n（上限为5阶段，发动提升过的效果后\n会变回“异界之力”）
MSID_AnotherWorldsPower+1	异界之力＜闭＞
MSID_H_AnotherWorldsPower+1	自身发动攻击后\n使对方陷入冰封状态
MSID_AnotherWorldsPower+2	异界之力＜炎＞
MSID_H_AnotherWorldsPower+2	自身发动攻击后\n使对方陷入冰封状态\n并让对方所在的格子陷入燃烧状态
MSID_AnotherWorldsPower+3	异界之力＜死＞
MSID_H_AnotherWorldsPower+3	自身发动攻击的情况下，战斗后\n给对方造成10伤害并使其陷入冰封状态\n同时让对方所在的格子陷入燃烧状态
MSID_AnotherWorldsPower+4	异界之力＜梦＞
MSID_H_AnotherWorldsPower+4	自身发动攻击的情况下\n自身可回复造成伤害的HP，战斗后\n给对方造成10伤害并使其陷入冰封状态\n同时让对方所在的格子陷入燃烧状态
MSID_AnotherWorldsPower+5	异界之力＜科＞
MSID_H_AnotherWorldsPower+5	自身发动攻击的情况下，自身与相邻\n我方单位可回复造成伤害的HP，战斗后\n给对方造成10伤害并使其陷入冰封状态\n同时让对方所在的格子陷入燃烧状态
MSID_VeronicaEngage	契约
MSID_H_VeronicaEngage	可使用“契约”指令\n使结束行动的相邻我方单位再次行动\n（再次行动时不能移动）
MSID_H_VeronicaEngage_CMD	使我方单位再次行动。（不能移动）
MSID_H_VeronicaEngage_Dragon	可使用“契约”指令\n使结束行动的相邻我方单位再次行动\n（再次行动时不能移动）\n【龙族】再次行动时\n我方单位的力量、魔力、防守、魔防+2
MSID_H_VeronicaEngage_Coop	可使用“契约”指令\n使结束行动的相邻我方单位再次行动\n（再次行动时不能移动）\n【连携】使用此技能的单位\n必定参与再次行动的我方单位的连锁攻击
MSID_H_VeronicaEngage_Covert	可使用“契约”指令\n使结束行动的相邻我方单位再次行动\n（再次行动时不能移动）\n【隐密】再次行动时\n我方单位的命中、回避+30
MSID_VeronicaEngageAtk	英雄召唤
MSID_H_VeronicaEngageAtk	可随机召唤单位
MSID_H_VeronicaEngageAtk_CMD	随机召唤单位
MSID_VeronicaEngageAtk_CMD_R	\x0E\x08\x02\x12\x10RedStone红色召唤石
MSID_H_VeronicaEngageAtk_CMD_R	召唤能使用剑的单位。
MSID_VeronicaEngageAtk_CMD_B	\x0E\x08\x02\x14\x12BlueStone蓝色召唤石
MSID_H_VeronicaEngageAtk_CMD_B	召唤能使用枪的单位。
MSID_VeronicaEngageAtk_CMD_G	\x0E\x08\x02\x16\x14GreenStone绿色召唤石
MSID_H_VeronicaEngageAtk_CMD_G	召唤能使用斧的单位。
MSID_VeronicaEngageAtk_CMD_W	\x0E\x08\x02\x16\x14WhiteStone无色召唤石
MSID_H_VeronicaEngageAtk_CMD_W	召唤能使用剑、枪、斧以外\n武器的单位。
MSID_H_VeronicaEngageAtk_Dragon	可随机召唤单位\n【龙族】能召唤出强大的单位\n
MSID_H_VeronicaEngageAtk_Coop	可随机召唤单位\n【连携】召唤出来的单位\n可使用特技“双重攻击”
MSID_H_VeronicaEngageAtk_Horse	可随机召唤单位\n【骑马】召唤出来的单位移动+1
MSID_ByForce	奋力
MSID_H_ByForce	发动物理攻击时\n必杀攻击可比平常\n造成更多伤害
MSID_Charisma	超凡魅力
MSID_H_Charisma	自身的攻击触发连锁攻击时\n提升连锁攻击的命中率
MSID_SuckerPunch	偷袭
MSID_H_SuckerPunch	于回避地形发动攻击时\n不会遭到反击
MSID_RainbowCry	七彩呐喊
MSID_H_RainbowCry	可使用“支援”指令\n使相邻我方单位7种基本能力值+3\n效果持续1回合\n
MSID_Rooting	支援
MSID_H_Rooting_CMD	相邻我方单位基本能力值+3。
MSID_RainbowCry+	七彩呐喊+
MSID_H_RainbowCry+	可使用“支援+”指令\n使自身周围2格内我方单位\n7种基本能力值+3，效果持续1回合
MSID_Rooting+	支援+
MSID_H_Rooting+_CMD	周围2格内我方单位基本能力值+3。
MSID_ChromEngage	另一半
MSID_H_ChromEngage	自身发动攻击时\n鲁弗莱会参与连锁攻击\n魔力+10
MSID_H_ChromEngage_Dragon	自身发动攻击时\n鲁弗莱会参与连锁攻击\n魔力+10\n【龙族】鲁弗莱参与连锁攻击的次数\n提升为2次
MSID_H_ChromEngage_Coop	自身发动攻击时\n鲁弗莱会参与连锁攻击\n魔力+10\n【连携】连锁攻击必定命中
MSID_H_ChromEngage_Covert	自身发动攻击时\n鲁弗莱会参与连锁攻击\n魔力+10\n【隐密】移动+1
MSID_H_ChromEngage_Single	自身的攻击触发连锁攻击时\n连锁攻击必定命中\n力量+5、魔力+10
MSID_ChromEngageAtk	万钧雷霆剑
MSID_H_ChromEngageAtk	用附有魔力的剑攻击敌人\n仅限持剑\n（以物理攻击力施展的魔法攻击）
MSID_H_ChromEngageAtk_Dragon	用附有魔力的剑攻击敌人/仅限持剑\n（以物理攻击力施展的魔法攻击）\n【龙族】将力量的50%加计至伤害
MSID_H_ChromEngageAtk_Fly	用附有魔力的剑攻击敌人/仅限持剑\n（以物理攻击力施展的魔法攻击）\n【飞行】将体格加计至伤害
MSID_H_ChromEngageAtk_Magic	用附有魔力的剑攻击敌人/仅限持剑\n（以物理攻击力施展的魔法攻击）\n【魔道】将魔力的50%加计至伤害
MSID_H_ChromEngageAtk_CMD	用附有魔力的剑攻击敌人
MSID_ChromEngageAtk+	万钧雷霆剑+
MSID_H_ChromEngageAtk+	用附有魔力的剑攻击敌人/仅限持剑\n（以物理攻击力施展的魔法攻击）\n与自身相邻的我方单位\n将参与连锁攻击
MSID_H_ChromEngageAtk+_Dragon	用附有魔力的剑攻击敌人/仅限持剑\n（以物理攻击力施展的魔法攻击）\n与自身相邻的我方单位\n将参与连锁攻击\n【龙族】将力量的50%加计至伤害
MSID_H_ChromEngageAtk+_Fly	用附有魔力的剑攻击敌人/仅限持剑\n（以物理攻击力施展的魔法攻击）\n与自身相邻的我方单位\n将参与连锁攻击\n【飞行】将体格加计至伤害
MSID_H_ChromEngageAtk+_Magic	用附有魔力的剑攻击敌人/仅限持剑\n（以物理攻击力施展的魔法攻击）\n与自身相邻的我方单位\n将参与连锁攻击\n【魔道】将魔力的50%加计至伤害
MSID_H_ChromEngageAtk+_CMD	周围的我方单位将参与连锁攻击
MSID_Mag_Tec_1	魔力、技巧+1
MSID_H_Mag_Tec_1	魔力与技巧提升1
MSID_Mag_Tec_2	魔力、技巧+2
MSID_H_Mag_Tec_2	魔力与技巧提升2
MSID_Mag_Tec_3	魔力、技巧+3
MSID_H_Mag_Tec_3	魔力与技巧提升3
MSID_Mag_Tec_4	魔力、技巧+4
MSID_H_Mag_Tec_4	魔力与技巧提升4
MSID_Mag_Tec_5	魔力、技巧+5
MSID_H_Mag_Tec_5	魔力与技巧提升5
MSID_Tec_Spd_1	速度、技巧+1
MSID_H_Tec_Spd_1	速度与技巧提升1
MSID_Tec_Spd_2	速度、技巧+2
MSID_H_Tec_Spd_2	速度与技巧提升2
MSID_Tec_Spd_3	速度、技巧+3
MSID_H_Tec_Spd_3	速度与技巧提升3
MSID_Tec_Spd_4	速度、技巧+4
MSID_H_Tec_Spd_4	速度与技巧提升4
MSID_Tec_Spd_5	速度、技巧+5
MSID_H_Tec_Spd_5	速度与技巧提升5
MSID_AntiKnifeArts_1	短剑术对策Lv.1
MSID_H_AntiKnifeArts_1	与装备短剑的敌人战斗时\n所受伤害-1
MSID_AntiKnifeArts_2	短剑术对策Lv.2
MSID_H_AntiKnifeArts_2	与装备短剑的敌人战斗时\n所受伤害-2
MSID_AntiKnifeArts_3	短剑术对策Lv.3
MSID_H_AntiKnifeArts_3	与装备短剑的敌人战斗时\n所受伤害-3
MSID_AntiKnifeArts_4	短剑术对策Lv.4
MSID_H_AntiKnifeArts_4	与装备短剑的敌人战斗时\n所受伤害-4
MSID_AntiKnifeArts_5	短剑术对策Lv.5
MSID_H_AntiKnifeArts_5	与装备短剑的敌人战斗时\n所受伤害-5
MSID_AntiSwordArts_1	剑术对策Lv.1
MSID_H_AntiSwordArts_1	与装备剑的敌人战斗时\n所受伤害-1
MSID_AntiSwordArts_2	剑术对策Lv.2
MSID_H_AntiSwordArts_2	与装备剑的敌人战斗时\n所受伤害-2
MSID_AntiSwordArts_3	剑术对策Lv.3
MSID_H_AntiSwordArts_3	与装备剑的敌人战斗时\n所受伤害-3
MSID_AntiSwordArts_4	剑术对策Lv.4
MSID_H_AntiSwordArts_4	与装备剑的敌人战斗时\n所受伤害-4
MSID_AntiSwordArts_5	剑术对策Lv.5
MSID_H_AntiSwordArts_5	与装备剑的敌人战斗时\n所受伤害-5
MSID_JobSkill_MageCanon	全弹发射
MSID_H_JobSkill_MageCanon	可使用“全弹发射”指令\n在我军下个行动阶段开始时\n朝指定位置发动必中的范围攻击\n其代价是失去装备的武器
MSID_H_JobSkill_MageCanon_CMD	消耗炮弹\n下回合施展必中的范围攻击
MSID_JobSkill_Wolf	群起狩猎
MSID_H_JobSkill_Wolf	周围3格内与自身相同兵种的\n我方单位必定会参与连锁攻击
MID_BONDSRING_Chrom00	异界伊里斯圣王国的王子。\n右肩上有“圣痕”，是英雄王的后裔。
MID_BONDSRING_Chrom01	拥有不屈不挠的信念，不会陷入任何绝望。\n手持神剑，开拓出充满希望的未来。
MID_BONDSRING_Reflet00	来历不明，倒卧在外时被库洛武所救，\n后来成为他的伙伴。
MID_BONDSRING_Reflet01	与库洛武在战斗中缔结坚定的友谊，\n带领世界走向充满希望的未来。
MID_BONDSRING_Veronica00	异界恩布拉帝国皇帝之女。\n曾率领各路英雄侵略其他国家。
MID_BONDSRING_Veronica01	语气稚嫩，言辞却很犀利，\n给人冷酷感觉的文静少女。
MGID_Ring_Chrom	圣王的手镯
MGID_H_Ring_Chrom	人称“牵绊纹章士”库洛武所寄宿的手镯。\n是位信任伙伴、扭转命运的神圣王子。
MGID_Ring_Reflet	圣王的手镯
MGID_H_Ring_Reflet	人称“牵绊纹章士”鲁弗莱所寄宿的手镯。\n是位失去记忆，辅佐着库洛武的天才军师。
MGID_Ring_Veronica	年幼皇女的手镯
MGID_H_Ring_Veronica	人称“英雄纹章士”维洛妮卡所寄宿的手镯。\n是位能操控异界英雄的皇女。
MGID_World_Chrom	圣公主的世界
MGID_World_Reflet	圣公主的世界
MGID_World_Veronica	年幼皇女的世界
MID_RELAY_Stamp_Chrom_0	朋友啊，尽管依赖我吧！
MID_RELAY_Stamp_Reflet_0	得想想新的计策才行……
MID_RELAY_Stamp_Veronica_0	什么都是你们的……太不公平了……
MID_BGM_DLC_Field_S16_Combat_ST_Play	英雄的试炼～呼矗
MID_BGM_DLC_Field_S16_Map_ST_Play	英雄的试炼
MID_BGM_Evt_Advent_Veronica_ST_Play	呼矗、英雄纹章士
MID_Hub_Well	神秘水井
MID_Hub_Area_Event	事件
MID_Hub_Area_ItemReturn	转换完毕
MID_Hub_Well_TitleHelp	请选择要采取的行动。
MID_Hub_Well_ItemExchange	转换道具
MID_Hub_Well_ItemExchange_TitleHelp	请选择不要的道具。
MID_Hub_Well_ItemExchange_Expected	期待值
MID_Hub_Well_ItemExchange_Dialog_Title	是否转换下列道具？
MID_Hub_Well_ItemExchange_Dialog_Before	要丢入的道具
MID_Hub_Well_ItemExchange_Dialog_Yes	转换
MID_Hub_Well_ItemExchange_Get	获得
MID_Hub_Well_ItemExchange_Message	已将道具丢入水井。\n（出击后即可领取）
MID_Hub_Well_Nothing1	有一股神秘的气息……
MID_Hub_Well_Nothing2	现在已没有特别的气息。
PCTMID_Chrom	朋友啊，尽管依赖我吧！
PCTMID_Reflet	得想想新的计策才行……
PCTMID_Veronica	真想把你收为己有……
MID_Movie_K19	纹章士维洛妮卡
MID_H_Movie_K19	自“年幼皇女的手镯”显现的\n纹章士维洛妮卡。
MID_Movie_K18	纹章士库洛武
MID_H_Movie_K18	自“圣王的手镯”显现的\n纹章士库洛武。
MID_MAP_HIS_EngageSummon	\x0E\x01\x00\x00已发动英雄召唤。
MID_MAP_HIS_Contract	\x0E\x01\x00\x00已发动契约。
MID_MAP_HIS_FullBullet	\x0E\x01\x00\x00已发动全弹发射。
