MID_WU_C_1_IN_#001	四翼的玛德琳，前来叫神龙大人起床了。
MID_WU_B_2_HELLO_#004	我会去一边锻炼一边好好反省的！
MID_WU_A_1_IN_#001	有人请我在锻炼的空档来看看您的情况。
MID_WU_A_1_IN_#002	嗯……
MID_WU_A_1_IN_#003	没有任何异状呢。
MID_WU_A_1_SOON_#001	起床的样子也很正常，这样我就放心了。
MID_WU_A_1_SOON_#002	只要神龙大人一切平安，
MID_WU_A_1_SOON_#003	我跑这一趟就值得了。
MID_WU_A_1_WAKEUP_#001	才刚说没有异状……
MID_WU_A_1_WAKEUP_#002	就看到有虫飞进来了。
MID_WU_A_1_WAKEUP_#003	真是的！
MID_WU_A_1_WAKEUP_#004	轻轻地捏住翅膀……
MID_WU_A_1_WAKEUP_#005	捉到了。
MID_WU_A_1_WAKEUP_#006	我捉到虫了，神龙大人。
MID_WU_A_1_WAKEUP_#007	然后就这样……
MID_WU_A_1_WAKEUP_#008	嘿～！
MID_WU_A_1_HELLO_#001	我做到了！
MID_WU_A_1_HELLO_#002	我敢碰虫子了！
MID_WU_A_1_HELLO_#003	啊……我也把神龙大人弄醒了。
MID_WU_A_1_HELLO_#004	不好意思，打扰您了！
MID_WU_A_2_IN_#001	这个世界的索拉涅尔祭坛……
MID_WU_A_2_IN_#002	还真是充满开放感啊……
MID_WU_A_2_SOON_#001	今天是个清爽的早晨呢，神龙大人。
MID_WU_A_2_SOON_#002	我待在这里会打扰到您，
MID_WU_A_2_SOON_#003	请容我先行告退了。
MID_WU_A_2_WAKEUP_#001	在我之前生活的世界里，
MID_WU_A_2_WAKEUP_#002	索拉涅尔的祭坛和神龙大人的寝室……
MID_WU_A_2_WAKEUP_#003	都给人一种戒备森严的感觉。
MID_WU_A_2_WAKEUP_#004	我也没进去过几次呢。
MID_WU_A_2_HELLO_#001	早安。
MID_WU_A_2_HELLO_#002	能够目睹神龙大人起床的样子，
MID_WU_A_2_HELLO_#003	是我的荣幸。
MID_WU_A_2_HELLO_#004	感觉今天会遇上好事呢。
MID_WU_S_1_IN_#001	虽然是珍贵的两人时光……
MID_WU_S_1_IN_#002	但我身为骑士，绝不能因此松懈。
MID_WU_S_1_SOON_#001	唔……您说我来叫您起床很了不起？
MID_WU_S_1_SOON_#002	我很高兴能听到您这么说，不过……
MID_WU_S_1_SOON_#003	我可是您的搭档哦。
MID_WU_S_1_SOON_#004	请不要把我当小孩子……
MID_WU_S_1_WAKEUP_#001	神龙大人睡得很沉呢。
MID_WU_S_1_WAKEUP_#002	您送给我戒指的时候，
MID_WU_S_1_WAKEUP_#003	说愿意接受喜欢莫布的我。
MID_WU_S_1_WAKEUP_#004	当时的那番话，
MID_WU_S_1_WAKEUP_#005	真的让我非常高兴。
MID_WU_S_1_WAKEUP_#006	现在，在我的心中……
MID_WU_S_1_WAKEUP_#007	您也是重要的人哦。
MID_WU_S_1_WAKEUP_#008	希望有一天……
MID_WU_S_1_WAKEUP_#009	我也能无愧于心地……
MID_WU_S_1_WAKEUP_#010	大声说出这句话……
MID_WU_S_1_WAKEUP_#011	“我最喜欢神龙大人了。”
MID_WU_S_1_HELLO_#001	您、您听见刚才的话了吗？
MID_WU_S_1_HELLO_#002	没、没什么……
MID_WU_S_1_HELLO_#003	就当我什么都没说吧。
MID_WU_S_1_HELLO_#004	等到有一天我长大了，
MID_WU_S_1_HELLO_#005	我会一直说到您的耳朵长茧哦。
MID_WU_S_2_IN_#001	我怕您会睡到最后一刻才起床，
MID_WU_S_2_IN_#002	所以特地跑来叫您喽，
MID_WU_S_2_IN_#003	我的搭档。
MID_WU_S_2_SOON_#001	呵呵，您是在称赞我吗？
MID_WU_S_2_SOON_#002	虽然我不需要称赞……
MID_WU_S_2_SOON_#003	不过……
MID_WU_S_2_SOON_#004	老实说……
MID_WU_S_2_SOON_#005	只有被您称赞的时候，
MID_WU_S_2_SOON_#006	我会感到非常幸福哦。
MID_WU_S_2_WAKEUP_#001	其实，刚才我说谎了……
MID_WU_S_2_WAKEUP_#002	我是因为想见您，才会这么早过来。
MID_WU_S_2_WAKEUP_#003	我做了这种别有用心的事情，
MID_WU_S_2_WAKEUP_#004	是不是就没资格当骑士了呢？
MID_WU_S_2_WAKEUP_#005	真是如此的话，
MID_WU_S_2_WAKEUP_#006	我会立下更多战功来弥补过失。
MID_WU_S_2_WAKEUP_#007	那、那个……神龙大人。
MID_WU_S_2_WAKEUP_#008	我可以拿您的赖床当作借口，
MID_WU_S_2_WAKEUP_#009	在这里多待一会吗……？
MID_WU_S_2_HELLO_#001	早安。
MID_WU_S_2_HELLO_#002	时间还早，您可以再睡一会哦。
MID_WU_S_2_HELLO_#003	不过……
MID_WU_S_2_HELLO_#004	偶尔就换我来称赞您一下吧。
MID_WU_S_2_HELLO_#005	您今天好好地起床了，
MID_WU_S_2_HELLO_#006	真的很了不起哦。
