MID_WU_C_1_IN_#001	喂，别再贪睡了，神龙。
MID_WU_B_1_HELLO_#004	就会是巨大的邪龙了哦。
MID_WU_B_1_HELLO_#005	没有发生那样的事，真是太好了。
MID_WU_B_2_IN_#001	你还在睡啊。
MID_WU_B_2_IN_#002	你这家伙真是的。
MID_WU_B_2_SOON_#001	看在你很快醒来的份上，这次就饶过你吧。
MID_WU_B_2_SOON_#002	要是下次再敢浪费吾的时间……
MID_WU_B_2_SOON_#003	你知道会有什么下场吧？
MID_WU_B_2_WAKEUP_#001	喂，你听到吾之前说的话了吧？
MID_WU_B_2_WAKEUP_#002	吾好不容易等到姐姐醒来……
MID_WU_B_2_WAKEUP_#003	现在又要等你起床，
MID_WU_B_2_WAKEUP_#004	你可真够大胆的。
MID_WU_B_2_HELLO_#001	早安。
MID_WU_B_2_HELLO_#002	你们这些家伙，
MID_WU_B_2_HELLO_#003	都把吾的时间当成是什么了？
MID_WU_B_2_HELLO_#004	算了，跟等待千年相比，
MID_WU_B_2_HELLO_#005	这不过是一瞬间的事情。
MID_WU_A_1_IN_#001	太散漫了，神龙。
MID_WU_A_1_IN_#002	你偶尔也该像吾这样准时起床。
MID_WU_A_1_SOON_#001	就跟你说一句早安吧。
MID_WU_A_1_SOON_#002	虽然你完全睡过头了……
MID_WU_A_1_SOON_#003	算了，即使是你，也是会有疲惫的时候的。
MID_WU_A_1_SOON_#004	这次就放你一马。
MID_WU_A_1_WAKEUP_#001	没醒呢……
MID_WU_A_1_WAKEUP_#002	那这个方法如何？
MID_WU_A_1_WAKEUP_#003	咳咳。
MID_WU_A_1_WAKEUP_#004	神龙大人，你可不能睡过头哦。
MID_WU_A_1_WAKEUP_#005	不快点起来，大家会生气的哦～！
MID_WU_A_1_HELLO_#001	你醒来了啊。
MID_WU_A_1_HELLO_#002	什么，你说梦到了很怀念的人？
MID_WU_A_1_HELLO_#003	吾对你的梦境没有兴趣。
MID_WU_A_1_HELLO_#004	赶紧给吾出去洗把脸。
MID_WU_A_2_IN_#001	虽然还没到起床的时间……
MID_WU_A_2_IN_#002	但吾还是来了。你该感到高兴。
MID_WU_A_2_SOON_#001	你这家伙，为什么偏偏在吾不想你起床的时候……
MID_WU_A_2_SOON_#002	就这么容易醒啊。
MID_WU_A_2_SOON_#003	亏吾还特地过来，想在枕边放点心……
MID_WU_A_2_SOON_#004	没什么。
MID_WU_A_2_WAKEUP_#001	呵呵呵……
MID_WU_A_2_WAKEUP_#002	你之前收到点心时显得很高兴。
MID_WU_A_2_WAKEUP_#003	所以吾又做了清淡的点心带来。
MID_WU_A_2_WAKEUP_#004	只要像这样偷偷地放在枕边……
MID_WU_A_2_WAKEUP_#005	哦！？
MID_WU_A_2_HELLO_#001	嗨，神龙！
MID_WU_A_2_HELLO_#002	现在时间还早。
MID_WU_A_2_HELLO_#003	吾觉得你再睡一下比较好吧？
MID_WU_A_2_HELLO_#004	什么，你说要起床了？
MID_WU_A_2_HELLO_#005	那么，这个只好留到下次了……
MID_WU_S_1_IN_#001	居然能每天被吾叫醒，
MID_WU_S_1_IN_#002	你还真是个幸福的家伙啊。
MID_WU_S_1_SOON_#001	早安。
MID_WU_S_1_SOON_#002	你那赖床的坏习惯……
MID_WU_S_1_SOON_#003	吾也终于开始觉得有点可爱了。
MID_WU_S_1_SOON_#004	今天你睁开双眼后第一个看到的也是吾。
MID_WU_S_1_SOON_#005	这让吾很高兴哦。
MID_WU_S_1_WAKEUP_#001	你今天做了怎样的梦？
MID_WU_S_1_WAKEUP_#002	如今回想起来，
MID_WU_S_1_WAKEUP_#003	吾那个世界也跟梦境差不多。
MID_WU_S_1_WAKEUP_#004	说不定……
MID_WU_S_1_WAKEUP_#005	在数不胜数的世界之中，
MID_WU_S_1_WAKEUP_#006	也有吾用咒文让你显现，
MID_WU_S_1_WAKEUP_#007	一起战斗的世界吧。
MID_WU_S_1_WAKEUP_#008	不过，对吾来说……
MID_WU_S_1_WAKEUP_#009	以独一无二的戒指，和你结为连理的这个世界，
MID_WU_S_1_WAKEUP_#010	是最让吾珍爱的。
MID_WU_S_1_HELLO_#001	你听见了吗？
MID_WU_S_1_HELLO_#002	吾可不会说第二次。
MID_WU_S_1_HELLO_#003	今天还有时间。
MID_WU_S_1_HELLO_#004	就让你亲身体会一下，
MID_WU_S_1_HELLO_#005	吾有多么想念你吧。
MID_WU_S_2_IN_#001	你的搭档来喽。
MID_WU_S_2_IN_#002	高兴的话，就给吾马上起床。
MID_WU_S_2_SOON_#001	呵……真听话。
MID_WU_S_2_SOON_#002	那么吾也敞开心胸迎接你吧。
MID_WU_S_2_SOON_#003	早安。
MID_WU_S_2_SOON_#004	对吾来说……
MID_WU_S_2_SOON_#005	你那过于老实和正直的个性，
MID_WU_S_2_SOON_#006	反而是最吸引人的地方。
MID_WU_S_2_WAKEUP_#001	还不起床吗？
MID_WU_S_2_WAKEUP_#002	吾偶尔会想……
MID_WU_S_2_WAKEUP_#003	要是你就这样一睡不醒，
MID_WU_S_2_WAKEUP_#004	就好像过去的你、过去的姐姐那样……
MID_WU_S_2_WAKEUP_#005	再睡上千年的话，
MID_WU_S_2_WAKEUP_#006	吾可能会因承受不住孤独而发狂。
MID_WU_S_2_WAKEUP_#007	吾害怕自己会做出傻事。
MID_WU_S_2_WAKEUP_#008	要是失去最爱的你，
MID_WU_S_2_WAKEUP_#009	吾没有信心能保持理智……
MID_WU_S_2_HELLO_#001	起床了啊？
MID_WU_S_2_HELLO_#002	没有……吾什么都没说。
MID_WU_S_2_HELLO_#003	你醒来就好。
MID_WU_S_2_HELLO_#004	听好了。
MID_WU_S_2_HELLO_#005	就算将来永眠之时降临，
MID_WU_S_2_HELLO_#006	吾也不许你走在吾前面。
