MID_WU_C_1_IN_#001	来到这个世界让我惊讶的事之一，
MID_WU_A_1_SOON_#002	另一个世界的神龙大人，
MID_WU_A_1_SOON_#003	是个不管做任何事都不会假手他人的人……
MID_WU_A_1_SOON_#004	不过，我倒也不讨厌现在这样的时光。
MID_WU_A_1_WAKEUP_#001	我偶尔还是会想起过去的事……
MID_WU_A_1_WAKEUP_#002	不过我想守护的，
MID_WU_A_1_WAKEUP_#003	是如今在我眼前的你。
MID_WU_A_1_WAKEUP_#004	请你今天也要平安无事……
MID_WU_A_1_HELLO_#001	你听见我刚才说的话了吗？
MID_WU_A_1_HELLO_#002	嗯，为你祈求平安是理所当然的。
MID_WU_A_1_HELLO_#003	因为我们彼此，
MID_WU_A_1_HELLO_#004	都不想失去对方嘛。
MID_WU_A_2_IN_#001	你要是再赖床下去，
MID_WU_A_2_IN_#002	可就会被人奉为睡懒觉之神了哦。
MID_WU_A_2_SOON_#001	呵呵。
MID_WU_A_2_SOON_#002	看来即使是你，
MID_WU_A_2_SOON_#003	也不想当个不光彩的神呢。
MID_WU_A_2_SOON_#004	神龙大人，早安。
MID_WU_A_2_WAKEUP_#001	被说成这样居然也不起床，
MID_WU_A_2_WAKEUP_#002	这种坚持反而让我心生敬畏了。
MID_WU_A_2_WAKEUP_#003	看来我可能要做好心理准备……
MID_WU_A_2_WAKEUP_#004	被人称为睡懒觉之神的伙伴了。
MID_WU_A_2_HELLO_#001	你起来啦。
MID_WU_A_2_HELLO_#002	咦……？
MID_WU_A_2_HELLO_#003	你说在梦中被人奉为奇怪名字的神？
MID_WU_A_2_HELLO_#004	别说梦话了，
MID_WU_A_2_HELLO_#005	赶快去洗把脸吧。
MID_WU_S_1_IN_#001	神龙大人。
MID_WU_S_1_IN_#002	虽说你是我的搭档，
MID_WU_S_1_IN_#003	但我可不会对你手下留情哦。
MID_WU_S_1_SOON_#001	早安。
MID_WU_S_1_SOON_#002	竟然马上就起床了，真是了不起。
MID_WU_S_1_SOON_#003	也亏得如此，现在多出了一些时间……
MID_WU_S_1_SOON_#004	就让我们来享受一下两人世界吧？
MID_WU_S_1_SOON_#005	神龙大人。
MID_WU_S_1_WAKEUP_#001	还是一样叫都叫不醒呢。
MID_WU_S_1_WAKEUP_#002	其实我……
MID_WU_S_1_WAKEUP_#003	也不想逼你起床。
MID_WU_S_1_WAKEUP_#004	我想伴着你的睡脸小憩。
MID_WU_S_1_WAKEUP_#005	不过，这个梦想只有在和平的世界中才能实现。
MID_WU_S_1_WAKEUP_#006	所以现在……
MID_WU_S_1_WAKEUP_#007	请你快点起床吧，神龙大人。
MID_WU_S_1_WAKEUP_#008	我喜欢的你，
MID_WU_S_1_WAKEUP_#009	可不是这种赖床鬼哦。
MID_WU_S_1_HELLO_#001	你终于起床了。
MID_WU_S_1_HELLO_#002	好了，今天也来继续完成使命吧。
MID_WU_S_1_HELLO_#003	然后……
MID_WU_S_1_HELLO_#004	如果你能平安归来，
MID_WU_S_1_HELLO_#005	今晚我就……
MID_WU_S_1_HELLO_#006	温柔地哄你睡觉哦。
MID_WU_S_2_IN_#001	今天醒得早，所以提前来了。
MID_WU_S_2_IN_#002	神龙大人……
MID_WU_S_2_IN_#003	还在休息呢。
MID_WU_S_2_SOON_#001	对不起。
MID_WU_S_2_SOON_#002	我不是有意要弄醒你的。
MID_WU_S_2_SOON_#003	不过……
MID_WU_S_2_SOON_#004	我好开心。
MID_WU_S_2_SOON_#005	因为这样就像我们两人心灵相通一样。
MID_WU_S_2_SOON_#006	今天我可不可以……
MID_WU_S_2_SOON_#007	在你身边多待一会？
MID_WU_S_2_WAKEUP_#001	当我看到你睡觉时的模样，
MID_WU_S_2_WAKEUP_#002	总是会忍不住……
MID_WU_S_2_WAKEUP_#003	将原本世界的神龙大人的身影重叠到你身上。
MID_WU_S_2_WAKEUP_#004	我最后见到那位的时候，
MID_WU_S_2_WAKEUP_#005	也是如此，安稳的表情……
MID_WU_S_2_WAKEUP_#006	这样不行啊。
MID_WU_S_2_WAKEUP_#007	明明你还活着，
MID_WU_S_2_WAKEUP_#008	我却总是感到不安。
MID_WU_S_2_WAKEUP_#009	神龙大人……请你一定要活着。
MID_WU_S_2_WAKEUP_#010	我不想再次与你分离……
MID_WU_S_2_HELLO_#001	太好了。
MID_WU_S_2_HELLO_#002	很高兴今天也能见到你。
MID_WU_S_2_HELLO_#003	明明我们每天都会见面……
MID_WU_S_2_HELLO_#004	但只要一时分开，我就会寂寞难耐……
MID_WU_S_2_HELLO_#005	我就是如此地深爱着你哦。
