MID_BONDSRING_H_CommonTytle	“出场作品”
MID_BONDSRING_H_Genny01	原本侍奉于诺瓦岛上的修道院，\n后决心与赛莉卡一同踏上旅程。
MID_BONDSRING_H_Genny02	喜欢悠悠哉哉地过日子，\n爱好是在家里看书或撰写故事。
MID_BONDSRING_H_Genny03	《外伝》《Echoes》
MID_BONDSRING_Lukas	卢卡
MID_BONDSRING_H_Lukas00	异界英雄之一，索菲亚解放军的士兵。
MID_BONDSRING_H_Lukas01	举止稳重的青年，\n引导阿雷武加入了解放军。
MID_BONDSRING_H_Lukas02	虽出身贵族，却不拘泥于家世，\n待人一律彬彬有礼。
MID_BONDSRING_H_Lukas03	《外伝》《Echoes》
MID_BONDSRING_Conrad	孔拉特
MID_BONDSRING_H_Conrad00	异界英雄之一，充满谜团的蒙面骑士。
MID_BONDSRING_H_Conrad01	总是在赛莉卡陷入危机之际，\n挺身相救。
MID_BONDSRING_H_Conrad02	将样貌藏于白色面具之下，\n无人知晓其真实身分。
MID_BONDSRING_H_Conrad03	《Echoes》
MID_BONDSRING_Saber	赛巴
MID_BONDSRING_H_Saber00	异界英雄之一，本领高强的佣兵。
MID_BONDSRING_H_Saber01	为了横渡海盗肆虐的海洋，\n赛莉卡所雇佣的保镖。
MID_BONDSRING_H_Saber02	是个看重金钱的无赖，但也有和善的一面，\n在旅途上一路劝导并守护初出茅庐的赛莉卡。
MID_BONDSRING_H_Saber03	《外伝》《Echoes》
MID_BONDSRING_Silque	希尔科
MID_BONDSRING_H_Silque00	异界英雄之一，\n信奉女神美拉的虔诚修女。
MID_BONDSRING_H_Silque01	曾遭盗贼俘虏，在阿雷武的帮助下重获自由，\n并与阿雷武成为伙伴。
MID_BONDSRING_H_Silque02	坚定地信仰着美拉，\n盼望着美拉的教诲能拯救受苦受难的百姓。
MID_BONDSRING_H_Silque03	《外伝》《Echoes》
MID_BONDSRING_Mae	梅伊
MID_BONDSRING_H_Mae00	异界英雄之一，朝气蓬勃的少女魔道士。
MID_BONDSRING_H_Mae01	来自诺瓦岛的修道院，\n与赛莉卡一同踏上旅程，前往美拉神殿。
MID_BONDSRING_H_Mae02	十分敬慕赛莉卡，时而站在仆从的立场上，\n时而站在友人的立场上扶持着她。
MID_BONDSRING_H_Mae03	《外伝》《Echoes》
MID_BONDSRING_Valbar	巴尔博
MID_BONDSRING_H_Valbar00	异界英雄之一，实力过人的重装战士。
MID_BONDSRING_H_Valbar01	身世悲惨，家人惨死于海盗之手，\n一心为复仇而战。
MID_BONDSRING_H_Valbar02	性格豪爽，擅长照顾人，\n颇受伙伴仰慕。
MID_BONDSRING_H_Valbar03	《外伝》《Echoes》
MID_BONDSRING_Micaiah00	异界堤里乌斯陆地中\n戴因王国的义贼团“晓团”成员。
MID_BONDSRING_Micaiah01	盼望拯救祖国，\n并对抗企图制裁人类的女神亚丝塔尔蒂。
MID_BONDSRING_Nephenee	涅菲妮
MID_BONDSRING_H_Nephenee00	异界英雄之一，克里米亚王国的士兵。
MID_BONDSRING_H_Nephenee01	出身农村，为了拯救祖国，\n成为义勇兵参战。
MID_BONDSRING_H_Nephenee02	沉默寡言、谦虚稳重，\n有着强烈的爱国心。
MID_BONDSRING_H_Nephenee03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_BlackKnight	漆黑骑士
MID_BONDSRING_H_BlackKnight00	异界英雄之一，戴因王国最强的大将。
MID_BONDSRING_H_BlackKnight01	人称“四骏”的精锐之一，\n全身包覆漆黑铠甲，所向披靡。
MID_BONDSRING_H_BlackKnight02	杀害了佣兵团团长格莱尔，\n与团长之子艾克展开生死激战。
MID_BONDSRING_H_BlackKnight03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Sothe	萨札
MID_BONDSRING_H_Sothe00	异界英雄之一，米卡雅的义弟。
MID_BONDSRING_H_Sothe01	义贼团“晓团”的成员，\n致力于拯救遭帝国压迫的人民。
MID_BONDSRING_H_Sothe02	以义弟的身分与米卡雅一同长大，\n虽然没有血缘关系，却比谁都重视米卡雅。
MID_BONDSRING_H_Sothe03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Erincia	艾琳西亚
MID_BONDSRING_H_Erincia00	异界堤里乌斯陆地中\n克里米亚王国的女王。
MID_BONDSRING_H_Erincia01	为人清廉，忠贞爱国，\n深受百姓爱戴。
MID_BONDSRING_H_Erincia02	心地善良、厌恶争斗，\n甚至曾在战场上卸下武器，要求停战。
MID_BONDSRING_H_Erincia03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Tibarn	狄邦
MID_BONDSRING_H_Tibarn00	异界堤里乌斯陆地中\n菲尼奇斯王国的国王。
MID_BONDSRING_H_Tibarn01	可变身战斗的“拉古兹”之一，\n能化身为老鹰的鸟翼族鹰之民首领。
MID_BONDSRING_H_Tibarn02	凭借实力与声望吸引了许多志同道合的伙伴，\n人称“鹰王”。
MID_BONDSRING_H_Tibarn03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Sanaki	莎娜琪
MID_BONDSRING_H_Sanaki00	异界堤里乌斯陆地中\n贝格尼昂帝国的领导人。
MID_BONDSRING_H_Sanaki01	第37代皇帝，\n能听见女神神谕的“神使”。
MID_BONDSRING_H_Sanaki02	年纪轻轻便意志坚定、品性高洁，\n将大国治理得井井有条。
MID_BONDSRING_H_Sanaki03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Nike	妮凯
MID_BONDSRING_H_Nike00	异界堤里乌斯陆地中\n哈塔莉王国的女王。
MID_BONDSRING_H_Nike01	拉古兹之一，能变身为巨狼，\n拥有能将所视之人变成石头的“邪眼”。
MID_BONDSRING_H_Nike02	与倒在沙漠中的赛利诺斯王国王子\n拉菲鲁相遇后，两人结为连理。
MID_BONDSRING_H_Nike03	《暁の女神》
MID_BONDSRING_Naesala	涅沙罗
MID_BONDSRING_H_Naesala00	异界堤里乌斯陆地中\n奇尔沃斯王国的国王。
MID_BONDSRING_H_Naesala01	可变身战斗的“拉古兹”之一，\n能化身为乌鸦的鸟翼族鸦之民首领。
MID_BONDSRING_H_Naesala02	老谋深算，\n总是以自己的国家利益为优先。
MID_BONDSRING_H_Naesala03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Caineghis	凯内基斯
MID_BONDSRING_H_Caineghis00	异界堤里乌斯陆地中\n加利亚王国的国王。
MID_BONDSRING_H_Caineghis01	可变身战斗的“拉古兹”之一，\n能化身为虎、猫的“兽牙族”首领。
MID_BONDSRING_H_Caineghis02	骁勇善战、深谋远虑，\n致力于让贝欧克与拉古兹建立友谊。
MID_BONDSRING_H_Caineghis03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Learne	莉娅妮
MID_BONDSRING_H_Learne00	异界堤里乌斯陆地中\n赛利诺斯王国的公主。
MID_BONDSRING_H_Learne01	祖国毁于暴徒之手，\n本人却奇迹似地生还，是唯一的幸存者。
MID_BONDSRING_H_Learne02	拥有一颗清澈透明、纯真无瑕的心，\n能以咒歌抚慰疲惫的伙伴。
MID_BONDSRING_H_Learne03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Roy00	异界埃列布陆地中\n吕基亚地区的费雷侯爵家的勋爵。
MID_BONDSRING_Roy01	挺身对抗侵略他国的伯尔尼王国，\n并力战该国唤醒的魔龙伊敦。
MID_BONDSRING_Lilina	莉莉娜
MID_BONDSRING_H_Lilina00	异界埃列布陆地中\n吕基亚地区的奥斯提亚侯爵家的女爵。
MID_BONDSRING_H_Lilina01	魔道天赋惊人的天才少女，\n是罗伊的儿时玩伴。
MID_BONDSRING_H_Lilina02	以勇猛闻名的海克托尔之女，\n外表惹人怜爱，内心无比坚强。
MID_BONDSRING_H_Lilina03	《封印の剣》《烈火の剣》
MID_BONDSRING_Sofiya	苏菲亚
MID_BONDSRING_H_Sofiya00	异界英雄之一，\n充满神秘气息的萨满巫师。
MID_BONDSRING_H_Sofiya01	拥有常人无法企及的神奇力量，\n能够预知未来。
MID_BONDSRING_H_Sofiya02	指引罗伊前往自己的故乡──\n人龙共处的“纳巴塔村落”。
MID_BONDSRING_H_Sofiya03	《封印の剣》《烈火の剣》
MID_BONDSRING_Rutger	路特加
MID_BONDSRING_H_Rutger00	异界英雄之一，孤傲寡言的剑士。
MID_BONDSRING_H_Rutger01	遭伯尔尼王国灭族后，\n为复仇而战。
MID_BONDSRING_H_Rutger02	起初受人雇佣与罗伊为敌，\n得知罗伊也在对抗伯尔尼后倒戈。
MID_BONDSRING_H_Rutger03	《封印の剣》
MID_BONDSRING_Fir	菲尔
MID_BONDSRING_H_Fir00	异界英雄之一，以剑为生的少女。
MID_BONDSRING_H_Fir01	人称“剑姬”的女剑士卡菈之女，\n因崇拜母亲而踏上修行之旅。
MID_BONDSRING_H_Fir02	认真勤勉，但因为对人不设防，\n曾一度受骗，当过海盗的爪牙。
MID_BONDSRING_H_Fir03	《封印の剣》
MID_BONDSRING_Fa	法
MID_BONDSRING_H_Fa00	异界英雄之一，神龙族的幸存者。
MID_BONDSRING_H_Fa01	“龙族”之一。为避人耳目，\n隐居于纳巴塔的隐密村落中。
MID_BONDSRING_H_Fa02	外表是天真烂漫的年幼孩童，\n实际上已年过数百岁。
MID_BONDSRING_H_Fa03	《封印の剣》《烈火の剣》
MID_BONDSRING_Dieck	迪克
MID_BONDSRING_H_Dieck00	异界英雄之一，费雷侯爵家的佣兵。
MID_BONDSRING_H_Dieck01	佣兵团团长，\n深受伙伴信赖。
MID_BONDSRING_H_Dieck02	曾为剑斗士，\n名扬斗技场。
MID_BONDSRING_H_Dieck03	《封印の剣》
MID_BONDSRING_Lugh	鲁格
MID_BONDSRING_H_Lugh00	异界英雄之一，正直的少年。
MID_BONDSRING_H_Lugh01	在孤儿院长大的双胞胎哥哥，\n是擅长理魔法的魔道士。
MID_BONDSRING_H_Lugh02	心地善良，\n为守护重要之人决心挺身而战。
MID_BONDSRING_H_Lugh03	《封印の剣》
MID_BONDSRING_Wolt	伍尔特
MID_BONDSRING_H_Wolt00	异界英雄之一，侍奉罗伊的弓箭手。
MID_BONDSRING_H_Wolt01	性格开朗，努力向上，\n为成为配得上罗伊的家臣尽心尽力。
MID_BONDSRING_H_Wolt02	母亲是罗伊的乳母，\n因此和罗伊是同乳兄弟。
MID_BONDSRING_H_Wolt03	《封印の剣》
MID_BONDSRING_Lleu	雷伊
MID_BONDSRING_H_Lleu00	异界英雄之一，早熟的少年。
MID_BONDSRING_H_Lleu01	在孤儿院长大的双胞胎弟弟，\n是擅长暗魔法的萨满巫师。
MID_BONDSRING_H_Lleu02	说话毒辣，实际上很为家人着想，\n为了替院长复仇而战。
MID_BONDSRING_H_Lleu03	《封印の剣》
MID_BONDSRING_Cecilia	瑟西莉亚
MID_BONDSRING_H_Cecilia00	异界英雄之一，伊特鲁里亚王国的将军。
MID_BONDSRING_H_Cecilia01	人称“三军将”的名将之一，\n是统率魔道士的“魔道军将”。
MID_BONDSRING_H_Cecilia02	冰雪聪明，\n是传授罗伊战斗之法的师父。
MID_BONDSRING_H_Cecilia03	《封印の剣》
MID_BONDSRING_Leaf00	异界尤格多拉尔陆地中\n位于色雷斯半岛的伦斯特王国王子。
MID_BONDSRING_Leaf01	挺身对抗控制半岛的帝国军，\n并力战幕后黑手暗黑司教贝鲁多。
MID_BONDSRING_Fin	芬恩
MID_BONDSRING_H_Fin00	异界英雄之一，侍奉里弗的骑士。
MID_BONDSRING_H_Fin01	伦斯特王国的忠臣，\n辅佐乔安与里弗两代王子。
MID_BONDSRING_H_Fin02	带着里弗逃离沦陷的伦斯特王城，\n并将他悉心抚养长大。
MID_BONDSRING_H_Fin03	《聖戦の系譜》《トラキア776》
MID_BONDSRING_Olwen	欧尔玟
MID_BONDSRING_H_Olwen00	异界英雄之一，为人认真的魔法骑士。
MID_BONDSRING_H_Olwen01	侍奉弗立吉家的军人，\n兄长是名将莱茵哈特。
MID_BONDSRING_H_Olwen02	为人率真耿直，\n得知所属军队的残忍行径后，毅然离开。
MID_BONDSRING_H_Olwen03	《トラキア776》
MID_BONDSRING_Mareeta	玛丽塔
MID_BONDSRING_H_Mareeta00	异界英雄之一，费亚纳义勇军的剑士。
MID_BONDSRING_H_Mareeta01	义勇军首领爱薇尔的养女，\n擅长剑术且好胜心强。
MID_BONDSRING_H_Mareeta02	继承剑圣奥德的血脉，\n精通必杀奥义“月光剑”与“流星剑”。
MID_BONDSRING_H_Mareeta03	《トラキア776》
MID_BONDSRING_Nanna	南娜
MID_BONDSRING_H_Nanna00	异界英雄之一，拉克西丝女王之女。
MID_BONDSRING_H_Nanna01	和里弗王子一起\n在伦斯特骑士芬恩的养育下长大。
MID_BONDSRING_H_Nanna02	拥有遗传自母亲的美貌与高贵气质，\n与伙伴一起为了解放色雷斯而战。
MID_BONDSRING_H_Nanna03	《聖戦の系譜》《トラキア776》
MID_BONDSRING_Sety	赛提
MID_BONDSRING_H_Sety00	异界尤格多拉尔陆地中\n西里西亚王国的王子。
MID_BONDSRING_H_Sety01	雷文之子，继承了圣战士的血脉\n以及“风魔法弗鲁赛提”。
MID_BONDSRING_H_Sety02	为了拯救百姓，成立反帝国组织“玛奇团”，\n是人民口中的“勇者”。
MID_BONDSRING_H_Sety03	《聖戦の系譜》《トラキア776》
MID_BONDSRING_Sara	莎拉
MID_BONDSRING_H_Sara00	异界英雄之一，\n拥有神奇力量的修女。
MID_BONDSRING_H_Sara01	感受到里弗的呼唤，\n与他成为伙伴并鼎力相助。
MID_BONDSRING_H_Sara02	罗普托教团大司教曼福洛伊的孙女，\n但她很讨厌祖父。
MID_BONDSRING_H_Sara03	《トラキア776》
MID_BONDSRING_Asvel	亚斯贝尔
MID_BONDSRING_H_Asvel00	异界英雄之一，\n擅长风魔法的魔道士。
MID_BONDSRING_H_Asvel01	玛奇团团长赛提的弟子，\n在团长身边学习各种知识。
MID_BONDSRING_H_Asvel02	年幼时曾遇见里弗王子，\n并发誓“要夺回色雷斯”。
MID_BONDSRING_H_Asvel03	《トラキア776》
MID_BONDSRING_Othin	奥辛
MID_BONDSRING_H_Othin00	异界英雄之一，费亚纳义勇军的斧战士。
MID_BONDSRING_H_Othin01	年轻气盛、充满自信的青年，\n擅长掷斧技“布极”。
MID_BONDSRING_H_Othin02	容易冲动、行事莽撞，\n但性格爽朗，是军中的开心果。
MID_BONDSRING_H_Othin03	《トラキア776》
MID_BONDSRING_Shiva	席巴
MID_BONDSRING_H_Shiva00	异界英雄之一，流浪剑士。
MID_BONDSRING_H_Shiva01	一身黑衣，\n操控“必杀剑”的剑术高手。
MID_BONDSRING_H_Shiva02	冷酷无情，但并非毫无血泪，\n厌恶不珍惜自己性命的人。
MID_BONDSRING_H_Shiva03	《トラキア776》
MID_BONDSRING_Linoan	莉诺安
MID_BONDSRING_H_Linoan00	异界尤格多拉尔陆地中\n色雷斯半岛的塔拉公爵家的女爵。
MID_BONDSRING_H_Linoan01	温柔聪慧，\n代替亡父担任城塞都市塔拉的市长。
MID_BONDSRING_H_Linoan02	继承了圣战士之一圣者赫姆的血脉，\n为反抗帝国暴政，与里弗并肩作战。
MID_BONDSRING_H_Linoan03	《トラキア776》
MID_BONDSRING_Lucina00	异界伊里斯圣王国的王子库洛武之女，\n来自未来。
MID_BONDSRING_Lucina01	因未来世界被邪龙津利毁灭，\n为了改变命运而穿越时空战斗。
MID_BONDSRING_Sallya	撒拉
MID_BONDSRING_H_Sallya00	异界英雄之一，佩莱吉亚王国的咒术师。
MID_BONDSRING_H_Sallya01	阴沉、善妒，\n时常独自钻研诡异的咒术。
MID_BONDSRING_H_Sallya02	是军中身材最姣好的人，\n爱慕鲁弗莱，认为另一半非他不可。
MID_BONDSRING_H_Sallya03	《覚醒》
MID_BONDSRING_Chrom	库洛武
MID_BONDSRING_H_Chrom00	异界英雄之一，伊里斯圣王国的王子。
MID_BONDSRING_H_Chrom01	英雄王的后裔，为了保护国家，\n成立自卫团，为国报效。
MID_BONDSRING_H_Chrom02	与军师鲁弗莱、女儿露琪娜等人\n一同对抗企图毁灭世界的邪龙津利。
MID_BONDSRING_H_Chrom03	《覚醒》
MID_BONDSRING_Tiamo	蒂亚莫
MID_BONDSRING_H_Tiamo00	异界英雄之一，伊里斯圣王国的天马骑士。
MID_BONDSRING_H_Tiamo01	拥有万人称羡的美貌，\n凡事都难不倒她的天才少女。
MID_BONDSRING_H_Tiamo02	明知没有结果，仍对库洛武王子芳心暗许，\n是军中最常叹气的人。
MID_BONDSRING_H_Tiamo03	《覚醒》
MID_BONDSRING_Marc	马可
MID_BONDSRING_H_Marc00	异界英雄之一，鲁弗莱之子。
MID_BONDSRING_H_Marc01	来自未来的少年少女之一，\n梦想是成为像鲁弗莱一样的军师。
MID_BONDSRING_H_Marc02	虽失去记忆，但朝气蓬勃，\n是军中最自由奔放的人。
MID_BONDSRING_H_Marc03	《覚醒》
MID_BONDSRING_Nono	侬侬
MID_BONDSRING_H_Nono00	异界英雄之一，天真无邪的幼龙。
MID_BONDSRING_H_Nono01	幻化成人形的“龙族”之一。\n看上去年幼，实际上已年过千岁。
MID_BONDSRING_H_Nono02	喜欢与同伴玩耍，\n是军中起床最晚的人。
MID_BONDSRING_H_Nono03	《覚醒》
MID_BONDSRING_Azul	阿兹尔
MID_BONDSRING_H_Azul00	异界英雄之一，奥利薇之子。
MID_BONDSRING_H_Azul01	来自未来的少年少女之一，\n亲切友善、开朗活泼。
MID_BONDSRING_H_Azul02	喜欢搭讪女孩子，\n是军中最爱晚上出去溜达的人。
