MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAhouuuu ! Alors Rosado, t'en as pensé\nquoi, de la fête ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nLe genre de méthodes « indignes de la moralité\nde l'Église », comme disent les gens sérieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nAlors que franchement ! Chaque jour,\nj'attire de nouveaux paroissiens !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nMais ils sont tellement occupés par les points\nnégatifs qu'ils ignorent tout ce qui peut être\npositif. Et ça m'enrage !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nIl y a effectivement de quoi être énervé !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nMerci de m'avoir donné cette occasion\nde me défouler.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nJe vais déprimer comme ça encore un jour\nou deux et après, je reviendrai avec mon\nentrain habituel.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ロサード\nJ'en suis sûr, oui.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08ロサード\nHé, Pandreo, regarde un peu ça !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パンドロ\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nJ'ai peint ton église.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nOuah ! T'as fait ça juste pour moi ?\nEt pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nJe voulais te montrer quelque chose. Regarde\ncette femme... Elle était vraiment là.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\nElle a l'air drôlement heureuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nEh ouais ! Cette expression sur son visage,\nc'est exactement ce que j'ai vu. Elle débordait\nde joie d'être dans ton église.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パンドロ\nAlors... Ça veut dire que je suis vraiment\nutile aux autres.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パンドロ\nC'était justement ce que j'essayais de faire.\nJe voulais que les gens retrouvent un peu\nde joie dans leur vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nEt tu y es admirablement parvenu !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nTu as dit auparavant que les gens étaient\ntellement obsédés par le négatif qu'ils\nignoraient le positif.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nJe crois que c'est aussi un peu\nton cas, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nMais... Hein ? Tu veux dire quoi, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nTu es tellement affecté par ces critiques\nque tu ne vois plus tes accomplissements.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nEh ben tu sais quoi ? Tu as parfaitement raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nMerci, Rosado ! Je me sens beaucoup mieux,\ngrâce à toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nÀ partir de maintenant, je ne douterai plus\nde moi comme ça ! Je continuerai à faire\nce que je fais si bien !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ロサード\nAlors ce soir, on remet ça !\nFête à volonté ! Ahouuuu !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パンドロ\nOh, mais carrément ! Ahouuuu !\x0E\x04\x00\x00
