MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nシトリニカ\nSeadall, est-il exact que tu prédis l'avenir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nLe soleil sort de derrière les nuages et envoie\nscintiller ses rayons sur chaque recoin de\nbâtiment... on se croirait dans un conte de fées.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nQuand j'étais petite et que grondait l'orage,\nje m'asseyais toujours au bord de la fenêtre\net j'attendais ce moment.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nJe manquais même mes leçons de danse\net préférais attendre, assise...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nVoilà une charmante histoire.\nDigne d'un livre d'images.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nHélas, la vie présente rarement la beauté d'un\nlivre. On ne peut pas juste s'asseoir et attendre\nque la pluie cède la place au beau temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nQue dis-tu ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nRester assise en vous rongeant les sangs au\nsujet de l'avenir de Brodia ne contribuera guère\nà la sécurité de votre terre natale.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nJ'en ai bien conscience.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nシトリニカ\nMais le temps de l'attente près de la fenêtre est\nrévolu. Je m'engage maintenant à l'extérieur,\nluttant pour Brodia les pieds dans la boue.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nCependant, je ne suis qu'une personne. Je ne\npeux protéger le royaume à moi toute seule.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nEt cela... Eh bien, cela me brise le cœur.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nJe dois prendre congé. Pardonne-moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x03\x02\x0A\x08セアダス\nCitrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nシトリニカ\nSeadall. Je te présente mes excuses pour\nm'être laissé aller, l'autre jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セアダス\nNe vous excusez pas. Je sais à quel point\nBrodia vous est chère.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nMais je dois vous dire quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nDe quoi s'agit-il ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\nJe savais que vous viendriez, c'est pourquoi\nj'ai à nouveau interrogé les cartes au sujet\nde l'avenir de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nEt... Qu'as-tu vu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nCe n'est pas que Brodia n'avait pas d'avenir.\nC'est simplement qu'un épais brouillard\nl'enveloppait.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セアダス\nJe vois clair, désormais.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セアダス\nJe présume que les profonds sentiments\nque vous nourrissez pour votre foyer ont\nsu dissiper ce vilain brouillard.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nAlors, qu'as-tu vu ? Que se cache-t-il derrière\nle brouillard ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nBrodia, après la pluie.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nBrodia et d'autres contrées connaîtront\nun temps d'obscurité et de conflit...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nMais ensuite, le soleil brillera entre les nuages\net illuminera votre foyer.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nHa ha, merci. J'espère que tu ne cherches\npas simplement à me faire plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nComment ? Que voulez-vous dire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nTa divination... Tu ne me tiens pas ce discours\npour me réconforter ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nNon. Je n'échafaude pas d'escroquerie, pas\nplus que je ne brosse les gens dans le sens\ndu poil. Je n'ai pas besoin de faire cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nJe prie pour que tu dises vrai.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nTu sais, grâce à ton aide, je peux me confronter\nà la réalité plus directement que jamais.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nJe ne peux me contenter d'attendre\npassivement qu'arrive l'avenir. Je dois\nle saisir des deux mains.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nPour le bien de Brodia. Et celui du monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nJe ne doute pas que vous agirez ainsi,\nCitrinne. Sachez que vous avez tout\nmon soutien.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nシトリニカ\nAh, j'allais oublier. Tu ne m'as pas dit comment\ntu souhaitais être rétribué pour tes services.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08セアダス\nQuand la paix régnera à nouveau, vous pourrez\nme faire visiter Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セアダス\nJ'aime explorer des lieux nouveaux.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nシトリニカ\nC'est une merveilleuse idée ! Nous nous\nrendrons bientôt dans une des cités...\nAprès l'orage.\x0E\x04\x00\x00
