MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nLouis... Vous me fixez depuis un moment, et\nça devient légèrement gênant. Je peux vous\naider ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nSi vous voulez. Je me contenterais toutefois\nde lire une histoire où des gens devisent\nensemble de tout et de rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\nVous pensez que je devrais écrire un roman\nentier où il ne serait question que de gens\npolis ayant de banales conversations ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nCe serait sans conteste votre chef-d'œuvre.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nLouis, la plupart de mes romans sont structurés\nautour de ce qu'on appelle généralement une\n« intrigue »...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nCe à quoi je répondrai : l'intrigue est-elle plus\nimportante que la présence de scènes\nmémorables ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nHm...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nPlongez dans le vif du sujet ! Une scène réussie\nse justifie en elle-même, sans avoir besoin d'une\n« intrigue » tarabiscotée pour la soutenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nL'argument est un peu simpliste, mais ce genre\nde structure narrative n'en a pas moins\nun ressort comique qui mérite d'être étudié...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nOh. Je crois bien que vous m'avez aidée à\nlancer la machine. Merci, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nJe suis ravi d'avoir été utile.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ルイ\nJe nourris de grands espoirs quant à la façon\ndont votre plume fera vivre les conversations\nanimées de nos personnages.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ジェーデ\nHé hé !\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nOh, voilà que vous demeurez à nouveau muette.\nQuelque chose vous turlupine ?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ジェーデ\nNon, Louis. Je riais, tout simplement.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ジェーデ\nVous êtes d'une telle transparence que\nc'en est hilarant.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Décidément, aucun aspect comique\nn'échappe à votre œil perçant.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nTiens, Louis, il y a quelque chose que je voulais\nvous demander.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nEt de quoi s'agit-il, illustre chevalier ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nPourquoi essayez-vous de vous rapprocher\nde moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nVoilà quelque temps que vous m'observez.\nEt votre idée de livre m'a décontenancée.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nAvez-vous déjà rencontré un espion ?\nLes meilleurs extorquent des informations\nde leurs proies en les flattant...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nIls inspirent confiance, cultivent soigneusement\nce sentiment, puis passent à l'assaut lorsque\nleur cible s'y attend le moins.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nNous sommes certes alliés, mais vous n'en êtes\npas moins un soldat de Firene. Je ne peux que\nm'interroger.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nJe suis impressionné, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nAh. Alors j'ai vu juste...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nOh non, vous vous fourvoyez complètement.\nJe ne suis pas un espion.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nQuoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nNon, ce qui m'impressionne, c'est votre\nimagination.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nIl faut être une mine d'inventivité pour\néchafauder d'aussi passionnantes histoires.\nSans oublier la qualité de votre discours.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nGrossière diversion.\nPourquoi m'observiez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nMa foi, parce que je désire mieux\nvous connaître.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nC'est tout ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nOui, c'est aussi simple que cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nJe ne vous observais que dans le dessein\nde trouver un bon sujet de conversation\npour briser la glace.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nJe considère qu'il est crucial que nous nous\nentendions. Nous venons de contrées éloignées\nnourries de valeurs différentes...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nPourtant, nous devons faire abstraction de ces\ndifférences et risquer nos vies côte à côte sur\nle champ de bataille, tous les jours.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nSi nous voulons nous acquitter convenablement\nde cette tâche, il est crucial que nous nous\ncomprenions l'un l'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ジェーデ\nC'est vrai.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\nIl vaut mieux qu'on s'entende et qu'on se fasse\nconfiance lorsque le combat fait rage.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nEn effet. Ces liens que nous créons aujourd'hui\nsont appelés à durer, même au-delà de\nla guerre.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\nJe vous présente mes excuses pour... vous avoir\nattribué de fausses intentions, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ジェーデ\nJe pourrais dégager un peu de temps pour\napprendre à mieux vous connaître.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nDans ce cas, vous plairait-il de vous asseoir\navec moi et de papoter autour d'une tasse\nde mon thé préféré ?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ジェーデ\nAvec joie, Louis. À condition que je puisse\nconsigner nos répliques les plus maladroites\ndans mon livre.\x0E\x04\x00\x00
