MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\nJe vous ai apporté les lettres que vous\ndésiriez consulter, Vander.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クラン\nIl ne doit pas me faire confiance...\nIl pense que j'en serais incapable.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nClanne !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\nO-Oui, sire !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nヴァンドレ\nJ'ai besoin de toi pour adresser\nun message à l'église, non loin d'ici.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nヴァンドレ\nJe n'entends pas réitérer mes doléances un\nmillier de fois. Réponds-moi promptement.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nVander, est-ce que vous ne me voyez...\nque comme un vulgaire coursier ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nPlaît-il ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クラン\nComment deviendrai-je un gardien digne de ce\nnom si je suis confiné aux tâches subalternes ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nヴァンドレ\nComment ? Écoute, Clanne, le rôle\nd'un gardien...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\n« ... est au-delà de tes aptitudes dérisoires ! »\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クラン\nJ'ai compris. Je suis bon à rien.\nPourquoi perdre votre temps à m'entraîner ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nQu'est-ce que tu racontes ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nRien. Je ferai ce que vous dites et je ne parlerai\nqu'à votre demande, en bon petit laquais !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nUn message pour l'église, disions-nous.\nC'est parti.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nAttends ! Écoute, Clanne !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nヴァンドレ\nClanne !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEt à propos de l'autre jour... À quoi ça rime\nde détaler quand ton supérieur te parle ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nParfois, je jure que...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nHmpf...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nAh... Non, je m'y prends mal.\nTout est de ma faute.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nClanne, accepte mes excuses.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nVos quoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nヴァンドレ\nNe m'interromps pas. Je place de grands\nespoirs en toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nAprès tout, un jour viendra où je vous remettrai\ntoutes mes responsabilités, à ta sœur et toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nMais alors... Pourquoi est-ce que vous ne me\nconfiez jamais de tâche digne de ce nom ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nIl s'agit d'une tâche digne de ce nom.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nMais... Mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nSi je te demande de m'assister dans mon travail\nde gardien, c'est justement parce que je te fais\nconfiance.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nRemettre des lettres et des messages... Sache\nque ces petites choses sont essentielles.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nヴァンドレ\nJe crois que je n'ai jamais pris le temps\nde bien te le faire comprendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nJe... Je suis désolé, Vander. J'ai tiré\ndes conclusions quelque peu hâtives.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nヴァンドレ\nNon, c'est de ma faute. Je n'ai pas su tenir\ncompte de ton point de vue.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nヴァンドレ\nJe te suis reconnaissant de ton aide, et m'en\nvoudrais de doucher ton ardeur à la tâche.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nOh, loin de là ! Je rêve toujours de devenir\nun noble gardien comme vous !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nAlors ne me ménagez pas, d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nD'accord, et ne réprime pas tes frustrations non\nplus. Tes préoccupations m'importent, sache-le.\x0E\x04\x00\x00
