MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nVous avez une force considérable, Roy. Ce n'est\npas étonnant que Brodia ait été chargé de votre\nprotection.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nMessire Roy me trouve fort ! Je suis tellement\nheureux que je vais finir par m'évanouir !\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x06\x04ロイ\nNe ménagez pas vos efforts et vous deviendrez\nencore plus fort... Voilà une devise pour votre\nfan-club du Dragon divin.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06フラン\nMessire Roy, en combinant nos forces, on sera\nimbattables ! Alors, qu'est-ce que vous\nen dites ?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04ロイ\nJ'en dis que j'aime votre assurance, Framme.\nNe baissez juste jamais votre garde, d'accord ?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nFramme, ce plat que vous avez toujours\nsur vous... Qu'est-ce que c'est, exactement ?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nDes tourtes à la betterave ! C'est super\nnourrissant, et en plus j'adore ça.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06フラン\nMessire Roy, il y a tellement de gens qui\nsont plus forts que moi. Je fais quoi, moi,\nsi je ne peux pas protéger le Dragon divin ?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04ロイ\nFramme, vous êtes forte, et vous savez\ntrès bien vous occuper de Sa Divinité.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04ロイ\nIl y a même certains domaines dans lesquels\nvous êtes imbattable. Notamment pour votre\nsoutien enthousiaste. Ce n'est pas négligeable.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nTrès bien, je vais protéger le Dragon divin\navec toute mon énergie, vous allez voir !\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNos alliés de Brodia couvaient un Emblème\ndrôlement puissant en leur sein. J'ai hâte de\ntravailler avec vous.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x06\x04ロイ\nVous semblez vous-même un allié de valeur.\nJe suis également heureux de combattre\nà vos côtés.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nAlfred ? Puis-je vous aider ? Je sens\nle poids de votre regard insistant.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe ne peux pas m'en empêcher... Vous affichez\nune musculature de premier ordre ! Je veux\nconnaître le secret de votre entraînement !\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAu travail, Roy ! L'aube se lève, c'est le moment\nidéal pour s'entraîner.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x06\x04ロイ\nJ'admire certes votre enthousiasme, mais\nne croyez-vous pas qu'il est un peu tôt ?\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nNe dites pas de bêtises. L'avenir appartient à\nceux qui soulèvent tôt, et nos muscles vont\nsoulever des montagnes !\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x06\x04ロイ\nJe ne suis pas sûr que ce soit la véritable\nexpression, mais c'est vous le spécialiste.\nAu travail, alors !\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nブシュロン\nAinsi, vous êtes sorti de cet anneau ?\nLe monde est décidément plein de merveilles.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x06\x04ロイ\nC'est ainsi que se manifestent les Emblèmes.\nQuoi qu'il en soit, je suis heureux d'avoir un\nnouvel allié.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nVous aimez la lecture, je me trompe ?\nAvez-vous des livres à me recommander ?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nOh, vous aimez lire, vous aussi ? Voyons...\nJe devrais pouvoir faire une liste et la réduire\nà une cinquantaine d'ouvrages.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nLes choses auraient pu mal tourner quand\nnous nous sommes retrouvés séparés des\nautres, pas vrai ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nJ'aurais juré avoir avancé en ligne droite,\nmais avant même de m'en rendre compte,\nnous étions perdus dans les bois.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nHeureusement que vous étiez là pour\nm'indiquer le bon chemin. Je ne sais pas\nce que j'aurais fait sans vous.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x06\x04ロイ\nCe n'est rien, je vous guiderai quel que soit\nle chemin que vous emprunterez, Boucheron.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nVous respirez la confiance en vous, Etie.\nN'y a-t-il donc rien qui vous angoisse ?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nL'angoisse a-t-elle jamais résolu le moindre\nproblème ? Non. Et puis, une séance d'exercices\nsuffit à m'apaiser l'esprit, si nécessaire.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nC'est vous qui avez cueilli ces fleurs ?\nElles sont magnifiques.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nMerci. Dans le village où j'ai grandi, on en\ntrouve partout.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nVous semblez de joyeuse humeur, Etie.\nCélébrerait-on quelque bonne nouvelle ?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nNon, je viens seulement d'avaler un steak\nsucculent. Mes muscles méritent ce qui\nse fait de mieux en matière de nourriture !\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x06\x04ロイ\nC'est donc à grands renforts de steaks que\nvous avez forgé les vôtres ?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nMon entraînement au soulevé de poids et le\nfait de courir tous les jours n'y sont pas non\nplus pour rien. D'ailleurs, il faut que j'y aille !\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nVotre puissance nous sera une fidèle alliée\ndans notre mission de paix.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x06\x04ロイ\nC'est une cause que je suis heureux de servir.\nDe même que je suis heureux d'avoir une\nalliée telle que vous.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nHé, Céline. Est-ce un nouveau thé dont\nje respire le parfum ?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nOui, j'ai reçu de nouvelles feuilles.\nEn apprécierons-nous les senteurs ensemble ?\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nVous êtes plus qu'un simple guerrier. Vous êtes\négalement un stratège et un commandant\nd'exception. C'est très impressionnant.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x06\x04ロイ\nIl m'a fallu étudier sans trêve pour devenir un\nseigneur digne de ce nom. J'ai fréquenté l'école\nde la plus grande ville de mon pays.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nJ'ai moi-même suivi des études très complètes,\nmais vous êtes la preuve vivante qu'elles\nprésentaient des lacunes.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x06\x04ロイ\nMa foi, j'ai également beaucoup d'expérience.\nAucune leçon ne saurait remplacer le champ\nde bataille.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ルイ\nSavez-vous ce que j'ai remarqué, Roy ?\nNos deux prénoms sont composés de\nla voyelle « O ».\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ロイ\nEuh. En effet. Eh bien, maintenant que nous\nnous sommes dûment occupés de cela...\nSi on retournait sauver le monde ?\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nCe sont des raisins ? Leur odeur est divine.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nMa ville natale leur doit sa renommée. Ils sont\nnon seulement délicieux, mais également bons\npour la santé. Des fruits sans défauts.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nQue nous vaut cette excellente humeur, Louis ?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nVoyez-vous, Roy, je viens juste d'avoir la joie\nde voir un groupe de personnes en ville\nqui semblaient beaucoup s'amuser.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nElles souriaient, riaient, allant parfois jusqu'à\ndanser. Pareille amitié ne peut être que\nmerveilleuse.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04ロイ\nCela semblait en effet merveilleux.\nSouvenez-vous de leurs visages en vous\nbattant pour la paix.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クロエ\nJe n'arrive pas à croire que je me bats aux côtés\nd'un Emblème. Cela ressemble tant à un conte\nde fées que j'ai l'impression de rêver.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x06\x04ロイ\nEt pourtant, c'est bel et bien réel. Je suis\nlà et prêt à vous aider, de quelque manière\nque ce soit.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nToute cette nourriture... C'est pour vous ?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nJe n'arrivais pas à me décider, au marché,\nalors j'ai pris un peu de tout.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クロエ\nRoy, avez-vous une histoire que vous\naffectionnez particulièrement ? Je parie\nque vous êtes friand d'épopées héroïques.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x06\x04ロイ\nHmm. J'aime plusieurs genres. Ce que\nje préfère, ce sont les dénouements heureux.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nOui, j'aime également les histoires positives.\nJ'espère que notre quête pour ramener la paix\ndans le monde s'achèvera de la même manière.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x06\x04ロイ\nMoi aussi. Il ne tient d'ailleurs qu'à nous\nd'œuvrer pour écrire cette fin.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nVotre anneau a été confié à mon royaume,\nRoy... Brodia se repose désormais sur votre\npuissance.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x06\x04ロイ\nJ'espérais que ce jour arriverait. Laissez-moi\nfaire. Ensemble, nous instaurerons la paix\ndans votre royaume.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nVous avez étudié la politique, n'est-ce pas,\nRoy ? J'ai sans nul doute beaucoup à\napprendre de vous...\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x06\x04ロイ\nJ'ai simplement appris à me conduire en\nseigneur. Si c'est de cela que vous parlez,\nje vous en entretiendrai avec joie.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJe ne m'attendais certes pas à vous voir surgir\nde l'anneau, mais il me semble maintenant que\nje pouvais sentir votre présence.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x06\x04ロイ\nJe suis heureux d'entendre ça. Et surtout\nd'avoir enfin pu m'entretenir avec vous\nde vive voix.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nNous formons une bonne équipe au combat.\nEspérons que l'union de nos forces suffira\nà instaurer la paix.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x06\x04ロイ\nJe partage cet espoir, Diamant. Et je suis sûr\nqu'il sera satisfait. Nous ferons tout ce qu'il\nfaudra pour cela.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08アンバー\nJ'arrive pas à croire que le légendaire Roy\nse cachait tout ce temps dans l'anneau\nconfié à Brodia !\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x06\x04ロイ\nIl n'y a vraiment pas de quoi en faire un plat,\nmais je suis bien content que cela vous\nrende si heureux !\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nQuelque chose ne va pas, Amber ?\nVous êtes trempé de sueur. Vous avez\nmangé quelque chose qui ne passe pas ?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nNon, ce n'est pas ça. Je viens de retirer le\ngilet en laine d'alpaga que ma famille m'a\nenvoyé. J'étouffais là-dedans...\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08アンバー\nDites, Roy... Je dois en avoir le cœur net...\nVous savez ce qu'est un alpaga, n'est-ce pas ?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x06\x04ロイ\nUn alpaga ? C'est bien l'animal à la fourrure\nlaineuse que l'on trouve dans votre contrée\nnatale ?\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nOui ! Je me suis dit que l'Emblème de Brodia\nse devait absolument de les connaître, et de\nsavoir que leur laine est super douce.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x06\x04ロイ\nSuper douce, hein ? À vous entendre, ils font\naussi de merveilleux animaux de compagnie.\nJe vous en prie, dites-moi tout.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nEh bien, Jade ? Que vous arrive-t-il ?\nVoilà un moment que vous me regardez\ncurieusement.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nChut. Taisez-vous. Je suis sur le point de\ntrouver le dénouement de mon prochain\nroman.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nJade ! J'ai trouvé un minéral tout à\nl'heure. Pourriez-vous m'aider à l'identifier\nsi je vous en fournis la description ?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nBien sûr. Je connais tous les minéraux de\nla région. Commencez par me décrire sa\ncouleur et l'éclat de sa brillance.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai cru remarquer que vous aimiez les livres\net les histoires, Roy. Est-ce bien le cas ?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x06\x04ロイ\nEn effet. C'est dans les livres qu'on trouve les\nleçons les plus importantes, après tout. Oh,\nmais c'est vrai, vous écrivez, n'est-ce pas ?\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nOui. D'ailleurs, j'ai écrit quelque chose que\nj'aimerais vous faire lire. J'ai besoin de juger\nde l'effet de quelques plaisanteries.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x06\x04ロイ\nParfait ! Je peux m'y mettre tout de suite,\nsi vous consentez à me tourner les pages.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nJe me réjouis que nous puissions enfin faire\néquipe, Alcryst. En tant qu'Emblème de Brodia,\nje compte sur vous !\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nVous devriez probablement revoir vos\nattentes à la baisse, Messire Roy. Je ne suis\npas aussi fiable que l'est mon grand frère.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nスタルーク\nD'autres sont sans doute capables de se lier\nà vous de manière plus efficace, Messire Roy.\nEn vaux-je vraiment la peine ?\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x06\x04ロイ\nBien sûr, Alcryst. Ne dites pas des choses\npareilles. J'apprécie grandement d'être lié\nà vous !\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nVous étiez remarquable lors de la dernière\nbataille, Alcryst ! Vous avez assuré les arrières\nde tout le monde, félicitations.\x0E\x04\x00\x00
