MID_Movie_S02	Bataille du passé
MID_Movie_S17	Mort du Dragon divin
MID_H_Movie_S17	Alors que Sombron s'apprête à éliminer\nVeyle, \x0E\x06\x03\x00 lui sauve la vie en\ns'interposant.
MID_Movie_S18	Restauration de Gradlon
MID_H_Movie_S18	Sombron ayant obtenu tous les anneaux,\nil utilise leur pouvoir pour se transformer\net faire ressurgir la contrée de Gradlon.
MID_Movie_S19	Souvenirs d'un autre millénaire
MID_H_Movie_S19	Il y a mille ans en vainquant Sombron au\nmilieu des flammes, \x0E\x06\x03\x00 était\ntombé\x0E\x0A\x00\x06
MID_Movie_S20	Un nouvel Emblème
MID_H_Movie_S20	Même mort\x0E\x0A\x00\x06
MID_Movie_S21	Cauchemar
MID_H_Movie_S21	Épuisé\x0E\x0A\x00\x06
MID_Movie_S22	Prochaines retrouvailles
MID_H_Movie_S22	Après le combat final, \x0E\x06\x03\x00\nannonce aux Emblèmes son prochain\ncouronnement et les invite à y assister.
MID_Movie_C01	Éveil tant attendu
MID_H_Movie_C01	Le Dragon divin \x0E\x06\x03\x00 s'est\nenfin éveillé\x0E\x0A\x00\x06
MID_Movie_C02	Les Aberrations
MID_H_Movie_C02	Dans la plaine de Lythos, le groupe est\nattaqué par des monstres. Clanne et\nFramme se retrouvent en difficulté.
MID_Movie_C03	Emblème
MID_H_Movie_C03	Ayant entendu une voix résonner dans\nl'anneau et compris de qui il s'agissait,\n\x0E\x06\x03\x00 invoque l'Emblème.
MID_Movie_C04	Engagement parfait
MID_H_Movie_C04	L'Emblème Marth et \x0E\x06\x03\x00\ncombattent ensemble et sauvent Clanne\net Framme des Aberrations.
MID_Movie_C05	Raid sur la chambre des Anneaux
MID_H_Movie_C05	Entendant une explosion, \x0E\x06\x03\x00\nse précipite à la chambre des Anneaux,\nretrouvant Vander et les autres en route.
MID_Movie_C06	Le cristal temporel draconique
MID_H_Movie_C06	\x0E\x06\x03\x00 a acculé les ennemis,\nmais par un étrange pouvoir, la situation\nse renverse.
MID_Movie_C07	Mort de Lumera
MID_H_Movie_C07	Dans un dernier effort, Lumera confie à\n\x0E\x06\x03\x00 un Anneau d'Emblème et\nlui promet qu'\x0E\x0A\x00\x14\x06ils\nelles se reverront un jour.
MID_Movie_C08	Céline
MID_H_Movie_C08	La princesse Céline est attaquée par des\nAberrations, retenues par Louis et Chloé\npour que Céline puisse s'échapper.
MID_Movie_C09	La reine Ève
MID_H_Movie_C09	Alors qu'un général elusien interroge la\nreine Ève, il est interrompu par l'arrivée\nde sa commandante, Zephia.
MID_Movie_C10	Mission inachevée
MID_H_Movie_C10	Zephia punit Nelucce pour son échec au\nchâteau de Firene, avant d'accueillir un\npersonnage mystérieux.
MID_Movie_C11	Alcryst
MID_H_Movie_C11	Le prince Alcryst prend \x0E\x06\x03\x00\net Alfred pour des bandits. En apprenant\nqui ils sont, il est confus et honteux.
MID_Movie_C12	Hortensia
MID_H_Movie_C12	La princesse d'Elusia veut s'emparer des\nAnneaux d'Emblèmes : une embuscade\nattend \x0E\x06\x03\x00 au Grand passage.
MID_Movie_C13	Emblème Noir
MID_H_Movie_C13	Hortensia contrôle un Emblème Noir,\nprouvant ainsi que les Dragons déchus\npeuvent aussi invoquer des Emblèmes.
MID_Movie_C14	Lutte de Veyle
MID_H_Movie_C14	Veyle élimine les ennemis. Mais malgré\nson succès, elle sent qu'elle doit encore\ns'efforcer de devenir plus puissante.
MID_Movie_C15	Revers
MID_H_Movie_C15	Vaincu par le roi Hyacinth, le roi Morion\nest emmené en Elusia. Ivy empêche\n\x0E\x06\x03\x00 de le libérer.
MID_Movie_C16	Roi Morion corrompu
MID_H_Movie_C16	\x0E\x06\x03\x00 affronte le roi Hyacinth\nà la cathédrale de Destinea et découvre\nque le roi Morion a été corrompu.
MID_Movie_C17	Alliés retournés
MID_H_Movie_C17	Sombron utilise les anneaux dérobés à\n\x0E\x06\x03\x00 et invoque les Emblèmes\npour les soumettre à ses noirs desseins.
MID_Movie_C18	Fogado
MID_H_Movie_C18	Égaré\x0E\x0A\x00\x06
MID_Movie_C19	Danseur dans les ruines
MID_H_Movie_C19	Le danseur Seadall échappe à la mort\nface à des Aberrations grâce à une voix\nqui le guide dans sa fuite.
MID_Movie_C20	Incendie de Florra
MID_H_Movie_C20	Le village de Florra autrefois paisible est\nattaqué et incendié, et un grand nombre\nde navires elusiens y ont jeté l'ancre.
MID_Movie_C21	L'autre Veyle
MID_H_Movie_C21	Le sort de Zephia réveille à nouveau la\npersonnalité obscure de Veyle, qui défie\n\x0E\x06\x03\x00 avec un Emblème Noir.
MID_Movie_C22	L'enfant du Dragon déchu
MID_H_Movie_C22	Alors que \x0E\x06\x03\x00 invoque un\nEmblème d'une incantation, Griss\néclate de rire et lui révèle un secret.
MID_Movie_C23	Rébellion de Marni
MID_H_Movie_C23	Marni tente de détruire le casque\nenchanté qui contrôle Veyle. Zephia\nintervient et se débarrasse de Marni.
MID_Movie_C24	La dracopierre brisée
MID_H_Movie_C24	Le Dragon divin périt en protégeant\nVeyle. La dracopierre se brise et Veyle\napprend la vérité sur s\x0E\x0A\x00\x0A\x04on\x02a \x0E\x0A\x00\x16\nfrère\x08sœur disparu\x0E\x0A\x00\x06
MID_Movie_C25	Éveil de Veyle
MID_H_Movie_C25	Veyle affronte sa personnalité obscure et\nla vainc. Se contrôlant enfin elle-même,\nelle ranime \x0E\x06\x03\x00 corrompu\x0E\x0A\x00\x06
MID_Movie_C26	Les Quatre Chacals
MID_H_Movie_C26	Zephia et Griss, vaincus, profitent de\nleurs derniers instants pour se confier\nl'un à l'autre.
MID_Movie_C27	Retrouvailles
MID_H_Movie_C27	Veyle affronte la protectrice de l'ultime\nfragment de Dragon déchu : Lumera,\nchangée en Aberration par Sombron.
MID_Movie_C28	Seconds adieux
MID_H_Movie_C28	Au seuil de la mort, Lumera retrouve ses\nsouvenirs. \x0E\x06\x03\x00 lui refait ses\nadieux, et elle disparaît dans la lumière.
MID_Movie_C29	Effacement des Emblèmes
MID_H_Movie_C29	Quand Sombron referme le portail, les\nEmblèmes disparaissent. \x0E\x06\x03\x00\net ses alliés se préparent à l'affronter.
MID_Movie_C30	Treize liens
MID_H_Movie_C30	\x0E\x06\x03\x00 invoque à nouveau les\ndouze Emblèmes et prend aussi sa place\ncomme Emblème pour le combat final.
MID_Movie_C31	Sombron déchu
MID_H_Movie_C31	Un instant, Sombron semble vaincu.\nMais, avec un sourire vorace, il montre\nsa véritable forme de Dragon déchu.
MID_Movie_K01	Emblème Sigurd
MID_H_Movie_K01	L'Emblème Sigurd, invoqué depuis\nl'Anneau du Chevalier Sacré.
MID_Movie_K02	Emblème Celica
MID_H_Movie_K02	L'Emblème Celica, invoquée depuis\nl'Anneau de la Tendre Princesse.
MID_Movie_K03	Emblème Micaiah
MID_H_Movie_K03	L'Emblème Micaiah, invoquée depuis\nl'Anneau de la Fille de l'Aube.
MID_Movie_K04	Emblème Roy
MID_H_Movie_K04	L'Emblème Roy, invoqué depuis\nl'Anneau du Jeune Lion.
MID_Movie_K05	Emblème Leif
MID_H_Movie_K05	L'Emblème Leif, invoqué depuis\nl'Anneau du Souverain Éclairé.
MID_Movie_K06	Emblème Lyn
MID_H_Movie_K06	L'Emblème Lyn, invoquée depuis\nl'Anneau de la Lady de Sacae.
MID_Movie_K07	Emblème Lucina
MID_H_Movie_K07	L'Emblème Lucina, invoquée depuis\nl'Anneau de la Sainte-Lignée.
MID_Movie_K08	Emblème Ike
MID_H_Movie_K08	L'Emblème Ike, invoqué depuis\nl'Anneau du Héros de l'Aube.
MID_Movie_K09	Emblème Byleth
MID_H_Movie_K09	L'Emblème Byleth, invoqué depuis\nl'Anneau de l'Instructeur.
MID_Movie_K10	Emblème Corrin
MID_H_Movie_K10	L'Emblème Corrin, invoquée depuis\nl'Anneau de la Main du Destin.
MID_Movie_K11	Emblème Eirika
MID_H_Movie_K11	L'Emblème Eirika, invoquée depuis\nl'Anneau des Jumeaux Célestes.
