MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh non... Qu'est-ce que je vais faire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nL'ours aura l'air de répondre : « Oh, très bien »,\net il ira se rassasier autre part.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nSérieusement ! Et je parle d'expérience,\nje l'ai fait des dizaines de fois.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTrès bien. C'est toi l'experte.\nJe te fais confiance.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nJe connais une quantité de techniques pour\néloigner les ours, de l'intimidation au bon vieux\ncombat pur et dur.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe t'en prie, apprends-moi tout ce que tu sais.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nMerci infiniment pour ton aide, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMes parents m'ont écrit pour m'annoncer\nque les ours ne sont plus un problème.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nTant mieux ! Je suis soulagée.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIls ont aussi joint ceci pour te remercier.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nHm ? Une seconde. Est-ce que c'est... ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUne invitation à venir passer du bon temps\nà l'auberge de mes parents, dès que la guerre\nsera finie.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMême si je manque d'objectivité, je suis\npersuadée que tu trouveras aussi que notre\nsource chaude est la meilleure au monde.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nOuah, quel cadeau formidable ! Merci !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nJe dois avouer, Goldmary... J'ai du mal à croire\nque tu viennes d'un petit village. Toi qui es si\nsophistiquée.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, n'exagère pas. Mais tu as raison.\nEt je t'en prie, ne t'arrête pas...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nLaisse-moi deviner. Tu es née à la campagne,\nmais tu as grandi dans une ville ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon, j'ai vécu dans mon village natal jusqu'à\nmon départ, il y a quelques années.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÀ vrai dire, je n'ai rien connu d'autre\navant d'entrer à l'académie.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nOh. Ton village doit être bien différent de celui\nd'où je viens.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe serais curieuse de savoir ce qui\nles différencie.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nAvec plaisir. À la prochaine occasion, je te dirai\ntout de l'endroit où j'ai grandi.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nJe pourrai même préparer un déjeuner !\nJ'ai déjà la recette idéale pour cette occasion.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nFormidable ! D'habitude, c'est moi qui cuisine.\nÇa me changera.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl me tarde de passer d'autres moments\nen ta compagnie.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x08\x06ラピス\nBonjour, Goldmary ! J'ai préparé le déjeuner,\nj'espère que tu as une faim de loup.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHmm, ça a l'air délicieux. Qu'est-ce que c'est ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nCe sont des boulettes de patates douces,\npatates venues tout droit de mon village.\nVas-y, goûte !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe n'en ai jamais entendu parler. J'espère\nqu'elles sont aussi bonnes qu'elles en ont l'air.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMmm... C'est incroyable !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nElles sont merveilleuses ! Je ne m'attendais pas\nà une saveur aussi sucrée.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nOn ne la doit qu'aux patates douces.\nJe n'ai pas ajouté de sucre.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'espère que ça ne te dérange pas si je les finis.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nJe t'en prie ! Je suis certaine que mes parents\nseront heureux d'apprendre que tu aimes autant\nleurs légumes.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTes parents sont cultivateurs ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nOui. Mais leurs terres sont peu fertiles, alors\nils n'ont pas beaucoup d'argent.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nEt avec les ours qui les attaquent sans cesse...\nils sont obligés de les chasser et de les manger.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVoilà pourquoi tu en sais autant sur le sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\nJ'ai beaucoup appris à force d'affronter ces\nours. Par-dessus tout, j'ai appris à me battre.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nEt puis j'ai combattu dans le tournoi de Brodia.\nC'était mon seul salut face à la pauvreté.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nEn remportant le tournoi, j'ai gagné le droit\nde devenir vassale du prince Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nEn un sens, je devrais remercier les ours\npour ma réussite.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nAprès tout, pas un seul combattant du tournoi\nne leur arrivait à la cheville !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIls mettent la barre plutôt haut.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nEt maintenant, je devrais aussi les remercier\npour l'amitié qu'on a nouée, toutes les deux.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu as raison. J'en suis aussi très heureuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe ne me dévoile pas souvent avec les gens.\nMais en ta compagnie, je sens que je peux être\nmoi-même.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi tu le veux bien, j'aimerais que l'on passe\nplus de temps ensemble.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nJ'en serais honorée !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nParfait ! On pourrait parler de tous les aspects\nde la vie rurale que les gens des villes ne\npeuvent pas comprendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nHé hé ! En voilà, une bonne idée !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nJe suis bien contente d'avoir une amie\nqui vient aussi de la campagne, même\ns'il s'agit de la campagne d'un autre pays.\x0E\x04\x00\x00
