MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0C\nエーティエ\nCela faisait longtemps que nous n'avions pas\neu le temps de prendre une tasse de thé\ntoutes les deux, Dame Céline.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nS'entraîner est certes très important pour moi,\nmais le temps que j'ai l'occasion de passer en\nvotre compagnie a encore plus d'importance.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\nInterrompre l'entraînement pendant nos séances\nde dégustation ne porte pas à conséquence. Je\nn'ai donc pas besoin de faire les deux à la fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nOh ! Je vois...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nCette guerre nous broie les uns après les autres.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nエーティエ\nJe ne sais pas combien de temps encore j'aurai\nl'occasion de profiter d'un moment de détente\nen votre compagnie.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nIl me semble donc préférable de ne pas gaspiller\nce précieux temps où nous sommes ensemble\nen m'entraînant.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nエーティエ\nV-Vous allez bien ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nJe suis touchée, Etie, que tu te donnes\ntant de peine pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nC'est tout naturel, Céline, voyons !\nVous savez que vous êtes une de\nmes meilleures amies, non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セリーヌ\nJe pourrais en dire autant de toi, Etie.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nエーティエ\nMerci. C'est un véritable honneur pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nOh ! Voilà que tu te remets à trembler.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nエーティエ\nCe n'est pas l'entraînement qui en est la cause,\ncette fois, mais l'émotion qui est en train\nde me saisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セリーヌ\nOh, Etie... Approche. Si tu as besoin de\nsollicitude, mon épaule est à ta disposition.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nエーティエ\nSnif... Oh, Céline...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セリーヌ\nHi hi... Pas si fort, Etie.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08セリーヌ\nEuh... Argh...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08セリーヌ\nEtie... Tu t'es trop entraînée. Tu... tu m'écrases !\x0E\x04\x00\x00
