MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nBonjour, Jean.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nOù veux-tu en venir au juste, Jean ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ジャン\nLes gens comme vous... ça me met mal à l'aise,\nquoi... Je suis désolé !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x01\x08\x06ジャン\n\x0E\x03\x02\x0A\x08ジェーデ\nEt voilà, il a filé.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ジェーデ\nJe me demande ce qu'il entendait par\n« les gens comme moi »...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nJade... Je suis vraiment désolé à propos\nde l'autre fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nQuand tu m'as dit que ma présence te mettait\nmal à l'aise ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nNe t'en fais pas, Jean. Tu n'as pas besoin de\nt'excuser, mais j'aimerais bien une explication.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nEn quoi est-ce que « les gens comme moi » te\nmettent mal à l'aise ? Et qu'entends-tu par là,\nau juste ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nEh bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ジャン\nJ'ai entendu dire que... que vous étiez... cruelle,\npresque inhumaine, sur le champ de bataille.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nMa foi... il n'est pas impossible que cela puisse\nm'arriver, il est vrai.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ジャン\nAlors c'est vrai aussi que vous n'hésitez jamais\nà vous élancer dans la bataille ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nAh. Là, je plaide coupable.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\nJe te remercie. C'est tout ce que j'avais besoin\nd'entendre. Je comprends mieux, maintenant.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nTu menais une existence relativement paisible,\navant de rejoindre nos rangs, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nJe vois en quoi des soldats au passé sanglant et\naux armes encore plus ensanglantées peuvent\nsusciter en toi malaise et anxiété.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nEuh, attendez... non. Ce n'est pas du tout ça...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ジェーデ\nCela ne fait rien, Jean. Je ne te juge pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nJe comprends, vraiment. Je veillerai à ne pas\nm'approcher trop près de toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nEncore désolée de t'avoir mis mal à l'aise.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x01\x0A\x08ジェーデ\n\x0E\x03\x02\x08\x06ジャン\nJade, attendez !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nJade !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nOui, Jean ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ジャン\nVous n'avez pas du tout compris, l'autre fois !\nJe n'ai pas peur de vous !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nMais... tu as bien dit que tu étais mal à l'aise\nen ma présence...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\nJe sais, mais vous ne m'avez pas laissé finir.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nJe sais bien que si vous vous élancez ainsi dans\nla bataille, c'est pas pour faire couler le sang,\nmais pour nous protéger.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nMais quoi qu'il en soit, ça fait que vous vous\nexposez toujours en première ligne.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ジャン\nEt la bataille terminée, vous rentrez souvent\nplus blessée que quiconque, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\nJe m'inquiète pour vous. Je me fais parfois tant\nde souci que ça en devient insupportable.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nOh, Jean...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ジャン\nLes gens qui se jettent dans les combats comme\nvous ont tendance à ne pas vivre très vieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nEn fait, c'est ça qui me met mal à l'aise en votre\nprésence. L'idée qu'un jour, vous pourriez bien\nne plus être là...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ジャン\nMais... Je crois avoir trouvé la solution.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nJe me dis que, aussi blessée que vous soyez,\nje peux toujours vous soigner à votre retour.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nVous vous battez vaillamment pour me protéger,\nje devrais de mon côté faire mon possible pour\nvous maintenir en vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nVoilà une attitude pleine de noblesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nJe suis vraiment désolé pour la façon dont\nje me suis comporté jusqu'ici !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nDorénavant...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nDorénavant, nous combattrons côte à côte...\nen tant qu'alliés et amis.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ジャン\nOui. Vous avez parfaitement raison, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ジャン\nJe suis super content que les choses soient\nmaintenant claires entre nous.\x0E\x04\x00\x00
