MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJe dois te remercier, Jean.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nCela te ferait-il plaisir de prendre le thé avec\nmoi à l'occasion ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nNous pourrions faire infuser quelques feuilles\nimportées de ton île et déguster notre thé\nà la santé de ta mère.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ジャン\nOh ! J'ai rien fait pour mériter cette invitation,\nmais je vous en suis reconnaissant.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ジャン\nJ'ai hâte d'y être !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nVoilà un sentiment partagé. Nous en reparlerons\nbientôt.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nBonjour, Jean.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ジャン\nBonjour, Princesse Céline !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nOh, est-ce un ouvrage médical que je te vois\ncompulser ? J'espère ne pas t'interrompre\ndans tes études.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ジャン\nPas de souci. Je lis juste ça pour pouvoir\ndevenir un bon médecin.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nVoilà qui est tout à ton honneur. Ce sera pour\nune autre fois, dans ce cas.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ジャン\nHmm ? Oh, vous voulez parler du\nthé qu'on devait boire ensemble ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セリーヌ\nOui. Nous avons reçu du thé en provenance de\nton île ce matin. Je venais donc voir\nsi tu étais disponible.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nMais tes études importent bien davantage.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nJe suis vraiment désolé. Mais merci d'avoir\npensé à moi !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nNotre dégustation est reportée et non annulée,\nmon cher. Cette attente de surcroît ne la rendra\nque plus savoureuse.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nLe thé de chez moi doit vraiment être délicieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nHa ha ! Et ce n'est que maintenant que\ntu t'en rends compte ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nLe thé que nourrissent tes terres est à nul\nautre pareil, je puis te l'assurer.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nÇa alors !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nN'as-tu jamais songé à te bâtir un avenir dans\nle thé ? À reprendre le flambeau de ta mère,\nen quelque sorte ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ジャン\nNon, pas vraiment. J'aime beaucoup le thé,\nmais c'est pas lui qui sauvera des vies.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nIl ne... sauvera pas de vies ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ジャン\nHm ? Princesse Céline ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nNon, ne fais pas attention. Tes études te\nréclament. Nous ferions mieux de prendre\ncongé, mon thé et moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ジャン\nMerci. J'en étais justement à un passage\nfascinant !\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\nTravaille avec diligence, mais garde-toi\nde te surmener.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nGrrr... Ça veut pas rentrer...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\nBonjour, Jean. Tu ne sembles pas ménager\ntes efforts quant à tes études.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ジャン\nPrincesse Céline !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nJ'ai lu et relu ce chapitre, mais je n'y\ncomprends rien. Mon cerveau est trop\nfatigué.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nJ'ai ce qu'il te faut. Tiens.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nCette odeur... C'est le thé de chez moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nLui-même.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nJe t'ai vu batailler avec cet ouvrage et j'ai\nsongé qu'une pause te ferait le plus grand bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nOh. Merci, Princesse Céline !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\nHmm... Cette odeur... Elle est si apaisante.\nJ'ai l'impression d'être à la maison.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nDis-moi, Jean. Tu m'as expliqué l'autre jour\nqu'à ton sens, le thé ne pouvait sauver de vies.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nPourtant, je t'apprendrai que le thé de ton île\nm'a sauvée plus souvent qu'à mon tour.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nLe thé... vous a sauvée ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nQuand le sort s'acharne, que ma détermination\nfaiblit... Je m'offre une tasse de thé.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nSa chaleur et sa saveur me redonnent\nbien du courage.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nAlors, les choses s'arrangent souvent, lors\nmême que je n'ai fait que m'aérer l'esprit.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nSi les problèmes auxquels je suis confrontée\nsont graves, est-il exagéré de prétendre que\nle thé me sauve ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nNon. Sans doute pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nD'ailleurs, je me sens requinqué maintenant !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nMerci, Princesse Céline. J'ai appris\nune importante leçon aujourd'hui, et\nce n'était pas dans ce livre.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ジャン\nD'un point de vue médical, on ne doit pas\nnégliger les vertus curatives du thé.\nPardonnez-moi cette erreur.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nIl est inutile de te confondre en excuses.\nJe suis heureuse de voir que tu as retrouvé\ntoute ta résolution.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ジャン\nLorsque je retournerai chez moi rendre visite\nà ma mère, je lui dirai que notre thé est le\nmeilleur du monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セリーヌ\nSi elle ne porte pas crédit à cette allégation,\nj'irai en personne l'entretenir du bonheur que\nm'apporte son breuvage.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ジャン\nD'ailleurs, si Son Altesse y consent, on pourrait\nle boire maintenant, notre thé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ジャン\nBoire du thé seul, ce n'est pas très marrant...\nEt puis, j'aimerais bien discuter encore\nun peu avec Votre Altesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ジャン\nJe me remettrai à mes études dès qu'on\naura fini, évidemment !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セリーヌ\nHa ha ha, rien ne me ferait plus plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セリーヌ\nPour être franche, j'avais moi-même fort envie\nd'en déguster. Pardonne-moi si j'ai été\ninopportune.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セリーヌ\nAlors, allons-nous passer en salle de\ndégustation ? Nous avons tant de choses\nà dire au sujet de ce délicat breuvage !\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ジャン\nAprès vous !\x0E\x04\x00\x00
