MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nSoren, auriez-vous un peu de temps pour\ndiscuter ? J'aimerais en savoir davantage\nsur le monde d'où vous venez.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nAvez-vous déjà envisagé de ne plus jamais\nvous aventurer en plein air ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nブシュロン\nJ'ai tenté de suivre votre conseil, mais j'ai les\narticulations qui s'encrassent à force de rester à\nl'intérieur. Vous n'auriez pas une autre idée ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nMa foi... vous pourriez trouver quelqu'un\nqui vous accompagne partout.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nExcellente idée ! Je voulais justement partir\nà la pêche. Venez, allons-y !\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nJe ne proposais pas mes services...\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nエーティエ\nJe vous ai apporté ceci, en gage d'amitié.\nC'est un stimulant musculaire qui vous\ndonnera un bon coup de tonus !\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nVoilà qui est... généreux de votre part. Mais mon\ntonus actuel me semble déjà tout à fait adéquat.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nエーティエ\nVoudriez-vous venir courir avec moi ? Un peu\nd'activité physique améliorera votre humeur.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nJe ne suis pas de mauvaise humeur.\nC'est juste mon caractère habituel.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nエーティエ\nÇa doit être plutôt dur pour vous aussi, hein ?\nInutile de le cacher : je sens que nous avons\nle même problème, vous et moi.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nPardon ?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nNe pas réussir à développer ses muscles, même\nen s'entraînant activement... C'est déprimant.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nJe crains ne pas voir du tout de quoi\nvous me parlez...\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJe vous suis si reconnaissante de m'aider,\nSoren. Accepteriez-vous de déguster une\ntasse de thé en ma compagnie ?\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nUn Emblème ne peut ni manger ni boire,\nje me vois donc contraint de décliner\nvotre invitation.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nAinsi... C'est cela que vous nommez\nun « pot-pourri » ?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nL'odeur n'est-elle pas enchanteresse ?\nJe serais si heureuse de vous voir apprécier\nles plaisirs simples que nous offre ce monde.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJ'ai toujours voulu protéger mon pays.\nC'est la raison qui m'a poussée à apprendre\nà manier les armes.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nMais quelle que soit la force que je développe,\nd'aucuns continuent d'affirmer que c'est là\nle devoir d'un prince, et pas d'une princesse.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nCela vient du fait que le vulgaire ignore tout\nde la dignité royale.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nC'est le devoir de tout membre d'une famille\nroyale que de défendre son peuple. C'est à cela\nque servent les impôts dont celui-ci s'acquitte.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04ルイ\nIl émane de vous une certaine aura...\nLa compagnie d'une personne chère à votre\ncœur compléterait à merveille le tableau.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nPourquoi me fixez-vous ainsi ? Je vous\nsaurais gré de me laisser tranquille.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04ルイ\nJe n'ai pas mon pareil pour préparer du thé,\naussi surprenante que puisse paraître une\ntelle compétence pour un chevalier.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nCe n'est nullement surprenant. J'ai connu\ndes chevaliers qui excellaient aux fourneaux.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04ルイ\nLe temps est encore superbe aujourd'hui,\nn'est-ce pas ? Et sinon, tout se passe comme\nvous le voulez, dans votre monde ?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nInutile de vous exténuer à conquérir mon\namitié. Je n'ai nulle intention de montrer\nla plus infime... familiarité.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nJe m'assure seulement du bonheur des amis\nchers à mon cœur. Tel est mon tempérament.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nJe vois... Vous êtes un grand excentrique.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クロエ\nVous avez connu deux autres mondes\navant celui-ci, n'est-ce pas ? Qu'est-ce\nqu'on y mangeait ?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nEn tant qu'Emblème, je ne saurais trop que\nvous dire des saveurs. Dans leur apparence\nen tout cas, les plats y était assez similaires.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クロエ\nQuand vous pouviez manger, quelles\nsaveurs préfériez-vous ?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nJe mangeais tout ce qui était comestible.\nEn temps de guerre, on ne peut pas\nse permettre de faire le difficile.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クロエ\nVous avez dit que vous mangiez tout ce\nqui était comestible, mais vous est-il déjà\narriver de trouver un goût étrange ?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nPas particulièrement. Enfin, maintenant\nque vous m'y refaites songer...\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nJe me souviens de gouttes énergisantes\ndont la saveur était assez particulière.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nOh ! Voilà qui m'intéresse. Pourriez-vous\nm'en dire plus ?\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nDu point de vue d'un pays et de son peuple,\nquelles sont à votre avis les qualités que\ndevrait posséder un roi idéal ?\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nVous posez cette question à un mercenaire ?\nVous voulez que les membres vous expliquent\ncomment la tête doit se comporter ?\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nVous n'avez pas voulu me donner votre\ndéfinition du roi idéal. Mais que feriez-vous\nsi vous deviez servir un roi écervelé ?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nSi j'avais affaire à un roi qui rejetait les conseils\navisés, je prendrais tout simplement congé.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJ'ai cru comprendre que vous étiez le conseiller\nen stratégie d'un groupe de mercenaires, et\nque vous étiez un mage exceptionnel.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nJe ne sais pas si j'étais exceptionnel,\nmais j'avais une bonne maîtrise des arts.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nOn n'exerce pas une science aussi délicate\nsans mérite. J'ai moi-même essayé un jour,\nmais la tâche s'est révélée bien trop ardue.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nIl se trouve que j'avais des dispositions.\nIl n'y a aucun mérite à cela.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08アンバー\nJe suis Amber, le prodige du village des alpagas.\nEnchanté de faire votre connaissance !\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nC'est aussi un plaisir pour moi.\nVous m'avez l'air de bonne humeur.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08アンバー\nJe vais partir à la recherche des pépites d'or\nlégendaires que recèlent les déserts de Solm !\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nLa mine abandonnée des confins de Solm\nsemble encore être à peu près en état, mais\nsoyez quand même prudent.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08アンバー\nSoren ! Connaîtriez-vous une bonne technique\nd'entraînement pour améliorer sa vitesse ?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nPour les alpagas ou pour vous-même ?\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nAussi bien pour eux que pour moi, voyons !\nVous êtes quelqu'un de très futé, je suis sûr\nque vous avez une idée.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nJe ne vais pas vraiment pouvoir vous aider...\nVous devriez poser la question à quelqu'un\nde plus expérimenté en matière d'alpagas.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nJ'ai... trouvé ce livre. Les « Aventures d'Amber,\nchevalier sans peur et sans caboche »...\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nAh ! C'est un texte... confidentiel. C'est moi\nqui l'ai écrit. Vous m'avez rendu un grand\nservice en mettant la main dessus.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAu fait... Ce texte confidentiel que vous aviez\ntrouvé l'autre fois... Vous ne l'avez pas lu ?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nVotre roman dont Amber est le personnage\ncentral ? Si, j'en ai parcouru une bonne partie.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nLes gens me trouvent froide et inamicale...\net pourtant, je ne déteste pas m'amuser.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nJe vois... Vous êtes juste une personne\npeu expressive.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nÀ mon avis, vous comprenez ce que je ressens\nparce que vous avez lu mon livre jusqu'au bout.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nVous vous faites trop de soucis, Jade. Cela ne\nvous suffit-il pas que nous nous soutenions\nmutuellement sur le champ de bataille ?\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nスタルーク\nM'accorderiez-vous un bref entretien ? Même si\nje sais que ma présence doit vous importuner...\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nElle ne m'importune pas spécialement, mais\nje préfère malgré tout éviter les bavardages.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nスタルーク\nOh... Je voulais vous interroger sur les tactiques\nde combat, mais... ce thème est-il suffisamment\ndigne d'intérêt pour vous, Messire Soren ?\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nSi vous avez quelque chose à me demander,\nfaites-le sans perdre de temps. Cela m'agace\nque vous restiez là à me dévisager.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nスタルーク\nVous devez sûrement être très occupé, mais...\ncomment dire... j'aimerais disputer un combat\nd'entraînement avec vous !\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nTrès bien.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nCe n'est pas grave, je... Pardon ?! Vous... Vous\nvoulez dire que vous acceptez, vraiment ?!\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nSi vous comptiez sur un refus de ma part, il ne\nfallait pas me poser la question. Cela s'annonce\nintéressant... Que le meilleur gagne !\x0E\x04\x00\x00
