MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nDevant nous, une séparation millénaire...\nDe l'autre côté, un siècle de regrets...\x0E\x04\x02\x00
MID_OP3_#026	Je n'ai rien à ajouter. Je vous prie de me suivre.\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x10\x0EE001_イル\nVeuillez excuser ma sœur, Votre Divinité.\nVotre apparition l'a profondément troublée...\x0E\x04\x02\x00
MID_OP3_#028	Elle entretenait autrefois avec le Dragon divin\nun rapport pour le moins compliqué...\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x10\x0EE001_エル\nVoici la chambre des Bracelets. C'est ici que\nnous gardons nos Bracelets d'Emblèmes\nà l'abri.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nJe vois...\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x10\x0EE001_エル\nSur ce piédestal repose le Bracelet du\nSaint-Veilleur.\x0E\x04\x02\x00
MID_OP4_#004	C'est l'unique bracelet en notre possession.\nLes Emblèmes qu'il abrite sont en sommeil.\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x10\x0EE001_イル\nIl existe sept bracelets distincts.\x0E\x04\x02\x00
MID_OP4_#006	Nous avons perdu les six autres lors de\nnotre conflit contre Sombron.\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x0A\x08リュール\nIl existe donc également dans votre monde...\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x10\x0EE001_エル\nLaissez-moi vous exposer les faits depuis\nle début.\x0E\x04\x02\x00
MID_OP4_#009	Les premiers dragons sont nés il y a plusieurs\nmillénaires, et ils engendrèrent les Dragons\ndivins et déchus.\x0E\x04\x02\x00
MID_OP4_#010	La paix régnait au début, jusqu'à ce que les\nDragons déchus se livrent à la conquête et\nà la destruction.\x0E\x04\x02\x00
MID_OP4_#011	Face à cette menace pesant sur le monde,\nles Dragons divins et le peuple prièrent\npour leur salut.\x0E\x04\x02\x00
MID_OP4_#012	Des êtres venus d'autres mondes apparurent\npour les sauver. Ils étaient connus sous le nom\n« d'Emblèmes ».\x0E\x04\x02\x00
MID_OP4_#013	Ces Emblèmes étaient la manifestation de\nleurs ferventes suppliques pour la paix.\x0E\x04\x00\x00
MID_OP4_#014	\x0E\x03\x02\x10\x0EE001_イル\nMa sœur et moi-même étions en train\nd'accomplir ce même rituel ancien\njuste avant votre arrivée.\x0E\x04\x02\x00
MID_OP4_#015	Nous nous attendions à ce qu'un nouvel\nEmblème se manifeste pour nous sauver...\x0E\x04\x00\x00
MID_OP4_#016	\x0E\x03\x02\x0A\x08リュール\nC'est à ce moment que j'ai fait mon apparition...\x0E\x04\x00\x00
MID_OP4_#017	\x0E\x03\x02\x10\x0EE001_イル\nPrécisément. Imaginez donc notre étonnement !\nJe suis encore pantelant...\x0E\x04\x00\x00
MID_OP4_#018	\x0E\x03\x02\x10\x0EE001_エル\nLes Emblèmes mirent un terme au conflit,\nmais l'accalmie ne fut que temporaire.\x0E\x04\x02\x00
MID_OP4_#019	Il y a mille ans de cela, Sombron chercha à\ns'approprier le pouvoir des Emblèmes pour\nassouvir ses propres ambitions.\x0E\x04\x00\x00
MID_OP4_#020	\x0E\x03\x02\x10\x0EE001_イル\nNous fûmes témoins des horreurs de ce conflit...\nLe continent entier était ravagé par les combats.\x0E\x04\x02\x00
MID_OP4_#021	Les dragons et les différentes familles royales\nse disputèrent les Emblèmes sans relâche,\njusqu'à l'épuisement complet de leurs forces.\x0E\x04\x00\x00
MID_OP4_#022	\x0E\x03\x02\x10\x0EE001_エル\nAlors que notre monde était au bord de\nla destruction, les Dragons divins\nremportèrent une victoire décisive.\x0E\x04\x02\x00
MID_OP4_#023	La reine draconique divine, Lumera, parvint à\nemprisonner le Dragon déchu Sombron...\nau prix de sa propre vie.\x0E\x04\x00\x00
MID_OP4_#024	\x0E\x03\x02\x0A\x08リュール\nMa mère a donc succombé il y a mille ans ?\x0E\x04\x00\x00
MID_OP4_#025	\x0E\x03\x02\x10\x0EE001_エル\nSon sacrifice permit de ramener la paix, même\nsi le peuple pleura alors sa disparition.\x0E\x04\x02\x00
MID_OP4_#026	Le Dragon qui lui succéda restaura les terres\ndévastées et leur rendit leur prospérité d'antan.\x0E\x04\x00\x00
MID_OP4_#027	\x0E\x03\x02\x0A\x08リュール\nLe Dragon qui lui succéda... Vous voulez dire\nle nouveau monarque draconique ?\x0E\x04\x00\x00
MID_OP4_#028	\x0E\x03\x02\x10\x0EE001_エル\nOui. Vous-même.\x0E\x04\x00\x00
MID_OP4_#029	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP4_#030	\x0E\x03\x02\x10\x0EE001_イル\n\x0E\x06\x03\x00, légataire légitime de Lumera,\nlui succéda en tant que monarque draconique.\x0E\x04\x00\x00
MID_OP4_#031	\x0E\x03\x02\x0A\x08リュール\nC'est donc moi qui ai occupé le trône après\nsa mort... L'histoire de ce monde est bien\ndifférente de la mienne.\x0E\x04\x00\x00
MID_OP4_#032	\x0E\x03\x02\x10\x0EE001_イル\nVous avez rempli vos fonctions de manière\nexemplaire.\x0E\x04\x02\x00
MID_OP4_#033	Sous votre règne, le monde semblait enfin\nconnaître une paix durable.\x0E\x04\x02\x00
MID_OP4_#034	Mais cela ne dura pas. Lorsque Sombron\nreparut, un nouveau conflit commença.\x0E\x04\x00\x00
MID_OP4_#035	\x0E\x03\x02\x10\x0EE001_エル\nQuiconque parvient à rassembler et réveiller\nles sept Emblèmes se voit accorder un pouvoir\nincommensurable.\x0E\x04\x02\x00
MID_OP4_#036	Sombron espérait utiliser ce pouvoir pour\naccomplir sa vengeance et rétablir\nl'honneur bafoué des Dragons déchus.\x0E\x04\x02\x00
MID_OP4_#037	Pour arriver à ses fins, il était prêt à mettre\nle monde entier à feu et à sang.\x0E\x04\x00\x00
MID_OP4_#038	\x0E\x03\x02\x0A\x08リュール\nJ'imagine donc que j'ai perdu cette guerre...\x0E\x04\x00\x00
MID_OP4_#039	\x0E\x03\x02\x10\x0EE001_エル\nPas exactement... Sombron et vous...\nvous vous êtes annihilés mutuellement.\x0E\x04\x02\x00
MID_OP4_#040	La nuit du combat décisif, vous avez porté\ntous deux le coup fatal au même moment.\x0E\x04\x00\x00
MID_OP4_#041	\x0E\x03\x02\x0A\x08リュール\nLe Dragon déchu a ainsi déjà péri ?\x0E\x04\x02\x00
MID_OP4_#042	Mais alors, qui peut bien menacer\nvotre monde ?\x0E\x04\x00\x00
MID_OP4_#043	\x0E\x03\x02\x10\x0EE001_エル\nQuelqu'un tente de poursuivre les projets\nmalfaisants de Sombron, mais son identité\nnous est inconnue.\x0E\x04\x00\x00
MID_OP4_#044	\x0E\x03\x02\x10\x0EE001_イル\nCette personne va et vient sans laisser la\nmoindre trace. Nous ignorons où elle se\ntrouve ou même à quoi elle ressemble.\x0E\x04\x02\x00
MID_OP4_#045	Une chose est sûre. Tout comme Sombron, cet\nindividu cherche à récupérer les sept bracelets.\x0E\x04\x02\x00
MID_OP4_#046	Deux bracelets se trouvent déjà\nprobablement en sa possession.\x0E\x04\x00\x00
MID_OP4_#047	\x0E\x03\x02\x0A\x08リュール\nUn bracelet au château de Lythos, deux entre\nles mains de l'ennemi... Où se trouvent les\nquatre autres ?\x0E\x04\x00\x00
MID_OP4_#048	\x0E\x03\x02\x10\x0EE001_エル\nChacune des quatre nations d'Elyos\nest en possession d'un bracelet.\x0E\x04\x02\x00
MID_OP4_#049	Elles combattaient jadis sous le même étendard,\nmais les choses changèrent du tout au tout\naprès votre disparition.\x0E\x04\x02\x00
MID_OP4_#050	Désunis et perdus, les jeunes agneaux humains\nse retrouvent pris dans d'incessantes querelles.\x0E\x04\x02\x00
MID_OP4_#051	La situation demeure stable, mais la guerre\npourrait éclater à n'importe quel moment.\x0E\x04\x00\x00
MID_OP4_#052	\x0E\x03\x02\x10\x0EE001_イル\nJe me demande si l'armée du Dragon divin\na jamais été véritablement unie...\x0E\x04\x02\x00
MID_OP4_#053	J'ai vu ses membres se disputer, au sein même\nde ce château, pour savoir quelle nation devait\nêtre tenue responsable de votre disparition...\x0E\x04\x02\x00
MID_OP4_#054	Tout cela est absurde, naturellement. Personne\nne peut être tenu responsable de cette tragédie.\x0E\x04\x00\x00
MID_OP4_#055	\x0E\x03\x02\x10\x0EE001_エル\nMaintenant que notre \x0E\x0A\x00"\x0Esauveur\x10sauveuse a fait son\napparition, il est impératif que nous\nrécupérions tous les bracelets.\x0E\x04\x02\x00
MID_OP4_#056	Le conflit que nous avons tenté d'empêcher\ntoutes ces années sera bientôt inévitable.\x0E\x04\x02\x00
MID_OP4_#057	Il vous faudra peut-être croiser le fer avec des\nvisages qui vous sembleront amis ou alliés.\x0E\x04\x00\x00
MID_OP4_#058	\x0E\x03\x02\x0A\x08リュール\nJe comprends. Je me préparerai pour une telle\néventualité.\x0E\x04\x02\x00
MID_OP4_#059	Quant à vous... Vous êtes aussi des Dragons\ndivins ?\x0E\x04\x00\x00
MID_OP4_#060	\x0E\x03\x02\x10\x0EE001_エル\nQu'est-ce qui a pu vous donner une telle\nimpression ?\x0E\x04\x00\x00
MID_OP4_#061	\x0E\x03\x02\x0A\x08リュール\nVous avez dit être des dragons, et comme vous\nrésidez au château de Lythos, j'ai pensé que...\x0E\x04\x00\x00
MID_OP4_#062	\x0E\x03\x02\x10\x0EE001_エル\nEh bien, vous vous trompez.\x0E\x04\x00\x00
MID_OP4_#063	\x0E\x03\x02\x10\x0EE001_イル\nCe qu'elle veut dire, Votre Divinité, c'est que...\x0E\x04\x00\x00
MID_OP4_#064	\x0E\x03\x02\x10\x0EE001_エル\nPrenez garde ! Des assassins !\x0E\x04\x00\x00
MID_OP4_#065	\x0E\x03\x02\x10\x0EE001_イル\nNel !\x0E\x04\x00\x00
MID_OP4_#066	\x0E\x03\x02\x0A\x08リュール\nC'est... un Dragon déchu !\x0E\x04\x00\x00
MID_OP4_#067	\x0E\x03\x02\x10\x0EE001_エル\nTout comme mon frère, oui. En ce monde, les\nDragons déchus naissent avec leur jumeau.\x0E\x04\x02\x00
MID_OP4_#068	Nous avons coupé les liens avec notre père\nlors de la dernière guerre. Nous combattons\ndésormais nos semblables fourvoyés.\x0E\x04\x00\x00
MID_OP4_#069	\x0E\x03\x02\x10\x0EE001_イル\nJe n'ai pas la capacité de me transformer,\nmais cela ne m'empêche pas de me battre\naux côtés de Nel.\x0E\x04\x00\x00
MID_OP4_#070	\x0E\x03\x02\x0A\x08リュール\nDes Dragons déchus jumeaux...\x0E\x04\x00\x00
MID_OP4_#071	\x0E\x03\x02\x10\x0EE001_エル\nJe croyais que vous connaissiez notre identité.\x0E\x04\x02\x00
MID_OP4_#072	Je me suis visiblement trompée.\x0E\x04\x02\x00
MID_OP4_#073	Si vous refusez de nous aider, quittez ces lieux.\nNous défendrons ce monde par nous-mêmes.\x0E\x04\x00\x00
MID_OP4_#074	\x0E\x03\x02\x0A\x08リュール\nNon... Je combattrai à vos côtés.\x0E\x04\x02\x00
MID_OP4_#075	Peu m'importe votre héritage. Si vous voulez\nprotéger ce monde, alors comptez sur moi.\x0E\x04\x00\x00
MID_OP4_#076	\x0E\x03\x02\x10\x0EE001_イル\nC'est un soulagement. Marchons donc côte\nà côte dans la bataille, comme jadis !\x0E\x04\x00\x00
MID_OP4_#077	\x0E\x03\x02\x10\x0EE001_エル\nMontrez-nous votre valeur, Votre Divinité. Nous\nverrons si vous êtes à la hauteur de nos prières.\x0E\x04\x00\x00
MID_EV0_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE001_エル\x02t\n\x0E\x05\x01\x1C\x0EE001_エル\nAngry\n\x0E\x03\x02\x10\x0EE001_エル\nL'ennemi est certainement venu dérober\nle Bracelet du Saint-Veilleur.\x0E\x04\x02\x00
MID_EV0_#002	Nous devons l'arrêter avant qu'il n'arrive\njusqu'à son emplacement.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nRelax\n\x0E\x03\x02\x14\x12E001_Boss\nHé hé hé...\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nAngry\n\x0E\x03\x02\x14\x12E001_Boss\nNe sont-ils pas mignons ? Leurs crocs\nvous marqueront de leur malédiction...\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE001_イル\x02t\n\x0E\x05\x01\x1C\x0EE001_イル\nAngry\n\x0E\x03\x02\x10\x0EE001_イル\nMon bâton Vitalis vous permettra de lever la\nmalédiction causée par leurs crocs. Donnez-le\nà quelqu'un pouvant en faire usage !\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nSmile\n\x0E\x03\x02\x14\x12E001_Boss\nIl vous donnera du fil à retordre, car le pouvoir\nde mon Emblème le protège. Hé hé hé...\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nAngry\n\x0E\x03\x02\x14\x12E001_Boss\nRemettez-moi ce bracelet.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01&\x12E001_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E001_Boss\nSeriez-vous donc... le Dragon divin ?\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nEn personne. Et je vais récupérer ce bracelet.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01\x1E\x12E001_Boss\x08Pain\n\x0E\x03\x02\x14\x12E001_Boss\nSavourez votre victoire... pour cette fois.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x10\x0EE001_イル\nIls ont pris la fuite ! J'espérais enfin pouvoir\ndécouvrir leur identité...\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nNous avons au moins pu remettre la main sur\nle bracelet qui se trouvait en leur possession.\x0E\x04\x02\x00
MID_ED1_#003	Ce bracelet...\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x10\x0EE001_エル\nLe Bracelet de l'Ancêtre. Il semble cependant...\ndifférent de la dernière fois où nous l'avons vu.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nHm... Son Emblème pourra peut-être nous\nrenseigner sur l'ennemi qui se trouvait en\nsa possession.\x0E\x04\x02\x00
MID_ED1_#006	Je vais l'invoquer de nouveau pour l'interroger.\x0E\x04\x02\x00
MID_ED1_#007	Tiens ? C'est étrange...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE001_エル\nQue se passe-t-il ?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08リュール\nJe n'arrive pas à formuler l'incantation. Parce\nque ce monde n'est pas le mien, peut-être...\x0E\x04\x02\x00
MID_ED1_#010	Mon rôle est précisément d'invoquer les\nEmblèmes en tant que Dragon divin...\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x00\x0A\x04不明\x024\n\x0E\x03\x02\x06\x04不明\nDragon... divin ?\x0E\x04\x02\x00
MID_ED1_#012	\x0E\x03\x00\x16\x10E001_敵チキ\x024\n\x0E\x06\x00&\x10E001_敵チキ\x12MPID_Tiki\n\x0E\x03\x02\x12\x10E001_敵チキ\nJe m'appelle Tiki. Vous êtes donc un Dragon\ndivin, vous aussi ?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nEh bien...\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x10\x0EE001_イル\nImpossible... Les Emblèmes invoqués de la sorte\nne devraient pas être en mesure de parler.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nBonjour, Emblème Tiki.\x0E\x04\x02\x00
MID_ED1_#016	Je devrais être en mesure de vous invoquer\nde nouveau, mais pour cela, connaissez-vous\nl'incantation à prononcer ?\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x12\x10E001_敵チキ\nJe ne sais rien au sujet d'une\nquelconque incantation...\x0E\x04\x02\x00
MID_ED1_#018	J'ai... la tête qui tourne. Elle me fait mal...\x0E\x04\x02\x00
MID_ED1_#019	Je ne veux plus me battre... s'il vous plaît.\nJe ne veux faire de mal à personne.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x10\x0EE001_エル\nPersonne ne vous contraindra à agir contre\nvotre volonté. Permettez-moi de vous rendre\nvotre paisible sommeil.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0A\x08リュール\nVous êtes capable d'une telle chose ?\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x10\x0EE001_エル\nC'est en mon pouvoir, oui. Par contre, j'ignore\ntout du pouvoir d'invocation dont vous parlez.\x0E\x04\x02\x00
MID_ED1_#023	Le Dragon divin de ce monde était capable, lui,\nde purifier les Emblèmes déchus.\x0E\x04\x02\x00
MID_ED1_#024	Il semble que vous n'ayez pas une telle faculté,\nalors je renverrai moi-même l'Emblème Tiki\nà son sommeil.\x0E\x04\x02\x00
MID_ED1_#025	Dans cet état, elle sera à l'abri de quiconque\ntenterait d'abuser de son pouvoir.\x0E\x04\x02\x00
MID_ED1_#026	Personne ne pourra ainsi la forcer à combattre.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x10\x0EE001_イル\nEn d'autres termes, nous allons sceller\nson pouvoir à l'intérieur du bracelet.\x0E\x04\x02\x00
MID_ED1_#028	Mais étant donné que nous ignorons comment\nréveiller les Emblèmes, elle ne pourra plus\nnous venir en aide.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\nNous n'avons guère d'autre choix...\nJe comprends, allez-y.\x0E\x04\x02\x00
MID_ED1_#030	La garder éveillée pourrait nous être utile,\nmais je ne la forcerai pas à se battre.\x0E\x04\x02\x00
MID_ED1_#031	Tiki... J'espère que nous nous reverrons un jour.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x12\x10E001_敵チキ\nMoi aussi.\x0E\x04\x02\x00
MID_ED1_#033	Peut-être aurons-nous alors l'opportunité\nde passer du temps ensemble ?\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x0A\x08リュール\nAvec plaisir.\x0E\x04\x00\x00
