MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0A\x08リュール\nPff, ça suffira pour l'entraînement\nd'aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nJe suis indépendant\x0E\x0A\x00\x06
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nBien sûr...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nヴァンドレ\nJe vous présente mes plus plates excuses,\nVotre Divinité. Je vous ai imposé mes habitudes,\ntel un serviteur un peu obtus.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nヴァンドレ\nDésormais, je respecterai vos requêtes et les\nprendrai en considération avec toute l'attention\nqui s'impose.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nMerci, Vander. Et venez me parler avant de\nfaire quoi que ce soit à ma place.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nJ'aurai besoin de votre aide à maintes\nreprises. Mais j'aimerais autant que vous\nm'aidiez uniquement quand je vous le demande.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nM'occuperai-je de vos armes et de vos\narmures, Votre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nInutile. J'ai le temps, je m'en chargerai\nmoi-même.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nEntendu. Je me consacrerai donc à d'autres\nouvrages, avec votre permission.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nMerci de votre âpreté à la tâche.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nC'est naturel, Votre Divinité. Ce n'est rien.\nRien du tout...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nY a-t-il quelque chose qui vous turlupine ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\nOserais-je abuser de votre temps pendant\nun instant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nJe vous en prie. Que se passe-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nVous m'avez auparavant dit, Votre Divinité,\nqu'il convenait de ne pas vous confondre avec\nSa Majesté Lumera.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nMoi qui ai humblement servi sous vos ordres à\ntou\x0E\x0A\x00\x0C\x02s\x06tes les deux, j'ai pourtant observé quelques\nsimilitudes.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nPour tout dire, je viens même d'en observer\nà l'instant.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nTiens donc ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nVous êtes attentionné\x0E\x0A\x00\x06
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nS'il subsiste une différence vous séparant,\nc'est que vous n'avez pas fini de grandir.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nÀ vos pieds s'étend un avenir brillant et ne\nconnaissant nulle limite. Je n'ai pas de plus cher\ndésir que de vous soutenir dans cet avenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nVander, je...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nJ'espère ne pas vous avoir froissé\x0E\x0A\x00\x06
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nNon, je suis heureu\x0E\x0A\x00\x0A\x02x\x04se que vous vous soyez\nconfié ainsi. Comme vous le dites, j'ai encore\nbeaucoup à apprendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nEspérons qu'en grandissant, je ressemble\ndavantage à ma mère, que je devienne à mon\ntour quelqu'un sur qui on peut compter.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nヴァンドレ\nJe ne doute pas que vous en êtes capable et\nque c'est ce qu'il adviendra, Votre Divinité.\nC'est pourquoi je demeure là, à votre service.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nAussi longtemps que vous serez à mes côtés,\nguidant mes pas, je vivrai dans l'assurance que\nrien de fâcheux ne se produira.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nContinuez à me prêter votre force.\nPlus tard, lorsque j'en serai moins\ndépourvu\x0E\x0A\x00\x06
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\nBien sûr, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nVotre Divinité, je me dois de vous faire un aveu.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nAh ? Je vous écoute...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nヴァンドレ\nPuisque j'entends demeurer à votre service,\nil me semble prudent de ne rien vous cacher.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nヴァンドレ\nLorsqu'on m'a annoncé mon affectation à\nSomniel pour vous servir, j'ai accueilli la\nnouvelle sans aucun plaisir.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nヴァンドレ\nOui. Avant de vous servir, je ne désirais qu'une\nchose : servir Sa Majesté Lumera jusqu'au bout.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nヴァンドレ\nMalgré mes nombreuses doléances,\nSa Majesté Lumera a insisté pour que je veille\nsur votre sommeil.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nヴァンドレ\nJ'ai eu le sentiment d'être répudié, indigne\nd'être son serviteur. Je suis arrivé à Somniel\nle cœur lourd d'amertume...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nJe vois... Et qu'est-ce qui vous a fait changer\nde disposition ?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0C\nヴァンドレ\nAu départ, je ne faisais que suivre les ordres\nde Sa Majesté Lumera.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nヴァンドレ\nMais désormais, je vous sers car j'ai foi en\nvous. En votre cœur ainsi qu'en la passion\nqui l'anime, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nVander...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nヴァンドレ\nCe n'est que quand Sa Majesté Lumera a\ntrépassé que j'ai compris qu'elle savait que\nle temps lui était compté.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0C\nヴァンドレ\nVoilà pourquoi elle m'avait désigné pour\nprendre soin de vous et m'avait ordonné\nde vous assister.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nヴァンドレ\nSe voir confier l'enfant de Sa Majesté Lumera\nest le plus grand honneur auquel puisse aspirer\nun gardien du Dragon.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nヴァンドレ\nAveuglé par l'orgueil, je n'avais pas compris...\nMais mes yeux se sont décillés depuis.\nPardonnez-moi cet égarement.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nIl n'y a pas lieu de vous excuser, et merci\nde votre franchise, Vander.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0C\nヴァンドレ\nVotre Divinité, m'accorderiez-vous l'honneur\nde réitérer mon serment d'allégeance ?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nBien sûr.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nヴァンドレ\nVotre Divinité, par ces mots, je vous offre\nmon indéfectible loyauté.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nVander, soyez désormais mon inséparable\nchevalier.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nPour célébrer cela, je souhaiterais vous faire\nun présent.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nヴァンドレ\nL'Anneau du Pacte ? Je ne suis certes\npas digne de recevoir un objet si précieux !\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nBien sûr que si. Je veux qu'il soit à vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nCet anneau est transmis de Dragon divin à\nDragon divin. Il représente un lien fort qui\nvous unit à l'un d'entre eux.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nC'est pourquoi nul n'est plus légitime que vous\npour le recevoir, vous qui me servez et avez\nservi ma mère infatigablement.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nヴァンドレ\nJe ne puis croire... qu'un jour devait venir\noù on me gratifierait d'un tel honneur.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nHa ! Je me souviens que vous avez dit quelque\nchose d'approchant lorsque je me suis éveillé\x0E\x0A\x00\x06
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nJe vous demande maintenant de demeurer\nauprès de moi jusqu'à la fin.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0C\nヴァンドレ\nJ'en serai honoré ! Votre Divinité, je vous\nsuivrai jusqu'aux confins du monde.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nヴァンドレ\nAfin de me montrer digne de l'anneau que\nje porte dorénavant, je ne laisserai personne\nvous infliger le moindre mal.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0C\nヴァンドレ\nMoi, Vander, je jure de vous protéger, d'être\nvotre lame et votre bouclier, dussé-je donner\nma vie pour cela.\x0E\x04\x00\x00
