MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nマデリーン\nFiou ! Je me suis suffisamment entraînée\npour aujourd'hui. Je suis en nage !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	Enfin, seulement si ça ne te met pas mal à\nl'aise. Je ne veux surtout pas te bouleverser\nà nouveau par mégarde.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\nC'est une belle intention que tu as là.\nDe nous deux, c'est bien toi la plus adulte.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nマデリーン\nJe n'irais pas jusqu'à dire cela.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nBon alors ça remonte, et je dirais même\nque c'est un peu rasoir. Mais si tu tiens\ntant à connaître mon histoire...\x0E\x04\x02\x00
MID_RELIANCE_B_#010	J'ai grandi dans une famille très pauvre. Et pire\nencore, mes parents se haïssaient.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Parfois, ils se montraient violents. Je n'ai pas\nle moindre souvenir où ils sont gentils avec moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nマデリーン\nMais c'est affreux...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nPour mes anniversaires, j'aurais tant voulu\nrecevoir une peluche. Au lieu de cela, j'avais\njuste droit à leur mépris.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Tu sais que j'ai horreur de la douleur...\nJ'ai vraiment essayé d'être un bon garçon,\npour ne pas me faire punir...\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Mais ça ne m'a pas aidé. Ils ne m'ont jamais\naimé, pas un seul instant, et ils ont fini par...\nme vendre.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nマデリーン\nC'est horrible. Je ne peux même pas concevoir\nqu'on se débarrasse de son enfant ainsi.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nグレゴリー\nTu ne peux peut-être pas, mais c'est ce\nqu'il s'est passé. Et des gens comme eux,\nil y en a à la pelle dans ce monde.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nマデリーン\nJe suis désolée, Gregory. Je n'avais pas du tout\nconscience de tout ce que tu avais traversé.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nグレゴリー\nT'as pas besoin de t'excuser. C'est juste\nque tu parlais de ta famille, et ça m'a rappelé\nla mienne. \x0E\x04\x02\x00
MID_RELIANCE_B_#020	Tes parents avaient vraiment l'air formidables.\nTu as raison de fièrement afficher l'amour\nqu'ils te portaient.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nマデリーン\nEt les tiens ? Que ressens-tu vis-à-vis d'eux,\nà présent ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nグレゴリー\nDe la haine. Je suis incapable de leur pardonner.\nMême si j'essaie de me convaincre qu'ils\navaient leurs raisons.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Avant, je n'avais pas ce recul. J'y suis parvenu\ngrâce aux Quatre Zéphyrs. Vous êtes devenus\nma famille.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nマデリーン\nJ'en suis heureuse.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nグレゴリー\nUn jour, je pourrai dire tout cela à mes parents.\nMais en attendant... Merci de m'avoir écouté.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nマデリーン\nNon, c'est moi qui te remercie de t'être\nconfié à moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nマデリーン\nHmm... Oui, voilà qui devrait être parfait.\nC'est exactement ce que j'imaginais.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nQu'est-ce que tu regardes ? T'as vraiment\nl'air contente, en tout cas. C'est un nouvel\nexercice d'entraînement ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nマデリーン\nAaah !\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Oh, Gregory ! Tu travailles ta technique\nd'approche furtive, à ce que je vois. Eh bien,\nsache que tu la maîtrises à la perfection.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nHé hé... Merci. Alors... c'est quoi, ça, au juste ?\nUne grosse boule de poussière ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nマデリーン\nPardon ?\x0E\x04\x02\x00
MID_RELIANCE_A_#007	C'est un mouton en peluche ! C'est la première\nfois que je fais un jouet, donc je suppose\nqu'il est complètement raté.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nOoh, une peluche ! Ah, je crois que je distingue\nses formes maintenant ! Ah oui, bien sûr !\nElle est très bien, en fait. Tu comptes l'offrir ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nマデリーン\nEh bien, je crois que tu aimes les choses\ntoutes douces et moelleuses...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nグレゴリー\nJe suis pas sûr de comprendre, là...\nC'est pour moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nマデリーン\nC'était mon intention, oui. Mais je vais peut-être\ngarder ce mouton pour moi, tout compte fait.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Un chevalier digne de ce nom n'offre pas de\nmouton de poussière, après tout. Je vais plutôt\nlui faire une place sur mon lit.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nグレゴリー\nAllez, Madeline, donne-le-moi ! Il est parfait !\nJ'aimerais vraiment l'avoir ! S'il te plait !\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Je m'excuse de l'avoir pris pour un mouton\nde poussière ! En fait, ce mouton, j'en ai\nrêvé toute ma vie !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nマデリーン\nD'accord, c'est bon ! Ah là là ! Allez tiens,\nle voilà.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nMerci !\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Il est vraiment génial ! Tout doux, tout\nmoelleux... J'ai jamais été aussi heureux\nde ma vie !\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Mais au fait... Pourquoi tu me l'as fabriqué ?\nJ'ai strictement rien fait pour le mériter.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nマデリーン\nC'est parce que tu as dit que tu voulais\nabsolument avoir une peluche, quand tu\nétais petit.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nグレゴリー\nOh ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nマデリーン\nJe ne peux pas remonter le temps et te\nl'apporter quand tu étais enfant.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Mais je peux au moins apporter un peu d'amour\nau Gregory qui se tient devant moi.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Nous autres, les Quatre Zéphyrs, on t'aime.\nTout comme t'aiment tes amis dans ce monde.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Tu es aimé. Cet amour est arrivé un peu\nplus tard qu'il n'aurait dû, voilà tout.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Je voulais te le faire comprendre.\nEt c'est pour cela que je t'ai fait un cadeau.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nグレゴリー\nJe... Je ne sais pas quoi dire.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Normalement, je devrais être jaloux de tous\nceux qui ont grandi dans des familles aimantes.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Mais même si mes parents ne m'aimaient\npas, j'ai maintenant la chance d'avoir des amis\nqui m'aiment. Et qui savent me l'exprimer.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nマデリーン\nExactement. Et ce mouton de poussière en\nest bien la preuve !\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nMais non, ce n'est pas un mouton de poussière !\nC'est le mouton en peluche le plus adorable\nqui soit.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Je suis tellement touché. L'enfant qui est\nen moi a le sourire jusqu'aux oreilles.\x0E\x04\x02\x00
MID_RELIANCE_A_#032	Merci, Madeline. Je le chérirai toute ma vie.\x0E\x04\x02\x00
MID_RELIANCE_A_#033	Bon, et maintenant, j'aimerais savoir ce qui\nte ferait plaisir. Parce que figure-toi que je\nvoudrais te faire un cadeau en retour !\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nマデリーン\nHa ha ! J'ai hâte de voir ça.\x0E\x04\x00\x00
