MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\nSur un champ de bataille loin de ce qui vous est\nfamilier, saurez-vous prouver votre bravoure ?\x0E\x04\x02\x00
MID_OP2_#016	Comme l'a mentionné Nil, il a dès lors coupé\ntout lien avec nous. Nous avons donc dû\nprendre certaines précautions.\x0E\x04\x02\x00
MID_OP2_#017	Nous avons par conséquent demandé à une\npersonne de confiance de surveiller les faits et\ngestes de Firene depuis l'intérieur du royaume.\x0E\x04\x02\x00
MID_OP2_#018	Elle devrait arriver d'un moment à l'autre.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x06\x002\x16E002_セレスティア\x18MPID_Unknown\n\x0E\x03\x02\x18\x16E002_セレスティア\nDame Nel, Messire Nil ! Me voici !\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x10\x0EE002_エル\nZelestia. Nous parlions précisément de vous.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x06\x004\x16E002_セレスティア\x1AMPID_Selestia\n\x0E\x03\x02\x18\x16E002_セレスティア\nJ'attendais votre arrivée avec impatience.\nVous devez être épuisés après un tel voyage.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x10\x0EE002_エル\nCe n'était rien comparé à votre délicate\nmission d'infiltration, j'en suis sûre.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x18\x16E002_セレスティア\nOh, ne vous en faites pas pour moi, Dame Nel.\x0E\x04\x02\x00
MID_OP2_#025	Qui est cette personne qui vous accompagne ?\x0E\x04\x02\x00
MID_OP2_#026	Oh, c'est incroyable ! Vous me rappelez notre\nDragon divin, \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x0A\x08リュール\nEh bien... pour tout dire...\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x18\x16E002_セレスティア\nQuelle joie indicible ! Votre Divinité, vous voilà\ndonc de retour parmi nous !\x0E\x04\x02\x00
MID_OP2_#029	Je savais que vous ne nous abandonneriez pas !\nPas de façon permanente, du moins. Ha ha !\x0E\x04\x02\x00
MID_OP2_#030	Bien sûr ! Qui aurait pu croire un seul instant\nque Sombron puisse l'emporter sur notre\nmonarque divin ?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE002_イル\nZelestia, je suis désolé de vous décevoir, mais\ncette personne n'est pas celle que vous croyez.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x0A\x08リュール\nJe vous prie de m'excuser pour cette confusion.\nJe suis le Dragon divin d'un autre monde.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x18\x16E002_セレスティア\nComment cela ?\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE002_エル\nNous aurions dû vous prévenir plus tôt. Cette\npersonne n'est pas celle que nous connaissions\nvous et moi.\x0E\x04\x02\x00
MID_OP2_#035	Plus exactement, il s'agit \x0E\x0A\x004\x14du sauveur\x1Cde la sauveuse que\nNil et moi avons pu invoquer par le biais\nd'un ancien rituel.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x10\x0EE002_イル\nCe Dragon divin est apparu au sanctuaire du\nchâteau après votre départ pour Firene.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x18\x16E002_セレスティア\nOh... Je vois.\x0E\x04\x02\x00
MID_OP2_#038	Bien sûr, où avais-je la tête ? J'étais présente\nlorsque nous avons enterré le Dragon divin.\x0E\x04\x02\x00
MID_OP2_#039	J'ai moi-même tenu sa main inanimée alors\nque nous lui faisions nos adieux...\x0E\x04\x02\x00
MID_OP2_#040	...\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x02\x10\x0EE002_エル\nJe n'ignore point combien tout cela est difficile,\nZelestia.\x0E\x04\x00\x00
MID_OP2_#042	\x0E\x03\x02\x18\x16E002_セレスティア\nPardonnez-moi.\x0E\x04\x02\x00
MID_OP2_#043	Je ne devrais pas me laisser ainsi transporter\npar les émotions. Cette perte a été difficile\négalement pour vous deux.\x0E\x04\x02\x00
MID_OP2_#044	Votre Divinité, permettez-moi de me présenter.\nJe suis le dragon mage Zelestia.\x0E\x04\x02\x00
MID_OP2_#045	Dans ce monde, j'ai toujours considéré la\nreine Lumera et vous-même comme ma\npropre famille.\x0E\x04\x02\x00
MID_OP2_#046	C'est un honneur de faire votre connaissance.\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x0A\x08リュール\nJe vous en prie, laissons de côté les formalités\net soyons ami\x0E\x0A\x00\x06
MID_OP2_#048	\x0E\x03\x02\x18\x16E002_セレスティア\nTiens... C'est exactement le genre de réponse\nque le Dragon divin que je connais aurait faite !\x0E\x04\x02\x00
MID_OP2_#049	D'ailleurs, puis-je vous demander si une autre\n« moi » existe également dans votre monde ?\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x0A\x08リュール\nEh bien...\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x18\x16E002_セレスティア\nHa ha ! Pardonnez la stupidité de ma question !\x0E\x04\x02\x00
MID_OP2_#052	Bien sûr que cette autre moi existe et qu'elle\nvous aide dans votre lutte contre Sombron.\x0E\x04\x00\x00
MID_OP2_#053	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP2_#054	\x0E\x03\x02\x10\x0EE002_エル\nQuelles sont les nouvelles du château de Firene,\nZelestia ? Vous vous y trouvez depuis un certain\ntemps désormais.\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x02\x18\x16E002_セレスティア\nC'est exact. Eh bien, Firene projette d'envahir\nle royaume voisin.\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x10\x0EE002_エル\nCelui de Brodia.\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x18\x16E002_セレスティア\nC'est la princesse Céline qui a émis cette idée.\nOfficiellement, le roi Alfred n'a pas encore\ndonné son accord.\x0E\x04\x02\x00
MID_OP2_#058	La jeune princesse n'a toutefois pas attendu\npour rassembler une troupe de soldats d'élite.\x0E\x04\x02\x00
MID_OP2_#059	Je crains que nous ne puissions plus demeurer\nde simples observateurs.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x10\x0EE002_イル\nJe le crains également. Il nous faut nous rendre\nau château et tuer cette invasion dans l'œuf.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x18\x16E002_セレスティア\nAutre chose... L'Emblème de Firene semblait\navoir été altéré la dernière fois que je l'ai vu.\x0E\x04\x02\x00
MID_OP2_#062	Il va nous falloir rester sur nos gardes.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x10\x0EE002_エル\nEn effet. Hâtons-nous jusqu'au château et\nrécupérons le Bracelet du Général Impétueux.\x0E\x04\x00\x00
MID_OP2_#064	\x0E\x03\x02\x0A\x08リュール\nJ'espère qu'Alfred et Céline vont accepter\nde parler avec nous...\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E002_Boss\x021\n\x0E\x03\x00\x18\x12E002_Hide\x022\n\x0E\x03\x00\x14\x0EE002_エル\x023\n\x0E\x03\x00\x14\x0EE002_イル\x024\n\x0E\x03\x02\x14\x12E002_Hide\nAlors, Alfred ? Ta décision n'est toujours pas\nprise au sujet de l'invasion ?\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x14\x12E002_Boss\nNe brusque pas une délibération aussi cruciale,\nCéline. J'ai encore besoin d'y réfléchir.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x14\x12E002_Hide\nNon, tu as besoin de passer à l'action !\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x14\x12E002_Boss\nC'est loin d'être aussi simple... Brodia était jadis\nnotre alliée. Un tel acte serait irréversible.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x14\x12E002_Hide\nDepuis que Mère et nos vassaux ont péri lors\ndu dernier conflit, la responsabilité de défendre\nnotre peuple nous incombe.\x0E\x04\x02\x00
MID_OP3_#006	Ignores-tu donc leur souffrance ? Depuis la\ndisparition du Dragon divin, les terres\nse désagrègent inexorablement.\x0E\x04\x02\x00
MID_OP3_#007	Nos champs et nos jardins perdent toute leur\nsplendeur. Il ne restera bientôt rien à cultiver.\x0E\x04\x02\x00
MID_OP3_#008	La seule solution possible est d'agrandir notre\nterritoire et d'accaparer d'autres ressources.\nEt ce, sans délai.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x14\x12E002_Boss\nJe ne suis pas sans savoir qu'une puissance\nminière telle que Brodia abrite des ressources\nqui résoudraient tous nos problèmes.\x0E\x04\x02\x00
MID_OP3_#010	Une invasion de leur territoire nous fournirait\nd'amples richesses et de nombreux minéraux.\x0E\x04\x02\x00
MID_OP3_#011	Ce plan se tient, certes, mais tu oublies un\ndétail d'importance : la force militaire de Brodia.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x14\x12E002_Hide\nC'est pour cela que j'ai déjà pris soin de\nmobiliser un détachement de chevaliers.\x0E\x04\x02\x00
MID_OP3_#013	Ou peut-être as-tu peur de leur Emblème ?\nLeur ridicule princesse n'est pas de taille\nface à notre Général Impétueux !\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x14\x12E002_Boss\nNous ne pouvons présumer de rien. Aussi\nfavorable la situation puisse-t-elle paraître,\nnous risquons néanmoins de tout perdre.\x0E\x04\x02\x00
MID_OP3_#015	Dois-je te rappeler le jour où nos vassaux\ntombèrent les uns après les autres, malgré\nla victoire qui leur était assurée ?\x0E\x04\x02\x00
MID_OP3_#016	Ce même jour fatidique où le plus puissant\nde nos alliés, le Dragon divin, nous a quittés\ndéfinitivement...\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x14\x12E002_Hide\nJe ne te reconnais plus, Alfred. Toi qui n'avais\njadis peur de rien ni de personne...\x0E\x04\x02\x00
MID_OP3_#018	Plus que le Dragon divin, c'est la bravoure\nqui t'a quitté. Soit, je m'en chargerai seule.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x14\x12E002_Boss\nQue veux-tu dire ?\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x14\x12E002_Hide\nJe veux dire que je me rendrai en Brodia par\nmes propres moyens, avec ou sans ton accord.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x14\x12E002_Boss\nSans la moindre escorte ? Chercherais-tu donc\nà te faire tuer ?\x0E\x04\x00\x00
MID_OP3_#022	\x0E\x03\x02\x14\x12E002_Hide\nJe préfère mourir le cœur transpercé par\nla lame plutôt que par la douleur de voir\nagoniser mon peuple !\x0E\x04\x02\x00
MID_OP3_#023	Si mon sacrifice peut faire émerger la figure\nhéroïque qui conduira notre peuple, alors\nil ne sera pas vain.\x0E\x04\x02\x00
MID_OP3_#024	Quant aux Brodiens, si leurs souffrances\npermettent la survie de notre peuple,\nqu'il en soit ainsi.\x0E\x04\x02\x00
MID_OP3_#025	Après tout, la chute d'une nation profitera\ntoujours à une autre.\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x14\x12E002_Boss\nJe ne te ferai donc point entendre raison ?\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x14\x12E002_Hide\nC'est ainsi, mon frère. Le destin t'a flanqué\nd'une sœur déraisonnable.\x0E\x04\x02\x00
MID_OP3_#028	Toutefois, si tu souhaites garantir son salut,\nil te faut prendre position.\x0E\x04\x02\x00
MID_OP3_#029	Alors, que décide Sa Majesté ?\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x14\x12E002_Boss\n...\x0E\x04\x02\x00
MID_OP3_#031	Soit.\x0E\x04\x02\x00
MID_OP3_#032	Tu es la seule famille qu'il me reste. Si je ne\nsoutiens ta décision, je peux néanmoins te\nfournir l'aide nécessaire pour le combat.\x0E\x04\x02\x00
MID_OP3_#033	J'appuierai donc cette invasion.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x14\x12E002_Hide\nSois-en remercié, Alfred.\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x02\x14\x12E002_Boss\nBien. Je vais ordonner officiellement à nos\nchevaliers de se préparer pour la bataille à venir.\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x02\x10\x0EE002_エル\nAttendez, je vous prie.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x14\x12E002_Boss\nQui va là ?\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x10\x0EE002_エル\nVotre Majesté Alfred. Princesse Céline.\nDu temps s'est écoulé depuis notre\ndernière rencontre.\x0E\x04\x02\x00
MID_OP3_#039	Veuillez pardonner cette interruption, mais...\nnous sommes venus ici à la hâte afin de\ndiscuter d'un sujet pour le moins pressant.\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x02\x14\x12E002_Boss\nQuelle surprise de vous voir, Nel et Nil.\x0E\x04\x02\x00
MID_OP3_#041	Vous n'êtes pas sans ignorer que votre irruption\nen ces lieux est passible de la peine capitale ?\x0E\x04\x00\x00
MID_OP3_#042	\x0E\x03\x02\x10\x0EE002_エル\nNous ne l'ignorons point. Remettez-nous\nle Bracelet du Général Impétueux, et nous\npartirons séance tenante.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x14\x12E002_Boss\nVous n'êtes pas sérieux ? Si nous consentions\nà une telle chose, l'équilibre des forces serait\nalors brisé entre les nations.\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x10\x0EE002_エル\nVous projetez donc de continuer à vous en\nservir comme arme contre vos voisins...\x0E\x04\x02\x00
MID_OP3_#045	Ces derniers font exactement pareil, et c'est\ncela précisément qui vous amène aujourd'hui\nà l'aube d'un conflit.\x0E\x04\x02\x00
MID_OP3_#046	Je doute fort que le Dragon divin approuve\nune conduite aussi peu louable.\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x14\x12E002_Hide\nOh ! Alors comme ça, vous parlez au nom\ndu Dragon divin ?\x0E\x04\x02\x00
MID_OP3_#048	Voilà qui est inattendu, étant donné que\nvotre propre père nous priva à jamais\nde ses sages conseils.\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x10\x0EE002_イル\nComment osez-vous ? Nous ne sommes en rien\nresponsables de ses agissements !\x0E\x04\x02\x00
MID_OP3_#050	Combien de fois devrons-nous répéter\nque nous ne sommes en rien semblables\nà Sombron ?\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x02\x10\x0EE002_エル\nRessaisis-toi, Nil.\x0E\x04\x00\x00
MID_OP3_#052	\x0E\x03\x02\x10\x0EE002_イル\nOui. Veuillez me pardonner.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x10\x0EE002_エル\nCroyez-nous, nous souhaitons traiter\néquitablement tous les détenteurs\ndes bracelets.\x0E\x04\x02\x00
MID_OP3_#054	Nous comptons donc tous les récupérer.\x0E\x04\x02\x00
MID_OP3_#055	Dans cette optique, il n'y a aucun motif\npour le royaume de Firene de conserver\nplus longtemps son bracelet.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x02\x14\x12E002_Boss\nEt comment savoir qu'il ne s'agit point là\nd'une ruse visant à affaiblir notre contrée\nface à ses ennemis ?\x0E\x04\x02\x00
MID_OP3_#057	Montrez-nous la preuve que vous avez récupéré\nles bracelets des autres royaumes, et nous\nnous plierons à votre requête.\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x02\x10\x0EE002_エル\nFirene est notre première destination.\nPar conséquent, nous n'avons encore\nrécupéré aucun autre bracelet.\x0E\x04\x00\x00
MID_OP3_#059	\x0E\x03\x02\x14\x12E002_Hide\nDans ce cas, le débat est clos.\nNous marcherons sur Brodia.\x0E\x04\x02\x00
MID_OP3_#060	Le pouvoir du bracelet nous est indispensable\nen vue de cette invasion. Il nous est impossible\nde vous le remettre.\x0E\x04\x00\x00
MID_OP3_#061	\x0E\x03\x02\x10\x0EE002_エル\nVous refusez donc de coopérer. Dans ce cas,\nvous ne nous laissez pas le choix.\x0E\x04\x00\x00
MID_OP3_#062	\x0E\x03\x02\x14\x12E002_Hide\nSi vous désirez vous battre, nous serons ravis\nde croiser le fer.\x0E\x04\x00\x00
MID_OP3_#063	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nJe vous en prie, arrêtez ! Je refuse de\nprendre les armes contre vous deux.\x0E\x04\x00\x00
MID_OP3_#064	\x0E\x03\x02\x14\x12E002_Hide\nVotre Divinité ?! Non... c'est impossible...\x0E\x04\x00\x00
MID_OP3_#065	\x0E\x03\x02\x14\x12E002_Boss\nPourquoi avez-vous l'aura du Dragon divin ? \x0E\x04\x02\x00
MID_OP3_#066	Misérables vipères... Vous nous avez donc\nmenti en nous annonçant sa mort ?\x0E\x04\x00\x00
MID_OP3_#067	\x0E\x03\x02\x0A\x08リュール\nVous vous méprenez. Je viens d'un autre\nmonde.\x0E\x04\x00\x00
MID_OP3_#068	\x0E\x03\x02\x14\x12E002_Boss\nComment cela ?\x0E\x04\x00\x00
MID_OP3_#069	\x0E\x03\x02\x14\x12E002_Hide\nJe ne vois qu'une seule explication plausible.\nLa créature devant nous est une Aberration.\x0E\x04\x02\x00
MID_OP3_#070	Les Dragons déchus se sont servis de leur\nvile magie pour transformer notre camarade\nen une marionnette infernale.\x0E\x04\x00\x00
MID_OP3_#071	\x0E\x03\x02\x0A\x08リュール\nVous vous trompez ! Écoutez-moi !\x0E\x04\x00\x00
MID_OP3_#072	\x0E\x03\x02\x14\x12E002_Hide\nNous n'écoutons pas les imposteurs !\x0E\x04\x00\x00
MID_OP3_#073	\x0E\x03\x02\x14\x12E002_Boss\nJe ne peux croire que votre déchéance vous ait\npoussés à ourdir une telle machination pour\nvous emparer de notre bracelet.\x0E\x04\x02\x00
MID_OP3_#074	Nul doute que vos larmes versées à la mort\ndu Dragon divin faisaient également partie\nde cet infâme stratagème.\x0E\x04\x02\x00
MID_OP3_#075	J'avais l'espoir que notre alliance passée\nnous permette de résoudre nos différends\npacifiquement.\x0E\x04\x02\x00
MID_OP3_#076	Mais vos subterfuges changent la donne.\x0E\x04\x00\x00
MID_OP3_#077	\x0E\x03\x02\x0A\x08リュール\nNon...\x0E\x04\x00\x00
MID_OP3_#078	\x0E\x03\x02\x14\x12E002_Boss\nChevaliers, préparez-vous au combat !\nJe compte sur vous pour mettre l'engeance\nde Sombron hors d'état de nuire !\x0E\x04\x02\x00
MID_OP3_#079	Nous brandirons leurs têtes comme trophées\nde guerre devant Brodia !\x0E\x04\x00\x00
MID_OP3_#080	\x0E\x03\x02\x14\x12E002_Hide\nJe te retrouve enfin, mon frère... L'impitoyable\n« Prince des pétales répandus » de naguère !\x0E\x04\x02\x00
MID_OP3_#081	Comme lors de la dernière guerre, le moment\nest venu d'écraser nos ennemis tel des pétales\nde roses répandus sous nos pieds !\x0E\x04\x00\x00
MID_OP3_#082	\x0E\x03\x02\x14\x12E002_Boss\nVotre esprit est retenu captif, Votre Divinité,\net j'escompte vous libérer.\x0E\x04\x00\x00
MID_OP3_#083	\x0E\x03\x02\x0A\x08リュール\nAlfred, non...\x0E\x04\x00\x00
MID_OP3_#084	\x0E\x03\x00\x14\x0EE002_イル\x024\n\x0E\x03\x02\x10\x0EE002_イル\nL'affrontement semble inévitable.\x0E\x04\x00\x00
MID_OP3_#085	\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x03\x02\x18\x16E002_セレスティア\nJ'avais anticipé ce moment...\nNous n'avons pas le choix.\x0E\x04\x02\x00
MID_OP3_#086	Leur insolence envers Dame Nel et Messire Nil\nne peut rester impunie !\x0E\x04\x00\x00
MID_OP3_#087	\x0E\x03\x02\x10\x0EE002_エル\nNous comptons sur vous, Votre Divinité.\nNe vous fiez point à ces visages familiers,\ncar ils se montreront sans pitié.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01"\x12E002_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E002_Boss\nLes adieux sont toujours pénibles. J'espère\nau moins pouvoir abréger vos souffrances.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nSoldats, il faut renforcer nos troupes. En avant !\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01 \x12E002_Hide\nAngry\n\x0E\x03\x02\x14\x12E002_Hide\nEn marche. Et affûtez bien vos lames afin\nde pourfendre ces misérables !\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nNous y voilà... Emblème de la Force, prêtez-moi\nvotre puissance !\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nVenez donc, si vous l'osez, vous mesurer\nà l'invincible Général Impétueux.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nJe le savais... Nous aurions dû restituer\nle bracelet au terme de la guerre...\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01$\x12E002_Hide\x0EStandBy\n\x0E\x03\x02\x14\x12E002_Hide\nFirene est notre seule priorité.\nTous ses opposants seront annihilés !\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01\x1E\x12E002_Hide\x08Pain\n\x0E\x03\x02\x14\x12E002_Hide\nNon... C'est impossible. Nous étions censés\nréussir... retrouver notre bonheur...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nEs-tu... moi ? Quelle est cette illusion ?\nEst-ce là un maléfice du Dragon déchu ?\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x16\x0Cアルフレッド\x06Sad\n\x0E\x03\x02\x0E\x0Cアルフレッド\nOh... On dirait que l'Alfred de ce monde est\naussi efflanqué que moi. Hm...\x0E\x04\x02\x00
MID_BT5_#003	Quel que soit le monde auquel j'appartiens,\nj'ai du mal à prendre du muscle, on dirait...\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x03\x02\x14\x12E002_Boss\nQuel est donc ce sortilège... Si tu es une vile\nillusion, alors je t'ordonne de disparaître !\x0E\x04\x00\x00
MID_BT5_#005	\x0E\x05\x01\x1A\x0Cアルフレッド\nSmile\n\x0E\x03\x02\x0E\x0Cアルフレッド\nTiens, il semble plus pugnace qu'il n'en a l'air...\nCe combat contre moi-même promet d'être\nfort instructif.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01&\x12E002_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E002_Boss\nCéline ? Que fais-tu aux côtés de l'ennemi ?\nNon, mes yeux doivent me jouer des tours...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nVotre Divinité... Vous voir dans cet état\nme brise le cœur.\x0E\x04\x02\x00
