MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0A\x08リュール\nAh ! Une Aberration !\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0A\x08リュール\nJ'aimerais être comme vous et n'avoir aucun\ndéfaut, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nAucun défaut ? Hm...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nC'est la première fois que je vous vois\nun air si préoccupé, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nOh, Votre Divinité. Veuillez me pardonner.\nJe pensais être seul.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nQue tenez-vous à la main ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est une médaille que mon père m'a offerte\nautrefois. Une décoration remise par le roi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nLe roi Morion...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'étais aux côtés de nos troupes lors d'un\ncombat intense contre Elusia. Nous nous\nsommes retrouvés encerclés.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nIl nous fallait nous sortir rapidement de\nce guêpier, j'ai donc pris le commandement\ndans une impulsion désespérée.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nÀ notre retour, mon père m'a donné cette\nmédaille. Pour la première fois, j'ai eu le\nsentiment qu'il voyait un chef en moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nMais parfois... Je m'interroge...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nLe succès de la manœuvre était-il dû à mes\ndécisions judicieuses, ou ai-je eu de la chance ?\nPeut-être ne méritais-je pas cette médaille...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nAinsi donc, même le prince héritier de Brodia\nen vient parfois à douter de lui-même.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nDésolé de briser vos illusions.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nJe dois vous demander de ne pas ébruiter\ncette conversation. Il en va de la réputation\nde mon pays.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nSoyez sans crainte. Vous m'avez vous-même\nsurpris\x0E\x0A\x00\x06
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nToutefois, j'aimerais ajouter quelque chose...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nHmm ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nVous connaître un côté vulnérable me rapproche\nde vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nLa vulnérabilité n'est pas forcément\nune mauvaise chose.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nOh. Vous n'êtes pas un\x0E\x0A\x00\x06
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nVotre Divinité ? Êtes-vous en train de\nvous entraîner ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nOui. Je ne peux réprimer cette impression\nde manquer de force.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nLa vérité, c'est... que je m'inquiète. Et que je\nsuis faible. Comment pourrais-je restaurer la\npaix dans le monde dans de telles conditions ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nQu'y a-t-il, Diamant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nJe suis... surpris. Jamais je n'aurais cru que\nSa Divinité puisse être ainsi en proie à de\ntels doutes.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nBien sûr que si. Je suis plein\x0E\x0A\x00\x06
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nHa ha ha !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nMais vous comprenez, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nOui. De même que je comprends ce que\nvous disiez à propos de la vulnérabilité.\nJe me sens également plus proche de vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nVraiment ? Ça vous vient tout à coup ?\nVous avez pourtant déjà été témoin de\nmes défaillances.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nQuand j'ai été pris\x0E\x0A\x00\x06
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nHa ha ! Oui, je m'en souviens.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nCe que je cherche à vous dire, c'est que je me\nsens suffisamment en confiance pour parler\nde mes préoccupations les plus profondes.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nSans vous, j'en serais encore à m'accrocher\nà cette médaille en pensant à mon père.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nJe vous suis reconnaissant pour cela.\nMerci, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nC'est un sentiment partagé. Je suis également\ncontent\x0E\x0A\x00\x06
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nIl semble que nous ayons beaucoup en commun.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nJe le crois également.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nN'hésitons plus à nous confier. Nous pouvons\nparaître réservés aux autres, mais avec vous,\nje me sens bien plus ouvert\x0E\x0A\x00\x06
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nVotre Divinité ? L'heure est-elle bien choisie\npour un entretien ?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nBien sûr. Que vous arrive-t-il, Diamant ?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'aimerais vous offrir ceci.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nVous me donnez un anneau ?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nEn effet. Il vient de la médaille que mon père\nm'a donnée. Je l'ai fait fondre, puis reforger.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nLa médaille de votre père ? Pourquoi avez-vous\nfait une chose pareille ? Je croyais que vous y\nteniez comme à la prunelle de vos yeux ?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nEn Brodia, quand une médaille ou quelque gage\nd'affection est transmis, il change également\nde forme. C'est la tradition.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nÇa ne me met pas très à l'aise. Je ne peux\ndécemment pas vous priver d'un objet\nsi précieux.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nVous avez dit que nous devions continuer\nà compter l'un sur l'autre, non ? Et à nous\napporter un soutien mutuel ?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nCeci vous rappellera que je serai toujours\nlà quand vous aurez besoin de moi.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nJe comprends...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nAlors ? Acceptez-vous l'anneau, Votre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nEh bien, Diamant...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nJe ne suis pas sûr\x0E\x0A\x00\x06
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nAlors ma foi, je ferai de mon mieux pour\nm'en montrer digne.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'en conclus que vous acceptez ?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nOui.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nJe suis heureux de l'entendre, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nVous allez rire... J'ai moi aussi quelque chose\npour vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nL'Anneau du Pacte ?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nJ'escomptais vous le donner bientôt, mais vous\nm'avez pris de vitesse.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nMais cet anneau est si important...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nComme celui que vous venez de m'offrir !\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nIl n'y a personne que je souhaite davantage\navoir à mes côtés, Diamant. Je ne suis pas\ndisposé\x0E\x0A\x00\x06
MID_RELIANCE_S_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nSoyez tranquille. J'apprécie beaucoup trop de\nme battre avec vous pour décliner une telle\noffre. J'accepte votre cadeau.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nIncroyable... il suffit de le tenir pour sentir\nl'histoire des Dragons divins vous parcourir...\nL'histoire de Lythos elle-même.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nJe sens moi aussi l'histoire de Brodia palpiter\ndans votre anneau, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nSous les diverses formes qu'il a revêtues en\nétant transmis de père en fils, cet objet est\nle témoin de ce que mon royaume a traversé.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nJe suppose que nous allons devoir conjuguer\nnos efforts si nous voulons signer quelques\nnouveaux chapitres de cette histoire.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cディアマンド\nJe suis tranquille à ce sujet. Lorsque nous\nœuvrons ensemble, rien ne nous résiste.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0E\x0Cディアマンド\nJe jure de vous protéger, Votre Divinité.\nÀ compter de ce jour, je combattrai toujours\nà vos côtés.\x0E\x04\x00\x00
