MID_BGM_Evt_Amb_Lithos_ST_Play	Jardins de lumière
MID_BGM_Field_P01_Combat_ST_Play	Lointaine terre sainte (éclair)
MID_BGM_Field_P01_Heavy_Map_ST_Play	Éternelle terre sainte
MID_BGM_Field_P01_Heavy_Combat_ST_Play	Éternelle terre sainte (éclair)
MID_BGM_Field_P02_Map_ST_Play	Fleurs dans le vent
MID_BGM_Field_P02_Combat_ST_Play	Fleurs dans le vent (épanouies)
MID_BGM_Field_P02_Heavy_Map_ST_Play	Floraison dans le vent
MID_BGM_Field_P02_Heavy_Combat_ST_Play	Floraison dans le vent (épanouie)
MID_BGM_Field_P03_Map_ST_Play	Honneur royal
MID_BGM_Field_P03_Combat_ST_Play	Honneur royal (guerrier)
MID_BGM_Field_P03_Heavy_Map_ST_Play	Honneur royal inébranlable
MID_BGM_Field_P03_Heavy_Combat_ST_Play	Honneur royal inébranlable (guerrier)
MID_BGM_Field_P04_ST_Play	Visages endeuillés (glace)
MID_BGM_Field_P05_ST_Play	Liens brisés
MID_BGM_Field_P06_Map_ST_Play	Tempête de sable
MID_BGM_Field_P06_Combat_ST_Play	Tempête de sable (ardente)
MID_BGM_Field_P06_Heavy_Map_ST_Play	Tempête de sable enragée
MID_BGM_Field_P06_Heavy_Combat_ST_Play	Tempête de sable enragée (ardente)
MID_BGM_Field_P08_ST_Play	Dispersion de pétales
MID_BGM_Field_P09_Map_ST_Play	Voyage déterminé
MID_BGM_Field_P09_Combat_ST_Play	Voyage déterminé (éclair)
MID_BGM_Field_P12_ST_Play	Fusion ultime (prière-incantation)
MID_BGM_Field_P13_Map_ST_Play	Armes déchaînées
MID_BGM_Field_P13_Combat_ST_Play	Armes déchaînées (lutte)
MID_BGM_Field_E01_ST_Play	Aberrations
MID_BGM_Field_E02_ST_Play	Une déesse et ses marionnettes
MID_BGM_Field_E03_ST_Play	Froid rampant
MID_BGM_Field_E04_ST_Play	Sons étouffés du désespoir
MID_BGM_Field_E05_ST_Play	Rayon de lumière déformé
MID_BGM_Field_S03_Map_ST_Play	Épreuve de l'Éveil
MID_BGM_Field_S03_Combat_ST_Play	Épreuve de l'Éveil (embrasement)
MID_BGM_Field_S04_Map_ST_Play	Épreuve des Flammes
MID_BGM_Field_S04_Combat_ST_Play	Épreuve des Flammes (déchaînée)
MID_BGM_Field_S05_Map_ST_Play	Épreuve du Rayonnement
MID_BGM_Field_S05_Combat_ST_Play	Épreuve du Rayonnement (combat)
MID_BGM_Field_S06_Map_ST_Play	Épreuve de l'Académie
MID_BGM_Field_S06_Combat_ST_Play	Épreuve de l'Académie (enseignant)
MID_BGM_Field_S07_Map_ST_Play	Épreuve des Destinées
MID_BGM_Field_S07_Combat_ST_Play	Épreuve des Destinées (griffes)
MID_BGM_Field_S08_Map_ST_Play	Épreuve du Sacré
MID_BGM_Field_S08_Combat_ST_Play	Épreuve du Sacré (quiétude)
MID_BGM_Field_S09_Map_ST_Play	Épreuve de la Guerre Sainte
MID_BGM_Field_S09_Combat_ST_Play	Épreuve de la Guerre Sainte (soutien)
MID_BGM_Field_S10_Map_ST_Play	Épreuve de la Généalogie
MID_BGM_Field_S10_Combat_ST_Play	Épreuve de la Généalogie (libération)
MID_BGM_Field_S11_Map_ST_Play	Épreuve de l'Aurore
MID_BGM_Field_S11_Combat_ST_Play	Épreuve de l'Aurore (soins)
MID_BGM_Field_S12_Map_ST_Play	Épreuve du Sceau
MID_BGM_Field_S12_Combat_ST_Play	Épreuve du Sceau (dressée)
MID_BGM_Field_S13_Map_ST_Play	Épreuve des Échos
MID_BGM_Field_S13_Combat_ST_Play	Épreuve des Échos (veille)
MID_BGM_Field_S14_Map_ST_Play	Épreuve des Emblèmes
MID_BGM_Field_S14_Combat_ST_Play	Épreuve des Emblèmes (brillant)
MID_BGM_Field_S15_Map_ST_Play	Épreuve du Pacte
MID_BGM_Field_S15_Combat_ST_Play	Épreuve du Pacte (lien)
MID_BGM_Boss_01_Pre_ST_Play	Fauteur de trouble
MID_BGM_Boss_01_Start_ST_Play	Fauteur de trouble (frénésie)
MID_BGM_Boss_02_Pre_ST_Play	Tyran de la sagesse
MID_BGM_Boss_02_Start_ST_Play	Tyran de la sagesse (frénésie)
MID_BGM_Boss_03_Pre_ST_Play	Gardien de l'Histoire
MID_BGM_Boss_03_Start_ST_Play	Gardien de l'Histoire (frénésie)
MID_BGM_Boss_04_Pre_ST_Play	Les Quatre Chacals
MID_BGM_Boss_04_Start_ST_Play	Les Quatre Chacals (frénésie)
MID_BGM_Boss_05_Pre_ST_Play	Les tares
MID_BGM_Boss_05_Start_ST_Play	Les tares (frénésie)
MID_BGM_Boss_06_Pre_ST_Play	Déesse dans l'ombre
MID_BGM_Boss_06_Start_ST_Play	Déesse dans l'ombre (frénésie)
MID_BGM_Sys_Title_ST_Play	Fusionnons
MID_BGM_Sys_Gmap_ST_Play	Votre périple
MID_BGM_Sys_Prepare1_ST_Play	Préparatifs
MID_BGM_Sys_Prepare2_ST_Play	Préparatifs imposants
MID_BGM_Sys_Base1_ST_Play	Réveil matinal
MID_BGM_Sys_Base2_ST_Play	Ronde d'après-midi
MID_BGM_Sys_Base3_ST_Play	Une bonne soirée
MID_BGM_Sys_Base4_ST_Play	Balade nocturne
MID_BGM_Sys_Mini1_ST_Play	À dos de wyverne
MID_BGM_Sys_Mini2_ST_Play	Une journée d'entraînement physique
MID_BGM_Sys_Mini3_ST_Play	Pêche florissante en Brodia
MID_BGM_Sys_Base_Jukebox1_ST_Play	Dégustation de thé en Firene
MID_BGM_Sys_Base_Jukebox2_ST_Play	En bonne compagnie en Brodia
MID_BGM_Sys_Base_Jukebox3_ST_Play	Dîner en Elusia
MID_BGM_Sys_Base_Jukebox4_ST_Play	À la belle étoile en Solm
MID_BGM_Sys_Base_Jukebox5_ST_Play	Des Emblèmes à table
MID_BGM_Sys_ED1_ST_Play	Liens enflammés
MID_BGM_Sys_ED2_Result_ST_Play	Thème de Fire Emblem (L'Emblème du Feu)
MID_BGM_Sys_ED2_Sequel_ST_Play	Fin du périple
MID_BGM_Sys_Introduction_ST_Play	Thème de Fire Emblem
MID_BGM_Sys_ClassChange_ST_Play	Illumination
MID_BGM_Sys_Die_ST_Play	Ultimes paroles
MID_FF_GameOver_ST_Play	Repos éternel
MID_FF_StageClear_ST_Play	Triomphe
MID_FF_LevelUp_ST_Play	Développement
MID_FF_Bad_ST_Play	Dépit 1
MID_FF_Sorry_ST_Play	Dépit 2
MID_FF_Good1_ST_Play	Joie 1
MID_FF_Good2_ST_Play	Joie 2
MID_FF_ItemGet1_ST_Play	Obtention 1
MID_FF_ItemGet2_ST_Play	Obtention 2
MID_BGM_Amiibo_03_ST_Play	Destinée (en flammes)
MID_BGM_Amiibo_04_ST_Play	Les vents des plaines
MID_BGM_Amiibo_05_ST_Play	Dévotion
MID_BGM_Amiibo_06_ST_Play	Les vents de Fódlan
MID_BGM_Amiibo_07_ST_Play	La fin de tout (abîme)
MID_BGM_Amiibo_08_ST_Play	L'ultime combat
MID_BGM_Amiibo_09_ST_Play	Fin de la Guerre Sainte
MID_BGM_Amiibo_10_ST_Play	En avant, Leif !
MID_BGM_Amiibo_11_ST_Play	Échos de l'Aurore
MID_BGM_Amiibo_12_ST_Play	Sous un jour nouveau (Roy)
MID_BGM_Amiibo_13_ST_Play	Sous l'égide de Mila
MID_BGM_Amiibo_14_ST_Play	Problèmes ! (Marth)
