MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJe vous ai apporté quelque chose à manger,\nDame Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, ça me revient ! Quand je fais la mienne,\nje prends une grosse mèche comme ça,\net après...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nAïe aïe aïe ! Vous me faites mal en me tirant\nles cheveux ainsi !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, je suis désolée ! Quelle sotte je fais,\nils sont tout emmêlés maintenant...\nComment je vais faire pour, euh...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ヴェイル\nAh oui, pour être emmêlés, ils le sont...\nJe m'en occuperai plus tard, ne vous\ninquiétez pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nSi vous saviez combien je suis navrée !\nJe ferais mieux de partir avant d'empirer\ndavantage la situation !\x0E\x04\x02\x00
MID_RELIANCE_C_#021	Aaah... J'ai oublié de vous laisser votre repas.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nHé hé...\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Zelestia fait preuve d'un zèle auquel\nje ne me serais jamais attendue...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nÊtes-vous fatiguée, Dame Veyle ?\nVous ne semblez pas être en grande forme.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nVraiment ? Je me sens pourtant bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nVous êtes-vous blessée au cours de la dernière\nbataille ? Avez-vous mal quelque part ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nJe n'ai aucune blessure. Regardez, je me porte\ncomme un charme. Il y a juste mon nez qui...\nATCHOUM !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nOh non, vous avez pris froid ! Je dois\nabsolument vous réchauffer avant que vous\nn'attrapiez un gros rhume.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Hmm... Il n'y a aucune couverture, ici.\nEh bien ça ne fait rien ! Je vais vous réchauffer\nen vous faisant un gros câlin !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nPardon ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cセレスティア\nLes dragons mages ont une température\ncorporelle élevée. Ça marchera, je vous assure.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nMais... Je ne veux pas... Ça suffit ! Arrêtez ça !\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Ne vous approchez pas !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nOh !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nAh... Je suis navrée.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nNon, c'est à moi de m'excuser. Je n'aurais\njamais dû m'imposer ainsi, même si je désirais\nseulement m'occuper de vous.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Je vous présente mes plus plates excuses.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nCe n'est pas le problème. Malheureusement,\nvous ressemblez terriblement à quelqu'un\nque j'ai connu.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Je peux vous en parler, si vous avez un\npeu de temps devant vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cセレスティア\nOui, bien sûr.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nIl y a fort longtemps, j'avais une vassale.\nTout comme vous, elle était dragon mage.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Et tout comme vous, elle me traitait avec\nbonté, et elle savait m'écouter.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Je l'appréciais énormément, et je pensais\nque nous pouvions devenir amies.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Puis nous avons été forcées à nous battre\ndans des camps opposés, et toute amitié\nest devenue impossible.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Je sais parfaitement que vous n'êtes pas cette\npersonne. Mais votre simple vue me rappelle\ntant de souvenirs...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nJe comprends. Merci de m'avoir raconté\nquelque chose d'aussi personnel.\x0E\x04\x02\x00
MID_RELIANCE_B_#024	À l'avenir... j'essaierai de ne pas autant\nm'imposer.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Et si un jour vous le voulez, est-ce que vous\npourrez m'en raconter davantage ?\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08ヴェイル\nOui. Je suis vraiment désolée de me comporter\nainsi avec vous alors que vous me traitez avec\ntant d'égards, Zelestia.\x0E\x04\x02\x00
MID_RELIANCE_B_#027	Merci...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVos cheveux mériteraient bien quelques\nsoins, Dame Veyle. Laissez-moi m'en occuper.\x0E\x04\x02\x00
MID_RELIANCE_A_#002	Et ne vous en faites pas ! Je me suis\nbeaucoup entraînée !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nDans ce cas, je veux bien vous laisser faire.\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, est-ce que vous avez froid ? Je peux aller\nchercher une couverture avant de m'occuper\nde vos cheveux.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nLes dragons mages ont une température\ncorporelle élevée, n'est-ce pas ? Vous pourriez\nréchauffer mes mains avec les vôtres.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nEn êtes-vous bien sûre ? Je ne voudrais\nsurtout pas vous effrayer.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nVous êtes mon amie. De quoi aurais-je peur ?\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Dites-moi. Pourquoi êtes-vous si gentille\navec moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nEh bien, c'est une longue histoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nRacontez-la-moi. Aujourd'hui, c'est à mon\ntour d'écouter.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nDans mon monde, les Quatre Zéphyrs ont\nété fondés par un homme appelé Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nMauvier ? Ainsi, dans votre monde également,\nc'était un homme admirable.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nAbsolument. Il est resté mon ami et mon\nhéros jusqu'au bout. J'avais énormément\nd'admiration pour lui.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	J'ai entendu qu'il était au service\nd'une certaine Dame Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nVraiment ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nOui, elle portait le même nom que vous.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Mauvier avait fait le serment de la protéger,\nquoi qu'il arrive. Mais il n'a pas pu respecter\nsa promesse.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Il a dit qu'elle avait péri au cours d'un combat\nanodin. Il n'a jamais cessé de regretter de ne\npas avoir su la protéger.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	C'est pourquoi j'étais si surprise de vous\nvoir dans ce monde. De vous savoir en vie...\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Si c'est vous qu'il a voulu protéger, alors\nj'endosserai dorénavant ce rôle en devenant\nvotre protectrice.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	C'est pour cette raison que je voulais tellement\nm'occuper de vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nEt c'est pour cela que vous redoubliez\nd'attentions à mon égard, tandis que j'étais\nsi froide envers vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nDétrompez-vous, vous êtes très gentille.\nPar exemple, là, vous écoutez patiemment\nmon histoire.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Mauvier me disait toujours à quel point\nsa Dame Veyle était bonne. Exactement\ncomme vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis contente que vous m'ayez raconté\ncette histoire.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Notre rencontre ici relève du miracle.\nNos mondes ont beau être différents,\nnous n'en sommes pas moins liées.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nOui, je le crois aussi. Une force inconnue\na certainement dû nous amener l'une à l'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nZelestia, je peux vous le dire maintenant,\nj'ai en fait très envie d'être votre amie.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	Est-ce que vous pourriez rester un peu plus\nlongtemps, aujourd'hui ?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cセレスティア\nAvec le plus grand plaisir ! Je resterai à vos\ncôtés, et pas qu'un peu plus longtemps, non !\nTout le temps que vous voudrez.\x0E\x04\x00\x00
