MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHé ! Princesse Timerra !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06アンナ\nVous dites que les chaînes de distribution\ndes biens de première nécessité sont déjà\nbien établies ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nDans ce cas, je me concentrerai sur la vente\nde mes produits exclusifs. Ça devrait suffire à\nfaire face à la concurrence !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nOoh, ce n'est pas une mauvaise idée,\nMademoiselle Anna !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nJe serai heureuse de t'aider à importer un\nnouveau produit en Solm. N'hésite pas à faire\nappel à moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\nMerci, Princesse Timerra. Alors, pas de temps\nà perdre ! Il faut que je réfléchisse à une idée !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHé, Princesse Timerra ! Devinez un peu !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nMon nouveau produit est enfin prêt à être\ncommercialisé. Vous n'en reviendrez pas !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nBravo ! Si tu savais à quel point je suis\nimpatiente ! Allez, montre-le-moi !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nJe me suis posé la question : à quel genre de\nproblème les habitants de Solm font-ils face\ntous les jours ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nHm. Une forte exposition au soleil... de l'eau en\nquantité limitée... les insectes... Tu n'imagines\npas les insectes que j'ai croisés.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nBien vu, mais non.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nCombien de fois avez-vous perdu quelque chose\ndans le sable sans jamais avoir pu le retrouver ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nHm. Eh bien... quelques-unes, c'est vrai.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nC'est là que ma trouvaille entre en scène !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nOh ! Un râteau. Ce n'est pas ce qu'on utilise\npour ramasser les feuilles ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\nVous devez penser à un autre type de râteau !\nCelui-ci sert à retrouver ce que vous avez égaré\ndans le sable !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nJe... ne te suis pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nImaginez que vous laissez tomber quelque\nchose et que le sable le recouvre. Aucun\nproblème, avec votre nouveau râteau à sable !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nAlors ? Plutôt pratique, non ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nOui... Non, pas vraiment.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nJ'ai senti que ça ne tenait pas la route\nen le disant.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nMais c'est vraiment innovant ! Je pense que\npersonne d'autre n'aurait une telle idée.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\nMerci de m'encourager, Princesse Timerra.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06アンナ\nJe n'ai pas l'intention d'abandonner. Les gens\nde Solm s'arracheront mon prochain produit !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\nBravo ! Montrez-leur, Mademoiselle Anna !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHmm... Comment résoudre ce problème ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nHé, Mademoiselle Anna. C'est votre nouveau\nproduit qui vous pose problème ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\nOh, bonjour, Princesse Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nJe sais qu'il me faut un produit absolument\nunique si je veux espérer réussir à le vendre\nen Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nOui, la concurrence y est rude.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nPourquoi avez-vous cette triste mine ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nEh bien... C'est juste que je n'aime pas voir\nune amie dans la panade.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\nOh, c'est gentil.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\nMais je ne suis pas vraiment dans la panade.\nEnfin, si, mais ça n'est pas si grave !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nAh oui ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\nQuand je travaille sur un nouveau produit,\nla finalisation des détails est ma partie préférée.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\n« Quels sont les besoins de ce nouveau\nmarché ? », « En quoi ce que je propose\npeut-il rendre les gens plus heureux ? »\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nCe n'est pas simple, mais la satisfaction quand\nj'y arrive en vaut bien la peine.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nC'est ce que je préfère dans le métier\nde marchand !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nミスティラ\nHm, je vois ! C'est logique !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\nAlors ne vous faites pas de souci pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06アンナ\nJe trouverai une solution. Et ce jour-là, tous\nles habitants de Solm seront aux anges.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nOui ! J'aime cet esprit !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nTu sais quoi ? Il m'est venu une idée.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nJe vous écoute.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nC'est quelque chose que tu devrais faire, une\nfois que tu auras conçu ton nouveau produit.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nPense bien à lui donner ton nom.\nTu sais, comme « le bidule incroyable\nde Mademoiselle Anna ».\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06アンナ\nQue mon nom devienne une ligne de produits ?!\nJe ne sais pas, c'est un peu gênant.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nPeut-être. Mais si le produit devient\nun incontournable...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nTa famille pourrait en entendre parler et essayer\nde te contacter. Tu ne penses pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\nOuah. Princesse Timerra...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nVous tenez peut-être une idée ! Si cela\nfonctionne, tout le mérite vous reviendra.\x0E\x04\x00\x00
