MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nSalut, Princesse Ivy !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nAprès tout, pourquoi pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アイビー\nIl serait tout à fait inconvenant de décliner une\ninvitation princière. J'accepte donc.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nGénial ! Je commence les préparatifs pour\nle grand jour. Vous allez passer un moment\ninoubliable !\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アイビー\nJe l'espère bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\nLa la la...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nAlors, Princesse Ivy ? Je savais que vous vous\namuseriez comme une folle !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nAvec tout le respect que je vous dois, votre\nsens de l'observation mériterait d'être affûté.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nRegardez-moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nJe suis en présence d'un membre d'une famille\nroyale étrangère, et pourtant je ne parviens pas\nà contenir mes tremblements !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nSi vous me permettez cet euphémisme, je passe\nun moment peu agréable.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nMais oui, vous grelotez, ma pauvre ! Vous avez\nfroid ? Qu'à cela ne tienne ! Je vais ajouter\ndes bûches à notre feu de camp.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nCe n'est pas à cause du froid.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nAaaah !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nJe tremble d'effroi.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nSi ce sont les animaux sauvages qui\nvous inquiètent, soyez tranquille !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nJ'ai posé des pièges autour du camp. Et de\ntoute façon, ils ne risquent pas de s'aventurer\nprès du feu.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nLes animaux non, mais les fantômes...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nJ'ai bien cru entendre un gémissement plaintif,\npar là-bas...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\n♪Prendre un fantôme par la main...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nArrêtez, je vous prie !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nDésolée, désolée. Mais peut-être que pousser\nla chansonnette vous donnerait du courage.\nEssayez, pour voir.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\n♪Petit fantôôôme...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nBravo ! À moi !\n♪Un petit fantôme n'a rien de funeste !\nPense à la guerre, pense à la peste !♪\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\n♪Oh grands dieux, quel embarras !\nLes feux de camp, très peu pour moi !♪\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0A\x08アイビー\nPrincesse Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アイビー\nLa nuit au campement fut une expérience très\nenrichissante. Je vous en remercie.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nMais je vous en prie ! Et donc...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nAvez-vous réussi à découvrir mon point faible ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nHa ha ! Vous aviez donc percé à jour\nmes intentions !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nミスティラ\nBien sûr ! Je suis une princesse, moi aussi.\nEt j'avais la même idée en tête !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nQuand nous deviendrons reines, connaître\nnos faiblesses respectives pourrait nous\ndonner un certain avantage.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nC'est en effet pour cette raison que j'ai accepté\nvotre invitation.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nMais ma ruse s'est retournée contre moi. Je suis\nla seule à m'être exposée.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nVous ne portez pas trop dans votre cœur ce qui\ncommence par « F » et qui rime avec « dôme ».\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nTout ce que j'ai appris sur vous, c'est que\nvous me ressemblez encore moins que je\nne l'imaginais.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\nJ'ai pu établir une liste de divergences des plus\nconséquentes.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nVous appréciez la viande, tandis que moi, je\npréfère les légumes.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nJ'aime chanter en toute circonstance. Vous,\nvous évitez de le faire en public.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nJe consacre beaucoup de temps à l'étude. Vous,\nvous préférez gambader dans les collines.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nIl faut bien avouer que tout nous oppose.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nEn effet. Cela dit, j'ai grandement apprécié\nvotre compagnie...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nMoi aussi ! J'ai passé un agréable moment.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nLes différences peuvent engendrer des conflits,\nmais elles donnent également lieu à des\ndiscussions stimulantes.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nJe pense que nos conversations feront\nde moi une meilleure souveraine\nle moment venu.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nC'est aussi valable pour moi. J'espère que\nnous pourrons rester amies.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nToute amitié se fonde sur le principe de\nla réciprocité. Vous allez donc devoir me\nrévéler votre point faible.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nGrrr ! J'aurais préféré éviter, mais je suis dos\nau mur, on dirait.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nHa ha, je vous taquine ! Rien ne me ferait\nplus plaisir que d'entretenir une relation de\nconfiance avec vous, Princesse Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nPuisse notre amitié servir de modèle à nos\ndeux patries !\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nÇa me convient parfaitement ! À une longue\net belle amitié, dénuée de tout fantôme !\x0E\x04\x00\x00
