MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nLouis ! Tu étais encore en train de m'épier ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nJe suis navré. Il me semble que quelque chose\nmanque, à la réflexion.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nHi hi ! Et qu'est-ce que cela peut bien être ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nJe n'en suis pas sûr, mais...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nIl me semble que ce qu'il manque... c'est toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\nMoi ? Comment ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nTout le monde t'adore, Chloé. Tu es sans\ncesse entourée d'amis.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nCette intimité que vous affichez... Il n'y a rien\nde plus beau.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nÀ la seule vue de ce spectacle, je sens une telle\njoie m'envahir que je voudrais la retenir en moi\nà tout jamais.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nHélas, il s'ensuit que toute scène où\ntu n'apparais pas manque de magie.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nJ'imagine que venant de toi, c'est un\ncompliment. Alors... merci, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nMais à ta place, je ne dirais pas ça au\ntout venant non plus.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nJe comprends ce qui te plaît dans cette\nmanie que tu as, mais je doute que d'autres\nte comprennent si bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クロエ\nPour que les autres l'acceptent, tu leur\ndevras bien des explications. Et tous n'en\nauront pas la patience.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Je tâcherai de m'en souvenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nNous devrions filer. Le couple que nous\nobservons commence à nous regarder\nd'un drôle d'air.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ルイ\nOui, nous ferions mieux de ne pas nous\nattarder. Pourquoi ne pas chercher une autre\nscène à contempler ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x06\x04ルイ\nAllons-nous contempler d'autres scènes\ncharmantes aujourd'hui, Chloé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nBien sûr, Louis. J'espère que nous en\ntrouverons une réjouissante ici.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nAh oui. Je t'ai apporté ceci, si tu veux.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nDu... poisson séché ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nJe n'en avais jamais vu de cette couleur.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nDu bleu, du vert, du jaune... On a peine à\ncroire qu'il s'agit de nourriture, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nJe me suis laissé dire qu'il était fort rare et\nqu'on n'en trouvait pas aisément au marché.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nN'est-ce pas cette sorte de cuisine de rue\nque tu affectionnes tant ? Prends-le avec\ntoi, si d'aventure la faim te gagne.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nMerci, Louis. Il a l'air délicieux ! Je suis toujours\nravie d'essayer de nouveaux mets.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nMais je ne me rappelle pas avoir mentionné\nmon goût pour la cuisine de rue.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nOh, Chloé. J'ai passé trop de temps à t'observer\npour ignorer quoi que ce soit à ce sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nHi hi ! Tu es un drôle de numéro, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nEn même temps, je peux parler...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nQu'entends-tu par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nDe mon côté, je t'ai apporté des raisins secs.\nJ'espère qu'ils seront à ton goût.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nOh, merci Chloé. Il se trouve que je n'aime\nrien tant que de bons raisins.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nJe sais. Moi aussi, je t'ai bien observé.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nTu m'as observé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nComme toi, tu m'as observée.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nQuelle que soit la personne qui t'accompagne,\nvous avez toujours l'air de sortir d'un conte\nde fées.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Je ne peux guère t'en blâmer.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クロエ\nOn sait tellement de choses l'un sur l'autre,\nmaintenant... Hi hi ! Tu parles d'une façon\nd'apprendre à se connaître !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ルイ\nN'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nD'aucuns seraient surpris que j'aie appris à\nte connaître en t'observant plutôt qu'en te\nparlant.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クロエ\nJe ne le suis pas, en tout cas. Pour nous,\nc'est parfaitement logique, puisque nous\naimons observer tous les deux.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ルイ\nOui, tu as raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06クロエ\nBon, puisque nous voilà tous les deux munis\nde nos en-cas favoris, que dirais-tu d'y aller ?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nAvec plaisir. Je sens que nous allons encore\npasser une merveilleuse journée, chère amie.\x0E\x04\x00\x00
