MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nPuis-je me retirer ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nOh, mais... oui. Bien sûr...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nEt... pardonnez-moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アイビー\nNous poursuivrons cette conversation plus\ntard, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08リュール\nIvy, puis-je vous demander pourquoi vous\nm'avez choisi\x0E\x0A\x00\x06
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アイビー\nDurant la période la plus sombre de ma vie,\nje n'avais personne d'autre que le Dragon\ndivin vers qui me tourner.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nMa foi en vous m'a donné la force de survivre.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nDe survivre à quoi, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nÀ mon propre univers. L'endroit même où je\nsuis née.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nIntrigue et trahison prospèrent au château\nd'Elusia. Nul n'y est en sécurité.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nMais le pire, dans tout cela, c'est que je n'avais\naucun espoir d'y échapper.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nMa mère était derrière toutes ces machinations.\nJe ne pouvais me tenir à l'écart de ses sinistres\ncomplots.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nVotre propre mère...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nDans son monde, chaque sourire est une lame\nde poignard cherchant un dos où être plantée.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nJe tenais la cour en horreur. Je haïssais sa\nfaçon de transformer tous ceux qui y vivaient.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\nC'est ma foi qui m'a sauvée du désespoir.\nMa foi envers le Dragon divin.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nMais pourquoi envers moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nPour ne pas faire comme les autres, au début.\nIls vénéraient le Dragon déchu, j'ai donc choisi\nle Dragon divin.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nUn acte de rébellion mineur, bien caché dans\nle secret de mon cœur, mais dont j'éprouvais\nfortement le besoin.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nPlus je pensais à vous et à votre vie, plus il\nm'apparaissait évident que je n'étais pas à\nma place au château.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nSi j'ai pu vous aider, même indirectement,\nj'en suis heureu\x0E\x0A\x00\x0A\x02x\x04se.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nAh, pardonnez-moi... Faire l'expérience de votre\nbonté de manière si familière est un peu trop\nintense pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nNe pourriez-vous pas vous comporter\ndavantage comme un être divin ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nHa ha ! Très bien, je ferai plus attention\nà l'avenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nTrès sérieusement, Votre Divinité...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nAujourd'hui encore, c'est en vous que je puise\nma force. Je vous remercie.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nC'est ici que vous vouliez me voir, Votre\nDivinité ?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08アイビー\nPourquoi avoir choisi un lieu si éloigné ?\nQu'avez-vous l'intention de faire ?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nJ'ai quelque chose d'important à vous dire.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08アイビー\nÇa n'explique pas pourquoi nous sommes là.\nJe serais heureuse de vous parler quel que soit\nl'endroit.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nJe voulais que nous soyons seul\x0E\x0A\x00\x0A\x02s\x04es.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08アイビー\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08アイビー\nEh bien, nous y voilà.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nTout va bien ? Vous rougissez.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08アイビー\nJe rougis ? Bien sûr que je rougis.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08アイビー\nN'y prêtez pas attention. Quoi que vous ayez\nà me dire, je suis prête à l'entendre.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08アイビー\nJe vous écoute.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nTrès bien.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nPrincesse Ivy, je vous prie d'accepter cet\nanneau en gage de mon affection.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08アイビー\nC'est l'Anneau du Pacte.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08アイビー\nC'est un legs que le Dragon divin n'accorde\nqu'à la personne avec laquelle il souhaite\nrenforcer un lien déjà très profond.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nToujours aussi savante.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08アイビー\nAvez-vous vraiment l'intention de me le\ndonner ?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nIl n'est personne que je désire davantage avoir\nà mes côtés.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nVous êtes celle dont je me sens l\x0E\x0A\x00\x08\x02e\x02a plus proche.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08アイビー\nComme toujours, je suis admirative devant\nla franchise avec laquelle vous exprimez vos\nsentiments.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nQuel genre de \x0E\x0A\x00\x18\x08dieu\x0Cdéesse serais-je si je cachais mes\npensées à l'égard d'une personne faisant preuve\nd'autant de dévotion ?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nVous vous êtes ouverte à moi, Ivy. Il n'est que\nnormal que je fasse de même.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08アイビー\nC'est vrai.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08アイビー\nDans ce cas, j'accepte.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nBien.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08アイビー\nJe me sens déjà tellement plus proche de vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08アイビー\nUn tel lien avec le Dragon divin est plus que\nce que je n'aurais jamais osé espérer. Merci,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08アイビー\nSoyez assuré\x0E\x0A\x00\x06
