MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\nAh, exactement ce dont j'avais besoin !\nOn n'avait pas chevauché ensemble depuis\nbien trop longtemps.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nJour après jour, je me rendais en ville, et je\ncherchais querelle à quiconque n'était pas\nde mon avis.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パネトネ\nEn y repensant aujourd'hui. je me rends compte\nde la futilité de la chose.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nMais c'était mon seul exutoire... jusqu'à ce que\nje vous rencontre.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nBien sûr, au début, je vous croyais aussi féroce\nque moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nHa ha ! On s'est bien entendues d'emblée,\npas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nÀ neutraliser des vauriens la journée,\net chevaucher nos loups la nuit...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nOui, nous étions comme les deux doigts\nde la main.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パネトネ\nPeu à peu, vous m'avez aidée à canaliser\nma rage et... à la mettre au service de\nmeilleurs desseins.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nContre les resquilleurs.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nÇa n'est arrivé qu'une fois ! Je pensais plutôt\nà tous les bandits et aux voleurs qu'on a\ncombattus.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nVous m'avez appris à employer la colère\naveugle qui m'habitait pour faire le bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nJ'en suis heureuse ! Même si, en toute\nhonnêteté, ce n'était pas vraiment volontaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nOui, je m'en suis rendu compte.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パネトネ\nCela dit, si je ne vous avais jamais rencontrée,\ncheffe...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nCette rage aurait bien pu m'engloutir pour\nne recracher qu'une coquille vide, solitaire\net aigrie.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パネトネ\nJ'aurais passé ma vie à ruminer mon existence\navec amertume.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPanette, tu as dit que sans moi, tu aurais passé\nune existence amère et solitaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nMais je ne pense pas que ce soit vrai.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nPourquoi dites-vous cela, cheffe ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nEh bien, tu étais féroce, c'est vrai.\nMais ta gentillesse transpirait toujours.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nMême lors de nos combats contre les pires\ncanailles, ton but était de les arrêter, pas de\nleur faire du mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nミスティラ\nEt après nos longues escapades nocturnes,\ntu prenais le temps de nourrir les loups, de\nles brosser...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nEn vérité, mon influence ne t'a pas mise\nsur le droit chemin. Tu y étais déjà.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nLe pensez-vous vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nAbsolument. Je savais que tu étais quelqu'un\nde bien. Voilà pourquoi je t'ai demandé d'être\nma vassale.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nAh, je m'en souviens. Quelle surprise ça a été\npour moi... J'étais à des lieux d'imaginer que\nvous étiez la princesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nC'est ma façon royale de te recruter qui ne t'a\npas convaincue ? « S'il te plaît, sois chouette\net deviens ma vassale ! »\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nIl me paraissait si absurde qu'une princesse\ns'intéresse à une sauvageonne telle que moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nToujours est-il que je suis heureuse que tu aies\naccepté. Merci encore, Panette.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nCheffe, je vous en prie...\nC'est à moi de vous remercier.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nミスティラ\nOh, sérieusement. Tu penses que je ne vois pas\ntous les efforts que tu fais ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nJe sais que tu avais peur de me gêner ou d'être\ndésagréable devant ma famille.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nL'étiquette royale est compliquée... et pour être\nhonnête, parfois arbitraire.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nMais tu as pris le temps d'étudier le discours\net les manières des vassaux.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nC'était le moins que je puisse faire pour\nvous remercier de votre générosité.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nPanette, il faut que je te dise quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nJe serai une reine à la hauteur de tes efforts.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nUne reine que tu puisses être fière de servir.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nJe n'en doute pas. En ce qui me concerne,\nje continuerai de vous servir avec le zèle\nle plus diligent.\x0E\x04\x00\x00
