MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リュール\nMerci d'avoir accepté de vous entraîner avec\nmoi, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nVous avez peut-être raison. Après tout, c'était\nun être d'une gentillesse incomparable.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nMais comment pouvez-vous être aussi sûr\x0E\x0A\x00\x06
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nCe n'est pas difficile à imaginer, quand une\npersonne nous est chère.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nザフィーア\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nAi-je dit quelque chose qu'il ne fallait pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nザフィーア\nNon, bien sûr que non. C'était très gentil de\nvotre part.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nザフィーア\nMerci, Votre Divinité. Je suis très touchée.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リュール\nYah !
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nザフィーア\nOh, joli coup. J'abandonne.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nMerci pour le duel.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nOn s'est assez entraîné\x0E\x0A\x00\x06
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nザフィーア\nVous y êtes pas allé\x0E\x0A\x00\x06
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nザフィーア\nJ'ai beau vous avoir dit que vous aviez du\npotentiel, je m'attendais pas à vous voir\nle développer si vite !\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nSi c'est le cas, c'est grâce à vous, et je ne\nparle pas uniquement de vos encouragements.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nJe souhaite être assez fort\x0E\x0A\x00\x06
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nザフィーア\nVous voulez me protéger ?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nHa ha ! C'est bien la première fois\nque je vous vois rougir.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nザフィーア\nC'est parce que personne ne m'a jamais rien\ndit de tel, alors je sais pas trop comment\nréagir.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nVous avez beau être implacable au combat,\nvous n'en avez pas moins bon cœur.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nC'est ce qui me plaît le plus chez vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nEt pour cette raison, je veux vous donner\nl'Anneau du Pacte.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nザフィーア\nOh...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nVous êtes ce que je compte de plus précieux.\nCet anneau symbolise mes sentiments.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAlors, qu'en dites-vous ? Me ferez-vous\nla joie d'être mon éternelle partenaire\nd'entraînement ?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0C\nザフィーア\nJe...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nザフィーア\nJe ne sais pas si je peux me permettre\nd'être aussi heureuse...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nJe sais que cela doit vous paraître impensable,\nvous avez connu tant de douleur et de peine.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nMais c'est justement la raison pour laquelle\nmaintenant, vous avez droit au bonheur.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nザフィーア\nVous avez raison, \x0E\x06\x03\x00. Merci.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nザフィーア\nJ'accepte votre anneau avec plaisir,\nainsi que votre offre.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nTant mieux, parce que maintenant,\nje serai à vos côtés jusqu'au bout.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nザフィーア\nPareil pour moi. Je me battrai de toutes\nmes forces pour vous protéger, et pour\nfaire votre bonheur.\x0E\x04\x00\x00
