MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAlors, qu'est-ce que vous en dites ?\nC'était sympa de se détendre un peu et\nde casser la croûte ensemble, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nVotre compagnie était, et je n'en reviens\ntoujours pas, aussi délicieuse que la nourriture.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nJe saisis mieux votre façon de penser,\ndésormais. Il est important de se détendre\nde temps en temps.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nQu'est-ce que j'avais dit ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nDu coup, on a qu'à manger ensemble demain.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nJe regrette, mais c'est non.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nQuoi ? Pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06モーヴ\nParce que c'est votre tour de découvrir\nma vision des choses.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パンドロ\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nJe vous enseignerai l'art de se dévouer corps\net âme aux autres.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nMa foi, vous avez tenté ma façon de faire,\nj'imagine qu'il serait injuste que je ne tente\npas la vôtre.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パンドロ\nQui sait... Peut-être même que j'en tirerai\nquelque chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nPar contre, après ça, vous avez intérêt à venir\nmanger avec moi de nouveau.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\nJe n'ai consenti qu'à un repas.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nEn fait, je me demande si on devrait pas\nalterner. Un jour à ma façon, un jour à\nla vôtre...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nEt ainsi de suite jusqu'à la fin des temps.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nExactement ! Allez, tenons-nous la main\net prions encore pour la paix.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nHa ha ! Vous ne renoncez décidément jamais.\x0E\x04\x00\x00
