MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nVander, je te dois des excuses.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, c'était aussi pour ton anniversaire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nNon. Nous ne célébrions aucune circonstance\nparticulière.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh. Hmm.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'était peut-être sa façon de te dire :\n« Bon travail, mon fidèle vassal » !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nC'est possible. De tels gestes ressemblaient\nbien à notre reine.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nLe jardin où elle cultivait ses fleurs sauvages fut\nnoyé de boue au cours de la bataille.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nヴァンドレ\nQuand j'y songe aujourd'hui, je regrette de\nn'avoir pas passé plus de temps avec la reine.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nNous avons tous des regrets. Il est inutile de\nles ressasser, il faut aller de l'avant.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nDorénavant, c'est à nous de protéger la\npopulation, ainsi que le faisait Sa Majesté\nLumera.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nQue se passe-t-il, Vander ? Ton invitation\nm'a pris au dépourvu.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nRegardez ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nDes fleurs sauvages ? Tout un jardin rempli de\nfleurs sauvages... Pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nJ'ai pensé qu'il serait triste de ne les laisser\ns'épanouir qu'entre les murs du château.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nJ'ai planté toutes les fleurs sauvages que j'ai\ntrouvées, afin que chacun puisse en profiter.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\nEntre nous... Je n'escomptais pas les voir\nse propager à ce point.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nCes fleurs sauvages sont tout à fait charmantes,\nje ne peux pas le nier.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nQuand je les regarde, j'ai ce sentiment étrange\nque Sa Majesté Lumera se tient à mes côtés.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nJe vois ce que vous voulez dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nJe voulais que vous puissiez aussi contempler\nces fleurs sauvages, Prince Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nMerci. C'est important pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nQuand la paix sera revenue, pourquoi n'en\nplanterions-nous pas d'autres ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nBonne idée. Nous les planterons ensemble.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt cette fois, nous nous assurerons que nul\nne profane le jardin.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nDe sorte que Sa Majesté Lumera puisse y veiller\nsur la population.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nC'est ce qu'elle aurait souhaité, Prince Alfred.\x0E\x04\x00\x00
