MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06クロエ\nOh Bunet, alleeeez !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nMais vous n'avez pas le droit de refuser !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nJe vous promets que je vous le revaudrai !\nJ'ai vraiment envie, juste une fois, de goûter\nà un plat de rue de haut niveau !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nChloé... J'apprécie votre capacité à\nreconnaître les véritables artistes.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nNéanmoins, je me vois dans l'obligation\nde refuser votre requête.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ボネ\nLes ingrédients me révèlent la façon dont\nils souhaitent être préparés. Leur volonté\nest sacrée.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nÀ présent, je dois m'en aller.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クロエ\nOooh... Je n'ai pas dit mon dernier mot.\nJ'arriverai à le convaincre. J'en fais le serment !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nChloé. J'imagine que vous êtes venue\nme supplier...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nOui, c'est exactement ça !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nMais d'où vous vient ce goût farfelu pour\nla cuisine de rue ? Après tout, vous êtes\nd'extraction noble.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クロエ\nC'est vrai, et à la table de ma famille,\non ne servait que des plats raffinés.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nPour la plupart des gens, ce serait un rêve.\nToutefois, un jour, je me suis rendue à un\nfestival firénien.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nUne odeur mêlant salé et sucré s'échappait\nd'une allée. Je l'ai alors suivie pour découvrir\nson origine.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nEt c'est ainsi que vous avez découvert\nla cuisine de rue.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クロエ\nExactement. J'ai alors acheté le plat vendu\npar l'étal, sans y réfléchir à deux fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nCe fut une expérience extraordinaire ! Tant pour\nles saveurs, l'odeur, la texture... Je n'avais\njamais rien goûté de tel.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ボネ\nJe comprends qu'une fille de bonne famille\nvoie là une... manière de braver l'interdit.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クロエ\nMalheureusement, ma famille ne me laissait\njamais me sustenter ailleurs que chez moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\nEt ne parlons pas de la cuisine de rue ! Si mes\nparents avaient seulement soupçonné que j'y\navais goûté, ils se seraient évanouis d'horreur.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ボネ\nJe vois. Ainsi, tant que vous résidiez avec\nvotre famille, vous deviez faire une croix\nsur la cuisine de rue.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クロエ\nCe n'est pas tout à fait cela. Après cette\naventure, je me suis mise à en manger\nen cachette.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nJe mangeais des plats de rue en chevauchant\nmon pégase, puis je me débarrassais des\npreuves en jetant les emballages.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ボネ\nAutrement dit, vous jonchiez le sol de saletés...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nC'est vrai, et ça me donne mauvaise conscience.\nJe fais toujours bien attention à jeter mes\ndéchets, à présent.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nEnfin voilà, c'est mon histoire.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nVotre passion pour la nourriture...\nJe la reconnais. J'ai du mal à l'admettre,\nmais elle est très semblable à la mienne.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ボネ\nVous m'avez convaincu. Je veux bien m'essayer\nà la cuisine de rue, mais ce sera pour vous\net personne d'autre.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クロエ\nC'est vrai ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nCe que je vous cuisinerai n'en sera pas\nmoins de très haute qualité.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ボネ\nIl est hors de question que je cède à la facilité,\nalors si mon plat ne répond pas à vos attentes,\nil ne faudra pas pleurer.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nJe vous promets que je ne me plaindrai pas !\nMerci Bunet ! Vous ne pouvez pas savoir à quel\npoint ça me fait plaisir.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06クロエ\nJ'ai vraiment hâte de goûter à vos tous\npremiers plats de rue !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nComme je vous l'ai déjà dit, les ingrédients\nm'indiquent la manière dont je dois les préparer.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nOui, effectivement, vous me l'avez dit.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nEt je prends toujours leur avis en compte.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nAinsi, j'ai fait des recherches approfondies.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nJ'ai cherché quels ingrédients brûlaient\ndu désir d'être utilisés dans un plat de\ncuisine de rue.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nEn avez-vous trouvé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ボネ\nOui. Voilà.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nUne palourde des étangs de Solm, et des\nchampignons qu'on trouve uniquement\ndans les forêts du royaume.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nOh ! Quelle étrange couleur !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nEt ceci ? C'est une épice qui vous retirera\ntoute sensation dès qu'elle touchera votre\nlangue.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nUne épice... engourdissante ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nHa ha ! N'auriez-vous pas un peu peur ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nPeur, moi ? J'ai tellement envie d'y goûter\nque j'ai peine à me contenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nJe savais bien que votre courage culinaire\nne vous ferait pas défaut.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nEt voilà. Devant vous, rien de moins que\nla cuisine de rue ultime !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クロエ\nOh, cette présentation simplissime !\nC'est incroyable ! C'est exactement ce qu'on\ntrouverait à un stand !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nAh, mais la présentation n'est qu'une première\nétape. Goûtez, je vous prie.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nOh là là, je n'y tiens plus...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nBonté divine ! Cette épice a vraiment\nengourdi ma langue !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nMais son effet est contrebalancé par la sauce,\net la texture est tout simplement indescriptible !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nC'est précisément ce genre de mets qui m'a\nfait tomber amoureuse de la cuisine de rue.\nSi un stand en vendait, j'y serais tous les jours.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nC'est étrange. Au début, j'étais tout\nsimplement touché par votre passion pour\nla nourriture.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nÀ présent, je comprends que ce travail était\nune étape nécessaire sur la route menant\nà la parfaite maîtrise de la gastronomie.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ボネ\nToute bonne nourriture se vaut, qu'elle soit\nservie sur une assiette en porcelaine ou\nemballée dans du papier.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nLa cuisine de rue et les plats raffinés\npeuvent apporter la même joie à ceux\nqui les dégustent.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\nEh oui ! Merci, Bunet !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nÀ présent... Que voudriez-vous que je vous\nprépare d'autre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06クロエ\nAttendez... Vous voudriez encore me préparer\nquelque chose ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nJe suis toujours content de satisfaire\nles requêtes des gourmets.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06クロエ\nVraiment ? J'aurai encore droit à de la cuisine\nde rue de grande qualité ? J'ai les larmes qui\nme montent aux yeux...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04ボネ\nInutile de pleurer. Ma cuisine et moi ne\nsommes pas près de vous quitter.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06クロエ\nOui, d'accord. Je vais prendre mon temps\npour me décider.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06クロエ\nVotre prochain plat entrera à coup sûr\ndans la légende !\x0E\x04\x00\x00
