MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nEnfin. J'ai fini par maîtriser ce pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nEt c'est à mon tour de vous enseigner la danse,\nPandreo, ainsi que mon maître l'a fait pour moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nMais j'ai rien demandé, moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セアダス\nQuoi ? Je croyais que vous vouliez apprendre\nà danser ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nCe que je voulais, c'était m'amuser, mais ça...\nC'est pas marrant pour deux sous. J'arrête.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nMerci de m'avoir pris sous votre aile ou\nje ne sais quoi. Ce fut bref, mais intense.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nPandreo, attendez ! La leçon n'est pas finie !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08パンドロ\n♪Hm, hm, hm...♪\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セアダス\nPandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nAh, salut Seadall. Si vous voulez m'infliger\nune autre leçon, vous vous fatiguez pour rien.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nAprès tout ce que je vous ai enseigné...\nvotre sens du rythme est toujours aussi désastreux.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nEt donc ? Vous êtes venu uniquement pour\nme déverser un tombereau d'insultes ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nNon, pas du tout. En fait, je vous regarde\ndanser... et je me rends compte que je\nfaisais erreur.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セアダス\nPrendre du plaisir à danser, c'est ça qui compte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セアダス\nJ'ai décidé de vous donner des leçons parce\nque je croyais que vous souffriez sur la piste.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nIl faut dire que vous en donniez l'impression...\nMais à l'instant, le plaisir que vous preniez à\ndanser sautait aux yeux.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nAh ouais, pour sûr. Je m'amusais bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nC'est tout ce qui compte.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nSi mon maître m'entendait, il piquerait\nune colère noire. Mais moi, j'avais besoin\nd'apprendre cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nPandreo, je suis navré de vous avoir découragé\nde prendre plaisir à la danse.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nÉcoutez, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nTout ce que je voulais, c'était qu'on danse\nensemble.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nC'est vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nOuais, et j'ai pas changé d'avis, d'ailleurs.\nC'est juste que votre leçon m'avait pas emballé.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nOn fait un deuxième essai ?\nQu'est-ce que vous en dites ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nAvec joie.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セアダス\nDansez en suivant le rythme de votre cœur,\net vous ne pourrez pas vous tromper.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nExactement ! Allez, c'est le moment de\ngigoter, de se dandiner, et surtout de se\nmarrer un bon coup ! Ha ha !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\nAprès... peut-être que vous pourrez me donner\nune autre leçon. Rien de trop technique, juste\nune petite séance vite fait.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nHa ha, je vous le promets. Ma prochaine leçon\nsera bien plus agréable.\x0E\x04\x00\x00
