MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nTu sais que tu es mignon, Rosado ?\nJe l'ai toujours pensé.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nHmm, je ne sais pas. Ça a peut-être un rapport\navec la manière dont on m'a élevé.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nJe suis né dans un village près du lac des\nmystères. Certains l'appellent le village des fées.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nC'est un lieu merveilleux. Un endroit où\nla beauté ne s'embarrasse pas de vaines\nconsidérations telles que le genre.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nOuah ! Je n'ai jamais entendu parler\nd'un tel endroit.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nTout le monde y accepte tout le monde.\nQuelle que soit ton apparence et l'image\nque tu as de toi-même, tu es superbe.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nJ'ai grandi en pensant que tout le monde vivait\nainsi. Le choc a été immense quand je suis parti\net que j'ai pris conscience de ma différence !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nMais j'ai réalisé que j'aimais être différent. Et je\nveux que tout le monde sache qu'il est génial\nd'être différent.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nTu dis qu'être différent... est une bonne chose ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nPas simplement une bonne chose... c'est génial !\nTes différences te rendent unique. C'est ce qui\nfait que tu es... toi !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nD'un côté, quitter mon village natal a accentué\nma confiance en moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nHm... Alors c'est parce que tu es unique\nque tu as renforcé ta confiance en toi...\nJ'aime cette idée.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ロサード\nMoi aussi ! Et si elle peut t'aider, j'en suis\nencore plus heureux.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nMerci. Tout ce que tu as dit me parle.\nOn en rediscute un de ces jours ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nBien sûr ! Quand tu veux !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nRosado, je voudrais te remercier de t'être confié\nà moi, l'autre jour. En réalité, moi aussi je suis\ndifférente.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\nEh bien parlons-en ! Je veux savoir tout ce qui\nte rend unique.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nAlors... Ma famille est, euh, pauvre. Très\npauvre. Je me suis souvent sentie exclue\nà cause de cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\nEt il n'y a pas que la pauvreté. J'aime aussi\nmanger de l'herbe. Et je suis d'une force\nintimidante.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nJ'ai fini par... être obsédée par mes bizarreries.\nÇa n'aide pas à avoir confiance en soi.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nJe ne vois pas le problème avec ce que tu dis !\nTu t'y connais en plantes, tu es super forte...\nC'est génial !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nPrésenté comme ça, on croirait presque que\nce sont des qualités, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nC'est quand même difficile d'en parler, parfois.\nPas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nOui...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nSi ça peut aider... je vais t'avouer quelque chose\nd'un peu gênant à mon sujet. Je t'ai toujours\nadmirée, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nUne seconde... Toi ? Tu m'admires ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nOui. Même du temps où nous étions ennemis,\nau Grand passage.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ロサード\nTu faisais tournoyer cette énorme épée.\nTu avais l'air si forte. Et quel style !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nJe me souviens de la jalousie que j'ai ressentie.\nJe ne pourrais jamais en faire autant.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nV-Vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nVraiment. D'ailleurs, d'où te vient cette force ?\nC'est grâce à ton entraînement ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nNon. C'est parce que j'ai affronté un grand\nnombre d'ours, là où j'habitais.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nDes ours ! Eh bien, on peut dire que ta force\nremonte à tes origines.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nOui... C'est ça ! Tu as raison !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nMerci, Rosado. Tout ce que tu me dis m'aide\nà raffermir ma confiance en moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nUn jour, je dirai fièrement que je suis ce que\nje suis grâce au village où j'ai grandi !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\nPeut-être pas tout de suite... Mais un jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nJe pense que c'est un objectif formidable.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nQuand l'heure viendra, tu pourras l'annoncer en\nfaisant un grand geste avec ton énorme épée !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ラピス\nBien sûr. Je vais trouver une épée encore\nplus grosse, tu verras.\x0E\x04\x00\x00
