MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nTu aurais une seconde, Amber ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nCe n'est rien. Toutes ces histoires de folklore\net de légendes, c'est ma passion.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nJe me mets en quête sans perdre un instant !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nHé, tas de muscles ! Oui, toi là-bas avec les gros\nbras ! Comment es-tu devenu aussi baraqué ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0A\x08アンバー\n\x0E\x03\x02\x0E\x0Cアルフレッド\nVoilà qui s'annonce prometteur... Si quelqu'un\npeut découvrir toute la vérité au sujet d'une\nlégende, c'est bien Amber !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nMême la lance la plus acérée pliera sans percer,\net les volées de flèches ne feront que ricocher...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nUne seule de ces pilules suffira pour donner à\nvos muscles la dureté de l'acier et transformer\nvotre corps en une forteresse...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nTels sont les pouvoirs de ce remède légendaire\nqui développe les muscles... le surprotéinum !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nLe surprotéinum ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nOuais.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nLoin de moi l'idée de douter de toi, mais...\nce nom à lui seul rend tout l'ensemble\nvraiment peu crédible.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nOh oh ! C'est exactement sur ce principe que\nreposent les légendes.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nDes noms incongrus. De vagues indices. Il faut\nsuivre son instinct et se lancer dans l'inconnu...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nC'est comme cela que les légendes donnent\nnaissance à des quêtes épiques !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nQue comptez-vous faire, Prince Alfred ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nÊtes-vous prêt à suivre vos rêves et à vous\nembarquer dans l'aventure de votre vie ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nCette quête vaut le coup d'être entreprise... si\nvous choisissez d'y croire ! Alors... voulez-vous\ny croire, Prince Alfred ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nUn peu que je veux y croire, tiens ! Tu as fait\ntant d'efforts pour enquêter sur ce remède,\nje ne peux pas me permettre de douter.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nBon, et alors... où peut-on trouver ce fameux\nsurprotéinum ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nBon, j'ai tout ce qu'il nous faut pour nous\nmettre en route.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アンバー\nVoyons voir... D'ici, il nous faudra environ un an\npour atteindre le lieu où est caché ce remède.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nUn an ?! Tant que ça ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nIl se présente sous forme de pilules qu'on ne\ntrouve qu'au sommet d'une certaine montagne,\nsi haute qu'elle dépasse les nuages.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nÇa ne s'annonce pas comme un voyage de tout\nrepos... Et je crois que ce n'est guère le moment\nque je m'éclipse pour une telle aventure.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nÀ mon grand déplaisir, je vais sans doute devoir\nremettre à plus tard cette quête du remède pour\ndevenir super musclé.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\nOh. Vous avez sûrement raison. Mince ! Et moi\nqui vous en ai fait l'éloge sans même y\nréfléchir... Je suis désolé.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nPourquoi devrais-tu être désolé ? Tu viens de\nme faire le plus beau des cadeaux !\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アンバー\nAh bon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nTu m'as offert un objectif à poursuivre. Un rêve.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08アンバー\nOuah ! Ça, Prince Alfred, c'est un point de vue\nqui me plaît énormément !\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe suis content de te voir retrouver\nta bonne humeur.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nBonjour, Prince Alfred !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nBonjour, Amber !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nVous voilà debout de bonne heure,\nencore une fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nIl n'est jamais trop tôt pour une séance\nd'entraînement.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nVous êtes impressionnant, Prince Alfred.\nVous vous entraînez tous les jours, sans faute,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nJe ne sais vraiment pas comment vous faites.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est très simple : ça m'amuse de m'entraîner.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est comme toi et ta chasse aux légendes.\nCe n'est pas toujours facile, et pourtant tu\nn'abandonnes jamais, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nEuh... Oui. C'est vrai.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nDe plus, je ne peux pas me permettre de\nne pas me maintenir en forme.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アンバー\nOh, bien sûr ! Nous sommes en pleine guerre.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nExact ! Mais ce n'est pas tout, j'envisage aussi\nl'avenir, après la guerre.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nQue voulez-vous dire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nEh bien... Aurais-tu déjà oublié le rêve ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nAu sommet d'une haute montagne très éloignée\nse trouve le rêve de tout haltérophile.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nSi je veux avoir la force de parvenir tout là-haut,\nje dois commencer à m'entraîner dès à présent.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nAttendez... c'est à la légende du surprotéinum\nque vous faites allusion ? Je croyais que vous\naviez abandonné cette quête !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon, je l'ai remise à plus tard. Ce n'est pas du\ntout la même chose. Je pourrai encore partir\nà sa recherche une fois la guerre terminée.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est une cause qui m'incite à aller de l'avant.\nJe ne peux pas périr avant d'avoir mis la main\nsur ce remède légendaire, vois-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nMais... Prince Alfred...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nFeriez-vous vraiment tous ces préparatifs, sans\navoir la moindre preuve que le surprotéinum\nexiste bel et bien ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nPeu importe. Un rêve n'a pas besoin de reposer\nsur des faits concrets. Il suffit d'y croire,\nc'est tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\nOui, tout à fait ! C'est exactement mon avis !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アンバー\nPartir en quête d'objets légendaires, il n'y a\nrien de mieux au monde !\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe cherche juste à m'amuser un peu dans la vie,\net c'est tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アンバー\nMoi aussi ! Et je recherche exactement le même\ngenre d'amusement ! Je peux m'entraîner en\nvotre compagnie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アンバー\nJe crois tout comme vous au surprotéinum...\nalors, laissez-moi aussi partir en quête de\nce remède légendaire !\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nD'accord ! Je serais ravi de t'avoir à mes côtés.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nNous avons beau venir de royaumes différents,\nnous pouvons tout à fait partager le même rêve.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08アンバー\nPrince Alfred... ne stimulez pas davantage\nmon enthousiasme, je ne suis pas sûr que\nmon esprit y résiste !\x0E\x04\x00\x00
