MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nBonjour, Princesse Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nHmpf ! Conservez votre calme et vos airs\nsupérieurs tant que vous le pouvez !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe vais vous écraser tellement je suis\nprodigieusement éblouissante !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous feriez mieux d'abandonner tout de suite !\nHa ha ha ha !\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0A\x08セリーヌ\nPrend-elle déjà congé ? Moi qui espérais\ndéguster une tasse de thé avec elle...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セリーヌ\nQuel amour de jeune fille, tout de même.\nSi seulement j'avais une petite sœur\naussi adorable.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nVoici que nous nous rencontrons\nà nouveau, Princesse Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nEn effet, Princesse Céline !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nQue la compétition commence !\nPremière épreuve... le tournoi de douceur !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nQui a la peau la plus douce, vous ou moi ?\nCommençons par vous... tapoter un peu\npour voir !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nHi hi ! Vous me chatouillez !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe déclare le tournoi de douceur annulé !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nDéjà ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe dois procéder à des ajustements\nstratégiques.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nVoilà qui est bien fâcheux. Je voulais moi\naussi éprouver la douceur de votre peau en\nvous tapotant à mon tour.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nComment ? Non, n'essayez pas de me distraire\nen me brouillant les idées, nous sommes en\ncompétition !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nHi hi ! Bien entendu.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\n... Qu'est-ce qui ne va pas chez moi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nElle est si mignonne qu'elle m'embrouille\nl'esprit. C'est trop vicieux !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nAllez, c'est à moi ! Je veux apprécier\nvotre douceur ! Laissez-moi vous tapoter !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe vous l'ai déjà dit, ce tournoi est annulé.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nPardonnez-moi. Je n'ai pas pu m'en empêcher,\nla curiosité était trop forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nPourquoi est-ce qu'elle sourit comme ça ?\nEt pourquoi est-ce que ça me PLAÎT ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'en ai assez, de vos combines ! C'est moi,\nla plus mignonne ! Personne ne peut me battre !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nBouhouhou...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0A\x08セリーヌ\n... Et la revoilà qui file. Mince ! On dirait\nque j'ai encore manqué l'occasion de\nl'inviter à boire un thé.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nVous semblez moins agitée qu'à l'accoutumée,\nPrincesse Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nBon, Princesse Céline. Soit.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe l'admets.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nVous admettez quoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous êtes plus adorable que moi.\nJe reconnais ma défaite.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'était perdu d'avance, au fond.\nPersonne ne peut ne serait-ce que\ndétourner les yeux de vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nVoilà un vibrant hommage s'il en est.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セリーヌ\nMais...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nJe n'ai pas fini de vous tapoter.\nVous tapoter, tapoter, tapoter !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh ! Ha ha ha !... Mais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nQue diriez-vous de clore le concours en\nconcluant à une égalité, entre amies ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nVous ne manquez pas de charme. Et vous\nne masquez rien de vos états d'âme, qu'on\nlit sur votre visage.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nVous êtes loin d'imaginer le bien-être que\nces deux caractéristiques inspirent à ceux\nqui vous entourent.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous... Vous le pensez vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nOui, et ne vous souciez pas de mon charme.\nVous avez le vôtre, et il est à nul autre pareil.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nSi je puis me permettre, j'ajouterai\nqu'un sourire le met davantage en valeur\nqu'une vilaine moue.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nQuand vous dites des choses comme ça, je...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nAaah, je vous apprécie encore pluuuuus !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セリーヌ\nBien. Vous avez toujours eu beaucoup de crédit\nauprès de moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\n... Comment pouvez-vous rester ainsi,\nd'une perfection aussi imperturbable ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nTenez, Princesse Hortensia, que diriez-vous\nd'une tasse de thé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nIl y a un moment que je songe à vous inviter.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nDu thé ? Avec vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nHa ha ha, oui, avec moi. Nous sommes toutes\ndeux princesses cadettes, nous avons beaucoup\nà partager.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nEn signe d'amitié, j'ai d'ailleurs fait venir\nun mélange spécial, en provenance directe\nd'Elusia.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est absolument adorable de votre part !\nGoûtons cela tout de suite !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セリーヌ\nSplendide ! Je déclare donc ouverte la première\ndégustation de thé d'une longue série !\x0E\x04\x00\x00
