MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nJ'ignorais comment changer de direction !\nEt j'ignorais que je l'ignorais avant de monter\nen selle !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nMais vous vous en êtes sortie ! Il ne vous a fallu\nque quelques efforts et une attitude positive.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nIl ne m'a fallu qu'un miracle.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\nN'empêche, ça aère l'esprit, non ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nEh bien, j'étais si effrayée que je ne pouvais\npenser à rien. Alors je suppose que... oui ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nTrès bien ! C'est que vous apprenez. Il y a\ntoujours un peu de peur dans les plus grands\nfrissons de la vie.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nHé hé...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nVous avez raison, Timerra. Sortir de notre zone\nde confort peut faire le plus grand bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nExactement ! Allez, on repart pour un tour !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nQuoi ?! Un deuxième tour ?\nY suis-je obligée ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nOh là là, quelle expérience amusante !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nHa ha ha ! Je connais quelqu'un qui n'a plus\npeur de chevaucher un loup.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nVous avez raison ! J'ai surmonté ma peur.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nMerci infiniment, Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nC'est naturel. Hm... quelque chose ne va pas ?\nOn dirait que vous avez les larmes aux yeux.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nC'est juste que... vous me traitez toujours\ncomme quelqu'un de normal.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nJe n'ai fait que vous coller sur le dos d'un loup\net vous suivre en balade.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nC'est exactement ce dont je parle.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nVous me considérez comme... une amie.\nCela m'emplit de joie.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nHé hé hé ! Si vous êtes heureuse, je le suis\naussi. Mais je n'avais pas conscience que tout\ncela était si spécial.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\nC'est même très spécial.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nJe ne pourrai jamais vous remercier assez.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nOh, c'est vraiment rien, Dame Veyle.\nJe vous assure.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nHé hé...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nJe suppose que vous retournerez en Solm\nune fois la guerre terminée ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nVous n'aurez sans doute pas une seconde\nà vous... avec les préparatifs pour devenir\nreine et tout le reste.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nOui. Ma liste de tâches est déjà plus longue\nque les frontières de notre royaume.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nJ'imagine que nous ne pourrons plus passer\ndu temps toutes les deux, entre amies.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nAttendez, vous pensez qu'une fois reine,\nje deviendrai une vieille aigrie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nVous vous fourrez le doigt dans l'œil.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nJe sortirai en douce du palais pour passer\nvous voir, si on ne me laisse pas faire.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nEt nous aurons du temps pour nous. Plein,\nmême ! Qu'importe mon titre. Parce que\nles amis, c'est important.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nCela... me plairait énormément, Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nAlors c'est décidé !\x0E\x04\x00\x00
