MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nIl est fort curieux de vous voir combattre aux\ncôtés d'un Dragon déchu, alors même que vous\nétiez autrefois au service d'un Dragon divin.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nQu'entendez-vous par là ? Je suis d'excellente\ncomposition, voire même positivement radieux.\nOseriez-vous prétendre le contraire ?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nラファール\nPourquoi donc essayez-vous de raisonner avec\nl'ennemi ? La futilité d'une telle entreprise ne\ndoit pourtant pas vous échapper.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06セリカ\nOn ne peut juger si c'est utile ou non avant\nd'avoir essayé, et s'il existe une chance même\ninfime d'éviter le combat, cela en vaut la peine.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nPeut-être, mais je vous prie de garder à l'esprit\nqu'en cas d'échec des négociations, c'est à moi\nqu'il reviendra d'essuyer les assauts ennemis.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x08\x06セリカ\nVous avez raison, je tâcherai de faire attention.\nJ'espère que l'union de nos talents respectifs\nnous permettra de constituer une bonne équipe.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nCelica, votre force me laisse admirative.\nLa façon dont vous maîtrisez la magie\ndu feu est pour le moins fascinante.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06セリカ\nOh, je vous remercie, Zelestia. Voilà bien\nlongtemps qu'on ne m'avait pas adressé\nde telles louanges.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJ'ai appris que vous exerciez autrefois la charge\nde prêtresse de la Mère de la terre. J'aimerais\ntant que vous me parliez de cette époque.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06セリカ\nJ'ai encore tellement de souvenirs du prieuré\nde Novis... Je crains que ce ne soit une fort\nlongue histoire.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMerci d'avoir accepté de me relater vos\nsouvenirs. Vous sentez-vous seule aujourd'hui,\nsans cette personne que vous avez évoquée ?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06セリカ\nPrétendre le contraire serait mentir, mais je sais\nqu'il est là, quelque part, accomplissant son\ndevoir sans faillir.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06セリカ\nJ'ai toutefois rarement le temps de m'ennuyer\nou de souffrir de la solitude ici, entourée de\nvous et de tous les autres.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, Celica ! Que voilà une attitude courageuse !\nSoyez sans crainte, nous serons toujours là\npour vous épauler !\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nGregory, avez-vous vu cet amoncellement de\npeluches de toutes sortes ? C'est adorable !\nJe me demande à qui elles appartiennent...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nOh, euh... Elles sont à moi. Je, hm... collectionne\ntout ce qui est doux et mignon, pour ainsi dire.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nJe me suis laissé dire qu'il y avait une boutique\ncharmante, en ville, qui vendait toutes sortes de\nbibelots. Et si nous y allions ensemble ?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nCelica, vous vous êtes souvenue qu'une telle\nboutique pourrait m'intéresser ? Ça alors...\nEh bien, oui, ça me ferait très plaisir !\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nPourquoi les gens prennent-ils les armes, à\nvotre avis ? Le monde serait tellement plus\nbeau si on pouvait simplement vivre en paix.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06セリカ\nJe suppose qu'il peut y avoir d'innombrables\nraisons... Mais s'il fallait en choisir une, je dirais\nque nous avons tous quelque chose à protéger.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06セリカ\nUne chose qui nous tient tellement à cœur que\nnous sommes prêts à nous battre pour elle.\nConnaissez-vous ce sentiment ?\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nJe... je crois que oui. Je vais continuer à me\nbattre tout en m'efforçant d'infliger aussi\npeu de souffrances que possible, voilà.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nCette armure est tout simplement adorable,\nelle vous sied à ravir.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nVraiment, vous trouvez ? Hm, je dois admettre\nque j'affectionne particulièrement cette couleur.\nEuh... Je vous remercie pour ce compliment.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nD'aucuns prétendent que vous ne goûtez guère\nles affres du combat. Si tel est bien le cas,\nje m'excuse de faire appel à vos pouvoirs.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06セリカ\nVotre sollicitude me touche, mais c'est inutile.\nSi le combat est inévitable, je suis parfaitement\nprête à en accepter les termes.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nHm... Comment pourrais-je apprendre à faire\npreuve d'une parfaite maîtrise de soi en toutes\ncirconstances, comme vous ?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06セリカ\nC'est bien de moi que vous parlez ? Pourtant,\non me répète souvent que j'agis de manière\ntrop impulsive.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06セリカ\nMais si je vous donne cette impression, c'est\nsans doute parce que j'ai su tirer les leçons\nde mes échecs, et ils furent nombreux.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nC'est donc ça ! Je tâcherai d'apprendre de mes\nerreurs, moi aussi. J'aimerais beaucoup que\nvous me relatiez vos exploits, à l'occasion.\x0E\x04\x00\x00
