MID_PLACE_Filene	Firene
MCID_M015_OUTLINE	Suite à sa victoire, le groupe part\nen quête de l'Anneau de la Main\ndu Destin à la forteresse du Nord.
MCID_M016_PREFIX	Chapitre 16
MCID_M016	Le long du littoral
MCID_M016_PLACE	Côte azurine
MCID_M016_OUTLINE	Alors qu'elle vient d'obtenir\nun nouvel anneau, l'armée du\nDragon divin reçoit un rapport.
MCID_M017_PREFIX	Chapitre 17
MCID_M017	Quiétude ruinée
MCID_M017_PLACE	Port de Florra
MCID_M017_OUTLINE	Traquant les navires de guerre\nelusiens en route pour Firene,\nle groupe arrive au port de Florra.
MCID_M018_PREFIX	Chapitre 18
MCID_M018	Traversée glaciale
MCID_M018_PLACE	Route vers Elusia
MCID_M018_OUTLINE	Ayant appris la vérité sur Veyle,\nle groupe se rend là où le Dragon\ndéchu attend : en Elusia.
MCID_M019_PREFIX	Chapitre 19
MCID_M019	Ville morte
MCID_M019_PLACE	Port-Givre
MCID_M019_OUTLINE	L'armée du Dragon divin arrive au\nport elusien après avoir repoussé\nles assaillants en mer.
MCID_M020_PREFIX	Chapitre 20
MCID_M020	Une cour sans roi
MCID_M020_PLACE	Château d'Elusia
MCID_M020_OUTLINE	Après avoir repris deux anneaux à\nMarni et Mauvier, le groupe atteint\nenfin le château d'Elusia.
MCID_M021_PREFIX	Chapitre 21
MCID_M021	Le retour
MCID_M021_PLACE	Château de Lythos
MCID_M021_OUTLINE	Ayant appris une dure vérité par\nGriss, le groupe suit le Dragon\ndéchu jusqu'au château de Lythos.
MCID_M022_PREFIX	Chapitre 22
MCID_M022	Dragons divin et déchu
MCID_M022_PLACE	Château de Lythos
MCID_M023_PREFIX	Chapitre 23
MCID_M023	Les Quatre Chacals
MCID_M023_PLACE	Champs de lave
MCID_M023_OUTLINE	Pour briser la barrière dans le ciel\nd'Elyos, le groupe traque un\nfragment de Dragon déchu.
MCID_M024_PREFIX	Chapitre 24
MCID_M024	Réminiscences
MCID_M024_PLACE	Région montagneuse
MCID_M024_OUTLINE	Armé d'un puissant artefact de\nZephia, le groupe cherche un\nfragment immergé dans un lac.
MCID_M025_PREFIX	Chapitre 25
MCID_M025	L'ultime gardienne
MCID_M025_PLACE	Temple de Gradlon
MCID_M025_OUTLINE	Il ne reste que le dernier fragment.\nMais une sombre surprise attend\nle Dragon divin...
MCID_M026_PREFIX	Chapitre 26
MCID_M026	Dernière fusion
MCID_M026_PLACE	Portail vers d'autres mondes
MCID_S001_PREFIX	Annexe
MCID_S001	Un talent naissant
MCID_S001_PLACE	Village des champs de thé
MCID_S001_OUTLINE	Le groupe parviendra-t-il à sauver\nles habitants d'un paisible village\ndes griffes des Aberrations ?
MCID_S002_PREFIX	Annexe
MCID_S002	La marchande mystérieuse
MCID_S002_PLACE	Repaire des bandits
MCID_S002_OUTLINE	Dans un bastion de bandits,\nune petite voleuse cherche\nun trésor.
MCID_S003_PREFIX	Annexe
MCID_S003	La Sainte-Lignée
MCID_S003_PLACE	Arène des dieux
MCID_S003_OUTLINE	Un lieu important pour l'Emblème\nLucina. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S004_PREFIX	Annexe
MCID_S004	La Lady de Sacae
MCID_S004_PLACE	Plaines des vents tumultueux
MCID_S004_OUTLINE	Un lieu important pour l'Emblème\nLyn. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S005_PREFIX	Annexe
MCID_S005	Le Héros de l'Aube
MCID_S005_PLACE	Fort des espoirs
MCID_S005_OUTLINE	Un lieu important pour l'Emblème\nIke. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S006_PREFIX	Annexe
MCID_S006	L'Instructeur
MCID_S006_PLACE	Tombe sacrée
MCID_S006_OUTLINE	Un lieu important pour l'Emblème\nByleth. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S007_PREFIX	Annexe
MCID_S007	La Main du Destin
MCID_S007_PLACE	Croisée des destins
MCID_S007_OUTLINE	Un lieu important pour l'Emblème\nCorrin. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S008_PREFIX	Annexe
MCID_S008	La Jumelle Céleste
MCID_S008_PLACE	Ruines maudites
MCID_S008_OUTLINE	Un lieu important pour l'Emblème\nEirika. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S009_PREFIX	Annexe
MCID_S009	Le Chevalier Sacré
MCID_S009_PLACE	Rivière du demi-jour
MCID_S009_OUTLINE	Un lieu important pour l'Emblème\nSigurd. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S010_PREFIX	Annexe
MCID_S010	Le Souverain Éclairé
MCID_S010_PLACE	Ponts jumeaux
MCID_S010_OUTLINE	Un lieu important pour l'Emblème\nLeif. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S011_PREFIX	Annexe
MCID_S011	La Fille de l'Aube
MCID_S011_PLACE	Forteresse gelée
MCID_S011_OUTLINE	Un lieu important pour l'Emblème\nMicaiah. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S012_PREFIX	Annexe
MCID_S012	Le Jeune Lion
MCID_S012_PLACE	Terre du sceau
MCID_S012_OUTLINE	Un lieu important pour l'Emblème\nRoy. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S013_PREFIX	Annexe
MCID_S013	La Tendre Princesse
MCID_S013_PLACE	Sanctuaire oublié
MCID_S013_OUTLINE	Un lieu important pour l'Emblème\nCelica. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S014_PREFIX	Annexe
MCID_S014	Le Roi-Héros
MCID_S014_PLACE	Château en ruines
MCID_S014_OUTLINE	Un lieu important pour l'Emblème\nMarth. Ici, le Dragon divin doit\nsurmonter une importante épreuve.
MCID_S015_PREFIX	Annexe
MCID_S015	Cohésion
MCID_S015_PLACE	Jardins du souvenir
MCID_S015_OUTLINE	Un endroit ressemblant aux jardins\ndu château de Lythos renferme\nun mystérieux anneau.
MID_ENCOUNT	Escarmouche
MID_ENCOUNT_TRAINING	Entraînement
MID_RULE_Title	Victoire :
MID_RULE_Title_LOSE	Défaite :
MID_RULE_ANNIHILATE	Décimer l'ennemi.
MID_RULE_DESTROY_BOSS	Vaincre le commandant ennemi.
MID_RULE_DESTROY_BOSS_TURN	Vaincre le commandant ennemi en \x0E\x01\x00\x00 tours.
MID_RULE_SURVIVE_TURN	Survivre \x0E\x01\x00\x00 tours.
MID_RULE_COMMON_LOSE	Perdre \x0E\x06\x03\x00.
MID_RULE_WANNIHILATION_LOSE	Perdre tous les alliés.
MID_RULE_M000_WIN	Décimer l'ennemi.
MID_RULE_M001_WIN	Décimer l'ennemi.
MID_RULE_M002_WIN	Vaincre Lumera.
MID_RULE_M003_WIN	Décimer l'ennemi.
MID_RULE_M004_WIN	Vaincre Rodine.
MID_RULE_M005_WIN	Vaincre Nelucce.
MID_RULE_M006_WIN	Vaincre Teronda.
MID_RULE_M006_LOSE	Perdre \x0E\x06\x03\x00 ou Yunaka.
MID_RULE_M007_WIN	Vaincre Hortensia.
MID_RULE_M008_WIN	Vaincre Ivy.
MID_RULE_M008_LOSE	Perdre \x0E\x06\x03\x00 ou l'ennemi atteint la zone.
MID_RULE_M009_WIN	Vaincre Ivy.
MID_RULE_M010_WIN	Vaincre Hyacinth et Morion corrompu.
MID_RULE_M011_WIN	Réussir à faire fuir \x0E\x06\x03\x00.
MID_RULE_M012_WIN	Décimer l'ennemi.
MID_RULE_M013_WIN	Vaincre Tetchie et Totchie.
MID_RULE_M014_WIN	Vaincre Hortensia, Zephia, Marni et Mauvier.
MID_RULE_M015_WIN	Réussir à faire fuir Seadall.
MID_RULE_M015_LOSE	Perdre \x0E\x06\x03\x00 ou Seadall.
MID_RULE_M016_WIN	Vaincre Marni et Mauvier.
MID_RULE_M017_WIN	Vaincre les six commandants ennemis.
MID_RULE_M018_WIN	Vaincre Abyme.
MID_RULE_M019_WIN	Vaincre Marni et Mauvier.
MID_RULE_M020_WIN	Vaincre Griss.
MID_RULE_M021_WIN	Vaincre Veyle.
MID_RULE_M022_WIN	Récupérer tous les Anneaux d'Emblèmes.
MID_RULE_M023_WIN	Vaincre Zephia et Griss.
MID_RULE_M024_WIN	Vaincre \x0E\x06\x03\x00 du passé.
MID_RULE_M024_LOSE	Perdre \x0E\x06\x03\x00 ou dépasser \x0E\x01\x00\x00 tours.
MID_RULE_M025_WIN	Vaincre Lumera corrompue.
MID_RULE_M026_WIN	Vaincre Sombron.
MID_RULE_S001_WIN	Décimer l'ennemi.
MID_RULE_S002_WIN	Vaincre Mitan.
MID_RULE_S003_WIN	Vaincre Lucina.
MID_RULE_S004_WIN	Vaincre Lyn.
MID_RULE_S005_WIN	Vaincre Ike.
MID_RULE_S006_WIN	Vaincre Byleth.
MID_RULE_S007_WIN	Vaincre Corrin.
MID_RULE_S008_WIN	Vaincre Eirika.
MID_RULE_S009_WIN	Vaincre Sigurd.
MID_RULE_S010_WIN	Vaincre Leif.
MID_RULE_S011_WIN	Vaincre Micaiah.
MID_RULE_S011_LOSE	Perdre \x0E\x06\x03\x00 ou l'ennemi atteint la zone.
MID_RULE_S012_WIN	Vaincre Roy.
MID_RULE_S013_WIN	Vaincre Celica.
MID_RULE_S014_WIN	Vaincre Marth.
MID_RULE_S015_WIN	Récupérer l'anneau.
MID_RULE_S015_LOSE	Perdre \x0E\x06\x03\x00 ou l'ennemi s'enfuit.
MID_RULE_TURN_LOSE	Perdre \x0E\x06\x03\x00 ou dépasser \x0E\x01\x00\x00 tours.
MID_RULE_VERSUS_LOSE	Perdre tous les alliés ou dépasser \x0E\x01\x00\x00 tours.
MTID_Nothing	Rien
MTID_Engage	Énergie d'Emblème
MTID_SoulOfDead	Esprit
MTID_GuardFence	Clôture
MTID_BreakableWall	Mur fragile
MTID_Cargo	Bric-à-brac
MTID_Crystal	Cristal
MTID_Pedestal	Piédestal
MTID_Rock	Roc
MTID_RockLarge	Rocher
MTID_Sandbag	Sacs de sable
MTID_Chair	Banc
MTID_Paling	Palissade
MTID_Barrier	Rempart
MTID_ObstacleLow	Obstacles
MTID_Altar	Autel
MTID_Rubble	Débris
MTID_Pier	Jetée
MTID_Ground	Sol
MTID_Forest	Forêt
MTID_Grove	Arbres
MTID_Desert	Sable
MTID_Quicksand	Sable mouvant
MTID_Shallow	Gué
MTID_River	Rivière
MTID_Waterway	Fossé
MTID_Mountain	Mont
MTID_Sky	Ciel
MTID_Bridge	Pont
MTID_BridgeBroken	Pont effondré
MTID_BridgeRise	Pont relevé
MTID_Ruin	Ruines
MTID_Windmill	Moulin
MTID_PrivateHouse	Maison
MTID_House	Édifice
MTID_StoneStatue	Statue
MTID_Building	Bâtiment
MTID_Hull	Bateau
MTID_Sarcophagus	Cercueil
MTID_Object	Obstacle
MTID_Bush	Buissons
MTID_Sea	Étendue d'eau
MTID_Tile	Dalles
MTID_Lava	Lave
MTID_Wall	Mur
MTID_Stairs	Escaliers
MTID_SummonCircle	Sceau
MTID_WallLow	Muret
MTID_Door	Porte
MTID_Chest	Coffre
MTID_Chest_Empty	Coffre vide
MTID_Roof	Toit
MTID_TileCollapsed	Sol effondré
MTID_TileRecovery	Regain PV
MTID_TileDefense	Protection
MTID_Fort	Fort
MTID_Pillar	Piliers
MTID_PillarLarge	Colonne
MTID_Cliff	Falaise
MTID_Bonfire	Fanal
MTID_Candlestick	Candélabre
MTID_Beach	Plage
MTID_Shrubbery	Massif
MTID_Deck	Pont
MTID_Mast	Mât
MTID_EvilDragonVein	Fragment de Dragon déchu
MTID_BowCannon	Baliste
MTID_MagicCannon	Artillerie magique
MTID_FireCannon	Canon
MTID_Ring_Siglud	Anneau du Chevalier Sacré
MTID_Ring_Celica	Anneau de la Tendre Princesse
MTID_Ring_Micaiah	Anneau de la Fille de l'Aube
MTID_Ring_Roy	Anneau du Jeune Lion
MTID_Ring_Leaf	Anneau du Souverain Éclairé
MTID_Ring_Lucina	Anneau de la Sainte-Lignée
MTID_Ring_Lin	Anneau de la Lady de Sacae
MTID_Ring_Ike	Anneau du Héros de l'Aube
MTID_Ring_Byleth	Anneau de l'Instructeur
MTID_Ring_Kamui	Anneau de la Main du Destin
MTID_Ring_Eirik	Anneau des Jumeaux Célestes
MTID_NoEntry	Hors limites
MTID_HelpSpot	Entrée
MTID_Sandbox	Sable
MTID_GoldMountain	Tas d'écus
MTID_Spring	Bassin
MTID_IceFloor	Glace
MTID_Snowman	Bonhomme de neige
MTID_Hay	Foin
MTID_Cactus	Cactus
MTID_RoseArch	Arches
MTID_Remains	Ruines
MTID_Cart	Chariot
MTID_Well	Puits
MTID_Loading	Caisses
MTID_Fence	Barricade
MTID_AnimalStatue	Statue d'alpaga
MTID_SoraStatue	Statue protectrice
MTID_EarthPillar	Pilier de pierre
MTID_Fog	Brouillard
MTID_Fire	Flammes
MTID_Miasma	Miasmes
MTID_Aroma	Aura
MTID_Block	Pilier de glace
MTID_Water	Eau
MTID_Ivy	Lianes
MTID_Light	Flash
MID_TE_Avoid	Esq
MID_TE_Heal	Soin/tour
MID_TE_Damage	Dégâts/tour
MID_TE_Def	Déf
MID_TE_MDef	Rés
MID_TE_PlayerDamage	Déf/Rés alliés
MID_TE_EnemyDamage	Déf/Rés ennemis
MID_TE_Break	Non brisable
MID_TE_FlightOnly	Volantes uniq
MID_TE_NoEntry	Infranchissable
MID_TE_Destroy	Destructible
MID_TE_Shine	Éclaire les cases adjacentes.
MID_TE_HelpSpot	Déployer unités
MID_TE_Cannon_Attack	Atq
MID_TE_Cannon_Hit	Prc
MID_TE_Cannon_Stock	\x0E\x01\x00\x00/\x0E\x01\x01\x00
MID_TE_Skill_Effect	Effets
MID_TE_Move	Mvt
