MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nPrince Diamant ! Regardez ça, j'ai déniché\nune potion secrète légendaire !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAh, Amber. Si tu le souhaites, nous pouvons\nparler de cette histoire de potion maintenant...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nAh, oui ! J'ai hâte de savoir ce que j'ai bien\npu raconter.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nAlors... Tu disais que tu m'étais reconnaissant,\net que tu me respectais. À un point extrême,\nvisiblement.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nHa ha ! C'est tout ? Pff, vous saviez déjà\nparfaitement tout cela !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nEffectivement. Tu ne t'en caches guère.\nTu t'es donné du mal pour me tirer d'affaire\nplus d'une fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nMais tu as aussi dit autre chose...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nComme quoi si je n'avais pas été là,\ntu travaillerais dans une écurie d'alpagas.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nOui, ça se tient. Ma famille possède justement\nune écurie d'alpagas.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nC'est tout ce qu'on trouve là où j'ai grandi :\ndes alpagas et des falaises. Si je voulais devenir\nun héros, il fallait que je m'en aille.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nVous m'avez montré la voie pour devenir\nce héros en faisant de moi votre vassal.\nC'est pour ça que je vous suis reconnaissant.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nD'accord. En tout cas, s'il est bien fâcheux\nd'avoir perdu cette potion, ce n'était pas tout\nà fait une perte sèche.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nC'était certes un peu gênant sur le moment,\nmais j'ai pu ainsi connaître tes sentiments\nles plus profonds.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nOuais, je ne suis pas trop à l'aise non plus,\nmais je suis heureux d'avoir pu vous exprimer\nmon affection.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nC'est tout ? J'ai dit autre chose ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nMaintenant que tu le dis, tu as en effet\nlaissé échapper un dernier détail...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nTu as dit que tu pensais que nul ne m'arrivait à\nla cheville, mais tu as repris tes esprits avant\nd'approfondir le sujet.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nQue t'apprêtais-tu à dire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nHm. Alors là... Je vous porte en effet en très\nhaute estime, Prince Diamant. Et ce, pour\ndes tas de raisons.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nJe ne sais pas trop laquelle est la plus ancrée\nau fond de moi... Vous permettez que j'y\nréfléchisse un peu ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nJe t'en prie.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAmber, ne me laisse pas plus longtemps dans\nl'expectative. Je dois savoir ce que tu voulais\nme dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nAu sujet de la raison la plus profondément\nancrée en moi pour laquelle je pense que\nnul ne vous arrive à la cheville ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nCelle-là même.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nJe crois que j'ai trouvé. J'étais sur le point de\ndire : « nul ne vous arrive à la cheville... car\nvous êtes comme un alpaga humain » !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nQuoi ? Un alpaga humain ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nOui ! J'ai toujours eu cette impression, depuis\nle jour où je vous ai rencontré. Alors c'est\nforcément ce que j'allais dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nDepuis le premier jour ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nC'était le jour du tournoi, vous vous souvenez ?\nMa famille ne voulait pas que j'y participe, mais\nje les ai ignorés.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nJ'ai perdu contre Jade... mais j'ai décroché la\ndeuxième place ! Chez moi, on en parle comme\ndu « miracle de la contrée des alpagas ».\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nJe n'ai pas souvenir d'un tel enthousiasme\nde ta part à l'époque. N'as-tu pas quitté\nl'arène en sanglots ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アンバー\nSi... J'avais tellement envie d'être champion.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nJe me morfondais dans mon coin quand vous\nm'avez accosté pour me demander d'être votre\nsecond vassal.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nVous m'avez adressé un sourire si doux...\nC'est à ce moment-là que ça m'a frappé.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nCe type, je me suis dit... il a une âme d'alpaga.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est vraiment ce que tu t'es dit ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nC'est à cet instant et à cet endroit précis que\nj'ai décidé de me tenir à vos côtés et de vous\nprotéger.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nEh ben ? Pourquoi vous faites cette tête ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est-à-dire que... je ne parviens pas à\ndéterminer ce qui te fait songer à un\nalpaga chez moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nOh. Eh bien, il y a plusieurs choses.\nComment dire...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nVous êtes gentil, vous avez le chic pour me\nmettre à l'aise et j'ai envie de vous protéger.\nEt vous êtes tout doux et tout léger !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nEst-ce que tu viens vraiment de dire que\nje suis... tout doux et tout léger ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nJe sais. C'est un immense compliment. Peu de\ngens réalisent à quel point j'admire les alpagas.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nAlors, c'est un compliment...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アンバー\nEt comment.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nHmm. Soit... Je vais me procurer une autre\npotion secrète. Ainsi, je saurai si tu es sincère.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アンバー\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nHa ha ! Je te charrie. Puisque tu affirmes\nressentir ça si profondément, je te crois.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est un honneur de t'inspirer la même estime\nque les alpagas. Je suis bien aise de t'avoir\ncomme vassal.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08アンバー\nMerci, Prince Diamant. C'est aussi un honneur\nd'évoluer à vos côtés. Et aucune potion n'est\nnécessaire pour énoncer cette vérité !\x0E\x04\x00\x00
