MID_WU_C_1_IN_#001	Pardonnez-moi.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Vous avez choisi de rester\nauprès de moi, tantôt.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Un jour, d'une manière ou d'une autre, je vous\nrevaudrai vos nombreux actes d'altruisme.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Comment allez-vous ce matin ?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Vous prenez soin de nos alliés...\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	mais veillez également à\nprendre soin de vous-même.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Je n'arrive pas à croire que quelque chose\nde si drôle se soit produit sur le chemin.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Votre Divinité, écoutez...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Il y a peu, j'ai glissé sur une peau de fruit...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Promettez-moi de faire attention, d'accord ?\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	On dirait une scène tirée de mes romans...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	Je ne peux me la sortir de la tête.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	C'est mal... Hé, je ne devrais\npas rigoler ici, mais... Hé.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Désolée de vous réveiller avec mon fou rire.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	J'ai glissé sur une peau de fruit\nun peu plus tôt...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	et je suis tombée lourdement par terre !\nHa !\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Zone sécurisée, je garde la porte.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Vous êtes réveillé\x0E\x0A\x00\x06
MID_WU_A_2_SOON_#002	Je peux partir si vous préférez...\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Oh, vous souhaitez me parler ?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	Non, non... J'en suis honorée.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Désolée pour l'inquiétude de tout à l'heure.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Cela m'a fait plaisir...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	lorsque vous avez proposé de m'aider\nà affronter mon passé.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Bonjour.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Comptez sur moi pour tout, d'accord ?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	La Muraille d'acier est à votre disposition.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	« La guerrière pénétra dans la chambre\nde son allié\x0E\x0A\x00\x06
MID_WU_S_1_SOON_#001	« Des yeux bleu et rouge l'accueillirent... »\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Hé, vous m'avez reconnue\nà ma démarche ?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Si tel est le cas... j'en suis\nheureuse. Bien le bonjour.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	« S\x0E\x0A\x00\x0A\x04on\x02a partenaire était là,\nendormi\x0E\x0A\x00\x06
MID_WU_S_1_WAKEUP_#002	Hé, quelle scène charmante.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Je ne m'en lasserai jamais.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Si seulement je pouvais trouver les bons mots...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Mais le simple fait d'être\nensemble à jamais, c'est très bien.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Je finirai bien par tisser les mots.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Hé, désolée.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Ne faites pas attention à moi.\nJ'avais juste envie de sourire.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Après tout, je suis très heureuse...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	C'est un honneur d'être votre partenaire.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	À chacune de mes visites, j'ai l'impression que\nmon visage va tomber à force de trop sourire...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Ah... Chaque fois que je vous regarde...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	je ne peux m'empêcher de baisser ma garde.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Je suis habituée à la bonne humeur...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	mais en ce moment,\nje ressens une joie débordante.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	C'est si étrange...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	J'ai l'habitude que cela arrive quand\nje cherche une idée pour un roman.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Mais lorsque je regarde l'Anneau\ndu Pacte, je me mets à sourire.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	J'essaie de méditer mais\nn'arrive pas à me concentrer.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Quand je pense à vous...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	je suis la personne la plus heureuse au monde.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Bonjour. Hé, vous m'écoutiez ?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	C'est un peu gênant...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	mais je ne regrette rien.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	Hé hé.\x0E\x04\x00\x00
