MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nIl y a quelqu'un ?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nConservez-la comme un porte-bonheur.\nRien ne pourra plus vous effrayer, ainsi.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08アイビー\nProfiter de la charité de Brodia ne va guère\nvaloriser ma dignité royale...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nN'y voyez pas une entrave vous assujettissant\nà Brodia. Ce n'est qu'un simple cadeau que\nje vous fais.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nSi elle doit vous causer le moindre inconfort,\nrien ne vous oblige à la conserver. Je ne vous\nen voudrai pas. Au revoir, Ivy.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x02\x0A\x08アイビー\nMerci, Prince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08アイビー\nJ'ignorais qu'on pouvait trouver de tels\ntrésors en Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nPrince Diamant, je désirais vous présenter\nmes excuses.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nÀ quel sujet ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アイビー\nJe n'ai pas su vous remercier dignement,\nni pour votre discrétion ni pour la gemme\nque vous m'avez offerte.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nPermettez-moi donc d'y remédier en vous\nexprimant ma reconnaissance maintenant.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nOh ! Ne vous tracassez pas pour cela.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nIl y a tant dont Brodia doit répondre. Cette\ngemme est bien le moins que je puisse\nvous offrir.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nC'est exact. Brodia a envahi nos terres\nà maintes reprises.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nJe me demande souvent où en serait\nmon peuple, sans toute cette souffrance\net ce sang versé.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nVoilà qui ne me surprend guère. C'est pourquoi\nvous ne me devez pas la moindre gratitude.\nJ'espère que vous comprenez.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nMais vous êtes intervenu pour me secourir,\nentre quatre yeux, fidèle à vos valeurs.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nC'est pourquoi, fidèle aux miennes,\nje tiens à vous remercier.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nSi tel est votre sentiment profond,\nPrincesse Ivy, j'accepte votre gratitude.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nQuand il n'implique que deux personnes,\nun « merci » est aisé à formuler.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nIl en va de même pour les excuses.\nCe n'est que quand deux royaumes sont\nimpliqués que les choses se compliquent.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nRien n'est plus vrai.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nMon père était uniquement préoccupé des\naffaires du royaume lorsqu'il entreprit\nd'étendre notre territoire au fil de l'épée.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nBrodia n'a toujours agi qu'en suivant de telles\npréoccupations exclusives. Mais cela doit\nchanger.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nQu'entendez-vous par là ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nMon père nous a quittés, mais son influence\ndemeure. Le changement prendra du temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nS'il existe une méthode plus simple, je ne l'ai\npas encore découverte. Il m'arrive de me\ndemander si je suis prêt à devenir roi...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アイビー\nJe me reconnais bien dans ce sentiment.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, pardonnez-moi. Ce n'était pas mon intention\nde me répandre de la sorte.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アイビー\nNon, je vous comprends. Cela m'est un\nsoulagement de constater que vous\npartagez mes incertitudes.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08アイビー\nJe sens désormais naître un espoir bien plus\nlumineux quant à l'avenir qui nous verra tous\ndeux sur le trône.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nPrince Diamant, il faut que je vous montre\nquelque chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nLa gemme dans ce collier est-elle celle que\nje vous ai offerte ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nOui. J'ai décidé de la sertir dans un objet\nque je pourrais porter tous les jours.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nBel ouvrage. Il est tout à fait resplendissant.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nNous n'avons pas de tels matériaux en Elusia,\nmais nous ne manquons pas d'orfèvres pour\nles travailler.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nVoilà qui symbolise peut-être la voie que\nnous devons suivre. Les ressources de Brodia\nfusionnées au talent elusien.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nUne voie de paix et de prospérité, fondée sur le\nrespect mutuel pour nos richesses respectives.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nJe comprends...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nCe présent, la gemme, a véritablement\naffermi mon courage.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nOù aurais-je pu puiser la résolution de\nréinventer nos relations, autrement ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nMerci, Princesse Ivy... et c'est en qualité\nde prince héritier de Brodia que je vous\ndis cela aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nConvaincre Brodia de renoncer à ses velléités\nbelliqueuses sera une bataille en soi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nLa guerre engendre le profit, qui lui-même\nengendre la guerre, laquelle à son tour engendre\ndavantage de profits. C'est un cercle vicieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nMais ce cercle doit être brisé. Et je suis le seul\nqui en ait les moyens.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nCe collier est le symbole parfait de notre\ndessein commun. Nos deux royaumes\nainsi entrelacés...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nAlors laissez-moi vous remercier, Ivy. Je vous\nfais le serment, ici et maintenant, que sous\nmon règne, Brodia défendra la paix.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nMerci, Prince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nJe prends ces paroles au sérieux et je ne\nmanquerai pas de les transmettre à mon peuple.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nSi nous montrons tous deux l'exemple, nos\nroyaumes peuvent cesser de se battre. Nous\npouvons initier des rapports commerciaux.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nLes artisans d'Elusia bénéficieront\ngrandement d'un accès aux ressources\nde Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nS'il en ressort d'autres joyaux tels que\nce collier, nos deux royaumes prospéreront.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est un excellent plan.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nIl ne reste plus qu'à le faire fructifier.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nNous le ferons. Nous nous en assurerons.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nConcluons ce marché en tant que souverains\naussi bien qu'en tant qu'amis. C'est une ère\nde paix qui s'ouvre.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アイビー\nAvec joie. Qu'une aube nouvelle se lève\npour nous aujourd'hui.\x0E\x04\x00\x00
