MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x0A\x08リュール\nJe sens indéniablement la présence d'un\nEmblème dans ce bracelet, mais son aura\nest des plus... complexes.\x0E\x04\x02\x00
MID_OP1_2_#029	\x0E\x03\x02\x10\x0Eエーデルガルト\nRassurez-moi, vous avez conscience\nqu'un tiers vaut moins que la moitié ?\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ベレト\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x08\x06ベレト\nJe constate que nous avons recruté\ndes alliés précieux.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nProfesseur ! Vous êtes là, vous aussi ?\nMa motivation atteint son paroxysme !\x0E\x04\x02\x00
MID_OP2_#003	Vous épauler au combat sera pour moi\nun honneur incommensurable !\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06ベレト\nComme vous y allez ! Je vais devoir\nme surpasser pour me montrer digne\nd'une telle admiration.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0C\nディミトリ\nCes charmantes retrouvailles me rappellent\nle jour de notre première rencontre avec\nle Professeur.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x10\x0Eエーデルガルト\nVoulez-vous parler de cette nuit durant\nlaquelle des bandits ont attaqué notre\ncampement ?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\nディミトリ\nAbsolument. Je regrette, Claude, mais l'art de\nla « retraite stratégique » que vous maîtrisiez\nsi bien à l'époque n'aura plus droit de cité ici.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08クロード\nNous voilà donc condamnés à rester ensemble,\nsi je ne m'abuse ?\x0E\x04\x02\x00
MID_OP2_#009	Cela me coûte de le dire, mais si nous voulons\ncombattre dans un accord parfait, il faudra\ns'efforcer de mieux nous entendre.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x08\x06ベレト\nAbsolument, vous n'avez pas d'autre choix.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x10\x0Eエーデルガルト\nAssurément. On ne peut rien accomplir\npar soi-même.\x0E\x04\x02\x00
MID_OP2_#012	Mais ensemble, réunis sous l'étendard de cette\narmée, nous ne connaîtrons jamais la défaite.\x0E\x04\x02\x00
MID_OP2_#013	Cela peut certes paraître arrogant, mais c'est\nl'expression de la confiance que j'ai en nous\net en les enseignements de notre Professeur.\x0E\x04\x02\x00
MID_OP2_#014	N'êtes-vous point de cet avis, Professeur ?\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x08\x06ベレト\nSi fait. Je suis fier de vous tous. Combattons\nensemble jusqu'au bout, cette fois.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x10\x0Eエーデルガルト\nSi vous me permettez cet accès de solennité,\n\x0E\x06\x03\x00...\x0E\x04\x02\x00
MID_OP3_#002	Nous remettons formellement nos pouvoirs\nentre vos mains, avec la certitude que vous\nsaurez en faire bon usage.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0C\nディミトリ\nN'ayez crainte, car avec notre aide,\nla victoire finale est assurée.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08クロード\nEt si ces deux énergumènes et leurs\ntactiques éculées venaient à échouer,\nj'ai deux ou trois tours dans mon sac...\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08リュール\nCela est fort rassurant. Merci.\x0E\x04\x02\x00
MID_OP3_#006	Je ferai tout mon possible pour vous aider\nà coopérer sans accroc, tous les trois.\x0E\x04\x00\x00
